call me crazy , but i don't see saving private ryan as the film of the summer . 	Translation	Positive	Negative	EmotionRationale
a good movie , yes , with chillingly realistic battle scenes and emotion to spare . 	a good movie , yes , with chillingly realistic battle scenes and emotion to spare .	2	-2	 a[0] good[1] movie[0] yes[0] with[0] chillingly[0] realistic[0] battle[-1] scenes[0] and[0] emotion[0] to[0] spare[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
an utterly riviting movie on par with steven spielberg's best work , no . 	an utterly riviting movie on par with steven spielberg's best work , no .	2	-1	 an[0] utterly[0] riviting[0] movie[0] on[0] par[0] with[0] steven[0] spielberg's[0] best[1] work[0] no[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
personally , if i was spielberg , i wouldn't go back to the world war ii era one more time after schindler's list and the indiana jones movies . 	personally , if i was spielberg , i wouldn't go back to the world war i era one more time after schindler's list and the indiana jones movies .	1	-3	 personally[0] if[0] i[0] was[0] spielberg[0] i[0] wouldn't[0] go[0] back[0] to[0] the[0] world[0] war[-2] ii/i[0] era[0] one[0] more[0] time[0] after[0] schindler's[0] list[0] and[0] the[0] indiana[0] jones[0] movies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'm guessing steve has a thing for nazis ; i really wouldn't be surprised if a velociraptor ate one of the swastika-wearing dudes in the next jurassic park movie . 	i'm guessing steve has a thing for nazis ; i really wouldn't be surprised if a velociraptor ate one of the swastika-wearing dudes in the next jurassic park movie .	1	-2	 i'm[0] guessing[0] steve[0] has[0] a[0] thing[0] for[0] nazis[-1] i[0] really[0] wouldn't[0] be[0] surprised[0] if[0] a[0] velociraptor[0] ate[0] one[0] of[0] the[0] swastika[0] wearing[0] dudes[0] in[0] the[0] next[0] jurassic[0] park[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all lofty pretenses aside , saving private ryan is the goriest movie this side of a 1980s slasher flick . 	all lofty pretenses aside , saving private ryan is the goriest movie this side of a 1980s slasher flick .	1	-2	 all[0] lofty[0] pretenses[0] aside[0] saving[0] private[0] ryan[0] is[0] the[0] goriest[0] movie[0] this[0] side[0] of[0] a[0] 1980s[0] slasher[-1] flick[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the difference is , it's easy during friday the 13th to laugh off a spear sticking out of kevin bacon's chest while blood spurts like crazy , but it's damn hard to sit and eat reese's pieces while soldiers suffer machine gun bullets to the head and have their intestines spilled out onto the battlefield . 	the difference is , it's easy during friday the 13th to laugh off a spear sticking out of kevin bacon's chest while blood spurts like crazy , but it's damn hard to sit and eat reese's pieces while soldiers suffer machine gun bullets to the head and have their intestines spilled out onto the battlefield .	2	-4	 the[0] difference[0] is[0] it's[0] easy[0] during[0] friday[0] the[0] 13th[0] to[0] laugh[1] off[0] a[0] spear[-1] sticking[0] out[0] of[0] kevin[0] bacon's[0] chest[0] while[0] blood[0] spurts[0] like[1] crazy[-1] but[0] it's[0] damn[-1] hard[0] to[0] sit[0] and[0] eat[0] reese's[0] pieces[0] while[0] soldiers[0] suffer[-3] machine[0] gun[-1] bullets[-1] to[0] the[0] head[0] and[0] have[0] their[0] intestines[0] spilled[-1] out[0] onto[0] the[0] battlefield[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and believe me , there's plenty of it . 	and believe me , there's plenty of it .	1	-1	 and[0] believe[0] me[0] there's[0] plenty[0] of[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a 30-minute sequence at the beginning of the movie has an army captain ( tom hanks ) and his soldiers landing at omaha beach to join countless other americans who are already under fire . 	a 30-minute sequence at the beginning of the movie has an army captain ( tom hanks ) and his soldiers landing at omaha beach to join countless other americans who are already under fire .	1	-1	 a[0] 30[0] minute[0] sequence[0] at[0] the[0] beginning[0] of[0] the[0] movie[0] has[0] an[0] army[0] captain[0] tom[0] hanks[0] and[0] his[0] soldiers[0] landing[0] at[0] omaha[0] beach[0] to[0] join[0] countless[0] other[0] americans[0] who[0] are[0] already[0] under[0] fire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lives are lost in seconds as the purposefully confusing and jarring scene goes on and on , and all the young men in the audience find themselves never , ever wanting to be drafted . 	lives are lost in seconds as the purposefully confusing and jarring scene goes on and on , and all the young men in the audience find themselves never , ever wanting to be drafted .	1	-2	 lives[0] are[0] lost[0] in[0] seconds[0] as[0] the[0] purposefully[0] confusing[-1] and[0] jarring[0] scene[0] goes[0] on[0] and[0] on[0] and[0] all[0] the[0] young[0] men[0] in[0] the[0] audience[0] find[0] themselves[0] never[0] ever[0] wanting[0] to[0] be[0] drafted[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cut to some bureaucratic defense office , where a hundred women pound out sympathy form letters to the families of the casualties . 	cut to some bureaucratic defense office , where a hundred women pound out sympathy form letters to the families of the casualties .	1	-1	 cut[0] to[0] some[0] bureaucratic[0] defense[0] office[0] where[0] a[0] hundred[0] women[0] pound[0] out[0] sympathy[0] form[0] letters[0] to[0] the[0] families[0] of[0] the[0] casualties[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one woman happens upon an interesting detail -- three brothers in different platoons were killed in combat , and their mother is getting the telegram today . 	one woman happens upon an interesting detail - three brothers in different platoons were killed in combat , and their mother is getting the telegram today .	2	-4	 one[0] woman[0] happens[0] upon[0] an[0] interesting[1] detail[0] three[0] brothers[0] in[0] different[0] platoons[0] were[0] killed[-3] in[0] combat[-1] and[0] their[0] mother[0] is[0] getting[0] the[0] telegram[0] today[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i guess it's an interesting conversation piece to everyone but the mother , so the army chief ( harve presnell ) sends hanks on what is essentially a public relations mission , to find the fourth ryan brother and send him home . 	i guess it's an interesting conversation piece to everyone but the mother , so the army chief ( harve presnell ) sends hanks on what is essentially a public relations mission , to find the fourth ryan brother and send him home .	2	-1	 i[0] guess[0] it's[0] an[0] interesting[1] conversation[0] piece[0] to[0] everyone[0] but[0] the[0] mother[0] so[0] the[0] army[0] chief[0] harve[0] presnell[0] sends[0] hanks[0] on[0] what[0] is[0] essentially[0] a[0] public[0] relations[0] mission[0] to[0] find[0] the[0] fourth[0] ryan[0] brother[0] and[0] send[0] him[0] home[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that way , the army saves the postage on yet another telegram to mrs . ryan . 	that way , the army saves the postage on yet another telegram to mrs .<br> ryan .	2	-1	 that[0] way[0] the[0] army[0] saves[1] the[0] postage[0] on[0] yet[0] another[0] telegram[0] to[0] mrs[0] [[Sentence=-1,2=word max, 1-5]] ryan[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
one good thing about saving private ryan is that the soldiers who are headed to rescue ryan know it's a mission designed to make the army look good . 	one good thing about saving private ryan is that the soldiers who are headed to rescue ryan know it's a mission designed to make the army look good .	2	-1	 one[0] good[1] thing[0] about[0] saving[0] private[0] ryan[0] is[0] that[0] the[0] soldiers[0] who[0] are[0] headed[0] to[0] rescue[0] ryan[0] know[0] it's[0] a[0] mission[0] designed[0] to[0] make[0] the[0] army[0] look[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they question the worth of risking eight soldiers' lives to save one , and hanks' character admits he doesn't give a damn about ryan ; he's just following orders . 	they question the worth of risking eight soldiers' lives to save one , and hanks' character admits he doesn't give a damn about ryan ; he's just following orders .	2	-2	 they[0] question[0] the[0] worth[0] of[0] risking[-1] eight[0] soldiers'[0] lives[0] to[0] save[1] one[0] and[0] hanks'[0] character[0] admits[0] he[0] doesn't[0] give[0] a[0] damn[-1] about[0] ryan[0] he's[0] just[0] following[0] orders[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if this was a john wayne movie , things would be different . 	if this was a john wayne movie , things would be different .	1	-1	 if[0] this[0] was[0] a[0] john[0] wayne[0] movie[0] things[0] would[0] be[0] different[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there'd be a phony , " let's go get that boy , gosh darn it ! " 	there'd be a phony , " let's go get that boy , gosh darn it !<br> "	1	-2	 there'd[0] be[0] a[0] phony[0] let's[0] go[0] get[0] that[0] boy[0] gosh[0] darn[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
attitude that would sugarcoat the reality of war . 	attitude that would sugarcoat the reality of war .	1	-3	 attitude[0] that[0] would[0] sugarcoat[0] the[0] reality[0] of[0] war[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by doing things this way , spielberg admits the instincts of self- preservation and complacency that every normal person has . 	by doing things this way , spielberg admits the instincts of self- preservation and complacency that every normal person has .	1	-1	 by[0] doing[0] things[0] this[0] way[0] spielberg[0] admits[0] the[0] instincts[0] of[0] self[0] preservation[0] and[0] complacency[0] that[0] every[0] normal[0] person[0] has[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it makes saving private ryan a lot more powerful than an testosterone-driven stallone movie mission . 	it makes saving private ryan a lot more powerful than an testosterone-driven stallone movie mission .	1	-1	 it[0] makes[0] saving[0] private[0] ryan[0] a[0] lot[0] more[0] powerful[0] than[0] an[0] testosterone[0] driven[0] stallone[0] movie[0] mission[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie's pattern is to have long battle scenes followed by quiet scenes of semi-introspective conversation among the soldiers . 	the movie's pattern is to have long battle scenes followed by quiet scenes of semi-introspective conversation among the soldiers .	1	-2	 the[0] movie's[0] pattern[0] is[0] to[0] have[0] long[0] battle[-1] scenes[0] followed[0] by[0] quiet[0] scenes[0] of[0] semi[0] introspective[0] conversation[0] among[0] the[0] soldiers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hanks is painted first as a nails-tough army man careful to hide his true self from the other men . 	hanks is painted first as a nails-tough army man careful to hide his true self from the other men .	2	-2	 hanks[0] is[0] painted[0] first[0] as[0] a[0] nails[0] tough[-1] army[0] man[0] careful[0] to[0] hide[0] his[0] true[1] self[0] from[0] the[0] other[0] men[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's not that way for long . 	it's not that way for long .	1	-1	 it's[0] not[0] that[0] way[0] for[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
edward burns , the guy you get for your movie when ben affleck isn't available , is the impulsive one . 	edward burns , the guy you get for your movie when ben affleck isn't available , is the impulsive one .	1	-2	 edward[0] burns[-1] the[0] guy[0] you[0] get[0] for[0] your[0] movie[0] when[0] ben[0] affleck[0] isn't[0] available[0] is[0] the[0] impulsive[-1] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jeremy davies plays the translator who is seeing combat for the first time , and so on . 	jeremy davies plays the translator who is seeing combat for the first time , and so on .	2	-2	 jeremy[0] davies[0] plays[1] the[0] translator[0] who[0] is[0] seeing[0] combat[-1] for[0] the[0] first[0] time[0] and[0] so[0] on[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
none of the characters are fascinating or natural born heroes , but was spielberg's obvious intention . 	none of the characters are fascinating or natural born heroes , but was spielberg's obvious intention .	3	-1	 none[0] of[0] the[0] characters[0] are[0] fascinating[0] or[0] natural[0] born[0] heroes[2] but[0] was[0] spielberg's[0] obvious[0] intention[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i wondered when i heard saving private ryan was three hours long , how were they going to fill three hours' time searching for one person and still make it interesting ? 	i wondered when i heard saving private ryan was three hours long , how were they going to fill three hours' time searching for one person and still make it interesting ?	2	-1	 i[0] wondered[0] when[0] i[0] heard[0] saving[0] private[0] ryan[0] was[0] three[0] hours[0] long[0] how[0] were[0] they[0] going[0] to[0] fill[0] three[0] hours'[0] time[0] searching[0] for[0] one[0] person[0] and[0] still[0] make[0] it[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are a few false starts ; hanks finds one private ryan in ted danson's company ( apparently , danson joined the army after " ink " was canceled . ) and breaks the bad news before learning it's the wrong ryan . 	there are a few false starts ; hanks finds one private ryan in ted danson's company ( apparently , danson joined the army after " ink " was canceled .<br> ) and breaks the bad news before learning it's the wrong ryan .	1	-2	 there[0] are[0] a[0] few[0] false[0] starts[0] hanks[0] finds[0] one[0] private[0] ryan[0] in[0] ted[0] danson's[0] company[0] apparently[0] danson[0] joined[0] the[0] army[0] after[0] ink[0] was[0] canceled[-1] [[Sentence=-2,1=word max, 1-5]] and[0] breaks[0] the[0] bad[-1] news[0] before[0] learning[0] it's[0] the[0] wrong[-1] ryan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and of course the movie's far from over when hanks does locate ryan ( matt damon , the other guy you get when affleck isn't available ) . 	and of course the movie's far from over when hanks does locate ryan ( matt damon , the other guy you get when affleck isn't available ) .	1	-1	 and[0] of[0] course[0] the[0] movie's[0] far[0] from[0] over[0] when[0] hanks[0] does[0] locate[0] ryan[0] matt[0] damon[0] the[0] other[0] guy[0] you[0] get[0] when[0] affleck[0] isn't[0] available[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's when the movie turns into more of a conventional war flick , although body parts and limbs still fly like never before . 	that's when the movie turns into more of a conventional war flick , although body parts and limbs still fly like never before .	2	-3	 that's[0] when[0] the[0] movie[0] turns[0] into[0] more[0] of[0] a[0] conventional[0] war[-2] flick[0] although[0] body[0] parts[0] and[0] limbs[0] still[0] fly[0] like[1] never[0] before[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
saving private ryan is worth your time , but it's definitely no schindler's list . 	saving private ryan is worth your time , but it's definitely no schindler's list .	1	-1	 saving[0] private[0] ryan[0] is[0] worth[0] your[0] time[0] but[0] it's[0] definitely[0] no[0] schindler's[0] list[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the battle scenes are intense and realistic , but some of the attempts at sincere emotion aren't . 	the battle scenes are intense and realistic , but some of the attempts at sincere emotion aren't .	1	-2	 the[0] battle[-1] scenes[0] are[0] intense[0] and[0] realistic[0] but[0] some[0] of[0] the[0] attempts[0] at[0] sincere[0] emotion[0] aren't[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie's bookends are particularly cheesy and out of place , when an old private ryan goes to the cemetary with his family and bawls his eyes out , whining , " tell me i've led a good life . 	the movie's bookends are particularly cheesy and out of place , when an old private ryan goes to the cemetary with his family and bawls his eyes out , whining , " tell me i've led a good life .	2	-3	 the[0] movie's[0] bookends[0] are[0] particularly[0] cheesy[0] and[0] out[0] of[0] place[0] when[0] an[0] old[0] private[0] ryan[0] goes[0] to[0] the[0] cemetary[0] with[0] his[0] family[0] and[0] bawls[0] his[0] eyes[0] out[0] whining[-2] tell[0] me[0] i've[0] led[0] a[0] good[1] life[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
tell me i'm a good man . " 	tell me i'm a good man .<br> "	2	-1	 tell[0] me[0] i'm[0] a[0] good[1] man[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
spielberg was apparently following the james cameron line of thought that any three-hour movie about the past should be framed by a self-contained prologue and epilogue that takes place in the present . 	spielberg was apparently following the james cameron line of thought that any three-hour movie about the past should be framed by a self-contained prologue and epilogue that takes place in the present .	1	-1	 spielberg[0] was[0] apparently[0] following[0] the[0] james[0] cameron[0] line[0] of[0] thought[0] that[0] any[0] three[0] hour[0] movie[0] about[0] the[0] past[0] should[0] be[0] framed[0] by[0] a[0] self[0] contained[0] prologue[0] and[0] epilogue[0] that[0] takes[0] place[0] in[0] the[0] present[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much more effective are subtler scenes , like the one where several of hanks' men are rifling thrugh a bag of dogtags from dead soldiers , and they make light of what they're doing by pretending they're playing poker . 	much more effective are subtler scenes , like the one where several of hanks' men are rifling thrugh a bag of dogtags from dead soldiers , and they make light of what they're doing by pretending they're playing poker .	2	-3	 much[0] more[0] effective[0] are[0] subtler[0] scenes[0] like[1] the[0] one[0] where[0] several[0] of[0] hanks'[0] men[0] are[0] rifling[0] thrugh[0] a[0] bag[0] of[0] dogtags[0] from[0] dead[-2] soldiers[0] and[0] they[0] make[0] light[0] of[0] what[0] they're[0] doing[0] by[0] pretending[0] they're[0] playing[1] poker[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this while an airborne division marches by , their eyes full of that mound of dogtags . 	this while an airborne division marches by , their eyes full of that mound of dogtags .	1	-2	 this[0] while[0] an[0] airborne[0] division[-1] marches[0] by[0] their[0] eyes[0] full[0] of[0] that[0] mound[0] of[0] dogtags[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by not explicitly pointing out that it symbolizes the random poker game that life and death can be in war , the audience gets the message . 	by not explicitly pointing out that it symbolizes the random poker game that life and death can be in war , the audience gets the message .	1	-3	 by[0] not[0] explicitly[0] pointing[0] out[0] that[0] it[0] symbolizes[0] the[0] random[0] poker[0] game[0] that[0] life[0] and[0] death[-2] can[0] be[0] in[0] war[-2] the[0] audience[0] gets[0] the[0] message[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and even if it's not a classic , saving private ryan is definitely one of the better war movies out there . 	and even if it's not a classic , saving private ryan is definitely one of the better war movies out there .	1	-3	 and[0] even[0] if[0] it's[0] not[0] a[0] classic[0] saving[0] private[0] ryan[0] is[0] definitely[0] one[0] of[0] the[0] better[0] war[-2] movies[0] out[0] there[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
