synopsis : bobby garfield ( yelchin ) lives in a small town with his mirthless widowed mother ( hope davis ) . 	Translation	Positive	Negative	EmotionRationale
bobby's world revolves around his friends , especially the spritely carol ( boorem ) . 	bobby's world revolves around his friends , especially the spritely carol ( boorem ) .	2	-1	 bobby's[0] world[0] revolves[0] around[0] his[0] friends[1] especially[0] the[0] spritely[0] carol[0] boorem[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
then one day , a new boarder arrives at bobby's house . 	then one day , a new boarder arrives at bobby's house .	1	-1	 then[0] one[0] day[0] a[0] new[0] boarder[0] arrives[0] at[0] bobby's[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ted brautigan ( hopkins ) is an enigmatic man to whom bobby takes an immediate liking . 	ted brautigan ( hopkins ) is an enigmatic man to whom bobby takes an immediate liking .	3	-1	 ted[0] brautigan[0] hopkins[0] is[0] an[0] enigmatic[0] man[0] to[0] whom[0] bobby[0] takes[0] an[0] immediate[0] liking[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as the bond between bobby and ted deepens , bobby becomes privy to ted's great secret , an event which will change both of their lives forever . 	as the bond between bobby and ted deepens , bobby becomes privy to ted's great secret , an event which will change both of their lives forever .	3	-1	 as[0] the[0] bond[0] between[0] bobby[0] and[0] ted[0] deepens[0] bobby[0] becomes[0] privy[0] to[0] ted's[0] great[2] secret[0] an[0] event[0] which[0] will[0] change[0] both[0] of[0] their[0] lives[0] forever[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
review : a small but enchanting movie , " hearts in atlantis " easily recalls another king-inspired coming-of-age film , " stand by me " , both in terms of its setting and the sentiment it conveys . 	review : a small but enchanting movie , " hearts in atlantis " easily recalls another king-inspired coming-of-age film , " stand by me " , both in terms of its setting and the sentiment it conveys .	3	-1	 review[0] a[0] small[0] but[0] enchanting[0] movie[0] hearts[0] in[0] atlantis[0] easily[0] recalls[0] another[0] king[0] inspired[2] coming[0] of[0] age[0] film[0] stand[0] by[0] me[0] both[0] in[0] terms[0] of[0] its[0] setting[0] and[0] the[0] sentiment[0] it[0] conveys[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " hearts " is a tribute to the magic of childhood , to those summers when the days seem neverending , and nothing means more than your closest friends . 	 " hearts " is a tribute to the magic of childhood , to those summers when the days seem neverending , and nothing means more than your closest friends .	2	-1	 hearts[0] is[0] a[0] tribute[0] to[0] the[0] magic[0] of[0] childhood[0] to[0] those[0] summers[0] when[0] the[0] days[0] seem[0] neverending[0] and[0] nothing[0] means[0] more[0] than[0] your[0] closest[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unlike " stand by me " , there is a supernatural element to " hearts " , but although it is key to the plot , it is not prominent . 	unlike " stand by me " , there is a supernatural element to " hearts " , but although it is key to the plot , it is not prominent .	1	-1	 unlike[0] stand[0] by[0] me[0] there[0] is[0] a[0] supernatural[0] element[0] to[0] hearts[0] but[0] although[0] it[0] is[0] key[0] to[0] the[0] plot[0] it[0] is[0] not[0] prominent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like " stand by me " , this is a mostly character-driven film , and as such it benefits greatly from superb casting . 	like " stand by me " , this is a mostly character-driven film , and as such it benefits greatly from superb casting .	3	-1	 like[1] stand[0] by[0] me[0] this[0] is[0] a[0] mostly[0] character[0] driven[0] film[0] and[0] as[0] such[0] it[0] benefits[0] greatly[2] from[0] superb[0] casting[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yelchin is very good as bobby , finding a good mix of innocence and resignation . 	yelchin is very good as bobby , finding a good mix of innocence and resignation .	3	-2	 yelchin[0] is[0] very[0] good[1][1 LastWordBoosterStrength] as[0] bobby[0] finding[0] a[0] good[1] mix[0] of[0] innocence[1] and[0] resignation[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
more splendid still is boorem , whom i praised highly for her work in " along came a spider " and who is simply radiant here as carol . 	more splendid still is boorem , whom i praised highly for her work in " along came a spider " and who is simply radiant here as carol .	3	-1	 more[0] splendid[2] still[0] is[0] boorem[0] whom[0] i[0] praised[2] highly[0] for[0] her[0] work[0] in[0] along[0] came[0] a[0] spider[0] and[0] who[0] is[0] simply[0] radiant[2] here[0] as[0] carol[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
