as much as i wanted to like this film as i went into it , the more pleased i was when i left . 	Translation	Positive	Negative	EmotionRationale
first , getting through all the usual lines of newspaper glitz : " if you liked scream , you'll love wild things ! " 	first , getting through all the usual lines of newspaper glitz : " if you liked scream , you'll love wild things !<br> "	3	-4	 first[0] getting[0] through[0] all[0] the[0] usual[0] lines[0] of[0] newspaper[0] glitz[0] if[0] you[0] liked[2] scream[-3] you'll[0] love[2] wild[0] things[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 " campbell gives a stunning performance ! " 	 " campbell gives a stunning performance !<br> "	1	-1	 campbell[0] gives[0] a[0] stunning[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " this twisty plot will have you dazzled for days ! " 	 " this twisty plot will have you dazled for days !<br> "	1	-1	 this[0] twisty[0] plot[0] will[0] have[0] you[0] dazzled/dazled[0] for[0] days[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( oh yeah , the day a newspaper uses these is the day neve campbell falls in love with me ) 	 ( oh yeah , the day a newspaper uses these is the day neve campbell falls in love with me )	3	-1	 oh[0] yeah[0] the[0] day[0] a[0] newspaper[0] uses[0] these[0] is[0] the[0] day[0] neve[0] campbell[0] falls[0] in[0] love[2] with[0] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now , onto more serious stuff ( and with this film , i mean that in nearly a sarcastic way ) . 	now , onto more serious stuff ( and with this film , i mean that in nearly a sarcastic way ) .	1	-3	 now[0] onto[0] more[0] serious[-1] stuff[0] and[0] with[0] this[0] film[0] i[0] mean[0] that[0] in[0] nearly[0] a[0] sarcastic[-2] way[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
wild things has single-handedly broken down the rules surrounding the r rating from the mpaa . 	wild things has single-handedly broken down the rules surrounding the are rating from the mpa .	1	-2	 wild[0] things[0] has[0] single[0] handedly[0] broken[-1] down[0] the[0] rules[0] surrounding[0] the[0] r[0] rating[0] from[0] the[0] mpaa/mpa[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm not saying that in a bad way , but when you see this film , you may be shocked by what you see . 	i'm not saying that in a bad way , but when you see this film , you may be shocked by what you see .	1	-3	 i'm[0] not[0] saying[0] that[0] in[0] a[0] bad[-1] way[0] but[0] when[0] you[0] see[0] this[0] film[0] you[0] may[0] be[0] shocked[-2] by[0] what[0] you[0] see[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , perhaps the mpaa was pleased by the film's charming cast and tricky plot , that they let the film slide with an r rating . 	however , perhaps the mpa was pleased by the film's charming cast and tricky plot , that they let the film slide with an are rating .	2	-2	 however[0] perhaps[0] the[0] mpaa/mpa[0] was[0] pleased[1] by[0] the[0] film's[0] charming[1] cast[0] and[0] tricky[-1] plot[0] that[0] they[0] let[0] the[0] film[0] slide[0] with[0] an[0] r[0] rating[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
being mormon , i'm bound to hear an uproar from religious zealots warning me not to see the film . 	being mormon , i'm bound to hear an uproar from religious zealots warning me not to see the film .	1	-2	 being[0] mormon[0] i'm[0] bound[0] to[0] hear[0] an[0] uproar[-1] from[0] religious[0] zealots[0] warning[0] me[0] not[0] to[0] see[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
trouble is , i have already seen it . 	trouble is , i have already seen it .	1	-2	 trouble[-1] is[0] i[0] have[0] already[0] seen[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
