much ballyhoo has been made over this new version of " lolita , " made in a time when one would think that a faithful adaptation of the infamous novel could be made , over its use of pedophilia , and as such , it's important to address it straight-forwardly , before any other ideals such as goodness and themes can be discussed , as this film has been in film limbo for a number of years , lying around in vaults san a distributor , and having critics waiting to either hail it a masterpiece or call it anticlimactic horseshit . 	Translation	Positive	Negative	EmotionRationale
when seeing this film , after all the hoopla , keeping in mind that there are people , namely me , who are fans of the novel , who have been eagerly awaiting this flick since its creation . . . well , 	when seeing this film , after all the hoopla , keeping in mind that there are people , namely me , who are fans of the novel , who have been eagerly awaiting this flick since its creation .<br> .<br> .<br> well ,	1	-1	 when[0] seeing[0] this[0] film[0] after[0] all[0] the[0] hoopla[0] keeping[0] in[0] mind[0] that[0] there[0] are[0] people[0] namely[0] me[0] who[0] are[0] fans[0] of[0] the[0] novel[0] who[0] have[0] been[0] eagerly[0] awaiting[0] this[0] flick[0] since[0] its[0] creation[0] [[Sentence=-1,1=word max, 1-5]] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you just have to wonder why no one really picked it up for distribution . 	you just have to wonder why no one really picked it up for distribution .	1	-1	 you[0] just[0] have[0] to[0] wonder[0] why[0] no[0] one[0] really[0] picked[0] it[0] up[0] for[0] distribution[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what's even worse is that seeing this " lolita , " especially the first time and if you're familiar with anything " lolita , " is admittingly very anticlimactic . 	what's even worse is that seeing this " lolita , " especially the first time and if you're familiar with anything " lolita , " is admittingly very anticlimactic .	1	-3	 what's[0] even[0] worse[-2] is[0] that[0] seeing[0] this[0] lolita[0] especially[0] the[0] first[0] time[0] and[0] if[0] you're[0] familiar[0] with[0] anything[0] lolita[0] is[0] admittingly[0] very[0] anticlimactic[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is a real pity because when you really sit down to watch this film , ignoring all the crap that has preceeded it , it's really quite a film , perhaps the best film by director adrian lyne ( although , really , look at its competition : " flashdance , " " fatal attraction , " and " indecent proposal " ) , at least besides " jacob's ladder . " 	this is a real pity because when you really sit down to watch this film , ignoring all the crap that has preceded it , it's really quite a film , perhaps the best film by director adrian lyne ( although , really , look at its competition : " flashdance , " " fatal attraction , " and " indecent proposal " ) , at least besides " jacob's ladder .<br> "	2	-3	 this[0] is[0] a[0] real[0] pity[-1] because[0] when[0] you[0] really[0] sit[0] down[0] to[0] watch[0] this[0] film[0] ignoring[0] all[0] the[0] crap[-2] that[0] has[0] preceeded/preceded[0] it[0] it's[0] really[0] quite[0] a[0] film[0] perhaps[0] the[0] best[1] film[0] by[0] director[0] adrian[0] lyne[0] although[0] really[0] look[0] at[0] its[0] competition[0] flashdance[0] fatal[-2] attraction[1] and[0] indecent[-2] proposal[0] at[0] least[0] besides[0] jacob's[0] ladder[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i've seen this " lolita " twice : the first time , i wasn't so blown away . 	i've seen this " lolita " twice : the first time , i wasn't so blown away .	1	-1	 i've[0] seen[0] this[0] lolita[0] twice[0] the[0] first[0] time[0] i[0] wasn't[0] so[0] blown[0] away[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seemed overly dramatic and surprisingly unaffecting . 	it seemed overly dramatic and surprisingly unaffecting .	1	-1	 it[0] seemed[0] overly[0] dramatic[0] and[0] surprisingly[0] unaffecting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the second time , not really thinking about how i've waited for what seems like forever to see it and how i'm seeing it on a tv set on a premium cable channel and not a giant movie theatre , it really affected me emotionally . 	the second time , not really thinking about how i've waited for what seems like forever to see it and how i'm seeing it on a tv set on a premium cable channel and not a giant movie theatre , it really affected me emotionally .	2	-1	 the[0] second[0] time[0] not[0] really[0] thinking[0] about[0] how[0] i've[0] waited[0] for[0] what[0] seems[0] like[1] forever[0] to[0] see[0] it[0] and[0] how[0] i'm[0] seeing[0] it[0] on[0] a[0] tv[0] set[0] on[0] a[0] premium[0] cable[0] channel[0] and[0] not[0] a[0] giant[0] movie[0] theatre[0] it[0] really[0] affected[0] me[0] emotionally[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story itself is a surprisingly heartbreaking one , which is why it's such a good novel , and why this is such a good film . 	the story itself is a surprisingly heartbreaking one , which is why it's such a good novel , and why this is such a good film .	2	-4	 the[0] story[0] itself[0] is[0] a[0] surprisingly[0] heartbreaking[-3] one[0] which[0] is[0] why[0] it's[0] such[0] a[0] good[1] novel[0] and[0] why[0] this[0] is[0] such[0] a[0] good[1] film[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the story of a pedophile obsessed with a young 14-year old girl named dolores a . k . a . lolita is great because it's not trash for the perverted but because it's about human obsession with things that are out of one's reach . 	the story of a pedophile obsessed with a young 14-year old girl named dolores a .<br> k .<br> a .<br> lolita is great because it's not trash for the perverted but because it's about human obsession with things that are out of one's reach .	3	-3	 the[0] story[0] of[0] a[0] pedophile[0] obsessed[-2] with[0] a[0] young[0] 14[0] year[0] old[0] girl[0] named[0] dolores[0] a[0] [[Sentence=-3,1=word max, 1-5]] k[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] lolita[0] is[0] great[2] because[0] it's[0] not[0] trash[-1][NegatedDueToPreviousWord] for[0] the[0] perverted[-1] but[0] because[0] it's[0] about[0] human[0] obsession[-2] with[0] things[0] that[0] are[0] out[0] of[0] one's[0] reach[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
its protagonist , the comically-named humbert humbert , is not your average pedophile , but a seriously wounded human being who embodies how we are all destroyed by our sick obsessions and idosyncrasies . 	its protagonist , the comically-named humbert humbert , is not your average pedophile , but a seriously wounded human being who embodies how we are all destroyed by our sick obsessions and idosyncrasies .	1	-3	 its[0] protagonist[0] the[0] comically[0] named[0] humbert[0] humbert[0] is[0] not[0] your[0] average[0] pedophile[0] but[0] a[0] seriously[0] wounded[-1] human[0] being[0] who[0] embodies[0] how[0] we[0] are[0] all[0] destroyed[-2] by[0] our[0] sick[-1] obsessions[-2] and[0] idosyncrasies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
