of the major horror sub-genres , vampire movies are easily the most adaptable . 	Translation	Positive	Negative	EmotionRationale
think about it . 	think about it .	1	-1	 think[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frankenstein movies haven't changed all that much because they still need that mad-scientist-in-bavarian-castle setting . 	frankenstein movies haven't changed all that much because they still need that mad-scientist-in-bavarian-castle setting .	1	-2	 frankenstein[0] movies[0] haven't[0] changed[0] all[0] that[0] much[0] because[0] they[0] still[0] need[0] that[0] mad[-1] scientist[0] in[0] bavarian[0] castle[0] setting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you made a frankenstein movie today , you'd have to have the monster be a virus or something -- and outside of michael j . fox , there aren't any actors that could play a virus convincingly . 	if you made a frankenstein movie today , you'd have to have the monster be a virus or something - and outside of michael j .<br> fox , there aren't any actors that could play a virus convincingly .	1	-2	 if[0] you[0] made[0] a[0] frankenstein[0] movie[0] today[0] you'd[0] have[0] to[0] have[0] the[0] monster[-1] be[0] a[0] virus[0] or[0] something[0] and[0] outside[0] of[0] michael[0] j[0] [[Sentence=-2,1=word max, 1-5]] fox[0] there[0] aren't[0] any[0] actors[0] that[0] could[0] play[0] a[0] virus[0] convincingly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
movies about mummies would still have to be set in egypt . 	movies about mummies would still have to be set in egypt .	1	-1	 movies[0] about[0] mummies[0] would[0] still[0] have[0] to[0] be[0] set[0] in[0] egypt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's not much you can do with werewolves except take them to london or paris , unless you want to have a teenage werewolf or something . 	there's not much you can do with werewolves except take them to london or paris , unless you want to have a teenage werewolf or something .	1	-1	 there's[0] not[0] much[0] you[0] can[0] do[0] with[0] werewolves[0] except[0] take[0] them[0] to[0] london[0] or[0] paris[0] unless[0] you[0] want[0] to[0] have[0] a[0] teenage[0] werewolf[0] or[0] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( and there's that michael j . fox thing again . ) 	 ( and there's that michael j .<br> fox thing again .<br> )	1	-1	 and[0] there's[0] that[0] michael[0] j[0] [[Sentence=-1,1=word max, 1-5]] fox[0] thing[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but you can have vampires do anything , and you can place them in any genre you want , just about . 	but you can have vampires do anything , and you can place them in any genre you want , just about .	1	-1	 but[0] you[0] can[0] have[0] vampires[0] do[0] anything[0] and[0] you[0] can[0] place[0] them[0] in[0] any[0] genre[0] you[0] want[0] just[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can have traditional vampire movies ( bram stoker's dracula ) or have the anne rice version ( interview with the vampire ) , or play it for laughs ( vampire in brooklyn ) . 	you can have traditional vampire movies ( bram stoker's dracula ) or have the anne rice version ( interview with the vampire ) , or play it for laughs ( vampire in brooklyn ) .	2	-1	 you[0] can[0] have[0] traditional[0] vampire[0] movies[0] bram[0] stoker's[0] dracula[0] or[0] have[0] the[0] anne[0] rice[0] version[0] interview[0] with[0] the[0] vampire[0] or[0] play[0] it[0] for[0] laughs[1] vampire[0] in[0] brooklyn[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you can put vampires in locales from sunny southern california ( the lost boys ) to squalid mexican dives ( from dusk till dawn ) to your local high school ( buffy , the vampire slayer ) . 	you can put vampires in locales from sunny southern california ( the lost boys ) to squalid mexican dives ( from dusk till dawn ) to your local high school ( buffy , the vampire slayer ) .	2	-2	 you[0] can[0] put[0] vampires[0] in[0] locales[0] from[0] sunny[1] southern[0] california[0] the[0] lost[0] boys[0] to[0] squalid[0] mexican[0] dives[0] from[0] dusk[0] till[0] dawn[0] to[0] your[0] local[0] high[0] school[0] buffy[0] the[0] vampire[0] slayer[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
were it not redundant , you could have a movie about a law firm full of vampires . 	were it not redundant , you could have a movie about a law firm full of vampires .	2	-1	 were[0] it[0] not[0] redundant[-1][NegatedDueToPreviousWord] you[0] could[0] have[0] a[0] movie[0] about[0] a[0] law[0] firm[0] full[0] of[0] vampires[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
