george little ( jonathan lipnicki ) wants a little brother . 	Translation	Positive	Negative	EmotionRationale
after mr . and mrs . little ( hugh laurie and geena davis ) visit the orphange , they decide to adopt stuart , a talking mouse ( voiced by michael j . fox ) . 	after mr .<br> and mrs .<br> little ( hugh laurie and geena davis ) visit the orphange , they decide to adopt stuart , a talking mouse ( voiced by michael j .<br> fox ) .	1	-1	 after[0] mr[0] [[Sentence=-1,1=word max, 1-5]] and[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] little[0] hugh[0] laurie[0] and[0] geena[0] davis[0] visit[0] the[0] orphange[0] they[0] decide[0] to[0] adopt[0] stuart[0] a[0] talking[0] mouse[0] voiced[0] by[0] michael[0] j[0] [[Sentence=-1,1=word max, 1-5]] fox[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
george isn't so fond of his new brother when stuart arrives at the little house , and neither is snowbell the family cat ( voiced by nathan lane ) . 	george isn't so fond of his new brother when stuart arrives at the little house , and neither is snowbell the family cat ( voiced by nathan lane ) .	1	-3	 george[0] isn't[0] so[0] fond[2][NegatedDueToPreviousWord] of[0] his[0] new[0] brother[0] when[0] stuart[0] arrives[0] at[0] the[0] little[0] house[0] and[0] neither[0] is[0] snowbell[0] the[0] family[0] cat[0] voiced[0] by[0] nathan[0] lane[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
george and stuart eventually bond while preparing for a remote control boat race , but snowbell wants stuart out of the house ( he's unable to live with the taunts of other neighborhood felines saying it's ridiculous that a mouse has a pet cat ) . 	george and stuart eventually bond while preparing for a remote control boat race , but snowbell wants stuart out of the house ( he's unable to live with the taunts of other neighborhood felines saying it's ridiculous that a mouse has a pet cat ) .	1	-3	 george[0] and[0] stuart[0] eventually[0] bond[0] while[0] preparing[0] for[0] a[0] remote[0] control[0] boat[0] race[0] but[0] snowbell[0] wants[0] stuart[0] out[0] of[0] the[0] house[0] he's[0] unable[0] to[0] live[0] with[0] the[0] taunts[-1] of[0] other[0] neighborhood[0] felines[0] saying[0] it's[0] ridiculous[-2] that[0] a[0] mouse[0] has[0] a[0] pet[0] cat[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
stuart little is a mix of live action and computer generated imagery ( cgi ) . 	stuart little is a mix of live action and computer generated imagery ( cgi ) .	1	-1	 stuart[0] little[0] is[0] a[0] mix[0] of[0] live[0] action[0] and[0] computer[0] generated[0] imagery[0] cgi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the character of stuart , while obviously a computer generated image , grows on you as the film progresses and you'll soon see him as much more than a mere special effect . 	the character of stuart , while obviously a computer generated image , grows on you as the film progresses and you'll soon see him as much more than a mere special effect .	2	-1	 the[0] character[0] of[0] stuart[0] while[0] obviously[0] a[0] computer[0] generated[0] image[0] grows[0] on[0] you[0] as[0] the[0] film[0] progresses[0] and[0] you'll[0] soon[0] see[0] him[0] as[0] much[0] more[0] than[0] a[0] mere[0] special[1] effect[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is also a great deal of animal training involved with this film , as many of the " supporting cast " are actual cats ( with computer animated mouths so they can speak ) . 	there is also a great deal of animal training involved with this film , as many of the " supporting cast " are actual cats ( with computer animated mouths so they can speak ) .	3	-1	 there[0] is[0] also[0] a[0] great[2] deal[0] of[0] animal[0] training[0] involved[0] with[0] this[0] film[0] as[0] many[0] of[0] the[0] supporting[1] cast[0] are[0] actual[0] cats[0] with[0] computer[0] animated[0] mouths[0] so[0] they[0] can[0] speak[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's fascinating to watch these cats give performances without an actual mouse to interact with . 	it's fascinating to watch these cats give performances without an actual mouse to interact with .	1	-1	 it's[0] fascinating[0] to[0] watch[0] these[0] cats[0] give[0] performances[0] without[0] an[0] actual[0] mouse[0] to[0] interact[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stuart little is a charming family film . 	stuart little is a charming family film .	2	-1	 stuart[0] little[0] is[0] a[0] charming[1] family[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are some great laughs in the movie ( with a script co-written by the sixth sense's m . night shyamalan no less ! ) , 	there are some great laughs in the movie ( with a script co-written by the sixth sense's m .<br> night shyamalan no less !<br> ) ,	2	-3	 there[0] are[0] some[0] great[2][-1 LastWordBoosterStrength] laughs[1] in[0] the[0] movie[0] with[0] a[0] script[0] co[0] written[0] by[0] the[0] sixth[0] sense's[0] m[0] [[Sentence=-1,2=word max, 1-5]] night[0] shyamalan[-2] no[0] less[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
some moments that can only be described as " too cute " ( the boat race sequence is what won me over ) and even the majority of the one-liners ( common nowadays in children's films or films featuring nathan lane ) are tolerable . 	some moments that can only be described as " too cute " ( the boat race sequence is what won me over ) and even the majority of the one-liners ( common nowadays in children's films or films featuring nathan lane ) are tolerable .	2	-1	 some[0] moments[0] that[0] can[0] only[0] be[0] described[0] as[0] too[0] cute[1] the[0] boat[0] race[0] sequence[0] is[0] what[0] won[0] me[0] over[0] and[0] even[0] the[0] majority[0] of[0] the[0] one[0] liners[0] common[0] nowadays[0] in[0] children's[0] films[0] or[0] films[0] featuring[0] nathan[0] lane[0] are[0] tolerable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
