though it is a fine piece of filmmaking , there's something about elizabeth . . . that 	Translation	Positive	Negative	EmotionRationale
left me a bit cold , and i think it is something that bugs me quite often in films , particularly these days ; i just didn't care about the characters . 	left me a bit cold , and i think it is something that bugs me quite often in films , particularly these days ; i just didn't care about the characters .	2	-2	 left[0] me[0] a[0] bit[0] cold[-1] and[0] i[0] think[0] it[0] is[0] something[0] that[0] bugs[0] me[0] quite[0] often[0] in[0] films[0] particularly[0] these[0] days[0] i[0] just[0] didn't[0] care[1] about[0] the[0] characters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
to me , the first and foremost job of a filmmaker is to create characters ( be they imagined or historical as the case may be ) that the audience gives a hoot about . 	to me , the first and foremost job of a filmmaker is to create characters ( be they imagined or historical as the case may be ) that the audience gives a hoot about .	1	-1	 to[0] me[0] the[0] first[0] and[0] foremost[0] job[0] of[0] a[0] filmmaker[0] is[0] to[0] create[0] characters[0] be[0] they[0] imagined[0] or[0] historical[0] as[0] the[0] case[0] may[0] be[0] that[0] the[0] audience[0] gives[0] a[0] hoot[0] about[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and though elizabeth works well on many levels , it falls short of excellence because of that very reason . 	and though elizabeth works well on many levels , it falls short of excellence because of that very reason .	4	-1	 and[0] though[0] elizabeth[0] works[0] well[0] on[0] many[0] levels[0] it[0] falls[0] short[0] of[0] excellence[3] because[0] of[0] that[0] very[0] reason[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
elizabeth takes place in england in 1554 , as queen mary , half sister of elizabeth and a monarch on the side of catholicism is dying . 	elizabeth takes place in england in 1554 , as queen mary , half sister of elizabeth and a monarch on the side of catholicism is dying .	1	-2	 elizabeth[0] takes[0] place[0] in[0] england[0] in[0] 1554[0] as[0] queen[0] mary[0] half[0] sister[0] of[0] elizabeth[0] and[0] a[0] monarch[0] on[0] the[0] side[0] of[0] catholicism[0] is[0] dying[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
before she dies , though , she cannot bear to sign a document which would condemn her half sister to death because of her heretical protestant beliefs . 	before she dies , though , she cannot bear to sign a document which would condemn her half sister to death because of her heretical protestant beliefs .	1	-3	 before[0] she[0] dies[0] though[0] she[0] cannot[0] bear[0] to[0] sign[0] a[0] document[0] which[0] would[0] condemn[-1][--1 LastWordBoosterStrength] her[0] half[0] sister[0] to[0] death[-2] because[0] of[0] her[0] heretical[0] protestant[-1] beliefs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as a result , amidst much anger within the council , elizabeth becomes the queen of england . 	as a result , amidst much anger within the council , elizabeth becomes the queen of england .	1	-4	 as[0] a[0] result[0] amidst[0] much[0] anger[-3] within[0] the[0] council[0] elizabeth[0] becomes[0] the[0] queen[0] of[0] england[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film chronicles her rise to power as she fights for a unified church of england and tries to bring order to her personal and political life . 	the film chronicles her rise to power as she fights for a unified church of england and tries to bring order to her personal and political life .	1	-3	 the[0] film[0] chronicles[0] her[0] rise[0] to[0] power[0] as[0] she[0] fights[-2] for[0] a[0] unified[0] church[0] of[0] england[0] and[0] tries[0] to[0] bring[0] order[0] to[0] her[0] personal[0] and[0] political[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
much of the film deals with elizabeth's love for lord robert , a mysterious man who thrusts his lordship onto many a woman as he continues to proclaim his love for the queen . 	much of the film deals with elizabeth's love for lord robert , a mysterious man who thrusts his lordship onto many a woman as he continues to proclaim his love for the queen .	3	-1	 much[0] of[0] the[0] film[0] deals[0] with[0] elizabeth's[0] love[2] for[0] lord[0] robert[0] a[0] mysterious[0] man[0] who[0] thrusts[0] his[0] lordship[0] onto[0] many[0] a[0] woman[0] as[0] he[0] continues[0] to[0] proclaim[0] his[0] love[2] for[0] the[0] queen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is much ado about her lack of a husband , and political pressures from spain and france enter into the equation . 	there is much ado about her lack of a husband , and political pressures from spain and france enter into the equation .	1	-2	 there[0] is[0] much[0] ado[0] about[0] her[0] lack[-1] of[0] a[0] husband[0] and[0] political[0] pressures[-1] from[0] spain[0] and[0] france[0] enter[0] into[0] the[0] equation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the problem with the film lies with this as its centerpiece , as love interests are such a character driven element . 	the problem with the film lies with this as its centerpiece , as love interests are such a character driven element .	3	-3	 the[0] problem[-1] with[0] the[0] film[0] lies[-2] with[0] this[0] as[0] its[0] centerpiece[0] as[0] love[2] interests[1] are[0] such[0] a[0] character[0] driven[0] element[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
