synopsis : shrek ( myers ) is an ogre living in contented solitude deep in the heart of a forest , until his home is invaded by fairy tale creatures fleeing the rule of the evil lord farquaad ( john lithgow ) . 	Translation	Positive	Negative	EmotionRationale
farquaad agrees to relocate the pests , on the condition that shrek rescues princess fiona ( diaz ) -- whom farquaad desires to wed -- from a far-off castle . 	farquad agrees to relocate the pests , on the condition that shrek rescues princess fiona ( diaz ) - whom farquad desires to wed - from a far-off castle .	1	-1	 farquaad/farquad[0] agrees[0] to[0] relocate[0] the[0] pests[0] on[0] the[0] condition[0] that[0] shrek[0] rescues[0] princess[0] fiona[0] diaz[0] whom[0] farquaad/farquad[0] desires[0] to[0] wed[0] from[0] a[0] far[0] off[0] castle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
grudgingly , shrek sets out , joined in his quest by an unwanted companion , donkey ( murphy ) . 	grudgingly , shrek sets out , joined in his quest by an unwanted companion , donkey ( murphy ) .	1	-1	 grudgingly[0] shrek[0] sets[0] out[0] joined[0] in[0] his[0] quest[0] by[0] an[0] unwanted[0] companion[0] donkey[0] murphy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
review : one memorable aspect of disney's " aladdin " was that it finally gave robin williams a character -- the genie -- to best take advantage of his comic talents . 	review : one memorable aspect of disney's " aladdin " was that it finally gave robin williams a character - the genie - to best take advantage of his comic talents .	2	-1	 review[0] one[0] memorable[0] aspect[0] of[0] disney's[0] aladdin[0] was[0] that[0] it[0] finally[0] gave[0] robin[0] williams[0] a[0] character[0] the[0] genie[0] to[0] best[1] take[0] advantage[0] of[0] his[0] comic[0] talents[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " shrek " does the same for eddie murphy ; ironically , though , murphy's ideal vessel turns out to be an ass . 	 " shrek " does the same for eddie murphy ; ironically , though , murphy's ideal vessel turns out to be an ass .	1	-2	 shrek[0] does[0] the[0] same[0] for[0] eddie[0] murphy[0] ironically[-1] though[0] murphy's[0] ideal[0] vessel[0] turns[0] out[0] to[0] be[0] an[0] ass[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all the same , " shrek " does represent murphy's best comic outing in years , and as donkey he steals all the best lines . 	all the same , " shrek " does represent murphy's best comic outing in years , and as donkey he steals all the best lines .	2	-3	 all[0] the[0] same[0] shrek[0] does[0] represent[0] murphy's[0] best[1] comic[0] outing[0] in[0] years[0] and[0] as[0] donkey[0] he[0] steals[-2] all[0] the[0] best[1] lines[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
for instance , after getting belted with pixie dust while trying to conceal his nature as a magical creature , donkey soars into the air and scoffs , " now i'm a flying talking donkey ! " 	for instance , after getting belted with pixie dust while trying to conceal his nature as a magical creature , donkey soars into the air and scoffs , " now i'm a flying talking donkey !<br> "	1	-2	 for[0] instance[0] after[0] getting[0] belted[0] with[0] pixie[0] dust[0] while[0] trying[0] to[0] conceal[-1] his[0] nature[0] as[0] a[0] magical[0] creature[0] donkey[0] soars[0] into[0] the[0] air[0] and[0] scoffs[-1] now[0] i'm[0] a[0] flying[0] talking[0] donkey[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and despite its many contributors , the script for " shrek " is full of such comic gems . 	and despite its many contributors , the script for " shrek " is full of such comic gems .	1	-1	 and[0] despite[0] its[0] many[0] contributors[0] the[0] script[0] for[0] shrek[0] is[0] full[0] of[0] such[0] comic[0] gems[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
myers is delightful in more of a straight man role , and lithgow also gets some great moments ( watch for a hilarious repartee with the gingerbread man ) . 	myers is delightful in more of a straight man role , and lithgow also gets some great moments ( watch for a hilarious repartee with the gingerbread man ) .	3	-1	 myers[0] is[0] delightful[2] in[0] more[0] of[0] a[0] straight[0] man[0] role[0] and[0] lithgow[0] also[0] gets[0] some[0] great[2][-1 LastWordBoosterStrength] moments[0] watch[0] for[0] a[0] hilarious[2] repartee[0] with[0] the[0] gingerbread[0] man[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " shrek " takes great pleasure in lampooning fairy tales and nursery rhymes of all sorts , and reserves a few delightful knocks at disney in the bargain . 	 " shrek " takes great pleasure in lampooning fairy tales and nursery rhymes of all sorts , and reserves a few delightful knocks at disney in the bargain .	4	-1	 shrek[0] takes[0] great[2] pleasure[2][+1 MultiplePositiveWords] in[0] lampooning[0] fairy[0] tales[0] and[0] nursery[0] rhymes[0] of[0] all[0] sorts[0] and[0] reserves[0] a[0] few[0] delightful[2] knocks[0] at[0] disney[0] in[0] the[0] bargain[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
things do go somewhat astray during the film's middle segment , which concentrates too much on the main characters at the expense of some of the terrific fairy tale satire which is the movie's greatest strength . 	things do go somewhat astray during the film's middle segment , which concentrates too much on the main characters at the expense of some of the terrific fairy tale satire which is the movie's greatest strength .	4	-2	 things[0] do[0] go[0] somewhat[0] astray[-1] during[0] the[0] film's[0] middle[0] segment[0] which[0] concentrates[0] too[0] much[0] on[0] the[0] main[0] characters[0] at[0] the[0] expense[-1] of[0] some[0] of[0] the[0] terrific[3] fairy[0] tale[0] satire[0] which[0] is[0] the[0] movie's[0] greatest[2] strength[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
