on april 12th , 1912 , the most astonishing shipwreck in the history of the world occurred . 	Translation	Positive	Negative	EmotionRationale
on that fateful night , the titanic sunk . 	on that fateful night , the titanic sunk .	1	-1	 on[0] that[0] fateful[0] night[0] the[0] titanic[0] sunk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , more than 50 years later , a film has been made . 	now , more than 50 years later , a film has been made .	1	-1	 now[0] more[0] than[0] 50[0] years[0] later[0] a[0] film[0] has[0] been[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what a film that is . 	and what a film that is .	1	-1	 and[0] what[0] a[0] film[0] that[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
james cameron's newest movie is a landmark in storytelling , emotion , and special effects . 	james cameron's newest movie is a landmark in storytelling , emotion , and special effects .	2	-1	 james[0] cameron's[0] newest[0] movie[0] is[0] a[0] landmark[0] in[0] storytelling[0] emotion[0] and[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it starts in the present , where bill paxton and his band of scientists explore the depths of the ship's wreckage . 	it starts in the present , where bill paxton and his band of scientists explore the depths of the ship's wreckage .	1	-2	 it[0] starts[0] in[0] the[0] present[0] where[0] bill[0] paxton[0] and[0] his[0] band[0] of[0] scientists[0] explore[0] the[0] depths[0] of[0] the[0] ship's[0] wreckage[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
exploring an old chest , paxton comes across a nude drawing of a young woman . 	exploring an old chest , paxton comes across a nude drawing of a young woman .	1	-1	 exploring[0] an[0] old[0] chest[0] paxton[0] comes[0] across[0] a[0] nude[0] drawing[0] of[0] a[0] young[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the drawing is televised and the woman ( gloria stuart ) whose portrait the painting is of comes forward and slowly but surely , the ship's story is told . 	the drawing is televised and the woman ( gloria stuart ) whose portrait the painting is of comes forward and slowly but surely , the ship's story is told .	2	-1	 the[0] drawing[0] is[0] televised[0] and[0] the[0] woman[0] gloria[1] stuart[0] whose[0] portrait[0] the[0] painting[0] is[0] of[0] comes[0] forward[0] and[0] slowly[0] but[0] surely[0] the[0] ship's[0] story[0] is[0] told[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
leonardo dicaprio stars as jack dawson , a young man with a sketch book , a heart of gold , an intelligent mind , and not much else . he wins his ticket aboard titanic in a poker game , and is the perfect match for rose dewitt bukater ( kate winslett ) . 	leonardo dicaprio stars as jack dawson , a young man with a sketch book , a heart of gold , an intelligent mind , and not much else .<br> he wins his ticket aboard titanic in a poker game , and is the perfect match for rose dewitt bukater ( kate winslett ) .	2	-1	 leonardo[0] dicaprio[0] stars[0] as[0] jack[0] dawson[0] a[0] young[0] man[0] with[0] a[0] sketch[0] book[0] a[0] heart[0] of[0] gold[0] an[0] intelligent[1] mind[0] and[0] not[0] much[0] else[0] [[Sentence=-1,2=word max, 1-5]] he[0] wins[0] his[0] ticket[0] aboard[0] titanic[0] in[0] a[0] poker[0] game[0] and[0] is[0] the[0] perfect[1] match[0] for[0] rose[0] dewitt[0] bukater[0] kate[0] winslett[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she grows to love jack , but seems unable to escape the slimy clutches of her arranged fiance' , cal hockley ( billy zane ) . 	she grows to love jack , but seems unable to escape the slimy clutches of her arranged fiance' , cal hockley ( billy zane ) .	3	-1	 she[0] grows[0] to[0] love[2] jack[0] but[0] seems[0] unable[0] to[0] escape[0] the[0] slimy[0] clutches[0] of[0] her[0] arranged[0] fiance'[0] cal[0] hockley[0] billy[0] zane[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film takes its time , and by doing so , makes us care about its characters , and shows us the full aspects of human emotion . 	the film takes its time , and by doing so , makes us care about its characters , and shows us the full aspects of human emotion .	2	-1	 the[0] film[0] takes[0] its[0] time[0] and[0] by[0] doing[0] so[0] makes[0] us[0] care[1] about[0] its[0] characters[0] and[0] shows[0] us[0] the[0] full[0] aspects[0] of[0] human[0] emotion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
