i find most of television so intensely boring that i simply never turn on my set , unless i'm watching a movie . 	Translation	Positive	Negative	EmotionRationale
i don't even have cable , so i went to radio shack to buy an antenna specifically for the purpose of watching " the x-files " every sunday night . 	i don't even have cable , so i went to radio shack to buy an antenna specifically for the purpose of watching " the x-files " every sunday night .	2	-1	 i[0] don't[0] even[0] have[0] cable[0] so[0] i[0] went[0] to[0] radio[0] shack[0] to[0] buy[0] an[0] antenna[0] specifically[0] for[0] the[0] purpose[0] of[0] watching[0] the[0] x[1] files[0] every[0] sunday[0] night[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's the only show that's worth an hour of my time each week ( though , since i don't watch reruns , i'm glad that i have six months of the year to avoid television altogether ) . 	it's the only show that's worth an hour of my time each week ( though , since i don't watch reruns , i'm glad that i have six months of the year to avoid television altogether ) .	2	-2	 it's[0] the[0] only[0] show[0] that's[0] worth[0] an[0] hour[0] of[0] my[0] time[0] each[0] week[0] though[0] since[0] i[0] don't[0] watch[0] reruns[0] i'm[0] glad[1] that[0] i[0] have[0] six[0] months[0] of[0] the[0] year[0] to[0] avoid[-1] television[0] altogether[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i am an avid fan of the show , and have been for about three years now . 	i am an avid fan of the show , and have been for about three years now .	1	-1	 i[0] am[0] an[0] avid[0] fan[0] of[0] the[0] show[0] and[0] have[0] been[0] for[0] about[0] three[0] years[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and i love gillian anderson . 	and i love gillian anderson .	3	-1	 and[0] i[0] love[2] gillian[0] anderson[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the x-files is the film that continues the story where the season finale left off . 	the x-files is the film that continues the story where the season finale left off .	2	-1	 the[0] x[1] files[0] is[0] the[0] film[0] that[0] continues[0] the[0] story[0] where[0] the[0] season[0] finale[0] left[0] off[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is like a two-hour episode , except that there are a lot more special effects , the plot is thicker , and the resolution is more satisfying . 	the film is like a two-hour episode , except that there are a lot more special effects , the plot is thicker , and the resolution is more satisfying .	2	-1	 the[0] film[0] is[0] like[1] a[0] two[0] hour[0] episode[0] except[0] that[0] there[0] are[0] a[0] lot[0] more[0] special[1] effects[0] the[0] plot[0] is[0] thicker[0] and[0] the[0] resolution[0] is[0] more[0] satisfying[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a terrific film , both for fans of the series and for those who have never seen it ( i imagine that viewers unfamiliar with the show will find the film to be solid and riveting entertainment ) . 	this is a terrific film , both for fans of the series and for those who have never seen it ( i imagine that viewers unfamiliar with the show will find the film to be solid and riveting entertainment ) .	4	-2	 this[0] is[0] a[0] terrific[3] film[0] both[0] for[0] fans[0] of[0] the[0] series[0] and[0] for[0] those[0] who[0] have[0] never[0] seen[0] it[0] i[0] imagine[0] that[0] viewers[0] unfamiliar[-1] with[0] the[0] show[0] will[0] find[0] the[0] film[0] to[0] be[0] solid[0] and[0] riveting[0] entertainment[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i expected to like it more than any episode i've seen , and my expectations were met . 	i expected to like it more than any episode i've seen , and my expectations were met .	2	-1	 i[0] expected[0] to[0] like[1] it[0] more[0] than[0] any[0] episode[0] i've[0] seen[0] and[0] my[0] expectations[0] were[0] met[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
actually , the film takes a few risks in its story and plot devices , but , thankfully , the makers managed to do it right . 	actually , the film takes a few risks in its story and plot devices , but , thankfully , the makers managed to do it right .	2	-2	 actually[0] the[0] film[0] takes[0] a[0] few[0] risks[-1] in[0] its[0] story[0] and[0] plot[0] devices[0] but[0] thankfully[1] the[0] makers[0] managed[0] to[0] do[0] it[0] right[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when the finale ended , the fbi branch known as the x-files had been destroyed , and our heroes , mulder ( david duchovny ) and scully ( gillian anderson ) were left stripped of five years of hard work . 	when the finale ended , the fbi branch known as the x-files had been destroyed , and our heroes , mulder ( david duchovny ) and scully ( gillian anderson ) were left stripped of five years of hard work .	3	-3	 when[0] the[0] finale[0] ended[0] the[0] fbi[0] branch[0] known[0] as[0] the[0] x[1] files[0] had[0] been[0] destroyed[-2] and[0] our[0] heroes[2] mulder[0] david[0] duchovny[0] and[0] scully[0] gillian[0] anderson[0] were[0] left[0] stripped[0] of[0] five[0] years[0] of[0] hard[0] work[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
