allen , star of many a brian depalma movie in the early eighties , has a brief , throwaway part towards the end of " out of sight , " as the maid of a crooked financier . 	Translation	Positive	Negative	EmotionRationale
in keeping with her past performances , allen wears little more than a green velvet victoria's secret ensemble which begs the question , did they really need a costume designer for this ? 	in keeping with her past performances , allen wears little more than a green velvet victoria's secret ensemble which begs the question , did they really need a costume designer for this ?	1	-1	 in[0] keeping[0] with[0] her[0] past[0] performances[0] allen[0] wears[0] little[0] more[0] than[0] a[0] green[0] velvet[0] victoria's[0] secret[0] ensemble[0] which[0] begs[0] the[0] question[0] did[0] they[0] really[0] need[0] a[0] costume[0] designer[0] for[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " out of sight " is not likely to secure ms . allen the kind of plaudits bestowed upon pam grier , who likewise returned from out of obscurity to appear in another recent elmore leonard adaptation , " jackie brown , " but it is intriguing to see her name kicking off the " also starring " credits given her limited screen time . 	 " out of sight " is not likely to secure ms .<br> allen the kind of plaudits bestowed upon pam grier , who likewise returned from out of obscurity to appear in another recent elmore leonard adaptation , " jackie brown , " but it is intriguing to see her name kicking off the " also starring " credits given her limited screen time .	2	-2	 out[0] of[0] sight[0] is[0] not[0] likely[0] to[0] secure[1] ms[0] [[Sentence=-1,2=word max, 1-5]] allen[0] the[0] kind[1] of[0] plaudits[0] bestowed[0] upon[0] pam[0] grier[0] who[0] likewise[0] returned[0] from[0] out[0] of[0] obscurity[0] to[0] appear[0] in[0] another[0] recent[0] elmore[0] leonard[0] adaptation[0] jackie[0] brown[0] but[0] it[0] is[0] intriguing[0] to[0] see[0] her[0] name[0] kicking[-1] off[0] the[0] also[0] starring[0] credits[0] given[0] her[0] limited[0] screen[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the real stars of " out of sight " are george clooney ( " batman & robin " by way of " e . r . " ) and jennifer lopez ( " selena " ) , whose winning chemistry , coupled with steven soderbergh's freeze-frame directorial technique , help the film retain the charismatic charm of leonard's original work . 	the real stars of " out of sight " are george clooney ( " batman & robin " by way of " e .<br> are .<br> " ) and jennifer lopez ( " selena " ) , whose winning chemistry , coupled with steven soderbergh's freeze-frame directorial technique , help the film retain the charismatic charm of leonard's original work .	2	-1	 the[0] real[0] stars[0] of[0] out[0] of[0] sight[0] are[0] george[0] clooney[0] batman[0] &[0] robin[0] by[0] way[0] of[0] e[0] [[Sentence=-1,1=word max, 1-5]] r[0] [[Sentence=-1,1=word max, 1-5]] and[0] jennifer[0] lopez[0] selena[0] whose[0] winning[1] chemistry[0] coupled[0] with[0] steven[0] soderbergh's[0] freeze[0] frame[0] directorial[0] technique[0] help[0] the[0] film[0] retain[0] the[0] charismatic[0] charm[1] of[0] leonard's[0] original[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with the success of " get shorty " three years ago , filmmakers have realized that adapting an elmore leonard novel can be an easier proposition than trying to dream up a storyline from scratch . 	with the success of " get shorty " three years ago , filmmakers have realized that adapting an elmore leonard novel can be an easier proposition than trying to dream up a storyline from scratch .	3	-1	 with[0] the[0] success[2] of[0] get[0] shorty[0] three[0] years[0] ago[0] filmmakers[0] have[0] realized[0] that[0] adapting[0] an[0] elmore[0] leonard[0] novel[0] can[0] be[0] an[0] easier[0] proposition[0] than[0] trying[0] to[0] dream[0] up[0] a[0] storyline[0] from[0] scratch[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in " out of sight , " clooney stars as jack foley , a career criminal who specializes in unarmed robbery--he just waltzes into banks and politely makes a withdrawal , claiming that his " partner " ( just another customer it so happens ) will shoot the manager if the teller doesn't comply . 	in " out of sight , " clooney stars as jack foley , a career criminal who specializes in unarmed robbery-he just waltzes into banks and politely makes a withdrawal , claiming that his " partner " ( just another customer it so happens ) will shoot the manager if the teller doesn't comply .	2	-2	 in[0] out[0] of[0] sight[0] clooney[0] stars[0] as[0] jack[0] foley[0] a[0] career[0] criminal[-1] who[0] specializes[1] in[0] unarmed[0] robbery[-1] he[0] just[0] waltzes[0] into[0] banks[0] and[0] politely[0] makes[0] a[0] withdrawal[0] claiming[0] that[0] his[0] partner[0] just[0] another[0] customer[0] it[0] so[0] happens[0] will[0] shoot[-1] the[0] manager[0] if[0] the[0] teller[0] doesn't[0] comply[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for all of jack's nice-guy charm though , he's not very lucky . 	for all of jack's nice-guy charm though , he's not very lucky .	2	-3	 for[0] all[0] of[0] jack's[0] nice[1] guy[0] charm[1] though[0] he's[0] not[0] very[0] lucky[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his latest scam lands him in florida's glades correctional facility . 	his latest scam lands him in florida's glades correctional facility .	1	-1	 his[0] latest[0] scam[0] lands[0] him[0] in[0] florida's[0] glades[0] correctional[0] facility[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
federal marshal karen sisco ( lopez ) coincidentally arrives at the prison just as jack and his buddy ( ving rhames , typically appealing ) are breaking out . 	federal marshal karen sisco ( lopez ) coincidentally arrives at the prison just as jack and his buddy ( ving rhames , typically appealing ) are breaking out .	1	-2	 federal[0] marshal[0] karen[0] sisco[0] lopez[0] coincidentally[0] arrives[0] at[0] the[0] prison[-1] just[0] as[0] jack[0] and[0] his[0] buddy[0] ving[0] rhames[0] typically[0] appealing[0] are[0] breaking[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a brief struggle and jack bundles himself and karen into the trunk of the getaway car . 	there's a brief struggle and jack bundles himself and karen into the trunk of the getaway car .	1	-2	 there's[0] a[0] brief[0] struggle[-1] and[0] jack[0] bundles[0] himself[0] and[0] karen[0] into[0] the[0] trunk[0] of[0] the[0] getaway[0] car[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's in these cramped confines , pressed intimately together , that jack and karen start falling for one another . 	it's in these cramped confines , pressed intimately together , that jack and karen start falling for one another .	1	-2	 it's[0] in[0] these[0] cramped[-1] confines[0] pressed[0] intimately[0] together[0] that[0] jack[0] and[0] karen[0] start[0] falling[0] for[0] one[0] another[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
