[note that followups are directed to rec . arts . movies . current-films and rec . arts . movies . startrek . current 	Translation	Positive	Negative	EmotionRationale
only , not to rec . arts . sf . movies . 	only , not to rec .<br> arts .<br> sf .<br> movies .	1	-1	 only[0] not[0] to[0] rec[0] [[Sentence=-1,1=word max, 1-5]] arts[0] [[Sentence=-1,1=word max, 1-5]] sf[0] [[Sentence=-1,1=word max, 1-5]] movies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
-moderator] 	-moderator]	1	-1	 moderator][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
star trek : first contact a film review by michael dequina copyright 1996 michael dequina 	star trek : first contact a film review by michael dequina copyright 1996 michael dequina	1	-1	 star[0] trek[0] first[0] contact[0] a[0] film[0] review[0] by[0] michael[0] dequina[0] copyright[0] 1996[0] michael[0] dequina[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
star trek : first contact ( pg-13 ) anyone familiar with the series of star trek movies knows of the " even-odd pattern " --the even-numbered installments of the series are good while the odd-numbered ones are , well , not-so-good . 	star trek : first contact ( pg-13 ) anyone familiar with the series of star trek movies knows of the " even-odd pattern " -the even-numbered instalments of the series are good while the odd-numbered ones are , well , not-so-good .	2	-2	 star[0] trek[0] first[0] contact[0] pg[0] -13[0] anyone[0] familiar[0] with[0] the[0] series[0] of[0] star[0] trek[0] movies[0] knows[0] of[0] the[0] even[0] odd[0] pattern[0] the[0] even[0] numbered[0] installments/instalments[0] of[0] the[0] series[0] are[0] good[1] while[0] the[0] odd[0] numbered[0] ones[0] are[0] well[0] not[0] so[0] good[1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the pattern continues with the new star trek : first contact , an energetic sci-fi adventure that ( coincidentally ? ) is the eighth entry in the hugely popular series . 	the pattern continues with the new star trek : first contact , an energetic sci-fi adventure that ( coincidentally ?<br> ) is the eighth entry in the hugely popular series .	1	-1	 the[0] pattern[0] continues[0] with[0] the[0] new[0] star[0] trek[0] first[0] contact[0] an[0] energetic[0] sci[0] fi[0] adventure[0] that[0] coincidentally[0] [[Sentence=-1,1=word max, 1-5]] is[0] the[0] eighth[0] entry[0] in[0] the[0] hugely[0] popular[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this first trek feature to feature only cast members from the late star trek : the next generation television series , captain jean-luc picard ( patrick stewart ) and the rest of the 24th-century crew of the starship enterprise--commander will riker ( jonathan frakes , who also directed ) , android lt . cmdr . 	in this first trek feature to feature only cast members from the late star trek : the next generation television series , captain jean-luc picard ( patrick stewart ) and the rest of the 24th-century crew of the starship enterprise-commander will riker ( jonathan frakes , who also directed ) , android lt .<br> cmdr .	1	-1	 in[0] this[0] first[0] trek[0] feature[0] to[0] feature[0] only[0] cast[0] members[0] from[0] the[0] late[0] star[0] trek[0] the[0] next[0] generation[0] television[0] series[0] captain[0] jean[0] luc[0] picard[0] patrick[0] stewart[0] and[0] the[0] rest[0] of[0] the[0] 24th[0] century[0] crew[0] of[0] the[0] starship[0] enterprise[0] commander[0] will[0] riker[0] jonathan[0] frakes[0] who[0] also[0] directed[0] android[0] lt[0] [[Sentence=-1,1=word max, 1-5]] cmdr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
data ( brent spiner ) , lt . cmdr . 	data ( brent spiner ) , lt .<br> cmdr .	1	-1	 data[0] brent[0] spiner[0] lt[0] [[Sentence=-1,1=word max, 1-5]] cmdr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
geordi laforge ( levar burton ) , lt . cmdr . 	geordi laforge ( levar burton ) , lt .<br> cmdr .	1	-1	 geordi[0] laforge[0] levar[0] burton[0] lt[0] [[Sentence=-1,1=word max, 1-5]] cmdr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
worf ( michael dorn ) , dr . beverly crusher ( gates mcfadden ) , and counselor deanna troi ( marina sirtis ) --travel back to 21st-century earth while doing battle with the borg , a race of cybernetic beings that share a collective mind with the borg queen ( alice krige ) . 	worf ( michael dorn ) , dr .<br> beverly crusher ( gates mcfadden ) , and counselor deanna troi ( marina sirtis ) -travel back to 21st-century earth while doing battle with the borg , a race of cybernetic beings that share a collective mind with the borg queen ( alice krige ) .	1	-2	 worf[0] michael[0] dorn[0] dr[0] [[Sentence=-1,1=word max, 1-5]] beverly[0] crusher[0] gates[0] mcfadden[0] and[0] counselor[0] deanna[0] troi[0] marina[0] sirtis[0] travel[0] back[0] to[0] 21st[0] century[0] earth[0] while[0] doing[0] battle[-1] with[0] the[0] borg[0] a[0] race[0] of[0] cybernetic[0] beings[0] that[0] share[0] a[0] collective[0] mind[0] with[0] the[0] borg[0] queen[0] alice[0] krige[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the borg intend to alter history and assimilate all of humankind into their race--starting with the earth-orbiting crew of the enterprise and a 21st century stowaway ( alfre woodard ) . 	the borg intend to alter history and assimilate all of humankind into their race-starting with the earth-orbiting crew of the enterprise and a 21st century stowaway ( alfre woodard ) .	1	-1	 the[0] borg[0] intend[0] to[0] alter[0] history[0] and[0] assimilate[0] all[0] of[0] humankind[0] into[0] their[0] race[0] starting[0] with[0] the[0] earth[0] orbiting[0] crew[0] of[0] the[0] enterprise[0] and[0] a[0] 21st[0] century[0] stowaway[0] alfre[0] woodard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
