billy bob thornton , who had a sudden rise to fame with 1996's sling blade after spending years as a virtually unknown actor and writer , is becoming one of the most versatile - and most accomplished - american actors around at the moment . 	Translation	Positive	Negative	EmotionRationale
as jacob , the simple but at times very bright loser brother of bill paxton's hank , thornton gives a performance which should leave an indelible mark on all but the most hardened viewers . 	as jacob , the simple but at times very bright loser brother of bill paxton's hank , thornton gives a performance which should leave an indelible mark on all but the most hardened viewers .	1	-3	 as[0] jacob[0] the[0] simple[0] but[0] at[0] times[0] very[0] bright[0] loser[-2] brother[0] of[0] bill[0] paxton's[0] hank[0] thornton[0] gives[0] a[0] performance[0] which[0] should[0] leave[0] an[0] indelible[0] mark[0] on[0] all[0] but[0] the[0] most[0] hardened[0] viewers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
three men , hank ( paxton ) , jacob ( thornton ) and their friend lou ( brent briscoe ) stumble upon a plane wreck which , upon closer inspection , yields a rotting corpse and a bag full of money . 	three men , hank ( paxton ) , jacob ( thornton ) and their friend lou ( brent briscoe ) stumble upon a plane wreck which , upon closer inspection , yields a rotting corpse and a bag full of money .	2	-2	 three[0] men[0] hank[0] paxton[0] jacob[0] thornton[0] and[0] their[0] friend[1] lou[0] brent[0] briscoe[0] stumble[0] upon[0] a[0] plane[0] wreck[-1] which[0] upon[0] closer[0] inspection[0] yields[0] a[0] rotting[0] corpse[0] and[0] a[0] bag[0] full[0] of[0] money[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jacob and lou want to pocket the cash . 	jacob and lou want to pocket the cash .	1	-1	 jacob[0] and[0] lou[0] want[0] to[0] pocket[0] the[0] cash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hank , the smarter - and perhaps more naive - of the three , insists on leaving the money for the authorities to find . 	hank , the smarter - and perhaps more naive - of the three , insists on leaving the money for the authorities to find .	2	-2	 hank[0] the[0] smarter[1] and[0] perhaps[0] more[0] naive[-1] of[0] the[0] three[0] insists[0] on[0] leaving[0] the[0] money[0] for[0] the[0] authorities[0] to[0] find[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
eventually , they agree to keep the cash safe until the plane is found , and then split the money three ways . 	eventually , they agree to keep the cash safe until the plane is found , and then split the money three ways .	2	-1	 eventually[0] they[0] agree[0] to[0] keep[0] the[0] cash[0] safe[1] until[0] the[0] plane[0] is[0] found[0] and[0] then[0] split[0] the[0] money[0] three[0] ways[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
things start going wrong , though , with greed and violence weaving their ways through their plan . 	things start going wrong , though , with greed and violence weaving their ways through their plan .	1	-4	 things[0] start[0] going[0] wrong[-1] though[0] with[0] greed[-2] and[0] violence[-3] weaving[0] their[0] ways[0] through[0] their[0] plan[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
disaster is sure to strike . 	disaster is sure to strike .	1	-2	 disaster[-1] is[0] sure[0] to[0] strike[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director sam raimi , of the evil dead and darkman fame , has made an excellent and thought-provoking film , worlds away from the comic horror films which made his name . 	director sam raimi , of the evil dead and darkman fame , has made an excellent and thought-provoking film , worlds away from the comic horror films which made his name .	4	-4	 director[0] sam[0] raimi[0] of[0] the[0] evil[-2] dead[-2][-1 MultiplePositiveWords] and[0] darkman[0] fame[0] has[0] made[0] an[0] excellent[3] and[0] thought[0] provoking[0] film[0] worlds[0] away[0] from[0] the[0] comic[0] horror[-3] films[0] which[0] made[0] his[0] name[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
while there are a couple of moments which might remind one of his earlier work , raimi has made an intelligent and mature departure which will hopefully be a sign of even greater films to come . 	while there are a couple of moments which might remind one of his earlier work , raimi has made an intelligent and mature departure which will hopefully be a sign of even greater films to come .	3	-1	 while[0] there[0] are[0] a[0] couple[0] of[0] moments[0] which[0] might[0] remind[0] one[0] of[0] his[0] earlier[0] work[0] raimi[0] has[0] made[0] an[0] intelligent[1] and[0] mature[0] departure[0] which[0] will[0] hopefully[0] be[0] a[0] sign[0] of[0] even[0] greater[2] films[0] to[0] come[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
scott b . smith's screenplay , based on his novel ( which i haven't read ) is a fine example of escalating tension . 	scot b .<br> smith's screenplay , based on his novel ( which i haven't read ) is a fine example of escalating tension .	3	-3	 scott/scot[0] b[0] [[Sentence=-1,1=word max, 1-5]] smith's[0] screenplay[0] based[0] on[0] his[0] novel[0] which[0] i[0] haven't[0] read[0] is[0] a[0] fine[2] example[0] of[0] escalating[0] tension[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
