as feel-good formulaic as it may be in its own way , shall we dance ? 	Translation	Positive	Negative	EmotionRationale
also demonstrates a kind of charming restraint you don't often find in american films . 	also demonstrates a kind of charming restraint you don't often find in american films .	2	-1	 also[0] demonstrates[0] a[0] kind[1] of[0] charming[1] restraint[0] you[0] don't[0] often[0] find[0] in[0] american[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this japanese import tells the story of a middle-aged accountant named sugiyama ( koji yakusho ) whose mundane life is shaken up one night when he spots beautiful mai kishikawa ( tamiyo kusakari ) in the window of a dance school . 	this japanese import tells the story of a middle-aged accountant named sugiyama ( koji yakusho ) whose mundane life is shaken up one night when he spots beautiful mai kishikawa ( tamiyo kusakari ) in the window of a dance school .	3	-2	 this[0] japanese[0] import[0] tells[0] the[0] story[0] of[0] a[0] middle[0] aged[0] accountant[0] named[0] sugiyama[0] koji[0] yakusho[0] whose[0] mundane[-1] life[0] is[0] shaken[-1] up[0] one[0] night[0] when[0] he[0] spots[0] beautiful[2] mai[0] kishikawa[0] tamiyo[0] kusakari[0] in[0] the[0] window[0] of[0] a[0] dance[0] school[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
intrigued by her melancholy demeanor ( and slightly infatuated with her ) , sugiyama signs up for weekly classes at the school -- and , much to his amazement , ends up as attracted to dancing itself as to his young sensei . 	intrigued by her melancholy demeanor ( and slightly infatuated with her ) , sugiyama signs up for weekly classes at the school - and , much to his amazement , ends up as attracted to dancing itself as to his young sensei .	3	-4	 intrigued[0] by[0] her[0] melancholy[-3] demeanor[0] and[0] slightly[0] infatuated[0] with[0] her[0] sugiyama[0] signs[0] up[0] for[0] weekly[0] classes[0] at[0] the[0] school[0] and[0] much[0] to[0] his[0] amazement[2] ends[0] up[0] as[0] attracted[1] to[0] dancing[0] itself[0] as[0] to[0] his[0] young[0] sensei[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
meanwhile , sugiyama's wife ( hideko hara ) becomes suspicious of his late wednesday nights , and sets a private detective on her husband's trail . 	meanwhile , sugiyama's wife ( hideko hara ) becomes suspicious of his late wednesday nights , and sets a private detective on her husband's trail .	1	-2	 meanwhile[0] sugiyama's[0] wife[0] hideko[0] hara[0] becomes[0] suspicious[-1] of[0] his[0] late[0] wednesday[0] nights[0] and[0] sets[0] a[0] private[0] detective[0] on[0] her[0] husband's[0] trail[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a hollywood film , you can bet that sub-plot would be turned into a stream of slapstick comedy and crazy misunderstandings . 	in a hollywood film , you can bet that sub-plot would be turned into a stream of slapstick comedy and crazy misunderstandings .	1	-2	 in[0] a[0] hollywood[0] film[0] you[0] can[0] bet[0] that[0] sub[0] plot[0] would[0] be[0] turned[0] into[0] a[0] stream[0] of[0] slapstick[-1] comedy[0] and[0] crazy[-1] misunderstandings[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in shall we dance ? , writer/director masayuki suo dispenses with it in a matter of minutes , using it to set up later character interactions rather than letting it overwhelm the story with pratfalls . 	in shall we dance ?<br> , writer/director masayuki suo dispenses with it in a matter of minutes , using it to set up later character interactions rather than letting it overwhelm the story with pratfalls .	1	-3	 in[0] shall[0] we[0] dance[0] [[Sentence=-1,1=word max, 1-5]] writer/director[0] masayuki[0] suo[0] dispenses[-1] with[0] it[0] in[0] a[0] matter[0] of[0] minutes[0] using[0] it[0] to[0] set[0] up[0] later[0] character[0] interactions[0] rather[0] than[0] letting[0] it[0] overwhelm[-2] the[0] story[0] with[0] pratfalls[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
neither does he make the climactic moment of victory a competition between the hero and some mean-spirited token rival . 	neither does he make the climactic moment of victory a competition between the hero and some mean-spirited token rival .	3	-2	 neither[0] does[0] he[0] make[0] the[0] climactic[0] moment[0] of[0] victory[0] a[0] competition[0] between[0] the[0] hero[2] and[0] some[0] mean[0] spirited[0] token[0] rival[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
suo gives his comedy the graceful movements of his subject matter , allowing the humor to flow from the characters rather than forcing it upon them . 	suo gives his comedy the graceful movements of his subject matter , allowing the humor to flow from the characters rather than forcing it upon them .	3	-1	 suo[0] gives[0] his[0] comedy[0] the[0] graceful[2] movements[0] of[0] his[0] subject[0] matter[0] allowing[0] the[0] humor[2] to[0] flow[0] from[0] the[0] characters[0] rather[0] than[0] forcing[0] it[0] upon[0] them[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
an opening prologue in shall we dance ? 	an opening prologue in shall we dance ?	1	-1	 an[0] opening[0] prologue[0] in[0] shall[0] we[0] dance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
goes to some effort to place the film in a sociological perspective , explaining how contrary ballroom dancing is to the japanese sense of propriety . 	goes to some effort to place the film in a sociological perspective , explaining how contrary ballroom dancing is to the japanese sense of propriety .	1	-2	 goes[0] to[0] some[0] effort[0] to[0] place[0] the[0] film[0] in[0] a[0] sociological[0] perspective[0] explaining[0] how[0] contrary[-1] ballroom[0] dancing[0] is[0] to[0] the[0] japanese[0] sense[0] of[0] propriety[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
