steve martin took an extended vacation from all facets of moviemaking a few years back ; he spent this time writing essays and short stories for " the new yorker , " several of which wound up in his hilarious hardback compilation , pure drivel ( 1998 ) . 	Translation	Positive	Negative	EmotionRationale
much of the book spares tinseltown from mockery , although he does riff on the racist comments made by marlon brando during a larry king interview , in a fine chapter called " in search of the wily filipino . " 	much of the book spares tinseltown from mockery , although he does riff on the racist comments made by marlon brando during a larry king interview , in a fine chapter called " in search of the wily filipino .<br> "	3	-3	 much[0] of[0] the[0] book[0] spares[0] tinseltown[0] from[0] mockery[-2] although[0] he[0] does[0] riff[0] on[0] the[0] racist[-1] comments[0] made[0] by[0] marlon[0] brando[0] during[0] a[0] larry[0] king[0] interview[0] in[0] a[0] fine[2] chapter[0] called[0] in[0] search[0] of[0] the[0] wily[-1] filipino[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
now , as writer and star of bowfinger , he offers the masses plenty of good reasons not to pursue a career in the cinema , perhaps finally venting the frustrations ( 'everything being made now is crap' ) that led to his brief retirement from hollywood . 	now , as writer and star of bowfinger , he offers the masses plenty of good reasons not to pursue a career in the cinema , perhaps finally venting the frustrations ( 'everything being made now is crap' ) that led to his brief retirement from hollywood .	2	-3	 now[0] as[0] writer[0] and[0] star[0] of[0] bowfinger[0] he[0] offers[0] the[0] masses[0] plenty[0] of[0] good[1] reasons[0] not[0] to[0] pursue[0] a[0] career[0] in[0] the[0] cinema[0] perhaps[0] finally[0] venting[0] the[0] frustrations[-2] 'everything[0] being[0] made[0] now[0] is[0] crap'[0] that[0] led[0] to[0] his[0] brief[0] retirement[-1] from[0] hollywood[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
martin stars as bobby bowfinger , a roger corman-wannabe on the cusp of fifty and desperate for some success as a producer , quality of the projects be damned . 	martin stars as bobby bowfinger , a roger corman-wannabe on the cusp of fifty and desperate for some success as a producer , quality of the projects be damned .	2	-3	 martin[0] stars[0] as[0] bobby[0] bowfinger[0] a[0] roger[0] corman[0] wannabe[0] on[0] the[0] cusp[0] of[0] fifty[0] and[0] desperate[-2] for[0] some[0] success[2][-1 LastWordBoosterStrength] as[0] a[0] producer[0] quality[0] of[0] the[0] projects[0] be[0] damned[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his accountant ( adam alexi-malle ) proposes a movie called " chubby rain , " about aliens who travel to earth in raindrops slightly fatter than regular raindrops . 	his accountant ( adam alexi-male ) proposes a movie called " chubby rain , " about aliens who travel to earth in raindrops slightly fatter than regular raindrops .	1	-1	 his[0] accountant[0] adam[0] alexi[0] malle/male[0] proposes[0] a[0] movie[0] called[0] chubby[0] rain[0] about[0] aliens[0] who[0] travel[0] to[0] earth[0] in[0] raindrops[0] slightly[0] fatter[0] than[0] regular[0] raindrops[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bowfinger latches onto the idea immediately , and convinces his troupe of actor friends to appear in the film , based on the lie that america's top box office draw , kit ramsey ( murphy ) , has agreed to star . 	bowfinger latches onto the idea immediately , and convinces his troupe of actor friends to appear in the film , based on the lie that america's top box office draw , kit ramsey ( murphy ) , has agreed to star .	2	-1	 bowfinger[0] latches[0] onto[0] the[0] idea[0] immediately[0] and[0] convinces[0] his[0] troupe[0] of[0] actor[0] friends[1] to[0] appear[0] in[0] the[0] film[0] based[0] on[0] the[0] lie[0] that[0] america's[0] top[0] box[0] office[0] draw[0] kit[0] ramsey[0] murphy[0] has[0] agreed[0] to[0] star[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ramsey , of course , wants nothing to do with such low-grade material , so bowfinger , on the thinking that action stars need to run , not speak , decides to photograph the superstar surreptitiously . 	ramsey , of course , wants nothing to do with such low-grade material , so bowfinger , on the thinking that action stars need to run , not speak , decides to photograph the superstar surreptitiously .	1	-2	 ramsey[0] of[0] course[0] wants[0] nothing[0] to[0] do[0] with[0] such[0] low[-1] grade[0] material[0] so[0] bowfinger[0] on[0] the[0] thinking[0] that[0] action[0] stars[0] need[0] to[0] run[0] not[0] speak[0] decides[0] to[0] photograph[0] the[0] superstar[0] surreptitiously[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he sends his cast members ( who aren't in on it , either ; they are told ramsey hates the sight of cameras and fraternizing with his co-stars ) to ramsey's table at restaurants , asks them to follow him in parking lots , etc . , spouting script dialogue , all the while shooting the outcome from a great distance . 	he sends his cast members ( who aren't in on it , either ; they are told ramsey hates the sight of cameras and fraternizing with his co-stars ) to ramsey's table at restaurants , asks them to follow him in parking lots , etc .<br> , spouting script dialogue , all the while shooting the outcome from a great distance .	3	-4	 he[0] sends[0] his[0] cast[0] members[0] who[0] aren't[0] in[0] on[0] it[0] either[0] they[0] are[0] told[0] ramsey[0] hates[-3] the[0] sight[0] of[0] cameras[0] and[0] fraternizing[0] with[0] his[0] co[0] stars[0] to[0] ramsey's[0] table[0] at[0] restaurants[0] asks[0] them[0] to[0] follow[0] him[0] in[0] parking[0] lots[0] etc[0] [[Sentence=-4,1=word max, 1-5]] spouting[0] script[0] dialogue[0] all[0] the[0] while[0] shooting[-1] the[0] outcome[0] from[0] a[0] great[2] distance[0] [[Sentence=-2,3=word max, 1-5]][[[3,-4 max of sentences]]]
the paranoid ramsey flees the scene nearly every time . 	the paranoid ramsey flees the scene nearly every time .	1	-3	 the[0] paranoid[-2] ramsey[0] flees[-1] the[0] scene[0] nearly[0] every[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ramsey is a member of mind head , a cultish self-help organization apparently dedicated to recruiting celebrities . 	ramsey is a member of mind head , a cultish self-help organization apparently dedicated to recruiting celebrities .	1	-1	 ramsey[0] is[0] a[0] member[0] of[0] mind[0] head[0] a[0] cultish[0] self[0] help[0] organization[0] apparently[0] dedicated[0] to[0] recruiting[0] celebrities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( as if that's not familiar enough , mind head guru terry stricter ( terence stamp ) has been dressed and combed to resemble l . ron hubbard , founder of scientology . ) 	 ( as if that's not familiar enough , mind head guru terry stricter ( terence stamp ) has been dressed and combed to resemble l .<br> ron hubbard , founder of scientology .<br> )	1	-2	 as[0] if[0] that's[0] not[0] familiar[0] enough[0] mind[0] head[0] guru[0] terry[0] stricter[-1] terence[0] stamp[0] has[0] been[0] dressed[0] and[0] combed[0] to[0] resemble[0] l[0] [[Sentence=-2,1=word max, 1-5]] ron[0] hubbard[0] founder[-1] of[0] scientology[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
