with three pre- to mid-teen children and an aging father-in-law to care for--cooking and cleaning and laundry , drop-offs at little league practice and pick-ups from ballet practice--margaret hall's life is rife with complications . 	Translation	Positive	Negative	EmotionRationale
and with her naval officer husband stationed somewhere in the north atlantic , virtually impossible to reach by telephone , margaret leads the crazed life of a single parent . 	and with her naval officer husband stationed somewhere in the north atlantic , virtually impossible to reach by telephone , margaret leads the crazed life of a single parent .	1	-1	 and[0] with[0] her[0] naval[0] officer[0] husband[0] stationed[0] somewhere[0] in[0] the[0] north[0] atlantic[0] virtually[0] impossible[0] to[0] reach[0] by[0] telephone[0] margaret[0] leads[0] the[0] crazed[0] life[0] of[0] a[0] single[0] parent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but margaret's hectic world is about to get a lot more complicated . 	but margaret's hectic world is about to get a lot more complicated .	1	-2	 but[0] margaret's[0] hectic[-1] world[0] is[0] about[0] to[0] get[0] a[0] lot[0] more[0] complicated[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
her teenage son beau , a talented trumpet player with strong prospects of being accepted into wesleyan university's music program , has fallen in with the wrong crowd . 	her teenage son beau , a talented trumpet player with strong prospects of being accepted into wesleyan university's music program , has fallen in with the wrong crowd .	2	-2	 her[0] teenage[0] son[0] beau[0] a[0] talented[1] trumpet[0] player[0] with[0] strong[0] prospects[0] of[0] being[0] accepted[0] into[0] wesleyan[0] university's[0] music[0] program[0] has[0] fallen[0] in[0] with[0] the[0] wrong[-1] crowd[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
his mother drives from their idyllic , lakeside community of tahoe city , california to the sprawling urban metropolis of reno , nevada , with its imposing concrete superstructures and seedy neon-lit nightclubs , to confront the 30-something man who has befriended beau . 	his mother drives from their idyllic , lakeside community of tahoe city , california to the sprawling urban metropolis of reno , nevada , with its imposing concrete superstructures and seedy neon-lit nightclubs , to confront the 30-something man who has befriended beau .	1	-3	 his[0] mother[0] drives[0] from[0] their[0] idyllic[0] lakeside[0] community[0] of[0] tahoe[0] city[0] california[0] to[0] the[0] sprawling[0] urban[0] metropolis[0] of[0] reno[0] nevada[0] with[0] its[0] imposing[0] concrete[0] superstructures[0] and[0] seedy[0] neon[0] lit[0] nightclubs[0] to[0] confront[-2] the[0] 30[0] something[0] man[0] who[0] has[0] befriended[0] beau[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " stay away from my son " margaret warns darby reese . 	 " stay away from my son " margaret warns darby reese .	1	-1	 stay[0] away[0] from[0] my[0] son[0] margaret[0] warns[0] darby[0] reese[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her words , however , appear to fall on deaf ears as reese turns up drunk at the family homestead later that evening , urging beau to join him in the boathouse . 	her words , however , appear to fall on deaf ears as reese turns up drunk at the family homestead later that evening , urging beau to join him in the boathouse .	1	-2	 her[0] words[0] however[0] appear[0] to[0] fall[0] on[0] deaf[-1] ears[0] as[0] reese[0] turns[0] up[0] drunk[-1] at[0] the[0] family[0] homestead[0] later[0] that[0] evening[0] urging[0] beau[0] to[0] join[0] him[0] in[0] the[0] boathouse[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are words and advances and some pushing and shoving and beau runs back into the house , passed his startled mother , as the crack of a wooden railing giving way breaks the cold blue silence and an intoxicated reese tumbles out of sight . 	there are words and advances and some pushing and shoving and beau runs back into the house , passed his startled mother , as the crack of a wooden railing giving way breaks the cold blue silence and an intoxicated reese tumbles out of sight .	1	-2	 there[0] are[0] words[0] and[0] advances[0] and[0] some[0] pushing[0] and[0] shoving[0] and[0] beau[0] runs[0] back[0] into[0] the[0] house[0] passed[0] his[0] startled[-1] mother[0] as[0] the[0] crack[0] of[0] a[0] wooden[0] railing[0] giving[0] way[0] breaks[0] the[0] cold[-1] blue[0] silence[0] and[0] an[0] intoxicated[-1] reese[0] tumbles[0] out[0] of[0] sight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the next day , on her morning walk , margaret discovers reese's lifeless body lying crumpled on the shoreline , a boat anchor impaled in his chest . 	the next day , on her morning walk , margaret discovers reese's lifeless body lying crumpled on the shoreline , a boat anchor impaled in his chest .	1	-4	 the[0] next[0] day[0] on[0] her[0] morning[0] walk[0] margaret[0] discovers[0] reese's[0] lifeless[-1] body[0] lying[-3] crumpled[0] on[0] the[0] shoreline[0] a[0] boat[0] anchor[0] impaled[0] in[0] his[0] chest[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
with her maternal instincts working overtime , margaret quickly ferries the body out into the lake , weighs it down , and dumps it overboard . 	with her maternal instincts working overtime , margaret quickly ferries the body out into the lake , weighs it down , and dumps it overboard .	1	-2	 with[0] her[0] maternal[0] instincts[0] working[0] overtime[0] margaret[0] quickly[0] ferries[0] the[0] body[0] out[0] into[0] the[0] lake[0] weighs[0] it[0] down[0] and[0] dumps[-1] it[0] overboard[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but margaret's life is about to get a lot more complicated . 	but margaret's life is about to get a lot more complicated .	1	-2	 but[0] margaret's[0] life[0] is[0] about[0] to[0] get[0] a[0] lot[0] more[0] complicated[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
soon after the body is discovered , snagged on a local fisherman's line , margaret is paid a visit by an attractive-seeming blackmailer in a red nova . 	soon after the body is discovered , snagged on a local fisherman's line , margaret is paid a visit by an attractive-seeming blackmailer in a red nova .	2	-3	 soon[0] after[0] the[0] body[0] is[0] discovered[0] snagged[0] on[0] a[0] local[0] fisherman's[0] line[0] margaret[0] is[0] paid[0] a[0] visit[0] by[0] an[0] attractive[1] seeming[0] blackmailer[-2] in[0] a[0] red[0] nova[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
alek spera threatens to hand over compromising videotape of beau to the police unless margaret comes up with  50 , 000 by 4 o'clock the next day . 	alek spera threatens to hand over compromising videotape of beau to the police unless margaret comes up with  50 , 00 by 4 o'clock the next day .	1	-3	 alek[0] spera[0] threatens[-2] to[0] hand[0] over[0] compromising[0] videotape[0] of[0] beau[0] to[0] the[0] police[0] unless[0] margaret[0] comes[0] up[0] with[0] 50[0] 000/00[0] by[0] 4[0] o'clock[0] the[0] next[0] day[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but margaret's life is about to get a lot more complicated , for alek turns out to be something she never expected . 	but margaret's life is about to get a lot more complicated , for alek turns out to be something she never expected .	1	-2	 but[0] margaret's[0] life[0] is[0] about[0] to[0] get[0] a[0] lot[0] more[0] complicated[-1] for[0] alek[0] turns[0] out[0] to[0] be[0] something[0] she[0] never[0] expected[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
based on elisabeth sanxay holding's novel " the blank wall , " " the deep end " is a well-crafted thriller written and directed by scott mcgehee and david siegel ( " suture " ) . 	based on elisabeth sanxay holding's novel " the blank wall , " " the deep end " is a well-crafted thriller written and directed by scot mcgehee and david siegel ( " suture " ) .	2	-1	 based[0] on[0] elisabeth[0] sanxay[0] holding's[0] novel[0] the[0] blank[0] wall[0] the[0] deep[0] end[0] is[0] a[0] well[0] crafted[0] thriller[1] written[0] and[0] directed[0] by[0] scott/scot[0] mcgehee[0] and[0] david[0] siegel[0] suture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it makes the most of a talented but not particularly well-known cast--goran visnjic plays alek with a suave likeability , jonathan tucker shines as the conflicted beau , peter donat is amusing as grandfather hall , and josh lucas has an equally small but effective role as the hapless darby reese . 	it makes the most of a talented but not particularly well-known cast-goran visnjic plays alek with a suave likeability , jonathan tucker shines as the conflicted beau , peter donat is amusing as grandfather hall , and josh lucas has an equally small but effective role as the hapless darby reese .	3	-2	 it[0] makes[0] the[0] most[0] of[0] a[0] talented[1] but[0] not[0] particularly[0] well[0] known[0] cast[0] goran[0] visnjic[0] plays[1] alek[0] with[0] a[0] suave[0] likeability[2] jonathan[0] tucker[0] shines[0] as[0] the[0] conflicted[-1] beau[0] peter[0] donat[0] is[0] amusing[1] as[0] grandfather[0] hall[0] and[0] josh[0] lucas[0] has[0] an[0] equally[0] small[0] but[0] effective[0] role[0] as[0] the[0] hapless[-1] darby[0] reese[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film is also lovingly photographed by giles nuttgens and features an evocative score , courtesy peter nashel . 	the film is also lovingly photographed by giles nuttgens and features an evocative score , courtesy peter nashel .	4	-1	 the[0] film[0] is[0] also[0] lovingly[3] photographed[0] by[0] giles[0] nuttgens[0] and[0] features[0] an[0] evocative[0] score[0] courtesy[0] peter[0] nashel[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but it owes everything to british actress tilda swinton . 	but it owes everything to british actress tilda swinton .	1	-1	 but[0] it[0] owes[0] everything[0] to[0] british[0] actress[0] tilda[0] swinton[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
swinton , whose pale-faced ethereal beauty has graced many of derek jarman's films ( " caravaggio , " " edward ii , " " the last of england " ) , plays margaret hall in " the deep end " and , like charlotte rampling in this year's " under the sand , " turns in a commanding and accomplished performance . 	swinton , whose pale-faced ethereal beauty has graced many of derek jarman's films ( " caravaggio , " " edward i , " " the last of england " ) , plays margaret hall in " the deep end " and , like charlotte rampling in this year's " under the sand , " turns in a commanding and accomplished performance .	3	-1	 swinton[0] whose[0] pale[0] faced[0] ethereal[0] beauty[2] has[0] graced[1] many[0] of[0] derek[0] jarman's[0] films[0] caravaggio[0] edward[0] ii/i[0] the[0] last[0] of[0] england[0] plays[1] margaret[0] hall[0] in[0] the[0] deep[0] end[0] and[0] like[1] charlotte[0] rampling[0] in[0] this[0] year's[0] under[0] the[0] sand[0] turns[0] in[0] a[0] commanding[0] and[0] accomplished[1] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
margaret is a devoted mother who is willing to risk everything to protect the ones she loves , and swinton captures every frustration , every fear , every subtle examination and every fervent realization and every nervous oscillation of her being . 	margaret is a devoted mother who is willing to risk everything to protect the ones she loves , and swinton captures every frustration , every fear , every subtle examination and every fervent realization and every nervous oscillation of her being .	3	-4	 margaret[0] is[0] a[0] devoted[2] mother[0] who[0] is[0] willing[0] to[0] risk[-1] everything[0] to[0] protect[0] the[0] ones[0] she[0] loves[2] and[0] swinton[0] captures[-1] every[0] frustration[-2] every[0] fear[-3] every[0] subtle[0] examination[0] and[0] every[0] fervent[0] realization[0] and[0] every[0] nervous[-2] oscillation[0] of[0] her[0] being[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the role calls for an extremely wide range of emotions none the least of which is simply playing a mother beset with a multitude of domestic responsibilities . 	the role calls for an extremely wide range of emotions none the least of which is simply playing a mother beset with a multitude of domestic responsibilities .	2	-2	 the[0] role[0] calls[0] for[0] an[0] extremely[0] wide[0] range[0] of[0] emotions[0] none[0] the[0] least[0] of[0] which[0] is[0] simply[0] playing[1] a[0] mother[0] beset[-1] with[0] a[0] multitude[0] of[0] domestic[0] responsibilities[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
many can relate to that , of course ; it's the murder cover-up and the blackmail and the fear of losing one's son that swinton so gracefully , so graciously , makes resonate with the truest of colors . 	many can relate to that , of course ; it's the murder cover-up and the blackmail and the fear of losing one's son that swinton so gracefully , so graciously , makes resonate with the truest of colors .	3	-4	 many[0] can[0] relate[0] to[0] that[0] of[0] course[0] it's[0] the[0] murder[-3] cover[0] up[0] and[0] the[0] blackmail[-2] and[0] the[0] fear[-3] of[0] losing[-2] one's[0] son[0] that[0] swinton[0] so[0] gracefully[2] so[0] graciously[1] makes[0] resonate[0] with[0] the[0] truest[1] of[0] colors[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the end is deep all right , and there isn't a single shallow moment in tilda swinton's canon . 	the end is deep all right , and there isn't a single shallow moment in tilda swinton's canon .	1	-2	 the[0] end[0] is[0] deep[0] all[0] right[0] and[0] there[0] isn't[0] a[0] single[0] shallow[-1] moment[0] in[0] tilda[0] swinton's[0] canon[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
