i think that any competent member of the human race who's ever seen a movie--any movie--could probably predict just about every turn in the wedding singer . 	Translation	Positive	Negative	EmotionRationale
even though i try very hard to not predict films as i'm watching them ( especially not romantic comedies ) , the plot of this particular film just advanced before me seconds , and sometimes minutes , before i actually saw it happen on screen . 	even though i try very hard to not predict films as i'm watching them ( especially not romantic comedies ) , the plot of this particular film just advanced before me seconds , and sometimes minutes , before i actually saw it happen on screen .	1	-4	 even[0] though[0] i[0] try[0] very[0] hard[0] to[0] not[0] predict[0] films[0] as[0] i'm[0] watching[0] them[0] especially[0] not[0] romantic[3][NegatedDueToPreviousWord] comedies[0] the[0] plot[0] of[0] this[0] particular[0] film[0] just[0] advanced[0] before[0] me[0] seconds[0] and[0] sometimes[0] minutes[0] before[0] i[0] actually[0] saw[0] it[0] happen[0] on[0] screen[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but i don't care . 	but i don't care .	1	-2	 but[0] i[0] don't[0] care[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not even a little . 	not even a little .	1	-1	 not[0] even[0] a[0] little[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my reasons for this are simple : 1 ) adam sandler is great . 	my reasons for this are simple : 1 ) adam sandler is great .	3	-1	 my[0] reasons[0] for[0] this[0] are[0] simple[0] 1[0] adam[0] sandler[0] is[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
2 ) drew barrymore is great . 	2 ) drew barrymore is great .	3	-1	 2[0] drew[0] barrymore[0] is[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
3 ) the movie is so funny . 	3 ) the movie is so funny .	2	-1	 3[0] the[0] movie[0] is[0] so[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are parts that left me gasping for air because i was laughing so hard . 	there are parts that left me gasping for air because i was laughing so hard .	2	-1	 there[0] are[0] parts[0] that[0] left[0] me[0] gasping[0] for[0] air[0] because[0] i[0] was[0] laughing[1] so[0] hard[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i haven't laughed this hard in a movie since austin powers . 	i haven't laughed this hard in a movie since austin powers .	2	-1	 i[0] haven't[0] laughed[1] this[0] hard[0] in[0] a[0] movie[0] since[0] austin[0] powers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sandler plays robby hart , a wedding singer who once had dreams of being in a rock band and writing his own music . 	sandler plays robby hart , a wedding singer who once had dreams of being in a rock band and writing his own music .	2	-1	 sandler[0] plays[1] robby[0] hart[0] a[0] wedding[0] singer[0] who[0] once[0] had[0] dreams[0] of[0] being[0] in[0] a[0] rock[1] band[0] and[0] writing[0] his[0] own[0] music[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the opening scenes , he seems like a happy-go-lucky wedding singer , at least partially enjoying his profession and doing a rather good job of talking down a really drunk individual ( steve buscemi ) who decides that his brother's wedding is a good place to tell the whole world that his life , up to that point , was utter pointlessness . 	in the opening scenes , he seems like a happy-go-lucky wedding singer , at least partially enjoying his profession and doing a rather good job of talking down a really drunk individual ( steve buscemi ) who decides that his brother's wedding is a good place to tell the whole world that his life , up to that point , was utter pointlessness .	3	-3	 in[0] the[0] opening[0] scenes[0] he[0] seems[0] like[1] a[0] happy[1] go[0] lucky[1] wedding[0] singer[0] at[0] least[0] partially[0] enjoying[2] his[0] profession[0] and[0] doing[0] a[0] rather[0] good[1] job[0] of[0] talking[0] down[0] a[0] really[0] drunk[-1][-1 LastWordBoosterStrength] individual[0] steve[0] buscemi[0] who[0] decides[0] that[0] his[0] brother's[0] wedding[0] is[0] a[0] good[1] place[0] to[0] tell[0] the[0] whole[0] world[0] that[0] his[0] life[0] up[0] to[0] that[0] point[0] was[0] utter[0] pointlessness[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
a week later , at his own wedding , he is left standing at the altar by his ex-fianc ? e , linda ( angela featherstone ) . 	a week later , at his own wedding , he is left standing at the altar by his ex-fianc ?<br> e , linda ( angela featherstone ) .	1	-1	 a[0] week[0] later[0] at[0] his[0] own[0] wedding[0] he[0] is[0] left[0] standing[0] at[0] the[0] altar[0] by[0] his[0] ex[0] fianc[0] [[Sentence=-1,1=word max, 1-5]] e[0] linda[0] angela[0] featherstone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with his life in complete disarray , he meets julia ( barrymore ) , a waitress . 	with his life in complete disarray , he meets julia ( barrymore ) , a waitress .	1	-1	 with[0] his[0] life[0] in[0] complete[0] disarray[0] he[0] meets[0] julia[0] barrymore[0] a[0] waitress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she is engaged to glenn ( matthew glave ) , and is to marry him in about three months . 	she is engaged to glen ( matthew glave ) , and is to marry him in about three months .	1	-1	 she[0] is[0] engaged[0] to[0] glenn/glen[0] matthew[0] glave[0] and[0] is[0] to[0] marry[0] him[0] in[0] about[0] three[0] months[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
julia and robby become good friends when she enlists him to help with the wedding plans . 	julia and robby become good friends when she enlists him to help with the wedding plans .	2	-1	 julia[0] and[0] robby[0] become[0] good[1] friends[1] when[0] she[0] enlists[0] him[0] to[0] help[0] with[0] the[0] wedding[0] plans[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
soon ( and predictably ) it becomes pretty clear that glenn is a jerk , and that robby and julia really love each other . 	soon ( and predictably ) it becomes pretty clear that glen is a jerk , and that robby and julia really love each other .	4	-3	 soon[0] and[0] predictably[0] it[0] becomes[0] pretty[2] clear[0] that[0] glenn/glen[0] is[0] a[0] jerk[-2] and[0] that[0] robby[0] and[0] julia[0] really[0] love[2][1 LastWordBoosterStrength] each[0] other[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
oh sure , it's trite . 	oh sure , it's trite .	1	-3	 oh[0] sure[0] it's[0] trite[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
