uncompromising french director robert bresson's " lancelot of the lake " achieves the exact opposite effect of sir thomas malory's " morte darthur . " 	Translation	Positive	Negative	EmotionRationale
instead of enshrining the legend of king arthur and his knights of the round table , it dethrones them by revealing arthur as a weak , ineffectual leader and the knights as a group of jealous , bickering men who failed to live up to the legends prescribed to them . 	instead of enshrining the legend of king arthur and his knights of the round table , it dethrones them by revealing arthur as a weak , ineffectual leader and the knights as a group of jealous , bickering men who failed to live up to the legends prescribed to them .	1	-3	 instead[0] of[0] enshrining[0] the[0] legend[0] of[0] king[0] arthur[0] and[0] his[0] knights[0] of[0] the[0] round[0] table[0] it[0] dethrones[0] them[0] by[0] revealing[0] arthur[0] as[0] a[0] weak[-1] ineffectual[-1] leader[0] and[0] the[0] knights[0] as[0] a[0] group[0] of[0] jealous[-2] bickering[0] men[0] who[0] failed[-2] to[0] live[0] up[0] to[0] the[0] legends[0] prescribed[0] to[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
chivalry has no place in " lancelot of the lake , " except as that of a dying ideal . 	chivalry has no place in " lancelot of the lake , " except as that of a dying ideal .	1	-2	 chivalry[0] has[0] no[0] place[0] in[0] lancelot[0] of[0] the[0] lake[0] except[0] as[0] that[0] of[0] a[0] dying[-1] ideal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bresson begins his tale as the knights of the round table are returning , decimated , after failing merlin's command to retrieve the holy grail , the mystical cup that was filled with christ's blood . 	bresson begins his tale as the knights of the round table are returning , decimated , after failing merlin's command to retrieve the holy grail , the mystical cup that was filled with christ's blood .	1	-3	 bresson[0] begins[0] his[0] tale[0] as[0] the[0] knights[0] of[0] the[0] round[0] table[0] are[0] returning[0] decimated[0] after[0] failing[-2] merlin's[0] command[0] to[0] retrieve[0] the[0] holy[0] grail[0] the[0] mystical[0] cup[0] that[0] was[0] filled[0] with[0] christ's[0] blood[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bresson immediately gives us his impression of the essential meaning of the grail quest : bloodshed and failure . 	bresson immediately gives us his impression of the essential meaning of the grail quest : bloodshed and failure .	1	-3	 bresson[0] immediately[0] gives[0] us[0] his[0] impression[0] of[0] the[0] essential[0] meaning[0] of[0] the[0] grail[0] quest[0] bloodshed[-1] and[0] failure[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the opening sequence is a series of clumsy , disjointed fights amongst anonymous knights -- a head is hacked off , a stomach is impaled , a skull is split open , skeletal remains hang from trees , and burning bodies smolder in the ruins of a flaming house . 	the opening sequence is a series of clumsy , disjointed fights amongst anonymous knights - a head is hacked off , a stomach is impaled , a skull is split open , skeletal remains hang from trees , and burning bodies smolder in the ruins of a flaming house .	1	-3	 the[0] opening[0] sequence[0] is[0] a[0] series[0] of[0] clumsy[-1] disjointed[0] fights[-2] amongst[0] anonymous[0] knights[0] a[0] head[0] is[0] hacked[0] off[0] a[0] stomach[0] is[0] impaled[0] a[0] skull[0] is[0] split[0] open[0] skeletal[0] remains[0] hang[-1] from[0] trees[0] and[0] burning[-1] bodies[0] smolder[0] in[0] the[0] ruins[0] of[0] a[0] flaming[0] house[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
since the film starts with camelot in near-ruin , and takes only an hour and a half to arrive at its inevitable conclusion , it doesn't carry the grand , tragic resonance of other arthurian films . 	since the film starts with camelot in near-ruin , and takes only an hour and a half to arrive at its inevitable conclusion , it doesn't carry the grand , tragic resonance of other arthurian films .	2	-3	 since[0] the[0] film[0] starts[0] with[0] camelot[0] in[0] near[0] ruin[-1] and[0] takes[0] only[0] an[0] hour[0] and[0] a[0] half[0] to[0] arrive[0] at[0] its[0] inevitable[0] conclusion[0] it[0] doesn't[0] carry[0] the[0] grand[1] tragic[-2] resonance[0] of[0] other[0] arthurian[0] films[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we never get to see camelot at the peak of its power , therefore there is no real downfall to witness . 	we never get to see camelot at the peak of its power , therefore there is no real downfall to witness .	1	-2	 we[0] never[0] get[0] to[0] see[0] camelot[0] at[0] the[0] peak[0] of[0] its[0] power[0] therefore[0] there[0] is[0] no[0] real[0] downfall[-1] to[0] witness[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but , then again , it is not the name of camelot that is evoked in the title of the film . 	but , then again , it is not the name of camelot that is evoked in the title of the film .	1	-1	 but[0] then[0] again[0] it[0] is[0] not[0] the[0] name[0] of[0] camelot[0] that[0] is[0] evoked[0] in[0] the[0] title[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rather , it is lancelot , and bresson is more interested in the internal battle within his heart , than the external downfall of a kingdom . 	rather , it is lancelot , and bresson is more interested in the internal battle within his heart , than the external downfall of a kingdom .	2	-2	 rather[0] it[0] is[0] lancelot[0] and[0] bresson[0] is[0] more[0] interested[1] in[0] the[0] internal[0] battle[-1] within[0] his[0] heart[0] than[0] the[0] external[0] downfall[-1] of[0] a[0] kingdom[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
lancelot has always been a tragic figure in the arthurian tales , and bresson uses him as the central figure to explore the battle between the spirit and the flesh . 	lancelot has always been a tragic figure in the arthurian tales , and bresson uses him as the central figure to explore the battle between the spirit and the flesh .	1	-3	 lancelot[0] has[0] always[0] been[0] a[0] tragic[-2] figure[0] in[0] the[0] arthurian[0] tales[0] and[0] bresson[0] uses[0] him[0] as[0] the[0] central[0] figure[0] to[0] explore[0] the[0] battle[-1] between[0] the[0] spirit[0] and[0] the[0] flesh[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
