seen february 15 , 1998 on home video ( borrowed from chris wessell ) . 	Translation	Positive	Negative	EmotionRationale
when it comes to modern gangster movies , it's really difficult to describe and review them without making comparisons to other films of the genre and/or just using the word " routine . " 	when it comes to modern gangster movies , it's really difficult to describe and review them without making comparisons to other films of the genre and/or just using the word " routine .<br> "	1	-3	 when[0] it[0] comes[0] to[0] modern[0] gangster[0] movies[0] it's[0] really[0] difficult[-1][-1 LastWordBoosterStrength] to[0] describe[0] and[0] review[0] them[0] without[0] making[0] comparisons[0] to[0] other[0] films[0] of[0] the[0] genre[0] and/or[0] just[0] using[0] the[0] word[0] routine[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i've always subscribed to the philosophy that any idea ( no matter how many times it's been used before ) can provide for a good story and " donnie brasco " clinches this idea . 	i've always subscribed to the philosophy that any idea ( no matter how many times it's been used before ) can provide for a good story and " donnie brasco " clinches this idea .	2	-1	 i've[0] always[0] subscribed[0] to[0] the[0] philosophy[0] that[0] any[0] idea[0] no[0] matter[0] how[0] many[0] times[0] it's[0] been[0] used[0] before[0] can[0] provide[0] for[0] a[0] good[1] story[0] and[0] donnie[0] brasco[0] clinches[0] this[0] idea[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not unlike most of the great films of the genre , yet it never apes another's style as it has a good layer of authenticity , even if its core is a tad stale . 	it's not unlike most of the great films of the genre , yet it never apes another's style as it has a good layer of authenticity , even if its core is a tad stale .	3	-2	 it's[0] not[0] unlike[0] most[0] of[0] the[0] great[2] films[0] of[0] the[0] genre[0] yet[0] it[0] never[0] apes[0] another's[0] style[0] as[0] it[0] has[0] a[0] good[1] layer[0] of[0] authenticity[0] even[0] if[0] its[0] core[0] is[0] a[0] tad[0] stale[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film starts off in typical fashion by defining its atmosphere of new york city in the late 1970s and the mobsters who inhibit it . 	the film starts off in typical fashion by defining its atmosphere of new york city in the late 1970s and the mobsters who inhibit it .	1	-2	 the[0] film[0] starts[0] off[0] in[0] typical[0] fashion[0] by[0] defining[0] its[0] atmosphere[0] of[0] new[0] york[0] city[0] in[0] the[0] late[0] 1970s[0] and[0] the[0] mobsters[0] who[0] inhibit[-1] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we meet lefty ( pacino ) , an aging wiseguy who can still walk the walk and talk the talk . 	we meet lefty ( pacino ) , an aging wiseguy who can still walk the walk and talk the talk .	1	-1	 we[0] meet[0] lefty[0] pacino[0] an[0] aging[0] wiseguy[0] who[0] can[0] still[0] walk[0] the[0] walk[0] and[0] talk[0] the[0] talk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he and his associates go through the generic motions you expect to see in crime films like this . 	he and his associates go through the generic motions you expect to see in crime films like this .	2	-2	 he[0] and[0] his[0] associates[0] go[0] through[0] the[0] generic[0] motions[0] you[0] expect[0] to[0] see[0] in[0] crime[-1] films[0] like[1] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
somehow he comes across donnie brasco ( depp ) , a younger guy with a lot of spunk who isn't afraid of lefty and his rep , and even manages to befriend him after lefty was ready to kill him . 	somehow he comes across donnie brasco ( dep ) , a younger guy with a lot of spunk who isn't afraid of lefty and his rep , and even manages to befriend him after lefty was ready to kill him .	4	-2	 somehow[0] he[0] comes[0] across[0] donnie[0] brasco[0] depp/dep[0] a[0] younger[0] guy[0] with[0] a[0] lot[0] of[0] spunk[0] who[0] isn't[0] afraid[-3][NegatedDueToPreviousWord] of[0] lefty[0] and[0] his[0] rep[0] and[0] even[0] manages[0] to[0] befriend[0] him[0] after[0] lefty[0] was[0] ready[0] to[0] kill[-1] him[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it's clear donnie is new to the life and lefty recognizes this immediately , telling him all the tricks of the trade . 	it's clear donnie is new to the life and lefty recognizes this immediately , telling him all the tricks of the trade .	1	-2	 it's[0] clear[0] donnie[0] is[0] new[0] to[0] the[0] life[0] and[0] lefty[0] recognizes[0] this[0] immediately[0] telling[0] him[0] all[0] the[0] tricks[-1] of[0] the[0] trade[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have never seen this technique of actually revealing the mafioso idiosyncrasies done before and for this the film deserves credit . 	i have never seen this technique of actually revealing the mafioso idiosyncrasies done before and for this the film deserves credit .	1	-1	 i[0] have[0] never[0] seen[0] this[0] technique[0] of[0] actually[0] revealing[0] the[0] mafioso[0] idiosyncrasies[0] done[0] before[0] and[0] for[0] this[0] the[0] film[0] deserves[0] credit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , we soon realize donnie is actually joe pistone , an fbi agent working undercover - a character who symbolizes the viewer as he will soon be purged into the lifestyle and treated as a newcomer . 	however , we soon realize donnie is actually joe pistone , an fbi agent working undercover - a character who symbolizes the viewer as he will soon be purged into the lifestyle and treated as a newcomer .	1	-1	 however[0] we[0] soon[0] realize[0] donnie[0] is[0] actually[0] joe[0] pistone[0] an[0] fbi[0] agent[0] working[0] undercover[0] a[0] character[0] who[0] symbolizes[0] the[0] viewer[0] as[0] he[0] will[0] soon[0] be[0] purged[0] into[0] the[0] lifestyle[0] and[0] treated[0] as[0] a[0] newcomer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
