capsule : this is a harrowing look at a rarely dramatized chapter of wwii , life in a japanese prison camp . 	Translation	Positive	Negative	EmotionRationale
to end all wars is a moving film about the struggle of prisoners to retain their humanity and their dignity . 	to end all wars is a moving film about the struggle of prisoners to retain their humanity and their dignity .	2	-3	 to[0] end[0] all[0] wars[-2] is[0] a[0] moving[0] film[0] about[0] the[0] struggle[-1] of[0] prisoners[-1] to[0] retain[0] their[0] humanity[0] and[0] their[0] dignity[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the somewhat religious interpretation may not be to everyone's taste . 	the somewhat religious interpretation may not be to everyone's taste .	1	-1	 the[0] somewhat[0] religious[0] interpretation[0] may[0] not[0] be[0] to[0] everyone's[0] taste[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ,  3 ( -4 to  4 ) 	 ,  3 ( -4 to  4 )	1	-1	 3[0] -4[0] to[0] 4[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
more than any other people the japanese seem capable of acting with one goal and not letting any other consideration get in their way . 	more than any other people the japanese seem capable of acting with one goal and not letting any other consideration get in their way .	1	-1	 more[0] than[0] any[0] other[0] people[0] the[0] japanese[0] seem[0] capable[0] of[0] acting[0] with[0] one[0] goal[0] and[0] not[0] letting[0] any[0] other[0] consideration[0] get[0] in[0] their[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this may be a holdover from the code of bushido when loyalty to ones master was the only law . 	this may be a holdover from the code of bushido when loyalty to ones master was the only law .	2	-1	 this[0] may[0] be[0] a[0] holdover[0] from[0] the[0] code[0] of[0] bushido[0] when[0] loyalty[1] to[0] ones[0] master[0] was[0] the[0] only[0] law[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
during world war ii , of course , the one goal was winning the war . 	during world war i , of course , the one goal was winning the war .	2	-3	 during[0] world[0] war[-2] ii/i[0] of[0] course[0] the[0] one[0] goal[0] was[0] winning[1] the[0] war[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this led them to do some very inhuman things in pursuit of that goal . 	this led them to do some very inhuman things in pursuit of that goal .	1	-4	 this[0] led[0] them[0] to[0] do[0] some[0] very[0] inhuman[-2][-1 LastWordBoosterStrength] things[0] in[0] pursuit[0] of[0] that[0] goal[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when the japanese had captured prisoners , they were very much treated in whatever way would be optimum for achieving the one goal . 	when the japanese had captured prisoners , they were very much treated in whatever way would be optimum for achieving the one goal .	1	-2	 when[0] the[0] japanese[0] had[0] captured[-1] prisoners[-1] they[0] were[0] very[0] much[0] treated[0] in[0] whatever[0] way[0] would[0] be[0] optimum[0] for[0] achieving[0] the[0] one[0] goal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
minimum resources were to be spent in maintaining prisoners in keeping with maximal positive output . 	minimum resources were to be spent in maintaining prisoners in keeping with maximal positive output .	3	-2	 minimum[0] resources[0] were[0] to[0] be[0] spent[0] in[0] maintaining[0] prisoners[-1] in[0] keeping[0] with[0] maximal[0] positive[2] output[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
while the germans , not known for their kindness in those days , had a 6% mortality rate among captured prisoners of war , the mortality rate of japanese prisoners of war was 27% . 	while the germans , not known for their kindness in those days , had a 6% mortality rate among captured prisoners of war , the mortality rate of japanese prisoners of war was 27% .	2	-3	 while[0] the[0] germans[-1] not[0] known[0] for[0] their[0] kindness[1] in[0] those[0] days[0] had[0] a[0] 6%[0] mortality[0] rate[0] among[0] captured[-1] prisoners[-1] of[0] war[-2] the[0] mortality[0] rate[0] of[0] japanese[0] prisoners[-1] of[0] war[-2] was[0] 27%[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
