the heartbreak kid ( reviewed on aug . 26th/1998 ) 	Translation	Positive	Negative	EmotionRationale
starring charles grodin , cybill sheppard , eddie albert 	starring charles grodin , cybill sheppard , eddie albert	1	-1	 starring[0] charles[0] grodin[0] cybill[0] sheppard[0] eddie[0] albert[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in " the heartbreak kid " , charles grodin plays one of the most unbelievably obnoxious characters i've seen on screen in a long time . 	in " the heartbreak kid " , charles grodin plays one of the most unbelievably obnoxious characters i've seen on screen in a long time .	2	-4	 in[0] the[0] heartbreak[-3] kid[0] charles[0] grodin[0] plays[1] one[0] of[0] the[0] most[0] unbelievably[-1] obnoxious[-2] characters[0] i've[0] seen[0] on[0] screen[0] in[0] a[0] long[0] time[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he's a guy who spends virtually the entire running time of the movie bullshitting his way from one situation to another . 	he's a guy who spends virtually the entire running time of the movie bullshitting his way from one situation to another .	1	-3	 he's[0] a[0] guy[0] who[0] spends[0] virtually[0] the[0] entire[0] running[0] time[0] of[0] the[0] movie[0] bullshitting[-2] his[0] way[0] from[0] one[0] situation[0] to[0] another[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i doubt he ever expressed any genuine feeling at all during the film . 	i doubt he ever expressed any genuine feeling at all during the film .	1	-2	 i[0] doubt[-1] he[0] ever[0] expressed[0] any[0] genuine[0] feeling[0] at[0] all[0] during[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as the film opens , he has just gotten married , and is on the way to miami beach for his honeymoon . 	as the film opens , he has just gotten married , and is on the way to miami beach for his honeymoon .	1	-1	 as[0] the[0] film[0] opens[0] he[0] has[0] just[0] gotten[0] married[0] and[0] is[0] on[0] the[0] way[0] to[0] miami[0] beach[0] for[0] his[0] honeymoon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
halfway there , he begins to resent his bride . 	halfway there , he begins to resent his bride .	1	-3	 halfway[0] there[0] he[0] begins[0] to[0] resent[-2] his[0] bride[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by the time he arrives at his hotel and has met the cybill sheppard character , he is ready to divorce his wife . 	by the time he arrives at his hotel and has met the cybill sheppard character , he is ready to divorce his wife .	1	-2	 by[0] the[0] time[0] he[0] arrives[0] at[0] his[0] hotel[0] and[0] has[0] met[0] the[0] cybill[0] sheppard[0] character[0] he[0] is[0] ready[0] to[0] divorce[-1] his[0] wife[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as played by grodin , this character is the type of person that nothing will ever be good enough for him . 	as played by grodin , this character is the type of person that nothing will ever be good enough for him .	2	-1	 as[0] played[0] by[0] grodin[0] this[0] character[0] is[0] the[0] type[0] of[0] person[0] that[0] nothing[0] will[0] ever[0] be[0] good[1] enough[0] for[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the phrase " the grass is always greener on the other side of the fence " was practically written with him in mind . 	the phrase " the grass is always greener on the other side of the fence " was practically written with him in mind .	1	-1	 the[0] phrase[0] the[0] grass[0] is[0] always[0] greener[0] on[0] the[0] other[0] side[0] of[0] the[0] fence[0] was[0] practically[0] written[0] with[0] him[0] in[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , if he finds something he really wants , he will pursue it for as long as it takes . 	however , if he finds something he really wants , he will pursue it for as long as it takes .	1	-1	 however[0] if[0] he[0] finds[0] something[0] he[0] really[0] wants[0] he[0] will[0] pursue[0] it[0] for[0] as[0] long[0] as[0] it[0] takes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
