 " stuart little " is one of the best family films to come out this year . 	Translation	Positive	Negative	EmotionRationale
it's a cute , funny and very good-natured film that has nothing for parents to squirm over except a few mild cusswords . 	it's a cute , funny and very good-natured film that has nothing for parents to squirm over except a few mild cusswords .	3	-3	 it's[0] a[0] cute[1] funny[1] and[0] very[0] good[1][1 LastWordBoosterStrength] natured[0] film[0] that[0] has[0] nothing[0] for[0] parents[0] to[0] squirm[-2] over[0] except[0] a[0] few[0] mild[0] cusswords[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
though i read the book a long time ago and i really do not remember what it was about , i do know that this film does not disappoint . 	though i read the book a long time ago and i really do not remember what it was about , i do know that this film does not disappoint .	2	-1	 though[0] i[0] read[0] the[0] book[0] a[0] long[0] time[0] ago[0] and[0] i[0] really[0] do[0] not[0] remember[0] what[0] it[0] was[0] about[0] i[0] do[0] know[0] that[0] this[0] film[0] does[0] not[0] disappoint[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
finally a movie gets released that is as good as the trailer makes it to be , with a few surprising twists , some very funny moments , and a few sentimental moments all mixed in to one great little movie . 	finally a movie gets released that is as good as the trailer makes it to be , with a few surprising twists , some very funny moments , and a few sentimental moments all mixed in to one great little movie .	3	-1	 finally[0] a[0] movie[0] gets[0] released[0] that[0] is[0] as[0] good[1] as[0] the[0] trailer[0] makes[0] it[0] to[0] be[0] with[0] a[0] few[0] surprising[0] twists[0] some[0] very[0] funny[1][1 LastWordBoosterStrength] moments[0] and[0] a[0] few[0] sentimental[2] moments[0] all[0] mixed[0] in[0] to[0] one[0] great[2] little[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
stuart little is a mouse . 	stuart little is a mouse .	1	-1	 stuart[0] little[0] is[0] a[0] mouse[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has finally gotten a new home after being put up for adoption , he now lives with the littles . 	he has finally gotten a new home after being put up for adoption , he now lives with the littles .	1	-1	 he[0] has[0] finally[0] gotten[0] a[0] new[0] home[0] after[0] being[0] put[0] up[0] for[0] adoption[0] he[0] now[0] lives[0] with[0] the[0] littles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a nice little ( no pun intended ) family that lives in their apartment next to central park in new york city . 	a nice little ( no pun intended ) family that lives in their apartment next to central park in new york city .	2	-1	 a[0] nice[1] little[0] no[0] pun[0] intended[0] family[0] that[0] lives[0] in[0] their[0] apartment[0] next[0] to[0] central[0] park[0] in[0] new[0] york[0] city[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they have a little boy george ( played by the adorable jonathan lipnicki ) and now they have a new son . 	they have a little boy george ( played by the adorable jonathan lipnicki ) and now they have a new son .	4	-1	 they[0] have[0] a[0] little[0] boy[0] george[0] played[0] by[0] the[0] adorable[3] jonathan[0] lipnicki[0] and[0] now[0] they[0] have[0] a[0] new[0] son[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
at first stuart takes a while but he finally adjusts to being part of the family and even getting along with the pet cat . 	at first stuart takes a while but he finally adjusts to being part of the family and even getting along with the pet cat .	1	-1	 at[0] first[0] stuart[0] takes[0] a[0] while[0] but[0] he[0] finally[0] adjusts[0] to[0] being[0] part[0] of[0] the[0] family[0] and[0] even[0] getting[0] along[0] with[0] the[0] pet[0] cat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
george doesn't take too well to having a mouse for a brother at first , but once the two play together they instantly bond . 	george doesn't take too well to having a mouse for a brother at first , but once the two play together they instantly bond .	1	-1	 george[0] doesn't[0] take[0] too[0] well[0] to[0] having[0] a[0] mouse[0] for[0] a[0] brother[0] at[0] first[0] but[0] once[0] the[0] two[0] play[0] together[0] they[0] instantly[0] bond[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stuart however is missing something , and he wants to know who his real parents are . 	stuart however is missing something , and he wants to know who his real parents are .	1	-1	 stuart[0] however[0] is[0] missing[0] something[0] and[0] he[0] wants[0] to[0] know[0] who[0] his[0] real[0] parents[0] are[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
