while watching wes anderson's rushmore , it may be surprising to think that the role of max fischer , the film's anti-hero , was not written with jason schwartzman in mind . 	Translation	Positive	Negative	EmotionRationale
the young actor , making his film debut as a 15 year old student at the exclusive rushmore academy is so perfect in the role that it comes as a shock that anderson auditioned some two thousand other prospective stars before discovering schwarztman . 	the young actor , making his film debut as a 15 year old student at the exclusive rushmore academy is so perfect in the role that it comes as a shock that anderson auditioned some two thousand other prospective stars before discovering schwarztman .	2	-3	 the[0] young[0] actor[0] making[0] his[0] film[0] debut[0] as[0] a[0] 15[0] year[0] old[0] student[0] at[0] the[0] exclusive[0] rushmore[0] academy[0] is[0] so[0] perfect[1] in[0] the[0] role[0] that[0] it[0] comes[0] as[0] a[0] shock[-2] that[0] anderson[0] auditioned[0] some[0] two[0] thousand[0] other[0] prospective[0] stars[0] before[0] discovering[0] schwarztman[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
schwartzman plays max , a student who is more interested in his extra-curricular activities ( such as writing edgy plays like " serpico " and being president of the rushmore beekeepers ) but sees his grades suffer as a result . 	schwartzman plays max , a student who is more interested in his extra-curricular activities ( such as writing edgy plays like " serpico " and being president of the rushmore beekeepers ) but sees his grades suffer as a result .	2	-4	 schwartzman[0] plays[1] max[0] a[0] student[0] who[0] is[0] more[0] interested[1] in[0] his[0] extra[0] curricular[0] activities[0] such[0] as[0] writing[0] edgy[0] plays[1] like[1] serpico[0] and[0] being[0] president[0] of[0] the[0] rushmore[0] beekeepers[0] but[0] sees[0] his[0] grades[0] suffer[-3] as[0] a[0] result[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
on the brink of being thrown out , he lands himself in even more hot water when he falls for first grade teacher rosemary cross ( olivia williams ) and enlists the help of millionaire acquaintance herman blume ( the great bill murray ) to build an aquarium ( on rushmore's baseball field ) in her honour . 	on the brink of being thrown out , he lands himself in even more hot water when he falls for first grade teacher rosemary cross ( olivia williams ) and enlists the help of millionaire acquaintance herman blume ( the great bill murray ) to build an aquarium ( on rushmore's baseball field ) in her honour .	3	-2	 on[0] the[0] brink[0] of[0] being[0] thrown[0] out[0] he[0] lands[0] himself[0] in[0] even[0] more[0] hot[0] water[0] when[0] he[0] falls[0] for[0] first[0] grade[0] teacher[0] rosemary[0] cross[-1] olivia[0] williams[0] and[0] enlists[0] the[0] help[0] of[0] millionaire[0] acquaintance[0] herman[0] blume[0] the[0] great[2] bill[0] murray[0] to[0] build[0] an[0] aquarium[0] on[0] rushmore's[0] baseball[0] field[0] in[0] her[0] honour[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unfortunately for everyone involved , blume finds that he has feelings for miss cross as well , which gets in the way of max's plans to woo her . 	unfortunately for everyone involved , blume finds that he has feelings for miss cross as well , which gets in the way of max's plans to woo her .	2	-2	 unfortunately[-1] for[0] everyone[0] involved[0] blume[0] finds[0] that[0] he[0] has[0] feelings[0] for[0] miss[-1] cross[-1] as[0] well[0] which[0] gets[0] in[0] the[0] way[0] of[0] max's[0] plans[0] to[0] woo[0] her[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
max is one of the best-written characters we've yet seen in the 90s , and schwartzman plays him to perfection in one of the finest comedy performances ever given by someone of his age . 	max is one of the best-written characters we've yet seen in the 90s , and schwartzman plays him to perfection in one of the finest comedy performances ever given by someone of his age .	2	-1	 max[0] is[0] one[0] of[0] the[0] best[1] written[0] characters[0] we've[0] yet[0] seen[0] in[0] the[0] 90s[0] and[0] schwartzman[0] plays[1] him[0] to[0] perfection[1] in[0] one[0] of[0] the[0] finest[0] comedy[0] performances[0] ever[0] given[0] by[0] someone[0] of[0] his[0] age[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as everyone else has probably already pointed out , he is reminiscent of a young dustin hoffman ( although i was reminded more of paul from " the wonder years " , from a visual standpoint , at least ) . 	as everyone else has probably already pointed out , he is reminiscent of a young dustin hoffman ( although i was reminded more of paul from " the wonder years " , from a visual standpoint , at least ) .	1	-1	 as[0] everyone[0] else[0] has[0] probably[0] already[0] pointed[0] out[0] he[0] is[0] reminiscent[0] of[0] a[0] young[0] dustin[0] hoffman[0] although[0] i[0] was[0] reminded[0] more[0] of[0] paul[0] from[0] the[0] wonder[0] years[0] from[0] a[0] visual[0] standpoint[0] at[0] least[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hopefully , if he avoids typecasting as weird , quirky loner-types he should earn himself a good career . 	hopefully , if he avoids typecasting as weird , quirky loner-types he should earn himself a good career .	2	-2	 hopefully[0] if[0] he[0] avoids[-1] typecasting[0] as[0] weird[-1] quirky[0] loner[-1] types[0] he[0] should[0] earn[0] himself[0] a[0] good[1] career[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bill murray is his equal as blume , displaying a depth we haven't yet seen from him . 	bill murray is his equal as blume , displaying a depth we haven't yet seen from him .	1	-1	 bill[0] murray[0] is[0] his[0] equal[0] as[0] blume[0] displaying[0] a[0] depth[0] we[0] haven't[0] yet[0] seen[0] from[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while this isn't his best performance ( that honour goes to groundhog day ) he is still terrific here . 	while this isn't his best performance ( that honour goes to groundhog day ) he is still terrific here .	4	-2	 while[0] this[0] isn't[0] his[0] best[1][NegatedDueToPreviousWord] performance[0] that[0] honour[0] goes[0] to[0] groundhog[0] day[0] he[0] is[0] still[0] terrific[3] here[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
williams isn't given much to do except react to schwartzman and murray , but still does fine work . 	williams isn't given much to do except react to schwartzman and murray , but still does fine work .	3	-1	 williams[0] isn't[0] given[0] much[0] to[0] do[0] except[0] react[0] to[0] schwartzman[0] and[0] murray[0] but[0] still[0] does[0] fine[2] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
