titanic is so close to being the perfect movie it's upsetting that it isn't . 	Translation	Positive	Negative	EmotionRationale
the film , which cost  200 million  to make and could of put 20th century fox into a lot of finicial trouble if it 'sunk' ( pun intended ) is a labour of love for cameron , who wrote and directed the film . 	the film , which cost  200 million  to make and could of put 20th century fox into a lot of finicial trouble if it 'sunk' ( pun intended ) is a labour of love for cameron , who wrote and directed the film .	3	-2	 the[0] film[0] which[0] cost[0] 200[0] million[0] to[0] make[0] and[0] could[0] of[0] put[0] 20th[0] century[0] fox[0] into[0] a[0] lot[0] of[0] finicial[0] trouble[-1] if[0] it[0] 'sunk'[0] pun[0] intended[0] is[0] a[0] labour[0] of[0] love[2] for[0] cameron[0] who[0] wrote[0] and[0] directed[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we all know that big budget dosen't mean great film ( see waterworld ( 1995 ) ) but titanic is far superior to kevin costners waterlogged epic . 	we all know that big budget dosen't mean great film ( see waterworld ( 1995 ) ) but titanic is far superior to kevin costners waterlogged epic .	3	-1	 we[0] all[0] know[0] that[0] big[0] budget[0] dosen't[0] mean[0] great[2] film[0] see[0] waterworld[0] 1995[0] but[0] titanic[0] is[0] far[0] superior[2] to[0] kevin[0] costners[0] waterlogged[0] epic[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but sadly , titanic just misses the mark of masterpiece ( although it is one of cameron's best films ) 	but sadly , titanic just misses the mark of masterpiece ( although it is one of cameron's best films )	2	-2	 but[0] sadly[-1] titanic[0] just[0] misses[-2][--1 LastWordBoosterStrength] the[0] mark[0] of[0] masterpiece[0] although[0] it[0] is[0] one[0] of[0] cameron's[0] best[1] films[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film starts with present day explorers searching the runied titanic . 	the film starts with present day explorers searching the runied titanic .	1	-1	 the[0] film[0] starts[0] with[0] present[0] day[0] explorers[0] searching[0] the[0] runied[0] titanic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they find a safe , and inside a picture of a woman . 	they find a safe , and inside a picture of a woman .	2	-1	 they[0] find[0] a[0] safe[1] and[0] inside[0] a[0] picture[0] of[0] a[0] woman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the woman in the picture ( an old winslet ) tells the explorers that the picture is of her . 	the woman in the picture ( an old winslet ) tells the explorers that the picture is of her .	1	-1	 the[0] woman[0] in[0] the[0] picture[0] an[0] old[0] winslet[0] tells[0] the[0] explorers[0] that[0] the[0] picture[0] is[0] of[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the explorers invite her over , and she then tells her story of titanic . 	the explorers invite her over , and she then tells her story of titanic .	1	-1	 the[0] explorers[0] invite[0] her[0] over[0] and[0] she[0] then[0] tells[0] her[0] story[0] of[0] titanic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the flashback , dicaprio plays poor boy jack dawson , who , after winning a poker game , wins two tickets to board the grand ship titanic , leaving liverpool to go to america . 	in the flashback , dicaprio plays poor boy jack dawson , who , after winning a poker game , wins two tickets to board the grand ship titanic , leaving liverpool to go to america .	2	-2	 in[0] the[0] flashback[0] dicaprio[0] plays[1] poor[-1] boy[0] jack[0] dawson[0] who[0] after[0] winning[1] a[0] poker[0] game[0] wins[0] two[0] tickets[0] to[0] board[0] the[0] grand[1] ship[0] titanic[0] leaving[0] liverpool[0] to[0] go[0] to[0] america[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
also boarding the ship is rich woman rose dewitt bukater ( winslet ) who is being forced into a marriage with a man she dosen't love at all , cal hockley ( zane ) so her family can remain rich . 	also boarding the ship is rich woman rose dewitt bukater ( winslet ) who is being forced into a marriage with a man she dosen't love at all , cal hockley ( zane ) so her family can remain rich .	3	-1	 also[0] boarding[0] the[0] ship[0] is[0] rich[0] woman[0] rose[0] dewitt[0] bukater[0] winslet[0] who[0] is[0] being[0] forced[0] into[0] a[0] marriage[0] with[0] a[0] man[0] she[0] dosen't[0] love[2] at[0] all[0] cal[0] hockley[0] zane[0] so[0] her[0] family[0] can[0] remain[0] rich[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she nearly commits suicide on the ship , but jack comes to the rescue , saves rose , they fall in love , and cal gets jealous and eventually tries to kill them . 	she nearly commits suicide on the ship , but jack comes to the rescue , saves rose , they fall in love , and cal gets jealous and eventually tries to kill them .	3	-4	 she[0] nearly[0] commits[0] suicide[-3] on[0] the[0] ship[0] but[0] jack[0] comes[0] to[0] the[0] rescue[0] saves[1] rose[0] they[0] fall[0] in[0] love[2] and[0] cal[0] gets[0] jealous[-2] and[0] eventually[0] tries[0] to[0] kill[-1] them[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
oh yeah , and the ship sinks . 	oh yeah , and the ship sinks .	1	-1	 oh[0] yeah[0] and[0] the[0] ship[0] sinks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that is the main problem with the film , and which stops it from being a work of genius . 	and that is the main problem with the film , and which stops it from being a work of genius .	1	-2	 and[0] that[0] is[0] the[0] main[0] problem[-1] with[0] the[0] film[0] and[0] which[0] stops[0] it[0] from[0] being[0] a[0] work[0] of[0] genius[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story and script ( both by cameron ) are both weak . 	the story and script ( both by cameron ) are both weak .	1	-2	 the[0] story[0] and[0] script[0] both[0] by[0] cameron[0] are[0] both[0] weak[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
