for this review and more , visit clear illusions ( www . clearillusions . com ) 	Translation	Positive	Negative	EmotionRationale
the majority of scary movies signal the fact that a character is about to meet their demise with cheesy music , worn out dialogue such as " i'll be right back , " or simply with the overall tone of the scene . 	the majority of scary movies signal the fact that a character is about to meet their demise with cheesy music , worn out dialogue such as " i'll be right back , " or simply with the overall tone of the scene .	1	-4	 the[0] majority[0] of[0] scary[-3] movies[0] signal[0] the[0] fact[0] that[0] a[0] character[0] is[0] about[0] to[0] meet[0] their[0] demise[-1] with[0] cheesy[0] music[0] worn[-1] out[0] dialogue[0] such[0] as[0] i'll[0] be[0] right[0] back[0] or[0] simply[0] with[0] the[0] overall[0] tone[0] of[0] the[0] scene[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
how about a classic john denver song as a death signal for a change ? 	how about a classic john denver song as a death signal for a change ?	1	-3	 how[0] about[0] a[0] classic[0] john[0] denver[0] song[0] as[0] a[0] death[-2] signal[0] for[0] a[0] change[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that's the kind of bursting originality that allows " final destination " to invade the viewer's mind , even days after seeing it , making one pause before ever entering a dark room , taking a shower , or even going to sleep . 	that's the kind of bursting originality that allows " final destination " to invade the viewer's mind , even days after seeing it , making one pause before ever entering a dark room , taking a shower , or even going to sleep .	2	-2	 that's[0] the[0] kind[1] of[0] bursting[0] originality[0] that[0] allows[0] final[0] destination[0] to[0] invade[-1] the[0] viewer's[0] mind[0] even[0] days[0] after[0] seeing[0] it[0] making[0] one[0] pause[0] before[0] ever[0] entering[0] a[0] dark[0] room[0] taking[0] a[0] shower[0] or[0] even[0] going[0] to[0] sleep[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the unique and horrifying thriller is the best thing to happen to the slasher genre since 1996's " scream . " 	the unique and horrifying thriller is the best thing to happen to the slasher genre since 1996's " scream .<br> "	2	-4	 the[0] unique[0] and[0] horrifying[-3] thriller[1] is[0] the[0] best[1] thing[0] to[0] happen[0] to[0] the[0] slasher[-1] genre[0] since[0] 1996's[0] scream[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " final destination , " directed by james wong and penned by jeffrey riddick , glen morgan , and james wong , the latter two being writers for the t . v . 	 " final destination , " directed by james wong and penned by jeffrey riddick , glen morgan , and james wong , the latter two being writers for the t .<br> v .	1	-1	 final[0] destination[0] directed[0] by[0] james[0] wong[0] and[0] penned[0] by[0] jeffrey[0] riddick[0] glen[0] morgan[0] and[0] james[0] wong[0] the[0] latter[0] two[0] being[0] writers[0] for[0] the[0] t[0] [[Sentence=-1,1=word max, 1-5]] v[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
series " the x-files , " is a movie with wonderful ideas , and executes them effortlessly . 	series " the x-files , " is a movie with wonderful ideas , and executes them effortlessly .	3	-2	 series[0] the[0] x[1] files[0] is[0] a[0] movie[0] with[0] wonderful[2] ideas[0] and[0] executes[-1] them[0] effortlessly[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's rare a film of this nature can grab an audience's attention these days , as the genre has seem to be completely worn out ? ?  but " final destination " has more in store for one than one can imagine . 	it's rare a film of this nature can grab an audience's attention these days , as the genre has seem to be completely worn out ?<br> ?<br>  but " final destination " has more in store for one than one can imagine .	1	-3	 it's[0] rare[0] a[0] film[0] of[0] this[0] nature[0] can[0] grab[-1] an[0] audience's[0] attention[0] these[0] days[0] as[0] the[0] genre[0] has[0] seem[0] to[0] be[0] completely[0] worn[-1][-1 LastWordBoosterStrength] out[0] [[Sentence=-3,1=word max, 1-5]] but[0] final[0] destination[0] has[0] more[0] in[0] store[0] for[0] one[0] than[0] one[0] can[0] imagine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
unlike " halloween " 's michael myers or " nightmare on elm street " 's freddy kruger , " final destination " 's killer is of the supernatural , the dark one himself , death . 	unlike " halloween " 's michael myers or " nightmare on elm street " 's freddy kruger , " final destination " 's killer is of the supernatural , the dark one himself , death .	1	-3	 unlike[0] halloween[0] 's[0] michael[0] myers[0] or[0] nightmare[-2] on[0] elm[0] street[0] 's[0] freddy[0] kruger[0] final[0] destination[0] 's[0] killer[-1] is[0] of[0] the[0] supernatural[0] the[0] dark[0] one[0] himself[0] death[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the intriguing premise is as follows ; a portion of a senior class is set to travel by air to paris for their class trip . 	the intriguing premise is as follows ; a portion of a senior class is set to travel by air to paris for their class trip .	1	-1	 the[0] intriguing[0] premise[0] is[0] as[0] follows[0] a[0] portion[0] of[0] a[0] senior[0] class[0] is[0] set[0] to[0] travel[0] by[0] air[0] to[0] paris[0] for[0] their[0] class[0] trip[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after boarding the plane , one of the students , alex browning ( devon sawa ) dreams of their plane exploding into flames just after takeoff , killing everyone on board . 	after boarding the plane , one of the students , alex browning ( devon sawa ) dreams of their plane exploding into flames just after takeoff , killing everyone on board .	1	-2	 after[0] boarding[0] the[0] plane[0] one[0] of[0] the[0] students[0] alex[0] browning[0] devon[0] sawa[0] dreams[0] of[0] their[0] plane[0] exploding[0] into[0] flames[0] just[0] after[0] takeoff[0] killing[-1] everyone[0] on[0] board[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once waking up , alex gets himself and six others off of that plane , all of who seem to be rather confused by the entire happening . 	once waking up , alex gets himself and six others off of that plane , all of who seem to be rather confused by the entire happening .	1	-2	 once[0] waking[0] up[0] alex[0] gets[0] himself[0] and[0] six[0] others[0] off[0] of[0] that[0] plane[0] all[0] of[0] who[0] seem[0] to[0] be[0] rather[0] confused[-1] by[0] the[0] entire[0] happening[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shortly after their departure , the plane takes off , and guess what ; it blows up in middair . 	shortly after their departure , the plane takes off , and guess what ; it blows up in midair .	1	-1	 shortly[0] after[0] their[0] departure[0] the[0] plane[0] takes[0] off[0] and[0] guess[0] what[0] it[0] blows[0] up[0] in[0] middair/midair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , alex , and fellow survivors , who consist of friend clear waters ( ali larter ) , enemy carter ( kerr smith ) , carter's girlfriend terry ( amanda detmer ) , the goofy billy ( sean william scott ) and his brother tod ( chad donella ) , and teacher , ms . valerie lewton ( kristen cloke ) , are in extreme danger , as it seems they have cheated death by getting off of that plane , and now death wants them . 	now , alex , and fellow survivors , who consist of friend clear waters ( ali larter ) , enemy carter ( ker smith ) , carter's girlfriend terry ( amanda detmer ) , the goofy billy ( sean william scot ) and his brother tod ( chad donella ) , and teacher , ms .<br> valerie lewton ( kristen cloke ) , are in extreme danger , as it seems they have cheated death by getting off of that plane , and now death wants them .	2	-4	 now[0] alex[0] and[0] fellow[0] survivors[0] who[0] consist[0] of[0] friend[1] clear[0] waters[0] ali[0] larter[0] enemy[-1] carter[0] kerr/ker[0] smith[0] carter's[0] girlfriend[0] terry[0] amanda[0] detmer[0] the[0] goofy[0] billy[0] sean[0] william[0] scott/scot[0] and[0] his[0] brother[0] tod[0] chad[0] donella[0] and[0] teacher[0] ms[0] [[Sentence=-2,2=word max, 1-5]] valerie[0] lewton[0] kristen[0] cloke[0] are[0] in[0] extreme[0] danger[-1] as[0] it[0] seems[0] they[0] have[0] cheated[-2] death[-2][-1 MultiplePositiveWords] by[0] getting[0] off[0] of[0] that[0] plane[0] and[0] now[0] death[-2] wants[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
the number of survivors starts to peel back quite quickly as death goes around offing those who got off the plane ? ?  but who is next , and how will death get them ? 	the number of survivors starts to peel back quite quickly as death goes around offing those who got off the plane ?<br> ?<br>  but who is next , and how will death get them ?	1	-3	 the[0] number[0] of[0] survivors[0] starts[0] to[0] peel[0] back[0] quite[0] quickly[0] as[0] death[-2] goes[0] around[0] offing[0] those[0] who[0] got[0] off[0] the[0] plane[0] [[Sentence=-3,1=word max, 1-5]] but[0] who[0] is[0] next[0] and[0] how[0] will[0] death[-2] get[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " final destination " is a film that is unbearably suspenseful ; always making the viewer frantic , as death will strike in the most unlikely of times . 	 " final destination " is a film that is unbearably suspenseful ; always making the viewer frantic , as death will strike in the most unlikely of times .	1	-4	 final[0] destination[0] is[0] a[0] film[0] that[0] is[0] unbearably[-3] suspenseful[0] always[0] making[0] the[0] viewer[0] frantic[-1] as[0] death[-2] will[0] strike[-1] in[0] the[0] most[0] unlikely[0] of[0] times[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
john denver's " rocky mountain high " being played pretty much warrants another death ? ?  everyone on that plane learned the hard way . 	john denver's " rocky mountain high " being played pretty much warrants another death ?<br> ?<br>  everyone on that plane learned the hard way .	3	-3	 john[0] denver's[0] rocky[0] mountain[0] high[0] being[0] played[0] pretty[2] much[0] warrants[0] another[0] death[-2] [[Sentence=-3,3=word max, 1-5]] everyone[0] on[0] that[0] plane[0] learned[0] the[0] hard[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
although it's usually given whose life will be taken next , the intensity and unpredictability of the film never fades , because you don't know when death is coming . 	although it's usually given whose life will be taken next , the intensity and unpredictability of the film never fades , because you don't know when death is coming .	1	-3	 although[0] it's[0] usually[0] given[0] whose[0] life[0] will[0] be[0] taken[0] next[0] the[0] intensity[0] and[0] unpredictability[0] of[0] the[0] film[0] never[0] fades[0] because[0] you[0] don't[0] know[0] when[0] death[-2] is[0] coming[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
like the characters in the movie , i was constantly nervous and shaky during " final destination " . 	like the characters in the movie , i was constantly nervous and shaky during " final destination " .	2	-3	 like[1] the[0] characters[0] in[0] the[0] movie[0] i[0] was[0] constantly[0] nervous[-2] and[0] shaky[-1] during[0] final[0] destination[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the slightest noise or movement nearby would send me a mile into the air ? ?   and yes , the film is that intense . 	the slightest noise or movement nearby would send me a mile into the air ?<br> ?<br>   and yes , the film is that intense .	1	-1	 the[0] slightest[0] noise[0] or[0] movement[0] nearby[0] would[0] send[0] me[0] a[0] mile[0] into[0] the[0] air[0] [[Sentence=-1,1=word max, 1-5]] and[0] yes[0] the[0] film[0] is[0] that[0] intense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cast is surprisingly effective and up to par ; the best ensemble in this genre since " scream . " 	the cast is surprisingly effective and up to par ; the best ensemble in this genre since " scream .<br> "	2	-4	 the[0] cast[0] is[0] surprisingly[0] effective[0] and[0] up[0] to[0] par[0] the[0] best[1] ensemble[0] in[0] this[0] genre[0] since[0] scream[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the characters have multi-dimensional personalities for a change , and for the most part , you highly sympathize with them once death starts to come their way . 	the characters have multi-dimensional personalities for a change , and for the most part , you highly sympathize with them once death starts to come their way .	1	-3	 the[0] characters[0] have[0] multi[0] dimensional[0] personalities[0] for[0] a[0] change[0] and[0] for[0] the[0] most[0] part[0] you[0] highly[0] sympathize[0] with[0] them[0] once[0] death[-2] starts[0] to[0] come[0] their[0] way[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
