set in the wild west , this carry on centres around the arrival of the rumpo kid ( sidney james ) and his cronies in stodge city . 	Translation	Positive	Negative	EmotionRationale
his dodgy dealings and summary shootings aggravate judge burke ( kenneth williams ) so much that he asks sheriff albert earp ( jon pertwee ) to drive rumpo out of town . 	his dodgy dealings and summary shootings aggravate judge burke ( kenneth williams ) so much that he asks sheriff albert earp ( jon pertwee ) to drive rumpo out of town .	1	-3	 his[0] dodgy[0] dealings[0] and[0] summary[0] shootings[-1] aggravate[-2] judge[0] burke[0] kenneth[0] williams[0] so[0] much[0] that[0] he[0] asks[0] sheriff[0] albert[0] earp[0] jon[0] pertwee[0] to[0] drive[0] rumpo[0] out[0] of[0] town[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
instead , the rumpo kid shoots the sheriff dead . 	instead , the rumpo kid shoots the sheriff dead .	1	-3	 instead[0] the[0] rumpo[0] kid[0] shoots[-1] the[0] sheriff[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
therefore , judge burke sends for a law marshall to come in and clean up the city . 	therefore , judge burke sends for a law marshal to come in and clean up the city .	1	-1	 therefore[0] judge[0] burke[0] sends[0] for[0] a[0] law[0] marshall/marshal[0] to[0] come[0] in[0] and[0] clean[0] up[0] the[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
due to a misunderstanding , an english sanitary engineer called marshall p . knutt ( jim dale ) is assigned , without knowing it , as the law marshall for stodge city . 	due to a misunderstanding , an english sanitary engineer called marshal p .<br> knutt ( jim dale ) is assigned , without knowing it , as the law marshal for stodge city .	1	-2	 due[0] to[0] a[0] misunderstanding[-1] an[0] english[0] sanitary[0] engineer[0] called[0] marshall/marshal[0] p[0] [[Sentence=-2,1=word max, 1-5]] knutt[0] jim[0] dale[0] is[0] assigned[0] without[0] knowing[0] it[0] as[0] the[0] law[0] marshall/marshal[0] for[0] stodge[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
he arrives at the same time as annie oakley ( angela douglas ) who is seeking revenge for her father , the sheriff's murder . 	he arrives at the same time as annie oakley ( angela douglas ) who is seeking revenge for her father , the sheriff's murder .	1	-4	 he[0] arrives[0] at[0] the[0] same[0] time[0] as[0] annie[0] oakley[0] angela[0] douglas[0] who[0] is[0] seeking[0] revenge[-1] for[0] her[0] father[0] the[0] sheriff's[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when marshall arrives at stodge city , he soon becomes aware of the misunderstanding and due to his rather limited intellect , he is manipulated by the rumpo kid and always ends up getting things wrong . 	when marshal arrives at stodge city , he soon becomes aware of the misunderstanding and due to his rather limited intellect , he is manipulated by the rumpo kid and always ends up getting things wrong .	1	-2	 when[0] marshall/marshal[0] arrives[0] at[0] stodge[0] city[0] he[0] soon[0] becomes[0] aware[0] of[0] the[0] misunderstanding[-1] and[0] due[0] to[0] his[0] rather[0] limited[0] intellect[0] he[0] is[0] manipulated[-1] by[0] the[0] rumpo[0] kid[0] and[0] always[0] ends[0] up[0] getting[0] things[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the end , there is a head-to-head between rumpo and marshall . 	in the end , there is a head-to-head between rumpo and marshal .	1	-1	 in[0] the[0] end[0] there[0] is[0] a[0] head[0] to[0] head[0] between[0] rumpo[0] and[0] marshall/marshal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the rumpo's past experience , it would seem that marshall is out of his depth , but using his sanitary skills and learning the ways of the west from annie oakley , he at least stands some chance ! 	with the rumpo's past experience , it would seem that marshal is out of his depth , but using his sanitary skills and learning the ways of the west from annie oakley , he at least stands some chance !	1	-1	 with[0] the[0] rumpo's[0] past[0] experience[0] it[0] would[0] seem[0] that[0] marshall/marshal[0] is[0] out[0] of[0] his[0] depth[0] but[0] using[0] his[0] sanitary[0] skills[0] and[0] learning[0] the[0] ways[0] of[0] the[0] west[0] from[0] annie[0] oakley[0] he[0] at[0] least[0] stands[0] some[0] chance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sid james , with an american accent , is perfect as the rumpo kid , a part which suits him down to the ground . 	sid james , with an american accent , is perfect as the rumpo kid , a part which suits him down to the ground .	2	-1	 sid[0] james[0] with[0] an[0] american[0] accent[0] is[0] perfect[1] as[0] the[0] rumpo[0] kid[0] a[0] part[0] which[0] suits[0] him[0] down[0] to[0] the[0] ground[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jim dale provides one of his best carry on performances as the stupid sanitary engineer , and angela douglas is very effective in her role as the revengeful daughter . 	jim dale provides one of his best carry on performances as the stupid sanitary engineer , and angela douglas is very effective in her role as the revengeful daughter .	2	-2	 jim[0] dale[0] provides[0] one[0] of[0] his[0] best[1] carry[0] on[0] performances[0] as[0] the[0] stupid[-1] sanitary[0] engineer[0] and[0] angela[0] douglas[0] is[0] very[0] effective[0] in[0] her[0] role[0] as[0] the[0] revengeful[-1] daughter[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
other regulars that appear in this movie include charles hawtrey and bernard bresslaw ( in his debut ) as big heap and little heap respectively . 	other regulars that appear in this movie include charles hawtrey and bernard bresslaw ( in his debut ) as big heap and little heap respectively .	3	-1	 other[0] regulars[0] that[0] appear[0] in[0] this[0] movie[0] include[0] charles[0] hawtrey[0] and[0] bernard[0] bresslaw[0] in[0] his[0] debut[0] as[0] big[0] heap[0] and[0] little[0] heap[0] respectively[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
big heap is the local indian leader and the crazy casting of hawtrey for this part is very amusing , as is his performance : - he steals every scene he is in even though he does not enter the film until thirty minutes past . 	big heap is the local indian leader and the crazy casting of hawtrey for this part is very amusing , as is his performance : - he steals every scene he is in even though he does not enter the film until thirty minutes past .	3	-3	 big[0] heap[0] is[0] the[0] local[0] indian[0] leader[0] and[0] the[0] crazy[-1] casting[0] of[0] hawtrey[0] for[0] this[0] part[0] is[0] very[0] amusing[1][1 LastWordBoosterStrength] as[0] is[0] his[0] performance[0] he[0] steals[-2] every[0] scene[0] he[0] is[0] in[0] even[0] though[0] he[0] does[0] not[0] enter[0] the[0] film[0] until[0] thirty[0] minutes[0] past[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
joan sims provides useful and amusing support as belle , the local bar owner who takes a fancy to the rumpo kid . 	joan sims provides useful and amusing support as belle , the local bar owner who takes a fancy to the rumpo kid .	2	-1	 joan[0] sims[0] provides[0] useful[1] and[0] amusing[1] support[1] as[0] belle[0] the[0] local[0] bar[0] owner[0] who[0] takes[0] a[0] fancy[0] to[0] the[0] rumpo[0] kid[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , the part of doc played by peter butterworth and sheriff albert earp played by jon pertwee are not really necessary , and pertwee's performance is rather poor . 	however , the part of doc played by peter butterworth and sheriff albert earp played by jon pertwee are not really necessary , and pertwee's performance is rather poor .	1	-2	 however[0] the[0] part[0] of[0] doc[0] played[0] by[0] peter[0] butterworth[0] and[0] sheriff[0] albert[0] earp[0] played[0] by[0] jon[0] pertwee[0] are[0] not[0] really[0] necessary[0] and[0] pertwee's[0] performance[0] is[0] rather[0] poor[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kenneth williams uses a new voice but struggles with the weak part of the 'judge' . 	kenneth williams uses a new voice but struggles with the weak part of the 'judge' .	1	-2	 kenneth[0] williams[0] uses[0] a[0] new[0] voice[0] but[0] struggles[-1] with[0] the[0] weak[-1] part[0] of[0] the[0] 'judge'[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even so , this carry on was sid james and kenneth williams' favourite . 	even so , this carry on was sid james and kenneth williams' favourite .	2	-1	 even[0] so[0] this[0] carry[0] on[0] was[0] sid[0] james[0] and[0] kenneth[0] williams'[0] favourite[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a very different carry on film , in that it is played more seriously by the actors and possesses more realism than any other carry on . 	a very different carry on film , in that it is played more seriously by the actors and possesses more realism than any other carry on .	1	-1	 a[0] very[0] different[0] carry[0] on[0] film[0] in[0] that[0] it[0] is[0] played[0] more[0] seriously[0] by[0] the[0] actors[0] and[0] possesses[0] more[0] realism[0] than[0] any[0] other[0] carry[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the death count is the highest of any carry on film . 	the death count is the highest of any carry on film .	1	-3	 the[0] death[-2] count[0] is[0] the[0] highest[0] of[0] any[0] carry[0] on[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sets , costumes and action sequences are all very commendable . 	sets , costumes and action sequences are all very commendable .	1	-1	 sets[0] costumes[0] and[0] action[0] sequences[0] are[0] all[0] very[0] commendable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the songs that are included in the movie ( the title song and annie's song ) are very impressive . 	the songs that are included in the movie ( the title song and annie's song ) are very impressive .	3	-1	 the[0] songs[0] that[0] are[0] included[0] in[0] the[0] movie[0] the[0] title[0] song[0] and[0] annie's[0] song[0] are[0] very[0] impressive[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a strange but therefore very interesting carry on film . 	a strange but therefore very interesting carry on film .	3	-1	 a[0] strange[0] but[0] therefore[0] very[0] interesting[1][1 LastWordBoosterStrength] carry[0] on[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not the best of its kind but it is certainly the most distinctive film of the series . 	not the best of its kind but it is certainly the most distinctive film of the series .	2	-2	 not[0] the[0] best[1][NegatedDueToPreviousWord] of[0] its[0] kind[1] but[0] it[0] is[0] certainly[0] the[0] most[0] distinctive[0] film[0] of[0] the[0] series[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
