this is a film about secrets , some that are innocent like those of a cute little farm girl , frances boyd ( ashley ) . 	Translation	Positive	Negative	EmotionRationale
others that are between a married couple that is impacting their relationship , like the problems of infertility affecting this upwardly mobile couple , geoffrey gaines ( stephen ramsey ) , the medical researcher working for a big corporation called fex and striving to get a patent for his experiment and become recognized in his field , and his artist wife , lillian ( miriam healy-louie ) , who reluctantly stands behind her husband suppressing her natural artistic tendencies in order to make the marriage work . 	others that are between a married couple that is impacting their relationship , like the problems of infertility affecting this upwardly mobile couple , geoffrey gaines ( stephen ramsey ) , the medical researcher working for a big corporation called fex and striving to get a patent for his experiment and become recognized in his field , and his artist wife , lillian ( miriam healy-louie ) , who reluctantly stands behind her husband suppressing her natural artistic tendencies in order to make the marriage work .	2	-2	 others[0] that[0] are[0] between[0] a[0] married[0] couple[0] that[0] is[0] impacting[0] their[0] relationship[0] like[1] the[0] problems[-1] of[0] infertility[0] affecting[0] this[0] upwardly[0] mobile[0] couple[0] geoffrey[0] gaines[0] stephen[0] ramsey[0] the[0] medical[0] researcher[0] working[0] for[0] a[0] big[0] corporation[0] called[0] fex[0] and[0] striving[0] to[0] get[0] a[0] patent[0] for[0] his[0] experiment[0] and[0] become[0] recognized[0] in[0] his[0] field[0] and[0] his[0] artist[0] wife[0] lillian[0] miriam[0] healy[0] louie[0] who[0] reluctantly[-1] stands[0] behind[0] her[0] husband[0] suppressing[-1] her[0] natural[0] artistic[0] tendencies[0] in[0] order[0] to[0] make[0] the[0] marriage[0] work[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and , still other secrets that have a greater implication for the world and are deadly in a political sense , of science carried out by the big corporations like it was a business run for the bottom line . 	and , still other secrets that have a greater implication for the world and are deadly in a political sense , of science carried out by the big corporations like it was a business run for the bottom line .	3	-2	 and[0] still[0] other[0] secrets[0] that[0] have[0] a[0] greater[2] implication[0] for[0] the[0] world[0] and[0] are[0] deadly[-1] in[0] a[0] political[0] sense[0] of[0] science[0] carried[0] out[0] by[0] the[0] big[0] corporations[0] like[1] it[0] was[0] a[0] business[0] run[0] for[0] the[0] bottom[0] line[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
receiving a summer grant to study " chemo-electric therapy , " geoffrey and his wife are hoping that a summer spent away from the intensity of the big city will bring back the romance that is dwindling from their marriage and that the casualness of the country atmosphere will give them more time together , as their three-year marriage has become shaky because he is more interested in his work than he is in her . 	receiving a summer grant to study " chemo-electric therapy , " geoffrey and his wife are hoping that a summer spent away from the intensity of the big city will bring back the romance that is dwindling from their marriage and that the casualness of the country atmosphere will give them more time together , as their three-year marriage has become shaky because he is more interested in his work than he is in her .	4	-2	 receiving[0] a[0] summer[0] grant[0] to[0] study[0] chemo[0] electric[0] therapy[0] geoffrey[0] and[0] his[0] wife[0] are[0] hoping[1] that[0] a[0] summer[0] spent[0] away[0] from[0] the[0] intensity[0] of[0] the[0] big[0] city[0] will[0] bring[0] back[0] the[0] romance[3] that[0] is[0] dwindling[0] from[0] their[0] marriage[0] and[0] that[0] the[0] casualness[0] of[0] the[0] country[0] atmosphere[0] will[0] give[0] them[0] more[0] time[0] together[0] as[0] their[0] three[0] year[0] marriage[0] has[0] become[0] shaky[-1] because[0] he[0] is[0] more[0] interested[1] in[0] his[0] work[0] than[0] he[0] is[0] in[0] her[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
he has slyly managed to keep his work as secretive as possible by locking himself in the lab , which is off limits to her , as he secretly goes about conducting experiments on rats and mice , convincing her that what he is doing is to benefit humanity with possible new treatments and cures to illnesses . 	he has slyly managed to keep his work as secretive as possible by locking himself in the lab , which is off limits to her , as he secretly goes about conducting experiments on rats and mice , convincing her that what he is doing is to benefit humanity with possible new treatments and cures to illnesses .	1	-1	 he[0] has[0] slyly[0] managed[0] to[0] keep[0] his[0] work[0] as[0] secretive[0] as[0] possible[0] by[0] locking[0] himself[0] in[0] the[0] lab[0] which[0] is[0] off[0] limits[0] to[0] her[0] as[0] he[0] secretly[0] goes[0] about[0] conducting[0] experiments[0] on[0] rats[0] and[0] mice[0] convincing[0] her[0] that[0] what[0] he[0] is[0] doing[0] is[0] to[0] benefit[0] humanity[0] with[0] possible[0] new[0] treatments[0] and[0] cures[0] to[0] illnesses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his main argument is , that this is what the public wants , they don't want to hear about how some animals had to die because of these experiments , they just want the benefits of science . 	his main argument is , that this is what the public wants , they don't want to hear about how some animals had to die because of these experiments , they just want the benefits of science .	1	-2	 his[0] main[0] argument[-1] is[0] that[0] this[0] is[0] what[0] the[0] public[0] wants[0] they[0] don't[0] want[0] to[0] hear[0] about[0] how[0] some[0] animals[0] had[0] to[0] die[0] because[0] of[0] these[0] experiments[0] they[0] just[0] want[0] the[0] benefits[0] of[0] science[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that he is depicted as a monster creating another monster , much like frankenstein was created , is the argument skewed by the director against his bad science ( science as a business ) as opposed to the good science ( science that cares about the small farmer ) , which is represented by the handsome and almost perfect gentleman , alex vine ( david ) , a young ecologist who chooses to work in the field , trying to get the farmers to go back to organic farming . 	that he is depicted as a monster creating another monster , much like frankenstein was created , is the argument skewed by the director against his bad science ( science as a business ) as opposed to the good science ( science that cares about the small farmer ) , which is represented by the handsome and almost perfect gentleman , alex vine ( david ) , a young ecologist who chooses to work in the field , trying to get the farmers to go back to organic farming .	2	-2	 that[0] he[0] is[0] depicted[0] as[0] a[0] monster[-1] creating[0] another[0] monster[-1] much[0] like[1] frankenstein[0] was[0] created[0] is[0] the[0] argument[-1] skewed[0] by[0] the[0] director[0] against[-1] his[0] bad[-1] science[0] science[0] as[0] a[0] business[0] as[0] opposed[0] to[0] the[0] good[1] science[0] science[0] that[0] cares[1] about[0] the[0] small[0] farmer[0] which[0] is[0] represented[0] by[0] the[0] handsome[1] and[0] almost[0] perfect[1] gentleman[0] alex[0] vine[0] david[0] a[0] young[0] ecologist[0] who[0] chooses[0] to[0] work[0] in[0] the[0] field[0] trying[0] to[0] get[0] the[0] farmers[0] to[0] go[0] back[0] to[0] organic[0] farming[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he is hired by the university to monitor the dangers of pesticides and all the chemicals the farmer is almost forced to use to survive financially , as it is doing irreparable harm to him and the consumer because of all the health risks attached to this new way of farming , methods that have just come about in the last thirty- years and are being pushed by the big companies to enhance their profit margins . 	he is hired by the university to monitor the dangers of pesticides and all the chemicals the farmer is almost forced to use to survive financially , as it is doing irreparable harm to him and the consumer because of all the health risks attached to this new way of farming , methods that have just come about in the last thirty- years and are being pushed by the big companies to enhance their profit margins .	2	-3	 he[0] is[0] hired[0] by[0] the[0] university[0] to[0] monitor[0] the[0] dangers[-1] of[0] pesticides[0] and[0] all[0] the[0] chemicals[0] the[0] farmer[0] is[0] almost[0] forced[0] to[0] use[0] to[0] survive[0] financially[0] as[0] it[0] is[0] doing[0] irreparable[0] harm[-2] to[0] him[0] and[0] the[0] consumer[0] because[0] of[0] all[0] the[0] health[0] risks[-1] attached[0] to[0] this[0] new[0] way[0] of[0] farming[0] methods[0] that[0] have[0] just[0] come[0] about[0] in[0] the[0] last[0] thirty[0] years[0] and[0] are[0] being[0] pushed[0] by[0] the[0] big[0] companies[0] to[0] enhance[0] their[0] profit[1] margins[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the third view in all this is the artist's , represented by lillian , who points out that the artist's work is shown in public and scrutinized constantly , " why shouldn't the same be true of the scientist ? " 	the third view in all this is the artist's , represented by lillian , who points out that the artist's work is shown in public and scrutinized constantly , " why shouldn't the same be true of the scientist ?<br> "	2	-2	 the[0] third[0] view[0] in[0] all[0] this[0] is[0] the[0] artist's[0] represented[0] by[0] lillian[0] who[0] points[0] out[0] that[0] the[0] artist's[0] work[0] is[0] shown[0] in[0] public[0] and[0] scrutinized[-1] constantly[0] why[0] shouldn't[0] the[0] same[0] be[0] true[1] of[0] the[0] scientist[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she argues that the artist is the watchdog for the public , questioning what is good or evil in society , something that bad science has completely ignored . 	she argues that the artist is the watchdog for the public , questioning what is good or evil in society , something that bad science has completely ignored .	2	-3	 she[0] argues[-1] that[0] the[0] artist[0] is[0] the[0] watchdog[0] for[0] the[0] public[0] questioning[0] what[0] is[0] good[1] or[0] evil[-2] in[0] society[0] something[0] that[0] bad[-1] science[0] has[0] completely[0] ignored[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
geoffrey , impatient to get ahead with his research , feels bogged down by the bureaucrats in his firm who fail to provide him with the three chimps he needs to experiment on , as he contacts one of the company's higher ups to argue his case , but decides he can't wait any longer for their help , so he sets an animal trap in the countryside and catches chester , the gorgeous pet dog of frances , a dog that means so much to her and her family because he saved her life . 	geoffrey , impatient to get ahead with his research , feels bogged down by the bureaucrats in his firm who fail to provide him with the three chimps he needs to experiment on , as he contacts one of the company's higher ups to argue his case , but decides he can't wait any longer for their help , so he sets an animal trap in the countryside and catches chester , the gorgeous pet dog of frances , a dog that means so much to her and her family because he saved her life .	3	-3	 geoffrey[0] impatient[-1] to[0] get[0] ahead[0] with[0] his[0] research[0] feels[0] bogged[0] down[0] by[0] the[0] bureaucrats[0] in[0] his[0] firm[0] who[0] fail[-2] to[0] provide[0] him[0] with[0] the[0] three[0] chimps[0] he[0] needs[0] to[0] experiment[0] on[0] as[0] he[0] contacts[0] one[0] of[0] the[0] company's[0] higher[0] ups[0] to[0] argue[-1] his[0] case[0] but[0] decides[0] he[0] can't[0] wait[0] any[0] longer[0] for[0] their[0] help[0] so[0] he[0] sets[0] an[0] animal[0] trap[-1] in[0] the[0] countryside[0] and[0] catches[0] chester[0] the[0] gorgeous[2] pet[0] dog[0] of[0] frances[0] a[0] dog[0] that[0] means[0] so[0] much[0] to[0] her[0] and[0] her[0] family[0] because[0] he[0] saved[1] her[0] life[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
while out in the field with the bloodied trapped dog already in the back seat of his car , he is spotted by alex and one of his co-workers , and nervously invites them to dinner with his wife , afraid that alex will spot what he is doing , as he rushes away from the area . 	while out in the field with the bloodied trapped dog already in the back seat of his car , he is spotted by alex and one of his co-workers , and nervously invites them to dinner with his wife , afraid that alex will spot what he is doing , as he rushes away from the area .	1	-4	 while[0] out[0] in[0] the[0] field[0] with[0] the[0] bloodied[0] trapped[0] dog[0] already[0] in[0] the[0] back[0] seat[0] of[0] his[0] car[0] he[0] is[0] spotted[0] by[0] alex[0] and[0] one[0] of[0] his[0] co[0] workers[0] and[0] nervously[-2] invites[0] them[0] to[0] dinner[0] with[0] his[0] wife[0] afraid[-3] that[0] alex[0] will[0] spot[0] what[0] he[0] is[0] doing[0] as[0] he[0] rushes[0] away[0] from[0] the[0] area[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in the dinner scene that was , unfortunately , flatly done , but was nevertheless the heart of the film , as all the main characters get a chance to speak out from the point of view they represent as they eat meat , a means of getting protein that the radical scientists have eschewed since they became so politically correct about everything . 	in the dinner scene that was , unfortunately , flatly done , but was nevertheless the heart of the film , as all the main characters get a chance to speak out from the point of view they represent as they eat meat , a means of getting protein that the radical scientists have eschewed since they became so politically correct about everything .	1	-2	 in[0] the[0] dinner[0] scene[0] that[0] was[0] unfortunately[-1] flatly[0] done[0] but[0] was[0] nevertheless[0] the[0] heart[0] of[0] the[0] film[0] as[0] all[0] the[0] main[0] characters[0] get[0] a[0] chance[0] to[0] speak[0] out[0] from[0] the[0] point[0] of[0] view[0] they[0] represent[0] as[0] they[0] eat[0] meat[0] a[0] means[0] of[0] getting[0] protein[0] that[0] the[0] radical[-1] scientists[0] have[0] eschewed[0] since[0] they[0] became[0] so[0] politically[0] correct[0] about[0] everything[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the scientists engage in a rational argument , highlighting their different points of view , while lillian reacts in an emotional way , siding mostly with david's view but coming at it from a much different angle . 	the scientists engage in a rational argument , highlighting their different points of view , while lillian reacts in an emotional way , siding mostly with david's view but coming at it from a much different angle .	1	-2	 the[0] scientists[0] engage[0] in[0] a[0] rational[0] argument[-1] highlighting[0] their[0] different[0] points[0] of[0] view[0] while[0] lillian[0] reacts[0] in[0] an[0] emotional[-1] way[0] siding[0] mostly[0] with[0] david's[0] view[0] but[0] coming[0] at[0] it[0] from[0] a[0] much[0] different[0] angle[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was as if the actors were puppets on strings that the director controlled and they just spewed out their generalized philosophies . 	it was as if the actors were puppets on strings that the director controlled and they just spewed out their generalized philosophies .	1	-1	 it[0] was[0] as[0] if[0] the[0] actors[0] were[0] puppets[0] on[0] strings[0] that[0] the[0] director[0] controlled[0] and[0] they[0] just[0] spewed[-1][--1 LastWordBoosterStrength] out[0] their[0] generalized[0] philosophies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that the director's point of view is absolutely right , is beside the point . 	that the director's point of view is absolutely right , is beside the point .	1	-1	 that[0] the[0] director's[0] point[0] of[0] view[0] is[0] absolutely[0] right[0] is[0] beside[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the point is that the characters lost their humanity and became one-dimensional characters . 	the point is that the characters lost their humanity and became one-dimensional characters .	1	-1	 the[0] point[0] is[0] that[0] the[0] characters[0] lost[0] their[0] humanity[0] and[0] became[0] one[0] dimensional[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
geoffrey was likened to a hideous monster , alex vine was likened to his last name , the one who holds fast to the ground ensuring that the plant has stability , while lillian was likened to the muse of poetry and art , the inspiration for goodness and beauty . 	geoffrey was likened to a hideous monster , alex vine was likened to his last name , the one who holds fast to the ground ensuring that the plant has stability , while lillian was likened to the muse of poetry and art , the inspiration for goodness and beauty .	3	-2	 geoffrey[0] was[0] likened[0] to[0] a[0] hideous[-1] monster[-1] alex[0] vine[0] was[0] likened[0] to[0] his[0] last[0] name[0] the[0] one[0] who[0] holds[0] fast[0] to[0] the[0] ground[0] ensuring[0] that[0] the[0] plant[0] has[0] stability[-1] while[0] lillian[0] was[0] likened[0] to[0] the[0] muse[0] of[0] poetry[0] and[0] art[0] the[0] inspiration[2] for[0] goodness[2] and[0] beauty[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
alex has been spending a lot of time together with lillian , as these two seem to share the same views and are physically attracted to each other , but when the time is ripe for an affair to take place between them , lillian changes her mind and decides not to go up to alex's apartment . 	alex has been spending a lot of time together with lillian , as these two seem to share the same views and are physically attracted to each other , but when the time is ripe for an affair to take place between them , lillian changes her mind and decides not to go up to alex's apartment .	2	-1	 alex[0] has[0] been[0] spending[0] a[0] lot[0] of[0] time[0] together[0] with[0] lillian[0] as[0] these[0] two[0] seem[0] to[0] share[0] the[0] same[0] views[0] and[0] are[0] physically[0] attracted[1] to[0] each[0] other[0] but[0] when[0] the[0] time[0] is[0] ripe[0] for[0] an[0] affair[0] to[0] take[0] place[0] between[0] them[0] lillian[0] changes[0] her[0] mind[0] and[0] decides[0] not[0] to[0] go[0] up[0] to[0] alex's[0] apartment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
