an entertaining 2 hours awaits the audience in this film set in the early 80's . 	Translation	Positive	Negative	EmotionRationale
sevigny and beckinsale play disco chicks alice and charlotte , who are on the lookout for love . 	sevigny and beckinsale play disco chicks alice and charlotte , who are on the lookout for love .	3	-1	 sevigny[0] and[0] beckinsale[0] play[0] disco[0] chicks[0] alice[0] and[0] charlotte[0] who[0] are[0] on[0] the[0] lookout[0] for[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
alice is mousy , shy , intellectual , charlotte is bitchy , out-going and fun . 	alice is mousy , shy , intellectual , charlotte is bitchy , out-going and fun .	2	-3	 alice[0] is[0] mousy[0] shy[-2] intellectual[0] charlotte[0] is[0] bitchy[-1] out[0] going[0] and[0] fun[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
we join their adventures as they go through a variety of adventures , and men , all to the background of the local disco . 	we join their adventures as they go through a variety of adventures , and men , all to the background of the local disco .	1	-1	 we[0] join[0] their[0] adventures[0] as[0] they[0] go[0] through[0] a[0] variety[0] of[0] adventures[0] and[0] men[0] all[0] to[0] the[0] background[0] of[0] the[0] local[0] disco[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whit stillman has both written and directed an interesting and believable story . 	whit stillman has both written and directed an interesting and believable story .	2	-1	 whit[0] stillman[0] has[0] both[0] written[0] and[0] directed[0] an[0] interesting[1] and[0] believable[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
alice and charlotte are both well written characters , and the actresses who play them aren't bad aswell . 	alice and charlotte are both well written characters , and the actresses who play them aren't bad aswell .	2	-1	 alice[0] and[0] charlotte[0] are[0] both[0] well[0] written[0] characters[0] and[0] the[0] actresses[0] who[0] play[0] them[0] aren't[0] bad[-1][NegatedDueToPreviousWord] aswell[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sevigny delivers an honest performance , and makes the audience feel for her character . 	sevigny delivers an honest performance , and makes the audience feel for her character .	1	-1	 sevigny[0] delivers[0] an[0] honest[0] performance[0] and[0] makes[0] the[0] audience[0] feel[0] for[0] her[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
beckinsale plays extreme bitch personified , yet her character never becomes completely unlikeable . 	beckinsale plays extreme bitch personified , yet her character never becomes completely unlikeable .	2	-2	 beckinsale[0] plays[1] extreme[0] bitch[-1] personified[0] yet[0] her[0] character[0] never[0] becomes[0] completely[0] unlikeable[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the huge supporting cast also play a part in making sure this movie is thoroughly entertaining . 	the huge supporting cast also play a part in making sure this movie is thoroughly entertaining .	2	-1	 the[0] huge[0] supporting[1] cast[0] also[0] play[0] a[0] part[0] in[0] making[0] sure[0] this[0] movie[0] is[0] thoroughly[0] entertaining[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the dialogue is sharp and well written , with many funny set pieces . 	the dialogue is sharp and well written , with many funny set pieces .	2	-1	 the[0] dialogue[0] is[0] sharp[0] and[0] well[0] written[0] with[0] many[0] funny[1] set[0] pieces[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for example , there's a great discussion about lady & the tramp by the main characters . 	for example , there's a great discussion about lady & the tramp by the main characters .	3	-2	 for[0] example[0] there's[0] a[0] great[2] discussion[0] about[0] lady[0] &[0] the[0] tramp[-1] by[0] the[0] main[0] characters[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
