david lynch's " blue velvet " begins and ends with colorful , bright shots of flowers and happy americans mowing their lawns in a seemingly perfect american town . 	Translation	Positive	Negative	EmotionRationale
however , what lies inside this nominally safe atmosphere is a " strange world " of drug dealers , sadists , and murderers . 	however , what lies inside this nominally safe atmosphere is a " strange world " of drug dealers , sadists , and murderers .	2	-4	 however[0] what[0] lies[-2] inside[0] this[0] nominally[0] safe[1] atmosphere[0] is[0] a[0] strange[0] world[0] of[0] drug[0] dealers[0] sadists[0] and[0] murderers[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the opening and closing shots are a wonderful contrast to the rest of the gloomy , disturbing film . 	the opening and closing shots are a wonderful contrast to the rest of the gloomy , disturbing film .	3	-3	 the[0] opening[0] and[0] closing[0] shots[0] are[0] a[0] wonderful[2] contrast[0] to[0] the[0] rest[0] of[0] the[0] gloomy[-2] disturbing[-1] film[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
they show not to make assumptions from first glance and that oddness is common in all places under all circumstances . 	they show not to make assumptions from first glance and that oddness is common in all places under all circumstances .	1	-1	 they[0] show[0] not[0] to[0] make[0] assumptions[0] from[0] first[0] glance[0] and[0] that[0] oddness[0] is[0] common[0] in[0] all[0] places[0] under[0] all[0] circumstances[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
odd would be a perfect adjective to describe this film , its characters , its direction , and its story . 	odd would be a perfect adjective to describe this film , its characters , its direction , and its story .	2	-1	 odd[0] would[0] be[0] a[0] perfect[1] adjective[0] to[0] describe[0] this[0] film[0] its[0] characters[0] its[0] direction[0] and[0] its[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thankfully , the obscurity that " blue velvet " relies on is enough to make this film enjoyable . 	thankfully , the obscurity that " blue velvet " relies on is enough to make this film enjoyable .	3	-1	 thankfully[1] the[0] obscurity[0] that[0] blue[0] velvet[0] relies[0] on[0] is[0] enough[0] to[0] make[0] this[0] film[0] enjoyable[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
since its elements are so originally weird , you never know what will happen next . 	since its elements are so originally weird , you never know what will happen next .	1	-2	 since[0] its[0] elements[0] are[0] so[0] originally[0] weird[-1] you[0] never[0] know[0] what[0] will[0] happen[0] next[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is the main goal of a movie ; to be spontaneous and surprising . 	this is the main goal of a movie ; to be spontaneous and surprising .	1	-1	 this[0] is[0] the[0] main[0] goal[0] of[0] a[0] movie[0] to[0] be[0] spontaneous[0] and[0] surprising[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " blue velvet " miracuously succeeds at this even though it contains mediocre acting . 	 " blue velvet " miracuously succeeds at this even though it contains mediocre acting .	3	-2	 blue[0] velvet[0] miracuously[0] succeeds[2] at[0] this[0] even[0] though[0] it[0] contains[0] mediocre[-1] acting[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
lynch creates such a hypnotic world that it is hard to resist his style of story telling . 	lynch creates such a hypnotic world that it is hard to resist his style of story telling .	1	-1	 lynch[0] creates[0] such[0] a[0] hypnotic[0] world[0] that[0] it[0] is[0] hard[0] to[0] resist[0] his[0] style[0] of[0] story[0] telling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film starts off with the discovery of a severed ear by a college boy ( kyle maclachlan ) . 	the film starts off with the discovery of a severed ear by a college boy ( kyle maclachlan ) .	1	-2	 the[0] film[0] starts[0] off[0] with[0] the[0] discovery[0] of[0] a[0] severed[-1] ear[0] by[0] a[0] college[0] boy[0] kyle[0] maclachlan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
