when i saw the trailer for this film , i laughed harder than i had in quite some time . 	Translation	Positive	Negative	EmotionRationale
while i was therefore pretty well psyched to see it , i was ever mindful that a trailer can make even the most mediocre film look good . 	while i was therefore pretty well psyched to see it , i was ever mindful that a trailer can make even the most mediocre film look good .	3	-2	 while[0] i[0] was[0] therefore[0] pretty[2] well[0] psyched[0] to[0] see[0] it[0] i[0] was[0] ever[0] mindful[0] that[0] a[0] trailer[0] can[0] make[0] even[0] the[0] most[0] mediocre[-1] film[0] look[0] good[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i'm happy to say that there's something about mary is not one of those trailer let-downs . 	i'm happy to say that there's something about mary is not one of those trailer let-downs .	2	-1	 i'm[0] happy[1] to[0] say[0] that[0] there's[0] something[0] about[0] mary[0] is[0] not[0] one[0] of[0] those[0] trailer[0] let[0] downs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in fact , watching this film was quite a fine way to spend two hours . 	in fact , watching this film was quite a fine way to spend two hours .	3	-1	 in[0] fact[0] watching[0] this[0] film[0] was[0] quite[0] a[0] fine[2] way[0] to[0] spend[0] two[0] hours[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film opens up in flashback to 1985 , at a high school in cumberland , rhode island . 	the film opens up in flashback to 1985 , at a high school in cumberland , rhode island .	1	-1	 the[0] film[0] opens[0] up[0] in[0] flashback[0] to[0] 1985[0] at[0] a[0] high[0] school[0] in[0] cumberland[0] rhode[0] island[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ted stroehmann ( ben stiller ) is a social reject who can't seem to get a date to the upcoming prom , until he comes to the defense of the mentally retarded warren ( w . 	ted stroehman ( ben stiller ) is a social reject who can't seem to get a date to the upcoming prom , until he comes to the defense of the mentally retarded warren ( w .	1	-2	 ted[0] stroehmann/stroehman[0] ben[0] stiller[0] is[0] a[0] social[0] reject[-1] who[0] can't[0] seem[0] to[0] get[0] a[0] date[0] to[0] the[0] upcoming[0] prom[0] until[0] he[0] comes[0] to[0] the[0] defense[0] of[0] the[0] mentally[0] retarded[-1] warren[0] w[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
earl brown ) , who's being harassed by one of the school jocks . 	earl brown ) , who's being harassed by one of the school jocks .	1	-3	 earl[0] brown[0] who's[0] being[0] harassed[-2] by[0] one[0] of[0] the[0] school[0] jocks[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it seems warren's sister is the campus queen , mary jensen ( cameron diaz ) , who is impressed with ted's willingness to stand up for her defenseless brother , despite a very real chance of getting beaten up . 	it seems warren's sister is the campus queen , mary jensen ( cameron diaz ) , who is impressed with ted's willingness to stand up for her defenseless brother , despite a very real chance of getting beaten up .	2	-1	 it[0] seems[0] warren's[0] sister[0] is[0] the[0] campus[0] queen[0] mary[0] jensen[0] cameron[0] diaz[0] who[0] is[0] impressed[1] with[0] ted's[0] willingness[0] to[0] stand[0] up[0] for[0] her[0] defenseless[0] brother[0] despite[0] a[0] very[0] real[0] chance[0] of[0] getting[0] beaten[0] up[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mary takes an immediate liking to ted and asks him to the prom . 	mary takes an immediate liking to ted and asks him to the prom .	3	-1	 mary[0] takes[0] an[0] immediate[0] liking[2] to[0] ted[0] and[0] asks[0] him[0] to[0] the[0] prom[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ted was just flattered that she even knew his name . 	ted was just flattered that she even knew his name .	1	-1	 ted[0] was[0] just[0] flattered[0] that[0] she[0] even[0] knew[0] his[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unfortunately , prom night is ruined when ted has an accident with his zipper ( at which every man in the theater will wince ) , and is sent to the hospital . 	unfortunately , prom night is ruined when ted has an accident with his zipper ( at which every man in the theater will wince ) , and is sent to the hospital .	1	-2	 unfortunately[-1] prom[0] night[0] is[0] ruined[-1] when[0] ted[0] has[0] an[0] accident[-1] with[0] his[0] zipper[0] at[0] which[0] every[0] man[0] in[0] the[0] theater[0] will[0] wince[-1] and[0] is[0] sent[0] to[0] the[0] hospital[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fast forward to the present , where ted has cleaned himself up , now writes for a magazine , but has weekly therapy sessions in order to deal with his obsession of the past 13 years : mary , whom he hasn't seen since that fateful day . 	fast forward to the present , where ted has cleaned himself up , now writes for a magazine , but has weekly therapy sessions in order to deal with his obsession of the past 13 years : mary , whom he hasn't seen since that fateful day .	1	-3	 fast[0] forward[0] to[0] the[0] present[0] where[0] ted[0] has[0] cleaned[0] himself[0] up[0] now[0] writes[0] for[0] a[0] magazine[0] but[0] has[0] weekly[0] therapy[0] sessions[0] in[0] order[0] to[0] deal[0] with[0] his[0] obsession[-2] of[0] the[0] past[0] 13[0] years[0] mary[0] whom[0] he[0] hasn't[0] seen[0] since[0] that[0] fateful[0] day[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
