when i was growing up in 1970s , boys in my school used to divide into two groups , based on their action movies preferences . 	Translation	Positive	Negative	EmotionRationale
the first one , myself included , liked movies that featured spectacular car chases , lots of machinegun fire and huge explosions . 	the first one , myself included , liked movies that featured spectacular car chases , lots of machinegun fire and huge explosions .	3	-2	 the[0] first[0] one[0] myself[0] included[0] liked[2] movies[0] that[0] featured[0] spectacular[0] car[0] chases[-1] lots[0] of[0] machinegun[0] fire[0] and[0] huge[0] explosions[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the latter one preferred hong kong martial arts flicks , probably because they could ( or , to be more precise , thought they could ) imitate its stunts in the real life . 	the latter one preferred hong kong martial arts flicks , probably because they could ( or , to be more precise , thought they could ) imitate its stunts in the real life .	1	-1	 the[0] latter[0] one[0] preferred[0] hong[0] kong[0] martial[0] arts[0] flicks[0] probably[0] because[0] they[0] could[0] or[0] to[0] be[0] more[0] precise[0] thought[0] they[0] could[0] imitate[0] its[0] stunts[0] in[0] the[0] real[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
decades later , while refining my own cinematic taste , i began to appreciate and actually like those movies , probably because of overexposure to shoot-em-up idiocy of 1980s ramboids . 	decades later , while refining my own cinematic taste , i began to appreciate and actually like those movies , probably because of overexposure to shoot-em-up idiocy of 1980s ramboids .	2	-3	 decades[0] later[0] while[0] refining[0] my[0] own[0] cinematic[0] taste[0] i[0] began[0] to[0] appreciate[1] and[0] actually[0] like[1] those[0] movies[0] probably[0] because[0] of[0] overexposure[0] to[0] shoot[-1] em[0] up[0] idiocy[-2] of[0] 1980s[0] ramboids[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
yes , most of the kung fu and other " martial arts " flicks were cheap , they had predictable and formulaic plot , and asked very little of production values aside from martial arts skills . 	yes , most of the kung fu and other " martial arts " flicks were cheap , they had predictable and formulaic plot , and asked very little of production values aside from martial arts skills .	2	-2	 yes[0] most[0] of[0] the[0] kung[0] fu[0] and[0] other[0] martial[0] arts[0] flicks[0] were[0] cheap[-1] they[0] had[0] predictable[0] and[0] formulaic[0] plot[0] and[0] asked[0] very[0] little[0] of[0] production[0] values[1] aside[0] from[0] martial[0] arts[0] skills[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but , in the same time , those movies had their own rules and in the hands of capable director could become a terrific guilty pleasure and source of relaxation . 	but , in the same time , those movies had their own rules and in the hands of capable director could become a terrific guilty pleasure and source of relaxation .	4	-4	 but[0] in[0] the[0] same[0] time[0] those[0] movies[0] had[0] their[0] own[0] rules[0] and[0] in[0] the[0] hands[0] of[0] capable[0] director[0] could[0] become[0] a[0] terrific[3] guilty[-3] pleasure[2] and[0] source[-1] of[0] relaxation[2] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
the best of those movies , one that passed the test of time and managed to keep its own cult status after quarter of century was enter the dragon . 	the best of those movies , one that passed the test of time and managed to keep its own cult status after quarter of century was enter the dragon .	2	-1	 the[0] best[1] of[0] those[0] movies[0] one[0] that[0] passed[0] the[0] test[0] of[0] time[0] and[0] managed[0] to[0] keep[0] its[0] own[0] cult[0] status[0] after[0] quarter[0] of[0] century[0] was[0] enter[0] the[0] dragon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
made in 1973 in a joint hong kong - hollywood venture , it was intended to bring bruce lee's skills and kung fu philosophy to the western audience . 	made in 1973 in a joint hong kong - hollywood venture , it was intended to bring bruce lee's skills and kung fu philosophy to the western audience .	1	-1	 made[0] in[0] 1973[0] in[0] a[0] joint[0] hong[0] kong[0] hollywood[0] venture[0] it[0] was[0] intended[0] to[0] bring[0] bruce[0] lee's[0] skills[0] and[0] kung[0] fu[0] philosophy[0] to[0] the[0] western[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it succeeded , but it is still debatable whether by its own merit or by the unfortunate and mysterious death of bruce lee that immortalised the myth about that actor . 	it succeeded , but it is still debatable whether by its own merit or by the unfortunate and mysterious death of bruce lee that immortalised the myth about that actor .	3	-3	 it[0] succeeded[2] but[0] it[0] is[0] still[0] debatable[-1] whether[0] by[0] its[0] own[0] merit[1] or[0] by[0] the[0] unfortunate[-1] and[0] mysterious[0] death[-2] of[0] bruce[0] lee[0] that[0] immortalised[0] the[0] myth[0] about[0] that[0] actor[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
lee plays a quiet shaolin monk who is a martial arts expert . 	lee plays a quiet shaolin monk who is a martial arts expert .	2	-1	 lee[0] plays[1] a[0] quiet[0] shaolin[0] monk[0] who[0] is[0] a[0] martial[0] arts[0] expert[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he is approached by interpol official who asks him to join tri-annual martial arts tournament that is held on a remote island , owned and controlled by han , renegade shaolin monk . 	he is approached by interpol official who asks him to join tri-annual martial arts tournament that is held on a remote island , owned and controlled by han , renegade shaolin monk .	1	-1	 he[0] is[0] approached[0] by[0] interpol[0] official[0] who[0] asks[0] him[0] to[0] join[0] tri[0] annual[0] martial[0] arts[0] tournament[0] that[0] is[0] held[0] on[0] a[0] remote[0] island[0] owned[0] and[0] controlled[0] by[0] han[0] renegade[0] shaolin[0] monk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
interpol suspects that the martial arts business is just cover for narcotics , gun-running and prostitution operations and lee must find the evidence necessary for authorities to intervene . 	interpol suspects that the martial arts business is just cover for narcotics , gun-running and prostitution operations and lee must find the evidence necessary for authorities to intervene .	1	-2	 interpol[0] suspects[0] that[0] the[0] martial[0] arts[0] business[0] is[0] just[0] cover[0] for[0] narcotics[0] gun[-1] running[0] and[0] prostitution[0] operations[0] and[0] lee[0] must[0] find[0] the[0] evidence[0] necessary[0] for[0] authorities[0] to[0] intervene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lee accepts the mission because of personal reasons - o'harra , han's brutal bodyguard was responsible for the tragic death of lee's sister years ago . 	lee accepts the mission because of personal reasons - o'harra , han's brutal bodyguard was responsible for the tragic death of lee's sister years ago .	1	-4	 lee[0] accepts[0] the[0] mission[0] because[0] of[0] personal[0] reasons[0] o'harra[0] han's[0] brutal[-2] bodyguard[0] was[0] responsible[0] for[0] the[0] tragic[-2] death[-2][-1 MultiplePositiveWords] of[0] lee's[0] sister[0] years[0] ago[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the island is also destination of two colourful martial arts experts from us - williams ( played by jim kelly ) is black activist running from the racist police , and his friend roper wants to make money in order to pay gambling debts . 	the island is also destination of two colourful martial arts experts from us - williams ( played by jim kelly ) is black activist running from the racist police , and his friend roper wants to make money in order to pay gambling debts .	2	-2	 the[0] island[0] is[0] also[0] destination[0] of[0] two[0] colourful[0] martial[0] arts[0] experts[0] from[0] us[0] williams[0] played[0] by[0] jim[0] kelly[0] is[0] black[0] activist[0] running[0] from[0] the[0] racist[-1] police[0] and[0] his[0] friend[1] roper[0] wants[0] to[0] make[0] money[0] in[0] order[0] to[0] pay[0] gambling[0] debts[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the plot of enter the dragon was in many ways influenced by james bond ( the 007 franchise itself would return favour by using kung fu elements in the man with the golden gun two years later ) . 	the plot of enter the dragon was in many ways influenced by james bond ( the 007 franchise itself would return favour by using kung fu elements in the man with the golden gun two years later ) .	2	-2	 the[0] plot[0] of[0] enter[0] the[0] dragon[0] was[0] in[0] many[0] ways[0] influenced[0] by[0] james[0] bond[0] the[0] 007[0] franchise[0] itself[0] would[0] return[0] favour[1] by[0] using[0] kung[0] fu[0] elements[0] in[0] the[0] man[0] with[0] the[0] golden[0] gun[-1] two[0] years[0] later[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the main hero was faced against a power-hungry megalomaniac on a remote island , alone against whole army of bad guys . 	the main hero was faced against a power-hungry megalomaniac on a remote island , alone against whole army of bad guys .	3	-2	 the[0] main[0] hero[2] was[0] faced[0] against[-1] a[0] power[0] hungry[-1] megalomaniac[0] on[0] a[0] remote[0] island[0] alone[0] against[-1] whole[0] army[0] of[0] bad[-1] guys[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
on the other hand , lee was more believable hero than bond ; deprived of guns and super-tech gadgets , he had to rely only on his personal skills in order to survive . 	on the other hand , lee was more believable hero than bond ; deprived of guns and super-tech gadgets , he had to rely only on his personal skills in order to survive .	3	-2	 on[0] the[0] other[0] hand[0] lee[0] was[0] more[0] believable[0] hero[2] than[0] bond[0] deprived[-1] of[0] guns[-1] and[0] super[2] tech[0] gadgets[0] he[0] had[0] to[0] rely[0] only[0] on[0] his[0] personal[0] skills[0] in[0] order[0] to[0] survive[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in the same time , the plot , although extremely thin , allowed him even some internal battles - between the natural instinct to avenge his sister and his own anti-violent philosophy . 	in the same time , the plot , although extremely thin , allowed him even some internal battles - between the natural instinct to avenge his sister and his own anti-violent philosophy .	1	-3	 in[0] the[0] same[0] time[0] the[0] plot[0] although[0] extremely[0] thin[0] allowed[0] him[0] even[0] some[0] internal[0] battles[-1] between[0] the[0] natural[0] instinct[0] to[0] avenge[-1] his[0] sister[0] and[0] his[0] own[0] anti[0] violent[-2] philosophy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the latter provided some opportunities to evaluate lee's acting skills and some new elements to his impressive screen presence . 	the latter provided some opportunities to evaluate lee's acting skills and some new elements to his impressive screen presence .	2	-1	 the[0] latter[0] provided[0] some[0] opportunities[0] to[0] evaluate[0] lee's[0] acting[0] skills[0] and[0] some[0] new[0] elements[0] to[0] his[0] impressive[1] screen[0] presence[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although two other main actors - john saxon being the obligatory good white guy and jim kelly being the obligatory black good guy - were intended to share top spot with lee , they served as nothing more than a comic relief . 	although two other main actors - john saxon being the obligatory good white guy and jim kelly being the obligatory black good guy - were intended to share top spot with lee , they served as nothing more than a comic relief .	2	-1	 although[0] two[0] other[0] main[0] actors[0] john[0] saxon[0] being[0] the[0] obligatory[0] good[1] white[0] guy[0] and[0] jim[0] kelly[0] being[0] the[0] obligatory[0] black[0] good[1] guy[0] were[0] intended[0] to[0] share[0] top[0] spot[0] with[0] lee[0] they[0] served[0] as[0] nothing[0] more[0] than[0] a[0] comic[0] relief[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
