recently i read 4 reviews of pleasantville-one from entertainment weekly , one from a newsgroup , and two from different online resources . 	Translation	Positive	Negative	EmotionRationale
each review compared this film to the truman show . 	each review compared this film to the truman show .	1	-1	 each[0] review[0] compared[0] this[0] film[0] to[0] the[0] truman[0] show[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only reason people compared pleasantville to truman is due to the fact that their lives are on television . 	the only reason people compared pleasantville to truman is due to the fact that their lives are on television .	3	-1	 the[0] only[0] reason[0] people[0] compared[0] pleasantville[2] to[0] truman[0] is[0] due[0] to[0] the[0] fact[0] that[0] their[0] lives[0] are[0] on[0] television[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
other than that , the two movies are completely different from each other . 	other than that , the two movies are completely different from each other .	1	-1	 other[0] than[0] that[0] the[0] two[0] movies[0] are[0] completely[0] different[0] from[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
reviewers seem to love to pick one movie ( i . e . 	reviewers seem to love to pick one movie ( i .<br> e .	3	-1	 reviewers[0] seem[0] to[0] love[2] to[0] pick[0] one[0] movie[0] i[0] [[Sentence=-1,3=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
the truman show ) , obsess over it , and make it a guideline for other movies . 	the truman show ) , obsess over it , and make it a guideline for other movies .	1	-3	 the[0] truman[0] show[0] obsess[-2] over[0] it[0] and[0] make[0] it[0] a[0] guideline[0] for[0] other[0] movies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when pleasantville and edtv opened , all critics seemed to treat the two films like they were subjects of king truman . 	when pleasantville and edtv opened , all critics seemed to treat the two films like they were subjects of king truman .	3	-1	 when[0] pleasantville[2] and[0] edtv[0] opened[0] all[0] critics[0] seemed[0] to[0] treat[1] the[0] two[0] films[0] like[1] they[0] were[0] subjects[0] of[0] king[0] truman[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the same goes for the thin red line , as well . 	the same goes for the thin red line , as well .	1	-1	 the[0] same[0] goes[0] for[0] the[0] thin[0] red[0] line[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when it opened in decemeber , probably 98% of reviews compared it to stephen spielberg's saving private ryan , giving thin line no chance whatsoever . 	when it opened in decemeber , probably 98% of reviews compared it to stephen spielberg's saving private ryan , giving thin line no chance whatsoever .	1	-1	 when[0] it[0] opened[0] in[0] decemeber[0] probably[0] 98%[0] of[0] reviews[0] compared[0] it[0] to[0] stephen[0] spielberg's[0] saving[0] private[0] ryan[0] giving[0] thin[0] line[0] no[0] chance[0] whatsoever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critics loved private ryan so much , that they automatically decided no movie is good enough to reach its standards . 	critics loved private ryan so much , that they automatically decided no movie is good enough to reach its standards .	4	-1	 critics[0] loved[3] private[0] ryan[0] so[0] much[0] that[0] they[0] automatically[0] decided[0] no[0] movie[0] is[0] good[1] enough[0] to[0] reach[0] its[0] standards[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this is why i think pleasantville was underrated . 	this is why i think pleasantville was underrated .	3	-1	 this[0] is[0] why[0] i[0] think[0] pleasantville[2] was[0] underrated[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if the truman show had never been made , pleasantville probably would have received better reviews , done better at the box office , and would be remembered after it's long been on the video store shelves . 	if the truman show had never been made , pleasantville probably would have received better reviews , done better at the box office , and would be remembered after it's long been on the video store shelves .	3	-1	 if[0] the[0] truman[0] show[0] had[0] never[0] been[0] made[0] pleasantville[2] probably[0] would[0] have[0] received[0] better[0] reviews[0] done[0] better[0] at[0] the[0] box[0] office[0] and[0] would[0] be[0] remembered[0] after[0] it's[0] long[0] been[0] on[0] the[0] video[0] store[0] shelves[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sure , it wasn't perfect , and it wasn't very believeable , but neither was the wizard of oz or star wars , and there stands two of the most prominent movies in history . 	sure , it wasn't perfect , and it wasn't very believeable , but neither was the wizard of oz or star wars , and there stands two of the most prominent movies in history .	2	-3	 sure[0] it[0] wasn't[0] perfect[1] and[0] it[0] wasn't[0] very[0] believeable[0] but[0] neither[0] was[0] the[0] wizard[0] of[0] oz[0] or[0] star[0] wars[-2] and[0] there[0] stands[0] two[0] of[0] the[0] most[0] prominent[0] movies[0] in[0] history[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
with the exception of don knotts as the annoying " tv repairman " the film is cast perfectly : the ice storm's tobey maguire is david in real life ; he watches the old 50's sitcom " pleasantville " to escape from his feuding parents . 	with the exception of don knots as the annoying " tv repairman " the film is cast perfectly : the ice storm's tobey maguire is david in real life ; he watches the old 50's sitcom " pleasantville " to escape from his feuding parents .	3	-3	 with[0] the[0] exception[0] of[0] don[0] knotts/knots[0] as[0] the[0] annoying[-2] tv[0] repairman[0] the[0] film[0] is[0] cast[0] perfectly[1] the[0] ice[0] storm's[0] tobey[0] maguire[0] is[0] david[0] in[0] real[0] life[0] he[0] watches[0] the[0] old[0] 50's[0] sitcom[0] pleasantville[2] to[0] escape[0] from[0] his[0] feuding[-2] parents[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
his twin sister , jen ( reese witherspoon ) is a popular slut who ( steriotypically ) smokes and wears revealing clothes . 	his twin sister , jen ( reese witherspoon ) is a popular slut who ( steriotypically ) smokes and wears revealing clothes .	1	-3	 his[0] twin[0] sister[0] jen[0] reese[0] witherspoon[0] is[0] a[0] popular[0] slut[-2] who[0] steriotypically[0] smokes[0] and[0] wears[0] revealing[0] clothes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but what makes her character believeable is the dialogue-those excessive 90's terms such as " like " , " whatever " , and " cool " make her sound like the total dimwit she's supposed to be . 	but what makes her character believeable is the dialogue-those excessive 90's terms such as " like " , " whatever " , and " cool " make her sound like the total dimwit she's supposed to be .	2	-3	 but[0] what[0] makes[0] her[0] character[0] believeable[0] is[0] the[0] dialogue[0] those[0] excessive[-1] 90's[0] terms[0] such[0] as[0] like[1] whatever[0] and[0] cool[1] make[0] her[0] sound[0] like[1] the[0] total[0] dimwit[-1][-1 LastWordBoosterStrength] she's[0] supposed[0] to[0] be[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the twins , with a little help from a tv repairman ( casting don knotts in this role was obviously a cameo-esque cast rather than a true acting one ) , are sucked into pleasantville by a magical new remote . 	the twins , with a little help from a tv repairman ( casting don knots in this role was obviously a cameo-esque cast rather than a true acting one ) , are sucked into pleasantville by a magical new remote .	3	-2	 the[0] twins[0] with[0] a[0] little[0] help[0] from[0] a[0] tv[0] repairman[0] casting[0] don[0] knotts/knots[0] in[0] this[0] role[0] was[0] obviously[0] a[0] cameo[0] esque[0] cast[0] rather[0] than[0] a[0] true[1] acting[0] one[0] are[0] sucked[-1] into[0] pleasantville[2] by[0] a[0] magical[0] new[0] remote[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
their new parents , played by william h . macy and joan allen , are perfect in every way . 	their new parents , played by william h .<br> macy and joan allen , are perfect in every way .	2	-1	 their[0] new[0] parents[0] played[0] by[0] william[0] h[0] [[Sentence=-1,1=word max, 1-5]] macy[0] and[0] joan[0] allen[0] are[0] perfect[1] in[0] every[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
their new names are bud and mary sue , and right away they start to corrupt the town of pleasantville . 	their new names are bud and mary sue , and right away they start to corrupt the town of pleasantville .	3	-3	 their[0] new[0] names[0] are[0] bud[0] and[0] mary[0] sue[0] and[0] right[0] away[0] they[0] start[0] to[0] corrupt[-2] the[0] town[0] of[0] pleasantville[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
after the siblings fit comfortably in their new roles , the movie begins to take form . 	after the siblings fit comfortably in their new roles , the movie begins to take form .	2	-1	 after[0] the[0] siblings[0] fit[0] comfortably[1] in[0] their[0] new[0] roles[0] the[0] movie[0] begins[0] to[0] take[0] form[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's just like watching a sitcom in itself ; you don't want it to end . 	it's just like watching a sitcom in itself ; you don't want it to end .	1	-1	 it's[0] just[0] like[1][-1 LastWordBoosterStrength] watching[0] a[0] sitcom[0] in[0] itself[0] you[0] don't[0] want[0] it[0] to[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " mary sue " has sex with her date , the school basketball champion ; when he tells all his friends about it , they stop preforming perfectly at basketball , and things start to take color . 	 " mary sue " has sex with her date , the school basketball champion ; when he tells all his friends about it , they stop preforming perfectly at basketball , and things start to take color .	2	-1	 mary[0] sue[0] has[0] sex[0] with[0] her[0] date[0] the[0] school[0] basketball[0] champion[0] when[0] he[0] tells[0] all[0] his[0] friends[1] about[0] it[0] they[0] stop[0] preforming[0] perfectly[1] at[0] basketball[0] and[0] things[0] start[0] to[0] take[0] color[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
soon we learn that these people don't know how to express true emotions , and when they learn to do so , they eventually turn into color . 	soon we learn that these people don't know how to express true emotions , and when they learn to do so , they eventually turn into color .	2	-1	 soon[0] we[0] learn[0] that[0] these[0] people[0] don't[0] know[0] how[0] to[0] express[0] true[1] emotions[0] and[0] when[0] they[0] learn[0] to[0] do[0] so[0] they[0] eventually[0] turn[0] into[0] color[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this eventually sparks a racial war between the " coloreds " and the " black & whites . " 	this eventually sparks a racial war between the " coloreds " and the " black & whites .<br> "	1	-3	 this[0] eventually[0] sparks[0] a[0] racial[0] war[-2] between[0] the[0] coloreds[0] and[0] the[0] black[0] &[0] whites[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
entertainment weekly reviewer lisa schwarzbaum claims the movie has , " none of the depth , poignance , and brilliance of the truman show . . . " 	entertainment weekly reviewer lisa schwarzbaum claims the movie has , " none of the depth , poignance , and brilliance of the truman show .<br> .<br> .<br> "	2	-1	 entertainment[0] weekly[0] reviewer[0] lisa[0] schwarzbaum[0] claims[0] the[0] movie[0] has[0] none[0] of[0] the[0] depth[0] poignance[0] and[0] brilliance[1] of[0] the[0] truman[0] show[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
yes , the truman show was maybe a little more intelligent . 	yes , the truman show was maybe a little more intelligent .	2	-1	 yes[0] the[0] truman[0] show[0] was[0] maybe[0] a[0] little[0] more[0] intelligent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the racial setting-intensified by the forcing of the coloreds to sit in the upper box of the courtroom-certainly classifies as deep , considering it's what i least expected . 	but the racial setting-intensified by the forcing of the coloreds to sit in the upper box of the courtroom-certainly classifies as deep , considering it's what i least expected .	1	-1	 but[0] the[0] racial[0] setting[0] intensified[0] by[0] the[0] forcing[0] of[0] the[0] coloreds[0] to[0] sit[0] in[0] the[0] upper[0] box[0] of[0] the[0] courtroom[0] certainly[0] classifies[0] as[0] deep[0] considering[0] it's[0] what[0] i[0] least[0] expected[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gary ross did not try to create an intelligent , award masterpiece-he just tries to convey moral messages within his work . 	gary ross did not try to create an intelligent , award masterpiece-he just tries to convey moral messages within his work .	2	-1	 gary[0] ross[0] did[0] not[0] try[0] to[0] create[0] an[0] intelligent[1] award[0] masterpiece[0] he[0] just[0] tries[0] to[0] convey[0] moral[0] messages[0] within[0] his[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
take for example big and dave , his past films . 	take for example big and dave , his past films .	1	-1	 take[0] for[0] example[0] big[0] and[0] dave[0] his[0] past[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
big-be careful what you wish for . 	big-be careful what you wish for .	1	-1	 big[0] be[0] careful[0] what[0] you[0] wish[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dave-good or bad lying is still lying . 	dave-good or bad lying is still lying .	2	-4	 dave[0] good[1] or[0] bad[-1] lying[-3] is[0] still[0] lying[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
did these movies win big awards ? 	did these movies win big awards ?	1	-1	 did[0] these[0] movies[0] win[0] big[0] awards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , but they won the heart of millions . 	no , but they won the heart of millions .	1	-1	 no[0] but[0] they[0] won[0] the[0] heart[0] of[0] millions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pleasantville could have done that too , if it wasn't for snotty reviewers who set precedents with preceeding films . 	pleasantville could have done that too , if it wasn't for snotty reviewers who set precedents with preceding films .	3	-1	 pleasantville[2] could[0] have[0] done[0] that[0] too[0] if[0] it[0] wasn't[0] for[0] snotty[0] reviewers[0] who[0] set[0] precedents[0] with[0] preceeding/preceding[0] films[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
pleasantville : a- ad2am " i almost lost my nose . . . and 	pleasantville : a- ad2am " i almost lost my nose .<br> .<br> .<br> and	3	-1	 pleasantville[2] a[0] ad2am[0] i[0] almost[0] lost[0] my[0] nose[0] [[Sentence=-1,3=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
i like it . 	i like it .	2	-1	 i[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i like breathing through it . " 	i like breathing through it .<br> "	2	-1	 i[0] like[1] breathing[0] through[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
-jack nicholson , chinatown 	-jack nicholson , chinatown	1	-1	 jack[0] nicholson[0] chinatown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
