dark city is such a rare treat : it ? s a stunning , hyperkinetic vision of a place where our reality is fused with noir , science fiction and the darkest nights in manhattan and london . 	Translation	Positive	Negative	EmotionRationale
to boot , it is accompanied by an intense , well written and thoughtful story . 	to boot , it is accompanied by an intense , well written and thoughtful story .	2	-1	 to[0] boot[0] it[0] is[0] accompanied[0] by[0] an[0] intense[0] well[0] written[0] and[0] thoughtful[1] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
movies of this caliber and idea aren ? t made too often , and it ? s unfortunate that i waited this long to see it . 	movies of this caliber and idea aren ?<br> t made too often , and it ?<br> s unfortunate that i waited this long to see it .	1	-2	 movies[0] of[0] this[0] caliber[0] and[0] idea[0] aren[0] [[Sentence=-1,1=word max, 1-5]] t[0] made[0] too[0] often[0] and[0] it[0] [[Sentence=-1,1=word max, 1-5]] s[0] unfortunate[-1] that[0] i[0] waited[0] this[0] long[0] to[0] see[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
alex proyas , who ? s previous film the crow looked good but couldn ? t cover up the terrible acting or story , here shows a near masterpiece ; a combination of metropolis , edward hopper and phillip marlowe , fused seemlessly . 	alex proyas , who ?<br> s previous film the crow looked good but couldn ?<br> t cover up the terrible acting or story , here shows a near masterpiece ; a combination of metropolis , edward hopper and phillip marlowe , fused seemlessly .	2	-4	 alex[0] proyas[0] who[0] [[Sentence=-1,1=word max, 1-5]] s[0] previous[0] film[0] the[0] crow[0] looked[0] good[1] but[0] couldn[0] [[Sentence=-1,2=word max, 1-5]] t[0] cover[0] up[0] the[0] terrible[-3] acting[0] or[0] story[0] here[0] shows[0] a[0] near[0] masterpiece[0] a[0] combination[0] of[0] metropolis[0] edward[0] hopper[0] and[0] phillip[0] marlowe[0] fused[0] seemlessly[0] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
at times it moves beyond film into artwork . 	at times it moves beyond film into artwork .	1	-1	 at[0] times[0] it[0] moves[0] beyond[0] film[0] into[0] artwork[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is the story of ? strangers ? , aliens from another planet ( and we know they ? re aliens because they shave their heads and wear overcoats ? one of the detractions of the film ) who experiment on humans to discover what makes them live , what makes up our ? soul ? . 	it is the story of ?<br> strangers ?<br> , aliens from another planet ( and we know they ?<br> re aliens because they shave their heads and wear overcoats ?<br> one of the detractions of the film ) who experiment on humans to discover what makes them live , what makes up our ?<br> soul ?<br> .	1	-2	 it[0] is[0] the[0] story[0] of[0] [[Sentence=-1,1=word max, 1-5]] strangers[0] [[Sentence=-1,1=word max, 1-5]] aliens[0] from[0] another[0] planet[0] and[0] we[0] know[0] they[0] [[Sentence=-1,1=word max, 1-5]] re[0] aliens[0] because[0] they[0] shave[0] their[0] heads[0] and[0] wear[0] overcoats[0] [[Sentence=-1,1=word max, 1-5]] one[0] of[0] the[0] detractions[-1] of[0] the[0] film[0] who[0] experiment[0] on[0] humans[0] to[0] discover[0] what[0] makes[0] them[0] live[0] what[0] makes[0] up[0] our[0] [[Sentence=-2,1=word max, 1-5]] soul[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
these aliens are superior to humans because they have mastered the ? ultimate technology ? of shaping matter with their mind , called ? tuning . 	these aliens are superior to humans because they have mastered the ?<br> ultimate technology ?<br> of shaping matter with their mind , called ?<br> tuning .	3	-1	 these[0] aliens[0] are[0] superior[2] to[0] humans[0] because[0] they[0] have[0] mastered[0] the[0] [[Sentence=-1,3=word max, 1-5]] ultimate[0] technology[0] [[Sentence=-1,1=word max, 1-5]] of[0] shaping[0] matter[0] with[0] their[0] mind[0] called[0] [[Sentence=-1,1=word max, 1-5]] tuning[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
they are aided by a human scientist , played by kiefer sutherland , who has ? betrayed his kind ? and at the start of the film watches as the entire city stops at exactly midnight . 	they are aided by a human scientist , played by kiefer sutherland , who has ?<br> betrayed his kind ?<br> and at the start of the film watches as the entire city stops at exactly midnight .	2	-3	 they[0] are[0] aided[0] by[0] a[0] human[0] scientist[0] played[0] by[0] kiefer[0] sutherland[0] who[0] has[0] [[Sentence=-1,1=word max, 1-5]] betrayed[-2] his[0] kind[1] [[Sentence=-3,2=word max, 1-5]] and[0] at[0] the[0] start[0] of[0] the[0] film[0] watches[0] as[0] the[0] entire[0] city[0] stops[0] at[0] exactly[0] midnight[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
during this time , john murdoch , played swiftly by rufus sewell , wakes in a bathtub in a room with a swinging overhead light ( a terrific visual effect - not only is murdoch confused , but so is the audience ) . 	during this time , john murdoch , played swiftly by rufus sewell , wakes in a bathtub in a room with a swinging overhead light ( a terrific visual effect - not only is murdoch confused , but so is the audience ) .	4	-2	 during[0] this[0] time[0] john[0] murdoch[0] played[0] swiftly[0] by[0] rufus[0] sewell[0] wakes[0] in[0] a[0] bathtub[0] in[0] a[0] room[0] with[0] a[0] swinging[0] overhead[0] light[0] a[0] terrific[3] visual[0] effect[0] not[0] only[0] is[0] murdoch[0] confused[-1] but[0] so[0] is[0] the[0] audience[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
without a memory and a strange guilt that he may be a killer , he receives a phone call to flee , as the strangers are after him . 	without a memory and a strange guilt that he may be a killer , he receives a phone call to flee , as the strangers are after him .	1	-4	 without[0] a[0] memory[0] and[0] a[0] strange[0] guilt[-3] that[0] he[0] may[0] be[0] a[0] killer[-1] he[0] receives[0] a[0] phone[0] call[0] to[0] flee[-1] as[0] the[0] strangers[0] are[0] after[0] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i don ? t want to proceed to much further with the explanation of the story ; one of the pleasures of the film is watching it develop , in a way regaining murdoch ? s ? identity ? along with him . 	i don ?<br> t want to proceed to much further with the explanation of the story ; one of the pleasures of the film is watching it develop , in a way regaining murdoch ?<br> s ?<br> identity ?<br> along with him .	3	-1	 i[0] don[0] [[Sentence=-1,1=word max, 1-5]] t[0] want[0] to[0] proceed[0] to[0] much[0] further[0] with[0] the[0] explanation[0] of[0] the[0] story[0] one[0] of[0] the[0] pleasures[2] of[0] the[0] film[0] is[0] watching[0] it[0] develop[0] in[0] a[0] way[0] regaining[0] murdoch[0] [[Sentence=-1,3=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] identity[0] [[Sentence=-1,1=word max, 1-5]] along[0] with[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
