contact is a nobly intentioned but ultimately unsatisfying adaptation of carl sagan's only novel . 	Translation	Positive	Negative	EmotionRationale
it details the circumstances surrounding the first clear sign of intelligent life in outer space and their effects on the life of a young and idealistic radio astronomer named ellie arroway ( jodie foster ) . 	it details the circumstances surrounding the first clear sign of intelligent life in outer space and their effects on the life of a young and idealistic radio astronomer named ellie arroway ( jodie foster ) .	2	-1	 it[0] details[0] the[0] circumstances[0] surrounding[0] the[0] first[0] clear[0] sign[0] of[0] intelligent[1] life[0] in[0] outer[0] space[0] and[0] their[0] effects[0] on[0] the[0] life[0] of[0] a[0] young[0] and[0] idealistic[0] radio[0] astronomer[0] named[0] ellie[0] arroway[0] jodie[0] foster[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we first meet ellie at a giant radio telescope in puerto rico , where she is part of the seti ( search for extraterrestrial intelligence ) project . 	we first meet ellie at a giant radio telescope in puerto rico , where she is part of the seti ( search for extraterrestrial intelligence ) project .	1	-1	 we[0] first[0] meet[0] ellie[0] at[0] a[0] giant[0] radio[0] telescope[0] in[0] puerto[0] rico[0] where[0] she[0] is[0] part[0] of[0] the[0] seti[0] search[0] for[0] extraterrestrial[0] intelligence[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her research is quickly killed , however , by her highly political david drumlin ( tom skerrit ) , who disdains " pure research " in favor of science with " commercial applications . 	her research is quickly killed , however , by her highly political david drumlin ( tom skerrit ) , who disdains " pure research " in favor of science with " commercial applications .	2	-4	 her[0] research[0] is[0] quickly[0] killed[-3] however[0] by[0] her[0] highly[0] political[0] david[0] drumlin[0] tom[0] skerrit[0] who[0] disdains[0] pure[0] research[0] in[0] favor[1] of[0] science[0] with[0] commercial[0] applications[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
she goes in search of private funding and is turned down at every step until she pitches her project to a corporation run by the mysterious s . r . 	she goes in search of private funding and is turned down at every step until she pitches her project to a corporation run by the mysterious s .<br> are .	1	-1	 she[0] goes[0] in[0] search[0] of[0] private[0] funding[0] and[0] is[0] turned[0] down[0] at[0] every[0] step[0] until[0] she[0] pitches[0] her[0] project[0] to[0] a[0] corporation[0] run[0] by[0] the[0] mysterious[0] s[0] [[Sentence=-1,1=word max, 1-5]] r[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hadden ( john hurt ) . 	hadden ( john hurt ) .	1	-3	 hadden[0] john[0] hurt[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then , with that money just about to finally dry up , ellie is sitting out in the desert near the very large array in new mexico when she hears over her headphones a very powerful pulsing radio signal . 	then , with that money just about to finally dry up , ellie is sitting out in the desert near the very large array in new mexico when she hears over her headphones a very powerful pulsing radio signal .	1	-1	 then[0] with[0] that[0] money[0] just[0] about[0] to[0] finally[0] dry[0] up[0] ellie[0] is[0] sitting[0] out[0] in[0] the[0] desert[0] near[0] the[0] very[0] large[0] array[0] in[0] new[0] mexico[0] when[0] she[0] hears[0] over[0] her[0] headphones[0] a[0] very[0] powerful[0] pulsing[0] radio[0] signal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the movie's most exciting and believable sequence , ellie and her coworkers determine that the signal has to be coming from the star vega . 	in the movie's most exciting and believable sequence , ellie and her coworkers determine that the signal has to be coming from the star vega .	3	-1	 in[0] the[0] movie's[0] most[0] exciting[2] and[0] believable[0] sequence[0] ellie[0] and[0] her[0] coworkers[0] determine[0] that[0] the[0] signal[0] has[0] to[0] be[0] coming[0] from[0] the[0] star[0] vega[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at first the signal appears to be just sequences of prime numbers , then it turns out to be a tv signal of the berlin olympics bounced back to earth from 50 years before . 	at first the signal appears to be just sequences of prime numbers , then it turns out to be a tv signal of the berlin olympics bounced back to earth from 50 years before .	1	-1	 at[0] first[0] the[0] signal[0] appears[0] to[0] be[0] just[0] sequences[0] of[0] prime[0] numbers[0] then[0] it[0] turns[0] out[0] to[0] be[0] a[0] tv[0] signal[0] of[0] the[0] berlin[0] olympics[0] bounced[0] back[0] to[0] earth[0] from[0] 50[0] years[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
further decoding , with hadden's help , reveals another layer to message , containing detailed plans for a massive and complex machine . 	further decoding , with hadden's help , reveals another layer to message , containing detailed plans for a massive and complex machine .	1	-1	 further[0] decoding[0] with[0] hadden's[0] help[0] reveals[0] another[0] layer[0] to[0] message[0] containing[0] detailed[0] plans[0] for[0] a[0] massive[0] and[0] complex[0] machine[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it appears that the machine is a transport that will allow one person to travel to the aliens' home world . 	it appears that the machine is a transport that will allow one person to travel to the aliens' home world .	1	-1	 it[0] appears[0] that[0] the[0] machine[0] is[0] a[0] transport[0] that[0] will[0] allow[0] one[0] person[0] to[0] travel[0] to[0] the[0] aliens'[0] home[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
