 " it's not good to know too much about someone , charlie , " charles warns his niece , charlie ( margaret welsh ) , with a devilish grin . 	Translation	Positive	Negative	EmotionRationale
charlie is infatuated with her namesake uncle , her " soul mate " as she calls him since her mother gave her his name . 	charlie is infatuated with her namesake uncle , her " soul mate " as she calls him since her mother gave her his name .	2	-1	 charlie[0] is[0] infatuated[0] with[0] her[0] namesake[0] uncle[0] her[0] soul[0] mate[1] as[0] she[0] calls[0] him[0] since[0] her[0] mother[0] gave[0] her[0] his[0] name[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's a lot to know about charles , not the least of which is that he strangled 3 widows back east . 	there's a lot to know about charles , not the least of which is that he strangled 3 widows back east .	1	-3	 there's[0] a[0] lot[0] to[0] know[0] about[0] charles[0] not[0] the[0] least[0] of[0] which[0] is[0] that[0] he[0] strangled[-2] 3[0] widows[0] back[0] east[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
mark harmon , who looks like anything but a killer but specializes in playing them , plays charles , the merry widow murderer in the 1991 hallmark hall of fame remake of the 1943 hitchcock film , shadow of a doubt . 	mark harmon , who looks like anything but a killer but specializes in playing them , plays charles , the merry widow murderer in the 1991 hallmark hall of fame remake of the 1943 hitchcock film , shadow of a doubt .	2	-4	 mark[0] harmon[1] who[0] looks[0] like[1] anything[0] but[0] a[0] killer[-1] but[0] specializes[1] in[0] playing[1] them[0] plays[1] charles[0] the[0] merry[1] widow[0] murderer[-3] in[0] the[0] 1991[0] hallmark[0] hall[0] of[0] fame[0] remake[0] of[0] the[0] 1943[0] hitchcock[0] film[0] shadow[0] of[0] a[0] doubt[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and to avoid any questions about his guilt , we see charles in action in the opening scene with his last victim . 	and to avoid any questions about his guilt , we see charles in action in the opening scene with his last victim .	1	-4	 and[0] to[0] avoid[-1] any[0] questions[0] about[0] his[0] guilt[-3] we[0] see[0] charles[0] in[0] action[0] in[0] the[0] opening[0] scene[0] with[0] his[0] last[0] victim[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the story takes place in the early 1950s in the small town of petaluma , california , where charles heads to avoid the police . 	the story takes place in the early 1950s in the small town of petaluma , california , where charles heads to avoid the police .	1	-2	 the[0] story[0] takes[0] place[0] in[0] the[0] early[0] 1950s[0] in[0] the[0] small[0] town[0] of[0] petaluma[0] california[0] where[0] charles[0] heads[0] to[0] avoid[-1] the[0] police[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
john gay's script uses most of the original screenplay by sally benson , alma reville , and thornton wilder . 	john gay's script uses most of the original screenplay by sally benson , alma revile , and thornton wilder .	1	-1	 john[0] gay's[0] script[0] uses[0] most[0] of[0] the[0] original[0] screenplay[0] by[0] sally[0] benson[0] alma[0] reville/revile[0] and[0] thornton[0] wilder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
karen arthur's direction is certainly no match for the great master , but on an absolute scale , the movie maintains a high level of suspense . 	karen arthur's direction is certainly no match for the great master , but on an absolute scale , the movie maintains a high level of suspense .	3	-1	 karen[0] arthur's[0] direction[0] is[0] certainly[0] no[0] match[0] for[0] the[0] great[2] master[0] but[0] on[0] an[0] absolute[0] scale[0] the[0] movie[0] maintains[0] a[0] high[0] level[0] of[0] suspense[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when supercilious and deceitful charles comes to pay a visit of indeterminate length with his sister and her family in petaluma , they don't know about his nefarious activities . 	when supercilious and deceitful charles comes to pay a visit of indeterminate length with his sister and her family in petaluma , they don't know about his nefarious activities .	1	-3	 when[0] supercilious[0] and[0] deceitful[-2] charles[0] comes[0] to[0] pay[0] a[0] visit[0] of[0] indeterminate[-1] length[0] with[0] his[0] sister[0] and[0] her[0] family[0] in[0] petaluma[0] they[0] don't[0] know[0] about[0] his[0] nefarious[0] activities[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he showers them with elaborate gifts to buy the love they had already given him anyway . 	he showers them with elaborate gifts to buy the love they had already given him anyway .	3	-1	 he[0] showers[0] them[0] with[0] elaborate[0] gifts[0] to[0] buy[0] the[0] love[2] they[0] had[0] already[0] given[0] him[0] anyway[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
two mysterious and exceedingly clean-cut writers for a magazine show up to take pictures of the family for a spread on the " average american family , " but their interest is focused on uncle charles , especially on taking his picture and learning about his background . 	two mysterious and exceedingly clean-cut writers for a magazine show up to take pictures of the family for a spread on the " average american family , " but their interest is focused on uncle charles , especially on taking his picture and learning about his background .	2	-1	 two[0] mysterious[0] and[0] exceedingly[0] clean[0] cut[0] writers[0] for[0] a[0] magazine[0] show[0] up[0] to[0] take[0] pictures[0] of[0] the[0] family[0] for[0] a[0] spread[0] on[0] the[0] average[0] american[0] family[0] but[0] their[0] interest[1] is[0] focused[0] on[0] uncle[0] charles[0] especially[0] on[0] taking[0] his[0] picture[0] and[0] learning[0] about[0] his[0] background[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
charlie , who first welcomed her uncle's visit , begins to feel more and more uncomfortable with him and suspicious of the disingenuous magazine reporters . 	charlie , who first welcomed her uncle's visit , begins to feel more and more uncomfortable with him and suspicious of the disingenuous magazine reporters .	2	-3	 charlie[0] who[0] first[0] welcomed[1] her[0] uncle's[0] visit[0] begins[0] to[0] feel[0] more[0] and[0] more[0] uncomfortable[-2] with[0] him[0] and[0] suspicious[-1] of[0] the[0] disingenuous[-1] magazine[0] reporters[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the picture advances with a delicate power using small details such as the newspaper article that the uncle tries secretly to remove and that charlie discovers . 	the picture advances with a delicate power using small details such as the newspaper article that the uncle tries secretly to remove and that charlie discovers .	1	-1	 the[0] picture[0] advances[0] with[0] a[0] delicate[0] power[0] using[0] small[0] details[0] such[0] as[0] the[0] newspaper[0] article[0] that[0] the[0] uncle[0] tries[0] secretly[0] to[0] remove[0] and[0] that[0] charlie[0] discovers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the beauty of the story is the pas de deux between uncle and niece as they try to out psych each other . 	the beauty of the story is the pas de deux between uncle and niece as they try to out psych each other .	3	-1	 the[0] beauty[2] of[0] the[0] story[0] is[0] the[0] pas[0] de[0] deux[0] between[0] uncle[0] and[0] niece[0] as[0] they[0] try[0] to[0] out[0] psych[0] each[0] other[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she wants him to leave , and he doesn't want to go , what with a local , rich widow as a prospective victim . 	she wants him to leave , and he doesn't want to go , what with a local , rich widow as a prospective victim .	1	-3	 she[0] wants[0] him[0] to[0] leave[0] and[0] he[0] doesn't[0] want[0] to[0] go[0] what[0] with[0] a[0] local[0] rich[0] widow[0] as[0] a[0] prospective[0] victim[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
will charles kill charlie first , or will she get him out of town . 	will charles kill charlie first , or will she get him out of town .	1	-2	 will[0] charles[0] kill[-1] charlie[0] first[0] or[0] will[0] she[0] get[0] him[0] out[0] of[0] town[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
harmon is wonderfully creepy and smug , and welsh is tough but trapped . 	harmon is wonderfully creepy and smug , and welsh is tough but trapped .	3	-2	 harmon[1] is[0] wonderfully[2] creepy[0] and[0] smug[-1] and[0] welsh[0] is[0] tough[-1] but[0] trapped[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
with a deft touch the director sets up each scene , several with thunderstorms , and tom neuwirth's sepia-toned cinematography makes the movie feel as if it were filmed in the 50s . 	with a deft touch the director sets up each scene , several with thunderstorms , and tom neuwirth's sepia-toned cinematography makes the movie feel as if it were filmed in the 50s .	1	-1	 with[0] a[0] deft[0] touch[0] the[0] director[0] sets[0] up[0] each[0] scene[0] several[0] with[0] thunderstorms[0] and[0] tom[0] neuwirth's[0] sepia[0] toned[0] cinematography[0] makes[0] the[0] movie[0] feel[0] as[0] if[0] it[0] were[0] filmed[0] in[0] the[0] 50s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my only quibble is the director's awkward staging of the final scene on the train . 	my only quibble is the director's awkward staging of the final scene on the train .	1	-2	 my[0] only[0] quibble[-1] is[0] the[0] director's[0] awkward[-1] staging[0] of[0] the[0] final[0] scene[0] on[0] the[0] train[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
is hitchcock's version better ? 	is hitchcock's version better ?	1	-1	 is[0] hitchcock's[0] version[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course . 	of course .	1	-1	 of[0] course[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is this one worth watching as well ? 	is this one worth watching as well ?	1	-1	 is[0] this[0] one[0] worth[0] watching[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actually , yes . 	actually , yes .	1	-1	 actually[0] yes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
shadow of a doubt runs 1 : 40 . 	shadow of a doubt runs 1 : 40 .	1	-2	 shadow[0] of[0] a[0] doubt[-1] runs[0] 1[0] 40[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is not rated but would be pg for adult themes and would be fine for kids around nine and up . 	it is not rated but would be pg for adult themes and would be fine for kids around nine and up .	3	-1	 it[0] is[0] not[0] rated[0] but[0] would[0] be[0] pg[0] for[0] adult[0] themes[0] and[0] would[0] be[0] fine[2] for[0] kids[0] around[0] nine[0] and[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
