one year has passed since the last time we saw them , and but wayne campbell and garth algar are back but , they've moved out of their parents homes , and now have their own pad in an abandoned warehouse . 	Translation	Positive	Negative	EmotionRationale
wayne's still hopelessly infatuated with his girlfriend , cassandra , and of course garth is still having his own , personal growing pains . 	wayne's still hopelessly infatuated with his girlfriend , cassandra , and of course garth is still having his own , personal growing pains .	1	-4	 wayne's[0] still[0] hopelessly[-3] infatuated[0] with[0] his[0] girlfriend[0] cassandra[0] and[0] of[0] course[0] garth[0] is[0] still[0] having[0] his[0] own[0] personal[0] growing[0] pains[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they guys are just finishing off one of their shows , and head off to an aerosmith concert where they run across cassandra and her new manager , a stereotypical industry slime not unlike the character rob lowe portrayed in the previous film . 	they guys are just finishing off one of their shows , and head off to an aerosmith concert where they run across cassandra and her new manager , a stereotypical industry slime not unlike the character rob lowe portrayed in the previous film .	1	-2	 they[0] guys[0] are[0] just[0] finishing[0] off[0] one[0] of[0] their[0] shows[0] and[0] head[0] off[0] to[0] an[0] aerosmith[0] concert[0] where[0] they[0] run[0] across[0] cassandra[0] and[0] her[0] new[0] manager[0] a[0] stereotypical[0] industry[0] slime[-1] not[0] unlike[0] the[0] character[0] rob[0] lowe[-1] portrayed[0] in[0] the[0] previous[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
again , the promoter is not only after the money that cassandra's talent can bring in . 	again , the promoter is not only after the money that cassandra's talent can bring in .	2	-1	 again[0] the[0] promoter[0] is[0] not[0] only[0] after[0] the[0] money[0] that[0] cassandra's[0] talent[1] can[0] bring[0] in[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the storyline quickly degrades to a parallel of the original , " guy loses chick , guy realizes mistake , and guy gets chick back . " 	the storyline quickly degrades to a parallel of the original , " guy loses chick , guy realizes mistake , and guy gets chick back .<br> "	1	-3	 the[0] storyline[0] quickly[0] degrades[-2] to[0] a[0] parallel[0] of[0] the[0] original[0] guy[0] loses[-1] chick[0] guy[0] realizes[0] mistake[-1] and[0] guy[0] gets[0] chick[0] back[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fortunately , there is more to this movie than this somewhat sheer plot . 	fortunately , there is more to this movie than this somewhat sheer plot .	1	-1	 fortunately[0] there[0] is[0] more[0] to[0] this[0] movie[0] than[0] this[0] somewhat[0] sheer[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the wit and humor in this film are surprisingly intelligent and fresh with many inside jokes on the film and music industries as well as just a lot of hilarious scenes of wayne and garth showing their true color . 	the wit and humor in this film are surprisingly intelligent and fresh with many inside jokes on the film and music industries as well as just a lot of hilarious scenes of wayne and garth showing their true color .	3	-1	 the[0] wit[0] and[0] humor[2] in[0] this[0] film[0] are[0] surprisingly[0] intelligent[1] and[0] fresh[0] with[0] many[0] inside[0] jokes[1] on[0] the[0] film[0] and[0] music[0] industries[0] as[0] well[0] as[0] just[0] a[0] lot[0] of[0] hilarious[2] scenes[0] of[0] wayne[0] and[0] garth[0] showing[0] their[0] true[1] color[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
highlights of the movie include a spoof of jurassic park , garth's seduction by a married woman , a surprise appearance by charleton heston , a 1960's batman setup in the guy's pad , and some pretty groovy chats with jim morrison and some " naked indian guy , " an unexpected lip-sync of ymca ( you could see that one coming a mile away ) and of course a hilarious parody of those badly-dubbed kung-fu movies we love to laugh at . 	highlights of the movie include a spoof of jurassic park , garth's seduction by a married woman , a surprise appearance by charleton heston , a 1960's batman setup in the guy's pad , and some pretty groovy chats with jim morrison and some " naked indian guy , " an unexpected lip-sync of ymca ( you could see that one coming a mile away ) and of course a hilarious parody of those badly-dubbed kung-fu movies we love to laugh at .	3	-2	 highlights[0] of[0] the[0] movie[0] include[0] a[0] spoof[0] of[0] jurassic[0] park[0] garth's[0] seduction[0] by[0] a[0] married[0] woman[0] a[0] surprise[0] appearance[0] by[0] charleton[0] heston[0] a[0] 1960's[0] batman[0] setup[0] in[0] the[0] guy's[0] pad[0] and[0] some[0] pretty[2][-1 LastWordBoosterStrength] groovy[0] chats[0] with[0] jim[0] morrison[0] and[0] some[0] naked[0] indian[0] guy[0] an[0] unexpected[0] lip[0] sync[0] of[0] ymca[0] you[0] could[0] see[0] that[0] one[0] coming[0] a[0] mile[0] away[0] and[0] of[0] course[0] a[0] hilarious[2] parody[0] of[0] those[0] badly[-1] dubbed[0] kung[0] fu[0] movies[0] we[0] love[2] to[0] laugh[1] at[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and if you've ever wondered why there's always boxes of watermelons , chickens , and people walking plate glass in the middle of streets , you'll find out here . 	and if you've ever wondered why there's always boxes of watermelons , chickens , and people walking plate glass in the middle of streets , you'll find out here .	1	-1	 and[0] if[0] you've[0] ever[0] wondered[0] why[0] there's[0] always[0] boxes[0] of[0] watermelons[0] chickens[0] and[0] people[0] walking[0] plate[0] glass[0] in[0] the[0] middle[0] of[0] streets[0] you'll[0] find[0] out[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this movie also explores wayne and garth a little more . 	this movie also explores wayne and garth a little more .	1	-1	 this[0] movie[0] also[0] explores[0] wayne[0] and[0] garth[0] a[0] little[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
garth has somewhat of a " coming of age " and wayne gets to learn a little about himself ( with a little help from our old friend , jim morrison ) . 	garth has somewhat of a " coming of age " and wayne gets to learn a little about himself ( with a little help from our old friend , jim morrison ) .	2	-1	 garth[0] has[0] somewhat[0] of[0] a[0] coming[0] of[0] age[0] and[0] wayne[0] gets[0] to[0] learn[0] a[0] little[0] about[0] himself[0] with[0] a[0] little[0] help[0] from[0] our[0] old[0] friend[1] jim[0] morrison[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
