note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
james toback's return to directing after a eight-year layoff , two girls and a guy , is a film which is comprised , more or less , of just that : one guy , blake ( robert downey jr . ) ; two girls , carla ( heather graham ) and lou ( natasha gregson wagner ) ; one primary setting ( blake's absurdly spacious bachelor apartment ) , and a great deal of dialogue . 	james toback's return to directing after a eight-year layoff , two girls and a guy , is a film which is comprised , more or less , of just that : one guy , blake ( robert downey jr .<br> ) ; two girls , carla ( heather graham ) and lou ( natasha gregson wagner ) ; one primary setting ( blake's absurdly spacious bachelor apartment ) , and a great deal of dialogue .	3	-2	 james[0] toback's[0] return[0] to[0] directing[0] after[0] a[0] eight[0] year[0] layoff[0] two[0] girls[0] and[0] a[0] guy[0] is[0] a[0] film[0] which[0] is[0] comprised[0] more[0] or[0] less[0] of[0] just[0] that[0] one[0] guy[0] blake[0] robert[0] downey[0] jr[0] [[Sentence=-1,1=word max, 1-5]] two[0] girls[0] carla[0] heather[0] graham[0] and[0] lou[0] natasha[0] gregson[0] wagner[0] one[0] primary[0] setting[0] blake's[0] absurdly[-1] spacious[0] bachelor[0] apartment[0] and[0] a[0] great[2] deal[0] of[0] dialogue[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
embracing a near real-time approach , this is a highly theatrical feature that completely hangs upon the performances of its three actors and the quality of the dialogue written by mr . toback for his bantering characters . 	embracing a near real-time approach , this is a highly theatrical feature that completely hangs upon the performances of its three actors and the quality of the dialogue written by mr .<br> toback for his bantering characters .	1	-1	 embracing[0] a[0] near[0] real[0] time[0] approach[0] this[0] is[0] a[0] highly[0] theatrical[0] feature[0] that[0] completely[0] hangs[0] upon[0] the[0] performances[0] of[0] its[0] three[0] actors[0] and[0] the[0] quality[0] of[0] the[0] dialogue[0] written[0] by[0] mr[0] [[Sentence=-1,1=word max, 1-5]] toback[0] for[0] his[0] bantering[0] characters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fortunately , the film's cast is up to the challenge , and the wordy exchanges between the triad of characters , while admittedly variable , are occasionally wickedly amusing . 	fortunately , the film's cast is up to the challenge , and the wordy exchanges between the triad of characters , while admittedly variable , are occasionally wickedly amusing .	3	-2	 fortunately[0] the[0] film's[0] cast[0] is[0] up[0] to[0] the[0] challenge[-1] and[0] the[0] wordy[0] exchanges[0] between[0] the[0] triad[0] of[0] characters[0] while[0] admittedly[0] variable[0] are[0] occasionally[0] wickedly[2] amusing[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film's setup is fairly generic in nature , and opens rather unpromisingly . 	the film's setup is fairly generic in nature , and opens rather unpromisingly .	1	-1	 the[0] film's[0] setup[0] is[0] fairly[0] generic[0] in[0] nature[0] and[0] opens[0] rather[0] unpromisingly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we meet self-possessed blonde carla and feisty brunette lou , both waiting outside a soho loft . 	we meet self-possessed blonde carla and feisty brunette lou , both waiting outside a soho loft .	1	-1	 we[0] meet[0] self[0] possessed[0] blonde[0] carla[0] and[0] feisty[0] brunette[0] lou[0] both[0] waiting[0] outside[0] a[0] soho[0] loft[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as they engage in idle chatter , it is revealed that they're both waiting for their respective boyfriends to return from the airport , and it doesn't take long for them to come to the realisation that they're being two-timed by the same guy . 	as they engage in idle chatter , it is revealed that they're both waiting for their respective boyfriends to return from the airport , and it doesn't take long for them to come to the realisation that they're being two-timed by the same guy .	3	-1	 as[0] they[0] engage[0] in[0] idle[0] chatter[0] it[0] is[0] revealed[0] that[0] they're[0] both[0] waiting[0] for[0] their[0] respective[2] boyfriends[0] to[0] return[0] from[0] the[0] airport[0] and[0] it[0] doesn't[0] take[0] long[0] for[0] them[0] to[0] come[0] to[0] the[0] realisation[0] that[0] they're[0] being[0] two[0] timed[0] by[0] the[0] same[0] guy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
more indignant with him than catty with each other , the duo break into blake's loft and await his arrival for a confrontation . 	more indignant with him than catty with each other , the duo break into blake's loft and await his arrival for a confrontation .	1	-3	 more[0] indignant[0] with[0] him[0] than[0] catty[0] with[0] each[0] other[0] the[0] duo[0] break[0] into[0] blake's[0] loft[0] and[0] await[0] his[0] arrival[0] for[0] a[0] confrontation[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's when blake returns to his abode where the film hits its stride . 	it's when blake returns to his abode where the film hits its stride .	1	-1	 it's[0] when[0] blake[0] returns[0] to[0] his[0] abode[0] where[0] the[0] film[0] hits[0] its[0] stride[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
played with magnificent bombast by mr . downey jr . , blake is a cad , all right , but a captivatingly dynamic , blusterous , and stealthy piece of work that bursts onto the scene and raises the stakes to new heights . 	played with magnificent bombast by mr .<br> downey jr .<br> , blake is a cad , all right , but a captivatingly dynamic , blusterous , and stealthy piece of work that bursts onto the scene and raises the stakes to new heights .	4	-2	 played[0] with[0] magnificent[3] bombast[-1] by[0] mr[0] [[Sentence=-2,4=word max, 1-5]] downey[0] jr[0] [[Sentence=-1,1=word max, 1-5]] blake[0] is[0] a[0] cad[0] all[0] right[0] but[0] a[0] captivatingly[0] dynamic[1] blusterous[0] and[0] stealthy[0] piece[0] of[0] work[0] that[0] bursts[0] onto[0] the[0] scene[0] and[0] raises[0] the[0] stakes[0] to[0] new[0] heights[0] [[Sentence=-1,2=word max, 1-5]][[[4,-2 max of sentences]]]
it's fascinating to watch this character in his natural habitat , and perhaps the film's best choice was to have his two girlfriends scamper off into hiding upon his return , allowing us to size up blake not with his interactions with others , but by his own innate behaviour . 	it's fascinating to watch this character in his natural habitat , and perhaps the film's best choice was to have his two girlfriends scamper off into hiding upon his return , allowing us to size up blake not with his interactions with others , but by his own innate behaviour .	2	-1	 it's[0] fascinating[0] to[0] watch[0] this[0] character[0] in[0] his[0] natural[0] habitat[0] and[0] perhaps[0] the[0] film's[0] best[1] choice[0] was[0] to[0] have[0] his[0] two[0] girlfriends[0] scamper[0] off[0] into[0] hiding[0] upon[0] his[0] return[0] allowing[0] us[0] to[0] size[0] up[0] blake[0] not[0] with[0] his[0] interactions[0] with[0] others[0] but[0] by[0] his[0] own[0] innate[0] behaviour[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
whether he's flamboyantly behind his piano in a rollicking rendition of vivaldi , or on the phone leaving messages to his beloveds ( carla , lou , and his unseen sickly mother ) , it's never less than wildly entertaining and insightful . 	whether he's flamboyantly behind his piano in a rollicking rendition of vivaldi , or on the phone leaving messages to his beloveds ( carla , lou , and his unseen sickly mother ) , it's never less than wildly entertaining and insightful .	3	-2	 whether[0] he's[0] flamboyantly[0] behind[0] his[0] piano[0] in[0] a[0] rollicking[0] rendition[0] of[0] vivaldi[0] or[0] on[0] the[0] phone[0] leaving[0] messages[0] to[0] his[0] beloveds[2] carla[0] lou[0] and[0] his[0] unseen[0] sickly[-1] mother[0] it's[0] never[0] less[0] than[0] wildly[0] entertaining[0] and[0] insightful[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
though at this point i almost hoped the film would transform into a one-man show -- a typical afternoon in the life of blake , if you will -- carla , and then lou , reveal themselves , and the sparks begin to fly . 	though at this point i almost hoped the film would transform into a one-man show - a typical afternoon in the life of blake , if you will - carla , and then lou , reveal themselves , and the sparks begin to fly .	2	-1	 though[0] at[0] this[0] point[0] i[0] almost[0] hoped[1] the[0] film[0] would[0] transform[0] into[0] a[0] one[0] man[0] show[0] a[0] typical[0] afternoon[0] in[0] the[0] life[0] of[0] blake[0] if[0] you[0] will[0] carla[0] and[0] then[0] lou[0] reveal[0] themselves[0] and[0] the[0] sparks[0] begin[0] to[0] fly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
