i have to say it . 	Translation	Positive	Negative	EmotionRationale
tim burton's retelling of planet of the apes is more fun than a barrel of monkeys . 	tim burton's retelling of planet of the apes is more fun than a barrel of monkeys .	2	-1	 tim[0] burton's[0] retelling[0] of[0] planet[0] of[0] the[0] apes[0] is[0] more[0] fun[1] than[0] a[0] barrel[0] of[0] monkeys[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ok , that's off my chest . 	ok , that's off my chest .	1	-1	 ok[0] that's[0] off[0] my[0] chest[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no more monkey puns , i promise . 	no more monkey puns , i promise .	2	-1	 no[0] more[0] monkey[0] puns[0] i[0] promise[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
seriously , though , planet of the apes is one rip-roarin' summer outing , filled with thrills , action , adventure , wit and bits of funny ( dare i say , monkey ) business . 	seriously , though , planet of the apes is one rip-roarin' summer outing , filled with thrills , action , adventure , wit and bits of funny ( dare i say , monkey ) business .	4	-2	 seriously[0] though[0] planet[0] of[0] the[0] apes[0] is[0] one[0] rip[-1] roarin'[0] summer[0] outing[0] filled[0] with[0] thrills[3] action[0] adventure[0] wit[0] and[0] bits[0] of[0] funny[1] dare[0] i[0] say[0] monkey[0] business[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i know , i know , i promised . 	i know , i know , i promised .	2	-1	 i[0] know[0] i[0] know[0] i[0] promised[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and for those film buffs who are fond of the original , burton's version includes a couple tips of the hat to that movie . 	and for those film buffs who are fond of the original , burton's version includes a couple tips of the hat to that movie .	3	-1	 and[0] for[0] those[0] film[0] buffs[0] who[0] are[0] fond[2] of[0] the[0] original[0] burton's[0] version[0] includes[0] a[0] couple[0] tips[0] of[0] the[0] hat[0] to[0] that[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mark wahlberg stars as capt . leo davidson , a deep-space pilot whose ship gets drawn into a magnetic field and hurled into the future . 	mark wahlberg stars as capt .<br> leo davidson , a deep-space pilot whose ship gets drawn into a magnetic field and hurled into the future .	1	-1	 mark[0] wahlberg[0] stars[0] as[0] capt[0] [[Sentence=-1,1=word max, 1-5]] leo[0] davidson[0] a[0] deep[0] space[0] pilot[0] whose[0] ship[0] gets[0] drawn[0] into[0] a[0] magnetic[0] field[0] and[0] hurled[0] into[0] the[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he crash lands on a planet where apes are the dominant species and humans are hunted , captured and sold into slavery . 	he crash lands on a planet where apes are the dominant species and humans are hunted , captured and sold into slavery .	1	-2	 he[0] crash[0] lands[0] on[0] a[0] planet[0] where[0] apes[0] are[0] the[0] dominant[0] species[0] and[0] humans[0] are[0] hunted[0] captured[-1] and[0] sold[0] into[0] slavery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
despite being darker than the original , burton's film is not as heavy handed nor as sanctimonious . 	despite being darker than the original , burton's film is not as heavy handed nor as sanctimonious .	1	-1	 despite[0] being[0] darker[0] than[0] the[0] original[0] burton's[0] film[0] is[0] not[0] as[0] heavy[0] handed[0] nor[0] as[0] sanctimonious[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some of the movie's flashes of humor are surreal as well as typically burton : an organ-grinder ape with a midget or an elderly ape taking off a wig and removing false teeth as he prepares for bed . 	some of the movie's flashes of humor are surreal as well as typically burton : an organ-grinder ape with a midget or an elderly ape taking off a wig and removing false teeth as he prepares for bed .	3	-1	 some[0] of[0] the[0] movie's[0] flashes[0] of[0] humor[2] are[0] surreal[0] as[0] well[0] as[0] typically[0] burton[0] an[0] organ[0] grinder[0] ape[0] with[0] a[0] midget[0] or[0] an[0] elderly[0] ape[0] taking[0] off[0] a[0] wig[0] and[0] removing[0] false[0] teeth[0] as[0] he[0] prepares[0] for[0] bed[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then there are the parents who buy a little girl as a pet for there young daughter . 	then there are the parents who buy a little girl as a pet for there young daughter .	1	-1	 then[0] there[0] are[0] the[0] parents[0] who[0] buy[0] a[0] little[0] girl[0] as[0] a[0] pet[0] for[0] there[0] young[0] daughter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the seller advises the parents to get rid of the girl before she reaches puberty : " one thing you don't want in your house is a human teen-ager , " he says . 	the seller advises the parents to get rid of the girl before she reaches puberty : " one thing you don't want in your house is a human teen-ager , " he says .	1	-2	 the[0] seller[0] advises[0] the[0] parents[0] to[0] get[0] rid[-1] of[0] the[0] girl[0] before[0] she[0] reaches[0] puberty[0] one[0] thing[0] you[0] don't[0] want[0] in[0] your[0] house[0] is[0] a[0] human[0] teen[0] ager[0] he[0] says[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you don't have to be an ape to realize the truth in that statement . 	you don't have to be an ape to realize the truth in that statement .	2	-1	 you[0] don't[0] have[0] to[0] be[0] an[0] ape[0] to[0] realize[0] the[0] truth[1] in[0] that[0] statement[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
touches such as these are what stamps this movie with burton's brand . 	touches such as these are what stamps this movie with burton's brand .	1	-1	 touches[0] such[0] as[0] these[0] are[0] what[0] stamps[0] this[0] movie[0] with[0] burton's[0] brand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
