every once in a while , when an exceptional family film comes along , i will attempt to champion it by challenging parents to put their money where their mouths have been ; with all the hubbub over the lack of films suitable for children , it is remarkable how many non-disney films disappear in a couple of weeks . 	Translation	Positive	Negative	EmotionRationale
now i see that in so doing , i have unfairly ghettoized these films . 	now i see that in so doing , i have unfairly ghettoized these films .	1	-2	 now[0] i[0] see[0] that[0] in[0] so[0] doing[0] i[0] have[0] unfairly[-1] ghettoized[0] these[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so i am issuing my challenge not just to parents , but to anyone who wants to support smart , funny , energetic film-making : see matilda . 	so i am issuing my challenge not just to parents , but to anyone who wants to support smart , funny , energetic film-making : see matilda .	2	-2	 so[0] i[0] am[0] issuing[0] my[0] challenge[-1] not[0] just[0] to[0] parents[0] but[0] to[0] anyone[0] who[0] wants[0] to[0] support[1] smart[1] funny[1] energetic[0] film[0] making[0] see[0] matilda[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
see it in a theater , rather than shrugging and waiting for it on video . 	see it in a theater , rather than shrugging and waiting for it on video .	1	-1	 see[0] it[0] in[0] a[0] theater[0] rather[0] than[0] shrugging[0] and[0] waiting[0] for[0] it[0] on[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
see the best film i have seen in 1996 . 	see the best film i have seen in 1996 .	2	-1	 see[0] the[0] best[1] film[0] i[0] have[0] seen[0] in[0] 1996[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not the best children's film . . . the 	not the best children's film .<br> .<br> .<br> the	1	-2	 not[0] the[0] best[1][NegatedDueToPreviousWord] children's[0] film[0] [[Sentence=-2,1=word max, 1-5]] the[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
best film . 	best film .	2	-1	 best[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
period . 	period .	1	-1	 period[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
based on a story by roald dahl , it tells of young matilda wormwood ( mara wilson ) , an extraordinarily bright girl whose great misfortune it is to have a pair of deeply stupid parents : harry ( danny devito ) , a crooked used car salesman ; and zinnia ( rhea perlman ) , a simple-minded bingo addict . 	based on a story by roald dahl , it tells of young matilda wormwood ( mara wilson ) , an extraordinarily bright girl whose great misfortune it is to have a pair of deeply stupid parents : harry ( danny devito ) , a crooked used car salesman ; and zinnia ( rhea perlman ) , a simple-minded bingo addict .	3	-2	 based[0] on[0] a[0] story[0] by[0] roald[0] dahl[0] it[0] tells[0] of[0] young[0] matilda[0] wormwood[0] mara[0] wilson[0] an[0] extraordinarily[0] bright[0] girl[0] whose[0] great[2] misfortune[-1] it[0] is[0] to[0] have[0] a[0] pair[0] of[0] deeply[0] stupid[-1] parents[0] harry[0] danny[0] devito[0] a[0] crooked[-1] used[0] car[0] salesman[0] and[0] zinnia[0] rhea[0] perlman[0] a[0] simple[0] minded[0] bingo[0] addict[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the wormwoods barely notice matilda exists , and when they do , it is only to scold her for spending too much time reading books . 	the wormwoods barely notice matilda exists , and when they do , it is only to scold her for spending too much time reading books .	1	-2	 the[0] wormwoods[0] barely[0] notice[0] matilda[0] exists[0] and[0] when[0] they[0] do[0] it[0] is[0] only[0] to[0] scold[-1] her[0] for[0] spending[0] too[0] much[0] time[0] reading[0] books[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when they finally do send her to school , it is to crunchem hall , a bleak place run by cruel , child-hating miss agatha trunchbull ( pam ferris ) . 	when they finally do send her to school , it is to crunchem hall , a bleak place run by cruel , child-hating miss agatha trunchbull ( pam ferris ) .	2	-4	 when[0] they[0] finally[0] do[0] send[0] her[0] to[0] school[0] it[0] is[0] to[0] crunchem[0] hall[0] a[0] bleak[-1] place[0] run[0] by[0] cruel[-3] child[0] hating[-3] miss[-1] agatha[0] trunchbull[0] pam[0] ferris[0] [[Sentence=-4,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-4 max of sentences]]]
but things begin to look up for matilda when she discovers a sympathetic teacher , miss honey ( embeth davidtz ) , who nurtures her natural inquisitiveness . 	but things begin to look up for matilda when she discovers a sympathetic teacher , miss honey ( embeth davidtz ) , who nurtures her natural inquisitiveness .	2	-2	 but[0] things[0] begin[0] to[0] look[0] up[0] for[0] matilda[0] when[0] she[0] discovers[0] a[0] sympathetic[0] teacher[0] miss[-1] honey[0] embeth[0] davidtz[0] who[0] nurtures[0] her[0] natural[0] inquisitiveness[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
matilda also discovers another special talent -- the ability to move things with her mind -- which allows her to help herself and miss honey to overcome miss trunchbull's cruelty . 	matilda also discovers another special talent - the ability to move things with her mind - which allows her to help herself and miss honey to overcome miss trunchbull's cruelty .	2	-4	 matilda[0] also[0] discovers[0] another[0] special[1] talent[1] the[0] ability[0] to[0] move[0] things[0] with[0] her[0] mind[0] which[0] allows[0] her[0] to[0] help[0] herself[0] and[0] miss[-1] honey[0] to[0] overcome[0] miss[-1] trunchbull's[0] cruelty[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it was this spring's james and the giant peach which inspired me to note that the best and most lasting tales for children tended to have more than a hint of darkness to them , and you can bet that the roald dahl responsible for the gleeful ghoulishness of james and willy wonka and the chocolate factory has more of the same in store with matilda . 	it was this spring's james and the giant peach which inspired me to note that the best and most lasting tales for children tended to have more than a hint of darkness to them , and you can bet that the roald dahl responsible for the gleeful ghoulishness of james and wily wonka and the chocolate factory has more of the same in store with matilda .	3	-2	 it[0] was[0] this[0] spring's[0] james[0] and[0] the[0] giant[0] peach[0] which[0] inspired[2] me[0] to[0] note[0] that[0] the[0] best[1] and[0] most[0] lasting[0] tales[0] for[0] children[0] tended[0] to[0] have[0] more[0] than[0] a[0] hint[0] of[0] darkness[0] to[0] them[0] and[0] you[0] can[0] bet[0] that[0] the[0] roald[0] dahl[0] responsible[0] for[0] the[0] gleeful[0] ghoulishness[0] of[0] james[0] and[0] willy/wily[-1] wonka[0] and[0] the[0] chocolate[0] factory[0] has[0] more[0] of[0] the[0] same[0] in[0] store[0] with[0] matilda[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and just as james benefited from the dark sensibilities of henry selick and tim burton , matilda soars on the cock-eyed direction of danny devito . 	and just as james benefited from the dark sensibilities of henry selick and tim burton , matilda soars on the cock-eyed direction of danny devito .	1	-2	 and[0] just[0] as[0] james[0] benefited[0] from[0] the[0] dark[0] sensibilities[0] of[0] henry[0] selick[0] and[0] tim[0] burton[0] matilda[0] soars[0] on[0] the[0] cock[-1] eyed[0] direction[0] of[0] danny[0] devito[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
devito made black humor a key element in throw momma from the train and the war of the roses , and he contributes some memorable images . 	devito made black humor a key element in throw momma from the train and the war of the roses , and he contributes some memorable images .	3	-3	 devito[0] made[0] black[0] humor[2] a[0] key[0] element[0] in[0] throw[0] momma[0] from[0] the[0] train[0] and[0] the[0] war[-2] of[0] the[0] roses[0] and[0] he[0] contributes[0] some[0] memorable[0] images[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in one scene , an unfortunate girl is made an example of by miss trunchbull when she is picked up by her pig-tails and flung through the air like a throwing hammer ; later , an overweight boy is forced to eat an entire massive cake after he is caught stealing a dessert . 	in one scene , an unfortunate girl is made an example of by miss trunchbull when she is picked up by her pig-tails and flung through the air like a throwing hammer ; later , an overweight boy is forced to eat an entire massive cake after he is caught stealing a dessert .	2	-3	 in[0] one[0] scene[0] an[0] unfortunate[-1] girl[0] is[0] made[0] an[0] example[0] of[0] by[0] miss[-1] trunchbull[0] when[0] she[0] is[0] picked[0] up[0] by[0] her[0] pig[0] tails[0] and[0] flung[0] through[0] the[0] air[0] like[1] a[0] throwing[0] hammer[0] later[0] an[0] overweight[-1] boy[0] is[0] forced[0] to[0] eat[0] an[0] entire[0] massive[0] cake[0] after[0] he[0] is[0] caught[0] stealing[-2] a[0] dessert[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
matilda is just twisted enough to be a perfect fairy tale . 	matilda is just twisted enough to be a perfect fairy tale .	2	-1	 matilda[0] is[0] just[0] twisted[0] enough[0] to[0] be[0] a[0] perfect[1] fairy[0] tale[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is also characteristic of the best children's tales that they manage to teach lessons in such a way that children almost don't realize that they are learning them . 	it is also characteristic of the best children's tales that they manage to teach lessons in such a way that children almost don't realize that they are learning them .	2	-1	 it[0] is[0] also[0] characteristic[0] of[0] the[0] best[1] children's[0] tales[0] that[0] they[0] manage[0] to[0] teach[0] lessons[0] in[0] such[0] a[0] way[0] that[0] children[0] almost[0] don't[0] realize[0] that[0] they[0] are[0] learning[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is a hilarious moment when matilda's television-addicted father snatches away the book she is reading ( in a wicked joke , he thinks _moby dick_ is pornographic ) and forces her to watch an inane game show ( hosted by jon lovitz ) in which contestants are smeared with adhesive and placed in a booth filled with cash blowing around . 	there is a hilarious moment when matilda's television-addicted father snatches away the book she is reading ( in a wicked joke , he thinks _moby dick_ is pornographic ) and forces her to watch an inane game show ( hosted by jon lovitz ) in which contestants are smeared with adhesive and placed in a booth filled with cash blowing around .	3	-2	 there[0] is[0] a[0] hilarious[2] moment[0] when[0] matilda's[0] television[0] addicted[-1] father[0] snatches[-1] away[0] the[0] book[0] she[0] is[0] reading[0] in[0] a[0] wicked[2] joke[1] he[0] thinks[0] _moby[0] dick_[0] is[0] pornographic[0] and[0] forces[0] her[0] to[0] watch[0] an[0] inane[-1] game[0] show[0] hosted[0] by[0] jon[0] lovitz[0] in[0] which[0] contestants[0] are[0] smeared[-1] with[0] adhesive[0] and[0] placed[0] in[0] a[0] booth[0] filled[0] with[0] cash[0] blowing[0] around[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
matilda is a story which promotes the value of intellectual curiosity over passive entertainment , and it does so while poking holes in that most frustrating of notions for a child -- that because " i'm big and you're little , i'm right and you're wrong . " 	matilda is a story which promotes the value of intellectual curiosity over passive entertainment , and it does so while poking holes in that most frustrating of notions for a child - that because " i'm big and you're little , i'm right and you're wrong .<br> "	2	-3	 matilda[0] is[0] a[0] story[0] which[0] promotes[0] the[0] value[1] of[0] intellectual[0] curiosity[0] over[0] passive[0] entertainment[0] and[0] it[0] does[0] so[0] while[0] poking[0] holes[0] in[0] that[0] most[0] frustrating[-2] of[0] notions[0] for[0] a[0] child[0] that[0] because[0] i'm[0] big[0] and[0] you're[0] little[0] i'm[0] right[0] and[0] you're[0] wrong[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
more specifically , it has as its heroine an intelligent , self-confident girl who struggles successfully against other people's notions of how she should behave . 	more specifically , it has as its heroine an intelligent , self-confident girl who struggles successfully against other people's notions of how she should behave .	3	-2	 more[0] specifically[0] it[0] has[0] as[0] its[0] heroine[2] an[0] intelligent[1] self[0] confident[1] girl[0] who[0] struggles[-1] successfully[2] against[-1] other[0] people's[0] notions[0] of[0] how[0] she[0] should[0] behave[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is no coincidence that matilda was co-written by robin swicord , who contributed the superb recent adaptation of little women . 	it is no coincidence that matilda was co-written by robin swicord , who contributed the superb recent adaptation of little women .	1	-1	 it[0] is[0] no[0] coincidence[0] that[0] matilda[0] was[0] co[0] written[0] by[0] robin[0] swicord[0] who[0] contributed[0] the[0] superb[0] recent[0] adaptation[0] of[0] little[0] women[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
