buffalo ? 66 is a very rarely known movie that stars vincent gallo and christina ricci . 	Translation	Positive	Negative	EmotionRationale
gallo plays a very troubled man , who was sent to jail for gambling . 	gallo plays a very troubled man , who was sent to jail for gambling .	2	-3	 gallo[0] plays[1] a[0] very[0] troubled[-1][-1 LastWordBoosterStrength] man[0] who[0] was[0] sent[0] to[0] jail[-1] for[0] gambling[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
once out of jail , he must visit his parents , who he told he was married . 	once out of jail , he must visit his parents , who he told he was married .	1	-2	 once[0] out[0] of[0] jail[-1] he[0] must[0] visit[0] his[0] parents[0] who[0] he[0] told[0] he[0] was[0] married[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the truth is he isn't married . 	the truth is he isn't married .	2	-1	 the[0] truth[1] is[0] he[0] isn't[0] married[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to try to impress them , he kidnaps a girl ( christina ricci ) from a tap dancing class to act as his wife . 	to try to impress them , he kidnaps a girl ( christina ricci ) from a tap dancing class to act as his wife .	2	-1	 to[0] try[0] to[0] impress[1] them[0] he[0] kidnaps[0] a[0] girl[0] christina[0] ricci[0] from[0] a[0] tap[0] dancing[0] class[0] to[0] act[0] as[0] his[0] wife[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is very cheaply made , and it shows it throughout a lot of the movie , but you don't need money to make a good film . 	the film is very cheaply made , and it shows it throughout a lot of the movie , but you don't need money to make a good film .	2	-3	 the[0] film[0] is[0] very[0] cheaply[-1][-1 LastWordBoosterStrength] made[0] and[0] it[0] shows[0] it[0] throughout[0] a[0] lot[0] of[0] the[0] movie[0] but[0] you[0] don't[0] need[0] money[0] to[0] make[0] a[0] good[1] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
buffalo ? 66 doesn't always stay with the realistic concept , and sometimes goes through outrageous events . 	buffalo ?<br> 66 doesn't always stay with the realistic concept , and sometimes goes through outrageous events .	1	-3	 buffalo[0] [[Sentence=-1,1=word max, 1-5]] 66[0] doesn't[0] always[0] stay[0] with[0] the[0] realistic[0] concept[0] and[0] sometimes[0] goes[0] through[0] outrageous[-2] events[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
gallo's parents , played by angelica huston and ben gazarra , are two very strange individuals . 	gallo's parents , played by angelica huston and ben gazarra , are two very strange individuals .	1	-1	 gallo's[0] parents[0] played[0] by[0] angelica[0] huston[0] and[0] ben[0] gazarra[0] are[0] two[0] very[0] strange[0] individuals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mother plays a football fanatic and the father plays a quiet man with odd habits . 	the mother plays a football fanatic and the father plays a quiet man with odd habits .	2	-2	 the[0] mother[0] plays[1] a[0] football[0] fanatic[-1] and[0] the[0] father[0] plays[1] a[0] quiet[0] man[0] with[0] odd[0] habits[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
gallo and ricci arrive at his parent's house , and some extremely funny scenes take place within the house . 	gallo and ricci arrive at his parent's house , and some extremely funny scenes take place within the house .	4	-1	 gallo[0] and[0] ricci[0] arrive[0] at[0] his[0] parent's[0] house[0] and[0] some[0] extremely[0] funny[1][2 LastWordBoosterStrength] scenes[0] take[0] place[0] within[0] the[0] house[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
ricci's performance during the scene at gallo's parent's home are very well done . 	ricci's performance during the scene at gallo's parent's home are very well done .	1	-1	 ricci's[0] performance[0] during[0] the[0] scene[0] at[0] gallo's[0] parent's[0] home[0] are[0] very[0] well[0] done[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is constantly humor involved in the interesting dinner table scenes . 	there is constantly humor involved in the interesting dinner table scenes .	3	-1	 there[0] is[0] constantly[0] humor[2] involved[0] in[0] the[0] interesting[1] dinner[0] table[0] scenes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the way the movie was filmed in this particular part of the movie were interesting and creative . 	the way the movie was filmed in this particular part of the movie were interesting and creative .	2	-1	 the[0] way[0] the[0] movie[0] was[0] filmed[0] in[0] this[0] particular[0] part[0] of[0] the[0] movie[0] were[0] interesting[1] and[0] creative[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they seemed very mediocre , but they worked out just fine . 	they seemed very mediocre , but they worked out just fine .	2	-3	 they[0] seemed[0] very[0] mediocre[-1][-1 LastWordBoosterStrength] but[0] they[0] worked[0] out[0] just[0] fine[2][-1 LastWordBoosterStrength] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
gallo's character is developed very well . 	gallo's character is developed very well .	1	-1	 gallo's[0] character[0] is[0] developed[0] very[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the impression that he is very depressed and confused is very clear . 	the impression that he is very depressed and confused is very clear .	1	-5	 the[0] impression[0] that[0] he[0] is[0] very[0] depressed[-3][-1 LastWordBoosterStrength] and[0] confused[-1] is[0] very[0] clear[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
gallo gives a performance that makes you believe what the character is going through . 	gallo gives a performance that makes you believe what the character is going through .	1	-1	 gallo[0] gives[0] a[0] performance[0] that[0] makes[0] you[0] believe[0] what[0] the[0] character[0] is[0] going[0] through[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his character goes through many , many problems , just like many people in real life . 	his character goes through many , many problems , just like many people in real life .	1	-2	 his[0] character[0] goes[0] through[0] many[0] many[0] problems[-1] just[0] like[1][-1 LastWordBoosterStrength] many[0] people[0] in[0] real[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this character seemed very realistic to me . 	this character seemed very realistic to me .	1	-1	 this[0] character[0] seemed[0] very[0] realistic[0] to[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ricci's character is funny and different . 	ricci's character is funny and different .	2	-1	 ricci's[0] character[0] is[0] funny[1] and[0] different[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she doesn't care much that she has been kidnaped , in fact , she falls in love the man who kidnaped her ! 	she doesn't care much that she has been kidnaped , in fact , she falls in love the man who kidnaped her !	3	-1	 she[0] doesn't[0] care[1] much[0] that[0] she[0] has[0] been[0] kidnaped[0] in[0] fact[0] she[0] falls[0] in[0] love[2] the[0] man[0] who[0] kidnaped[0] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
