capsule : a short punchy action sequel to the two dinosaur films made by steven spielberg . 	Translation	Positive	Negative	EmotionRationale
joe johnston directs a straightforward story of an excursion back to the island of the dinosaurs . 	joe johnston directs a straightforward story of an excursion back to the island of the dinosaurs .	1	-1	 joe[0] johnston[0] directs[0] a[0] straightforward[0] story[0] of[0] an[0] excursion[0] back[0] to[0] the[0] island[0] of[0] the[0] dinosaurs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it lets us see some new dinosaurs ( is that an oxymoron ? ) and gives us a nice and generally reasonably written adventure . 	it lets us see some new dinosaurs ( is that an oxymoron ?<br> ) and gives us a nice and generally reasonably written adventure .	2	-1	 it[0] lets[0] us[0] see[0] some[0] new[0] dinosaurs[0] is[0] that[0] an[0] oxymoron[0] [[Sentence=-1,1=word max, 1-5]] and[0] gives[0] us[0] a[0] nice[1] and[0] generally[0] reasonably[0] written[0] adventure[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is neither ambitious nor pretentious . 	the film is neither ambitious nor pretentious .	1	-2	 the[0] film[0] is[0] neither[0] ambitious[0] nor[0] pretentious[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i had a good time . 	i had a good time .	2	-1	 i[0] had[0] a[0] good[1] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 , low  2 ( -4 to  4 ) 	 , low  2 ( -4 to  4 )	1	-2	 low[-1] 2[0] -4[0] to[0] 4[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
here goes my credibility . 	here goes my credibility .	1	-1	 here[0] goes[0] my[0] credibility[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a film on which i expect to be in a minority . 	this is a film on which i expect to be in a minority .	1	-1	 this[0] is[0] a[0] film[0] on[0] which[0] i[0] expect[0] to[0] be[0] in[0] a[0] minority[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i liked the third jurassic park film . 	i liked the third jurassic park film .	3	-1	 i[0] liked[2] the[0] third[0] jurassic[0] park[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i even liked the second jurassic park film . 	i even liked the second jurassic park film .	3	-1	 i[0] even[0] liked[2] the[0] second[0] jurassic[0] park[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in a lot of ways jurassic park : the lost world was a creative three-way braiding together of michael crichton's novel the lost world , arthur conan doyle's novel the lost world , and the classic silent film version of the doyle . 	in a lot of ways jurassic park : the lost world was a creative three-way braiding together of michael crichton's novel the lost world , arthur conan doyle's novel the lost world , and the classic silent film version of the doyle .	1	-1	 in[0] a[0] lot[0] of[0] ways[0] jurassic[0] park[0] the[0] lost[0] world[0] was[0] a[0] creative[0] three[0] way[0] braiding[0] together[0] of[0] michael[0] crichton's[0] novel[0] the[0] lost[0] world[0] arthur[0] conan[0] doyle's[0] novel[0] the[0] lost[0] world[0] and[0] the[0] classic[0] silent[0] film[0] version[0] of[0] the[0] doyle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
