have you ever wondered if death is something that simply happens naturally , at any given moment , in life ? 	Translation	Positive	Negative	EmotionRationale
or if it is an occurrence that is predetermined by some much larger force within the world , or outside of it ? 	or if it is an occurrence that is predetermined by some much larger force within the world , or outside of it ?	1	-2	 or[0] if[0] it[0] is[0] an[0] occurrence[0] that[0] is[0] predetermined[0] by[0] some[0] much[0] larger[0] force[-1] within[0] the[0] world[0] or[0] outside[0] of[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these thought-provoking questions are the subject of " final destination , " which is the most riveting horror-drama since 1999's " the sixth sense . " 	these thought-provoking questions are the subject of " final destination , " which is the most riveting horror-drama since 199's " the sixth sense .<br> "	1	-4	 these[0] thought[0] provoking[0] questions[0] are[0] the[0] subject[0] of[0] final[0] destination[0] which[0] is[0] the[0] most[0] riveting[0] horror[-3] drama[0] since[0] 1999's/199's[0] the[0] sixth[0] sense[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
stylishly filmed and tautly directed by " x-files " alum james wong , the film deals with several fairly heavy topics that are discussed truthfully by teenage characters ( in accurately written " teen-speak , " rather than overwrought , highly intellectualized dialogue that even harvard scholars wouldn't use ) , all the while developing into a darkly foreboding , severely eerie thriller that successfully leaves you uneasy from the horrifyingly real opening twenty minutes to the less-successful , but still suspenseful epilogue . 	stylishly filmed and tautly directed by " x-files " alum james wong , the film deals with several fairly heavy topics that are discussed truthfully by teenage characters ( in accurately written " teen-speak , " rather than overwrought , highly intellectualized dialogue that even harvard scholars wouldn't use ) , all the while developing into a darkly foreboding , severely eerie thriller that successfully leaves you uneasy from the horrifyingly real opening twenty minutes to the less-successful , but still suspenseful epilogue .	3	-4	 stylishly[0] filmed[0] and[0] tautly[0] directed[0] by[0] x[1] files[0] alum[0] james[0] wong[0] the[0] film[0] deals[0] with[0] several[0] fairly[0] heavy[0] topics[0] that[0] are[0] discussed[0] truthfully[1] by[0] teenage[0] characters[0] in[0] accurately[0] written[0] teen[0] speak[0] rather[0] than[0] overwrought[0] highly[0] intellectualized[0] dialogue[0] that[0] even[0] harvard[0] scholars[0] wouldn't[0] use[0] all[0] the[0] while[0] developing[0] into[0] a[0] darkly[0] foreboding[-1] severely[-1] eerie[0] thriller[1] that[0] successfully[2] leaves[0] you[0] uneasy[-1] from[0] the[0] horrifyingly[-3] real[0] opening[0] twenty[0] minutes[0] to[0] the[0] less[0] successful[2] but[0] still[0] suspenseful[0] epilogue[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
at the start of the film , 17-year-old high school senior alex browning ( devon sawa ) is about to leave with his 40-student french class for a field trip to paris . 	at the start of the film , 17-year-old high school senior alex browning ( devon sawa ) is about to leave with his 40-student french class for a field trip to paris .	1	-1	 at[0] the[0] start[0] of[0] the[0] film[0] 17[0] year[0] old[0] high[0] school[0] senior[0] alex[0] browning[0] devon[0] sawa[0] is[0] about[0] to[0] leave[0] with[0] his[0] 40[0] student[0] french[0] class[0] for[0] a[0] field[0] trip[0] to[0] paris[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
progressively getting a case of preflight jitters , he spots several mysterious " coincidences , " including the departure time being 9 : 25 , the same as his september 25 birthday , as well as hearing the john denver song " rocky mountain high " over the sound system in the airport bathroom . 	progressively getting a case of preflight jitters , he spots several mysterious " coincidences , " including the departure time being 9 : 25 , the same as his september 25 birthday , as well as hearing the john denver song " rocky mountain high " over the sound system in the airport bathroom .	1	-1	 progressively[0] getting[0] a[0] case[0] of[0] preflight[0] jitters[0] he[0] spots[0] several[0] mysterious[0] coincidences[0] including[0] the[0] departure[0] time[0] being[0] 9[0] 25[0] the[0] same[0] as[0] his[0] september[0] 25[0] birthday[0] as[0] well[0] as[0] hearing[0] the[0] john[0] denver[0] song[0] rocky[0] mountain[0] high[0] over[0] the[0] sound[0] system[0] in[0] the[0] airport[0] bathroom[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " john denver died in a plane crash , " alex grudgingly mutters to himself . 	 " john denver died in a plane crash , " alex grudgingly mutters to himself .	1	-1	 john[0] denver[0] died[0] in[0] a[0] plane[0] crash[0] alex[0] grudgingly[0] mutters[0] to[0] himself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once seated , alex suddenly gets a horrific premonition about the plane exploding upon takeoff , and after causing a ruckus onboard , he , as well as six other students and a teacher , are thrown off . 	once seated , alex suddenly gets a horrific premonition about the plane exploding upon takeoff , and after causing a ruckus onboard , he , as well as six other students and a teacher , are thrown off .	1	-4	 once[0] seated[0] alex[0] suddenly[0] gets[0] a[0] horrific[-3] premonition[0] about[0] the[0] plane[0] exploding[0] upon[0] takeoff[0] and[0] after[0] causing[0] a[0] ruckus[0] onboard[0] he[0] as[0] well[0] as[0] six[0] other[0] students[0] and[0] a[0] teacher[0] are[0] thrown[0] off[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
arguing in the airport lobby , alex's suspicion comes true when the plane really does explode in flight , killing all 300  passengers , including the rest of their classmates . 	arguing in the airport lobby , alex's suspicion comes true when the plane really does explode in flight , killing all 300  passengers , including the rest of their classmates .	2	-2	 arguing[-1] in[0] the[0] airport[0] lobby[0] alex's[0] suspicion[-1] comes[0] true[1] when[0] the[0] plane[0] really[0] does[0] explode[-1] in[0] flight[0] killing[-1] all[0] 300[0] passengers[0] including[0] the[0] rest[0] of[0] their[0] classmates[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as two investigators interrogate alex about how he knew the plane was going to explode , the fellow survivors , whom he has saved , treat him in varying manners . 	as two investigators interrogate alex about how he knew the plane was going to explode , the fellow survivors , whom he has saved , treat him in varying manners .	2	-2	 as[0] two[0] investigators[0] interrogate[0] alex[0] about[0] how[0] he[0] knew[0] the[0] plane[0] was[0] going[0] to[0] explode[-1] the[0] fellow[0] survivors[0] whom[0] he[0] has[0] saved[1] treat[1] him[0] in[0] varying[0] manners[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
carter ( kerr smith ) , the hotshot jock , holds him in contempt because he believes that it is only he himself who can decide his fate . 	carter ( ker smith ) , the hotshot jock , holds him in contempt because he believes that it is only he himself who can decide his fate .	1	-4	 carter[0] kerr/ker[0] smith[0] the[0] hotshot[0] jock[0] holds[0] him[0] in[0] contempt[-3] because[0] he[0] believes[0] that[0] it[0] is[0] only[0] he[0] himself[0] who[0] can[0] decide[0] his[0] fate[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
