good films are hard to find these days . 	Translation	Positive	Negative	EmotionRationale
great films are beyond rare . 	great films are beyond rare .	3	-1	 great[2] films[0] are[0] beyond[0] rare[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
proof of life , russell crowe's one-two punch of a deft kidnap and rescue thriller , is one of those rare gems . 	proof of life , russell crowe's one-two punch of a deft kidnap and rescue thriller , is one of those rare gems .	2	-2	 proof[0] of[0] life[0] russell[0] crowe's[0] one[0] two[0] punch[-1] of[0] a[0] deft[0] kidnap[-1] and[0] rescue[0] thriller[1] is[0] one[0] of[0] those[0] rare[0] gems[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a taut drama laced with strong and subtle acting , an intelligent script , and masterful directing , together it delivers something virtually unheard of in the film industry these days , genuine motivation in a story that rings true . 	a taut drama laced with strong and subtle acting , an intelligent script , and masterful directing , together it delivers something virtually unheard of in the film industry these days , genuine motivation in a story that rings true .	2	-1	 a[0] taut[0] drama[0] laced[0] with[0] strong[0] and[0] subtle[0] acting[0] an[0] intelligent[1] script[0] and[0] masterful[0] directing[0] together[0] it[0] delivers[0] something[0] virtually[0] unheard[0] of[0] in[0] the[0] film[0] industry[0] these[0] days[0] genuine[0] motivation[0] in[0] a[0] story[0] that[0] rings[0] true[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
consider the strange coincidence of russell crowe's character in proof of life making the moves on a distraught wife played by meg ryan's character in the film -- all while the real russell crowe was hitching up with married woman meg ryan in the outside world . 	consider the strange coincidence of russell crowe's character in proof of life making the moves on a distraught wife played by meg ryan's character in the film - all while the real russell crowe was hitching up with married woman meg ryan in the outside world .	1	-4	 consider[0] the[0] strange[0] coincidence[0] of[0] russell[0] crowe's[0] character[0] in[0] proof[0] of[0] life[0] making[0] the[0] moves[0] on[0] a[0] distraught[-3] wife[0] played[0] by[0] meg[0] ryan's[0] character[0] in[0] the[0] film[0] all[0] while[0] the[0] real[0] russell[0] crowe[0] was[0] hitching[0] up[0] with[0] married[0] woman[0] meg[0] ryan[0] in[0] the[0] outside[0] world[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i haven't seen this much chemistry between actors since mcqueen and mcgraw teamed up in peckinpah's masterpiece , the getaway . 	i haven't seen this much chemistry between actors since mcqueen and mcgraw teamed up in peckinpah's masterpiece , the getaway .	1	-1	 i[0] haven't[0] seen[0] this[0] much[0] chemistry[0] between[0] actors[0] since[0] mcqueen[0] and[0] mcgraw[0] teamed[0] up[0] in[0] peckinpah's[0] masterpiece[0] the[0] getaway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but enough with the gossip , let's get to the review . 	but enough with the gossip , let's get to the review .	1	-1	 but[0] enough[0] with[0] the[0] gossip[0] let's[0] get[0] to[0] the[0] review[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film revolves around the kidnapping of peter bowman ( david morse ) , an american engineer working in south america who is kidnapped during a mass ambush of civilians by anti-government soldiers . 	the film revolves around the kidnapping of peter bowman ( david morse ) , an american engineer working in south america who is kidnapped during a mass ambush of civilians by anti-government soldiers .	1	-2	 the[0] film[0] revolves[0] around[0] the[0] kidnapping[0] of[0] peter[0] bowman[0] david[0] morse[0] an[0] american[0] engineer[0] working[0] in[0] south[0] america[0] who[0] is[0] kidnapped[0] during[0] a[0] mass[0] ambush[-1] of[0] civilians[0] by[0] anti[0] government[0] soldiers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
upon discovering his identity , the rebel soldiers decide to ransom him for  6 million . 	upon discovering his identity , the rebel soldiers decide to ransom him for  6 million .	1	-2	 upon[0] discovering[0] his[0] identity[0] the[0] rebel[-1] soldiers[0] decide[0] to[0] ransom[0] him[0] for[0] 6[0] million[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only problem is that the company peter bowman works for is being auctioned off , and no one will step forward with the money . 	the only problem is that the company peter bowman works for is being auctioned off , and no one will step forward with the money .	1	-2	 the[0] only[0] problem[-1] is[0] that[0] the[0] company[0] peter[0] bowman[0] works[0] for[0] is[0] being[0] auctioned[0] off[0] and[0] no[0] one[0] will[0] step[0] forward[0] with[0] the[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with no choice available to her , bowman's wife alice ( ryan ) hires terry thorne ( crowe ) , a highly skilled negotiator and rescue operative , to arrange the return of her husband . 	with no choice available to her , bowman's wife alice ( ryan ) hires terry thorne ( crowe ) , a highly skilled negotiator and rescue operative , to arrange the return of her husband .	1	-1	 with[0] no[0] choice[0] available[0] to[0] her[0] bowman's[0] wife[0] alice[0] ryan[0] hires[0] terry[0] thorne[0] crowe[0] a[0] highly[0] skilled[0] negotiator[0] and[0] rescue[0] operative[0] to[0] arrange[0] the[0] return[0] of[0] her[0] husband[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
