it's a curious thing - i've found that when willis is not called on to carry the whole movie , he's much better and so is the movie . 	Translation	Positive	Negative	EmotionRationale
even though , in the sixth sense he is the " name " , he doesn't have the pivotal role . 	even though , in the sixth sense he is the " name " , he doesn't have the pivotal role .	1	-1	 even[0] though[0] in[0] the[0] sixth[0] sense[0] he[0] is[0] the[0] name[0] he[0] doesn't[0] have[0] the[0] pivotal[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that honour goes to haley osment who plays cole sear ( cute pun , seer ) a 9 year old boy who can see ghosts . 	that honour goes to haley osment who plays cole sear ( cute pun , seer ) a 9 year old boy who can see ghosts .	2	-1	 that[0] honour[0] goes[0] to[0] haley[0] osment[0] who[0] plays[1] cole[0] sear[0] cute[1] pun[0] seer[0] a[0] 9[0] year[0] old[0] boy[0] who[0] can[0] see[0] ghosts[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if osment was cute or precious , the director going for the maudlin , this would be nothing more than a movie-of-the-week , thankfully , osment is not only better than that , but in some instances , blows everyone else off the screen in a bravura performance . 	if osment was cute or precious , the director going for the maudlin , this would be nothing more than a movie-of-the-week , thankfully , osment is not only better than that , but in some instances , blows everyone else off the screen in a bravura performance .	3	-1	 if[0] osment[0] was[0] cute[1] or[0] precious[2] the[0] director[0] going[0] for[0] the[0] maudlin[0] this[0] would[0] be[0] nothing[0] more[0] than[0] a[0] movie[0] of[0] the[0] week[0] thankfully[1] osment[0] is[0] not[0] only[0] better[0] than[0] that[0] but[0] in[0] some[0] instances[0] blows[0] everyone[0] else[0] off[0] the[0] screen[0] in[0] a[0] bravura[0] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
we get to see his fears , vulnerabilities , strengths and intelligence which makes the sixth sense one of the best movies i've seen this year . 	we get to see his fears , vulnerabilities , strengths and intelligence which makes the sixth sense one of the best movies i've seen this year .	2	-4	 we[0] get[0] to[0] see[0] his[0] fears[-2] vulnerabilities[-2][-1 MultiplePositiveWords] strengths[0] and[0] intelligence[0] which[0] makes[0] the[0] sixth[0] sense[0] one[0] of[0] the[0] best[1] movies[0] i've[0] seen[0] this[0] year[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the whole cast matches him in quality , with willis giving a fairly low key performance that matches the subject matter . 	the whole cast matches him in quality , with willis giving a fairly low key performance that matches the subject matter .	1	-2	 the[0] whole[0] cast[0] matches[0] him[0] in[0] quality[0] with[0] willis[0] giving[0] a[0] fairly[0] low[-1] key[0] performance[0] that[0] matches[0] the[0] subject[0] matter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
one thing about this movie , its target . 	one thing about this movie , its target .	1	-1	 one[0] thing[0] about[0] this[0] movie[0] its[0] target[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this isn't a sfxfest like the haunting or a gorefest , this is more what i'd call a supernatural drama , more interested in characters than in dazzling you with makeup . 	this isn't a sfxfest like the haunting or a gorefest , this is more what i'd call a supernatural drama , more interested in characters than in dazling you with makeup .	2	-1	 this[0] isn't[0] a[0] sfxfest[0] like[1] the[0] haunting[0] or[0] a[0] gorefest[0] this[0] is[0] more[0] what[0] i'd[0] call[0] a[0] supernatural[0] drama[0] more[0] interested[1] in[0] characters[0] than[0] in[0] dazzling/dazling[0] you[0] with[0] makeup[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one caveat : there's a lovely twist in the movie , something like the usual suspects , where you end up replaying the movie in your head rethinking what you have just seen . 	one caveat : there's a lovely twist in the movie , something like the usual suspects , where you end up replaying the movie in your head rethinking what you have just seen .	2	-1	 one[0] caveat[0] there's[0] a[0] lovely[1] twist[0] in[0] the[0] movie[0] something[0] like[1] the[0] usual[0] suspects[0] where[0] you[0] end[0] up[0] replaying[0] the[0] movie[0] in[0] your[0] head[0] rethinking[0] what[0] you[0] have[0] just[0] seen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i was extremely lucky to see it as a sneak preview in toronto , before any hype or critical reviews were out , so i went in with no biases . 	i was extremely lucky to see it as a sneak preview in toronto , before any hype or critical reviews were out , so i went in with no biases .	4	-2	 i[0] was[0] extremely[0] lucky[1][2 LastWordBoosterStrength] to[0] see[0] it[0] as[0] a[0] sneak[-1] preview[0] in[0] toronto[0] before[0] any[0] hype[0] or[0] critical[-1] reviews[0] were[0] out[0] so[0] i[0] went[0] in[0] with[0] no[0] biases[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
if anyone want to talk to about the movie before you see it , don't let them . 	if anyone want to talk to about the movie before you see it , don't let them .	1	-1	 if[0] anyone[0] want[0] to[0] talk[0] to[0] about[0] the[0] movie[0] before[0] you[0] see[0] it[0] don't[0] let[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let the director explain on his own pace and you'll enjoy the movie vastly more . 	let the director explain on his own pace and you'll enjoy the movie vastly more .	3	-1	 let[0] the[0] director[0] explain[0] on[0] his[0] own[0] pace[0] and[0] you'll[0] enjoy[2] the[0] movie[0] vastly[0] more[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
