mars attacks ! 	Translation	Positive	Negative	EmotionRationale
 ( 1996 ) - c : jack nicholson , glenn close , annette bening , martin short , danny devito , rod steiger , pierce brosnan , sarah jessica parker , michael j . fox , jim brown , pam grier , joe don baker , natalie portman , christina applegate , lisa marie , tom jones . 	 ( 1996 ) - c : jack nicholson , glen close , annette bening , martin short , danny devito , rod steiger , pierce brosnan , sarah jessica parker , michael j .<br> fox , jim brown , pam grier , joe don baker , natalie portman , christina applegate , lisa marie , tom jones .	1	-1	 1996[0] c[0] jack[0] nicholson[0] glenn/glen[0] close[0] annette[0] bening[0] martin[0] short[0] danny[0] devito[0] rod[0] steiger[0] pierce[0] brosnan[0] sarah[0] jessica[0] parker[0] michael[0] j[0] [[Sentence=-1,1=word max, 1-5]] fox[0] jim[0] brown[0] pam[0] grier[0] joe[0] don[0] baker[0] natalie[0] portman[0] christina[0] applegate[0] lisa[0] marie[0] tom[0] jones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is director tim burton's finest film to date . 	this is director tim burton's finest film to date .	1	-1	 this[0] is[0] director[0] tim[0] burton's[0] finest[0] film[0] to[0] date[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many will compare this tale of martians who invade earth to independence day , but even though the stories are similar , they really are two distinctly different films . 	many will compare this tale of martians who invade earth to independence day , but even though the stories are similar , they really are two distinctly different films .	1	-2	 many[0] will[0] compare[0] this[0] tale[0] of[0] martians[0] who[0] invade[-1] earth[0] to[0] independence[0] day[0] but[0] even[0] though[0] the[0] stories[0] are[0] similar[0] they[0] really[0] are[0] two[0] distinctly[0] different[0] films[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however as a whole , mars attacks is much more entertaining than id4 , and i loved id4 . 	however as a whole , mars attacks is much more entertaining than id4 , and i loved id4 .	4	-3	 however[0] as[0] a[0] whole[0] mars[0] attacks[-2] is[0] much[0] more[0] entertaining[0] than[0] id4[0] and[0] i[0] loved[3] id4[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
you really have to be in the right frame of mind to enjoy this film . 	you really have to be in the right frame of mind to enjoy this film .	3	-1	 you[0] really[0] have[0] to[0] be[0] in[0] the[0] right[0] frame[0] of[0] mind[0] to[0] enjoy[2] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is completely wacked-out and unlike anything you've ever seen . 	it is completely wacked-out and unlike anything you've ever seen .	1	-1	 it[0] is[0] completely[0] wacked[0] out[0] and[0] unlike[0] anything[0] you've[0] ever[0] seen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once the silly tone of the film is set , it's easy to just sit back and throw logic out the window because logic and comedy just don't mix . 	once the silly tone of the film is set , it's easy to just sit back and throw logic out the window because logic and comedy just don't mix .	1	-2	 once[0] the[0] silly[-1] tone[0] of[0] the[0] film[0] is[0] set[0] it's[0] easy[0] to[0] just[0] sit[0] back[0] and[0] throw[0] logic[0] out[0] the[0] window[0] because[0] logic[0] and[0] comedy[0] just[0] don't[0] mix[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot is simple : martians invade the earth . 	the plot is simple : martians invade the earth .	1	-2	 the[0] plot[0] is[0] simple[0] martians[0] invade[-1] the[0] earth[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it's different than any other invasion film . 	but it's different than any other invasion film .	1	-1	 but[0] it's[0] different[0] than[0] any[0] other[0] invasion[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
usually it's the evil aliens versus the heroic humans . 	usually it's the evil aliens versus the heroic humans .	3	-3	 usually[0] it's[0] the[0] evil[-2] aliens[0] versus[0] the[0] heroic[2] humans[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
