no matter what you suspect , this isn't your usual action thriller . 	Translation	Positive	Negative	EmotionRationale
the usual suspects is an intelligent crime mystery story from up-and-coming director bryan singer . 	the usual suspects is an intelligent crime mystery story from up-and-coming director bryan singer .	2	-2	 the[0] usual[0] suspects[0] is[0] an[0] intelligent[1] crime[-1] mystery[0] story[0] from[0] up[0] and[0] coming[0] director[0] bryan[0] singer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's one of those movies that , after everything is revealed rapid-fire at the end , you immediately want to rewind and watch again because earlier scenes take on a new light . 	it's one of those movies that , after everything is revealed rapid-fire at the end , you immediately want to rewind and watch again because earlier scenes take on a new light .	1	-1	 it's[0] one[0] of[0] those[0] movies[0] that[0] after[0] everything[0] is[0] revealed[0] rapid[0] fire[0] at[0] the[0] end[0] you[0] immediately[0] want[0] to[0] rewind[0] and[0] watch[0] again[0] because[0] earlier[0] scenes[0] take[0] on[0] a[0] new[0] light[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
plot twists a-go-go are what you get here -- i gave up trying to figure out the mystery of keyser soze after awhile and just sat back and waited for them to reveal it to me . 	plot twists a-go-go are what you get here - i gave up trying to figure out the mystery of keyser soze after awhile and just sat back and waited for them to reveal it to me .	1	-1	 plot[0] twists[0] a[0] go[0] go[0] are[0] what[0] you[0] get[0] here[0] i[0] gave[0] up[0] trying[0] to[0] figure[0] out[0] the[0] mystery[0] of[0] keyser[0] soze[0] after[0] awhile[0] and[0] just[0] sat[0] back[0] and[0] waited[0] for[0] them[0] to[0] reveal[0] it[0] to[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
keyser soze is a name you'll hear at least a hundred times if you watch the usual suspects and for good reason . 	keyser soze is a name you'll hear at least a hundred times if you watch the usual suspects and for good reason .	2	-1	 keyser[0] soze[0] is[0] a[0] name[0] you'll[0] hear[0] at[0] least[0] a[0] hundred[0] times[0] if[0] you[0] watch[0] the[0] usual[0] suspects[0] and[0] for[0] good[1] reason[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not only the name of the mysterious ( and possibly even mythical ) crime boss in the movie , it also sums up the movie -- " keyser soze " in latin means " an intelligent crime mystery story from up-and-coming director bryan singer . " 	it's not only the name of the mysterious ( and possibly even mythical ) crime boss in the movie , it also sums up the movie - " keyser soze " in latin means " an intelligent crime mystery story from up-and-coming director bryan singer .<br> "	2	-2	 it's[0] not[0] only[0] the[0] name[0] of[0] the[0] mysterious[0] and[0] possibly[0] even[0] mythical[0] crime[-1] boss[0] in[0] the[0] movie[0] it[0] also[0] sums[0] up[0] the[0] movie[0] keyser[0] soze[0] in[0] latin[0] means[0] an[0] intelligent[1] crime[-1] mystery[0] story[0] from[0] up[0] and[0] coming[0] director[0] bryan[0] singer[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
or maybe i shouldn't have bought a foreign-language dictionary from the same company that makes those 99-cent encyclopedias sold in supermarkets . 	or maybe i shouldn't have bought a foreign-language dictionary from the same company that makes those 99-cent encyclopedias sold in supermarkets .	1	-2	 or[0] maybe[0] i[0] shouldn't[0] have[0] bought[0] a[0] foreign[-1] language[0] dictionary[0] from[0] the[0] same[0] company[0] that[0] makes[0] those[0] 99[0] cent[0] encyclopedias[0] sold[0] in[0] supermarkets[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at the movie's opening , a group of known criminals are brought in for a police lineup , including mcmanus ( stephen baldwin ) , keaton ( gabriel byrne ) , fenster ( benicio del toro ) , buckney ( kevin pollack ) and verbal ( kevin spacey , winner of the best supporting actor academy award{symbol 153 \ f " times new roman " \ s 10 \ h} for his performance in the movie ) . 	at the movie's opening , a group of known criminals are brought in for a police lineup , including mcmanus ( stephen baldwin ) , keaton ( gabriel byrne ) , fenster ( benicio del toro ) , buckney ( kevin pollack ) and verbal ( kevin spacey , winner of the best supporting actor academy award{symbol 153 \ f " times new roman " \ s 10 \ h} for his performance in the movie ) .	2	-2	 at[0] the[0] movie's[0] opening[0] a[0] group[0] of[0] known[0] criminals[-1] are[0] brought[0] in[0] for[0] a[0] police[0] lineup[0] including[0] mcmanus[0] stephen[0] baldwin[0] keaton[0] gabriel[0] byrne[0] fenster[0] benicio[0] del[0] toro[0] buckney[0] kevin[0] pollack[0] and[0] verbal[0] kevin[0] spacey[0] winner[1] of[0] the[0] best[1] supporting[1] actor[0] academy[0] award{symbol[0] 153[0] \[0] f[0] times[0] new[0] roman[0] \[0] s[0] 10[0] \[0] h}[0] for[0] his[0] performance[0] in[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
verbal is so-named because he frequently rambles on about anything or nothing . 	verbal is so-named because he frequently rambles on about anything or nothing .	1	-1	 verbal[0] is[0] so[0] named[0] because[0] he[0] frequently[0] rambles[0] on[0] about[0] anything[0] or[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he also earns his name as the movie's narrator , spouting memorable lines like " the greatest trick the devil ever pulled was convincing the world he didn't exist " ( although , obviously , he does exist -- what else could explain kris kross having a comeback in 1996 ? ) while being interrogated by police detective chazz palminteri ( any actor with multiple z's in their name is okay in my book ) . 	he also earns his name as the movie's narrator , spouting memorable lines like " the greatest trick the devil ever pulled was convincing the world he didn't exist " ( although , obviously , he does exist - what else could explain kris kross having a comeback in 1996 ?<br> ) while being interrogated by police detective chaz palminteri ( any actor with multiple z's in their name is okay in my book ) .	3	-2	 he[0] also[0] earns[0] his[0] name[0] as[0] the[0] movie's[0] narrator[0] spouting[0] memorable[0] lines[0] like[1] the[0] greatest[2] trick[-1] the[0] devil[-1] ever[0] pulled[0] was[0] convincing[0] the[0] world[0] he[0] didn't[0] exist[0] although[0] obviously[0] he[0] does[0] exist[0] what[0] else[0] could[0] explain[0] kris[0] kross[0] having[0] a[0] comeback[0] in[0] 1996[0] [[Sentence=-2,3=word max, 1-5]] while[0] being[0] interrogated[0] by[0] police[0] detective[0] chazz/chaz[0] palminteri[0] any[0] actor[0] with[0] multiple[0] z's[0] in[0] their[0] name[0] is[0] okay[0] in[0] my[0] book[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
we see the story unfold as spacey retells it . 	we see the story unfold as spacey retells it .	1	-1	 we[0] see[0] the[0] story[0] unfold[0] as[0] spacey[0] retells[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the five felons , upon being released from the lineup , get their revenge on the police by exposing a corrupt taxi service -- whereby elite criminals pay to be smuggled through town in cop cars -- and stealing all the money and drugs in the car . 	the five felons , upon being released from the lineup , get their revenge on the police by exposing a corrupt taxi service - whereby elite criminals pay to be smuggled through town in cop cars - and stealing all the money and drugs in the car .	1	-3	 the[0] five[0] felons[0] upon[0] being[0] released[0] from[0] the[0] lineup[0] get[0] their[0] revenge[-1] on[0] the[0] police[0] by[0] exposing[0] a[0] corrupt[-2] taxi[-1] service[0] whereby[0] elite[0] criminals[-1] pay[0] to[0] be[0] smuggled[-1] through[0] town[0] in[0] cop[0] cars[0] and[0] stealing[-2] all[0] the[0] money[0] and[0] drugs[0] in[0] the[0] car[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's a definite case of male bonding for the five criminals , who later find out they were brought together by the unseen keyser soze , who sends a minion to them with an offer they can't refuse . 	it's a definite case of male bonding for the five criminals , who later find out they were brought together by the unseen keyser soze , who sends a minion to them with an offer they can't refuse .	2	-2	 it's[0] a[0] definite[0] case[0] of[0] male[0] bonding[0] for[0] the[0] five[0] criminals[-1] who[0] later[0] find[0] out[0] they[0] were[0] brought[0] together[0] by[0] the[0] unseen[0] keyser[0] soze[0] who[0] sends[0] a[0] minion[0] to[0] them[0] with[0] an[0] offer[0] they[0] can't[0] refuse[-1][NegatedDueToPreviousWord] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
namely , they have to destroy soze's main competitors in organized crime by infiltrating a ship , shooting a bunch of people , burning all the drugs and stealing  91 million cash . 	namely , they have to destroy soze's main competitors in organized crime by infiltrating a ship , shooting a bunch of people , burning all the drugs and stealing  91 million cash .	1	-3	 namely[0] they[0] have[0] to[0] destroy[-2] soze's[0] main[0] competitors[0] in[0] organized[0] crime[-1] by[0] infiltrating[-1] a[0] ship[0] shooting[-1] a[0] bunch[0] of[0] people[0] burning[-1] all[0] the[0] drugs[0] and[0] stealing[-2] 91[0] million[0] cash[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
spacey does a terrific job of bringing his seemingly unintelligent " cripple " character to life and baldwin , byrne , palminteri and the rest make for a good supporting cast . 	spacey does a terrific job of bringing his seemingly unintelligent " cripple " character to life and baldwin , byrne , palminteri and the rest make for a good supporting cast .	4	-2	 spacey[0] does[0] a[0] terrific[3] job[0] of[0] bringing[0] his[0] seemingly[0] unintelligent[0] cripple[-1] character[0] to[0] life[0] and[0] baldwin[0] byrne[0] palminteri[0] and[0] the[0] rest[0] make[0] for[0] a[0] good[1] supporting[1] cast[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
