every once in a while a movie comes along that completely redefines the genre : with dramas , it was citizen kane , with arthouse it was pulp fiction , and with comedy it was , well , that jim carrey guy ( okay , so he's not a movie , but he did have a huge influence on the genre . 	Translation	Positive	Negative	EmotionRationale
not to mention an expensive one . ) 	not to mention an expensive one .<br> )	1	-2	 not[0] to[0] mention[0] an[0] expensive[-1] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sometimes a movie even combines them all into a big , sprawling motion picture event , as did forrest gump four years ago . 	sometimes a movie even combines them all into a big , sprawling motion picture event , as did forest gump four years ago .	1	-1	 sometimes[0] a[0] movie[0] even[0] combines[0] them[0] all[0] into[0] a[0] big[0] sprawling[0] motion[0] picture[0] event[0] as[0] did[0] forrest/forest[0] gump[0] four[0] years[0] ago[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with action films , it was aliens , whic was released to much hype seven years after it's equally-innovative parent , alien ( 1979 ) . 	with action films , it was aliens , whic was released to much hype seven years after it's equally-innovative parent , alien ( 1979 ) .	1	-2	 with[0] action[0] films[0] it[0] was[0] aliens[0] whic[0] was[0] released[0] to[0] much[0] hype[0] seven[0] years[0] after[0] it's[0] equally[0] innovative[0] parent[0] alien[-1] 1979[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
directed and written by james cameron ( t2 : judgement day , the abyss , true lies ) , the authority on action films , it was a masterful encore to his sci-fi thriller the terminator ( 1984 ) . 	directed and written by james cameron ( t2 : judgement day , the abyss , true lies ) , the authority on action films , it was a masterful encore to his sci-fi thriller the terminator ( 1984 ) .	2	-3	 directed[0] and[0] written[0] by[0] james[0] cameron[0] t2[0] judgement[0] day[0] the[0] abyss[-1] true[1] lies[-2] the[0] authority[0] on[0] action[0] films[0] it[0] was[0] a[0] masterful[0] encore[0] to[0] his[0] sci[0] fi[0] thriller[1] the[0] terminator[0] 1984[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
while the original alien film was a dark , enclosed horror film that featured one alien slowly massacering a horrified crew , james cameron took the big-budget action film with aliens , which featured multiple aliens doing basically the same thing , although on a much-larger scale . 	while the original alien film was a dark , enclosed horror film that featured one alien slowly massacering a horrified crew , james cameron took the big-budget action film with aliens , which featured multiple aliens doing basically the same thing , although on a much-larger scale .	1	-4	 while[0] the[0] original[0] alien[-1] film[0] was[0] a[0] dark[0] enclosed[0] horror[-3] film[0] that[0] featured[0] one[0] alien[-1] slowly[0] massacering[0] a[0] horrified[-3] crew[0] james[0] cameron[0] took[0] the[0] big[0] budget[0] action[0] film[0] with[0] aliens[0] which[0] featured[0] multiple[0] aliens[0] doing[0] basically[0] the[0] same[0] thing[0] although[0] on[0] a[0] much[0] larger[0] scale[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and boy , did he take that route ! 	and boy , did he take that route !	1	-1	 and[0] boy[0] did[0] he[0] take[0] that[0] route[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'd say at about 165 mph or so . . . 	i'd say at about 165 mph or so .<br> .<br> .	1	-1	 i'd[0] say[0] at[0] about[0] 165[0] mph[0] or[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens 57 years after the original , with lt . ripley ( weaver ) being found in her ship in a cryogenic state by a salvage vessel . 	the film opens 57 years after the original , with lt .<br> ripley ( weaver ) being found in her ship in a cryogenic state by a salvage vessel .	1	-1	 the[0] film[0] opens[0] 57[0] years[0] after[0] the[0] original[0] with[0] lt[0] [[Sentence=-1,1=word max, 1-5]] ripley[0] weaver[0] being[0] found[0] in[0] her[0] ship[0] in[0] a[0] cryogenic[0] state[0] by[0] a[0] salvage[0] vessel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if you'll recall , at the end of alien ripley , the only surviving member , cryogenically " hibernated " herself after expelling the rogue alien from her ship . 	if you'll recall , at the end of alien ripley , the only surviving member , cryogenically " hibernated " herself after expelling the rogue alien from her ship .	1	-2	 if[0] you'll[0] recall[0] at[0] the[0] end[0] of[0] alien[-1] ripley[0] the[0] only[0] surviving[0] member[0] cryogenically[0] hibernated[0] herself[0] after[0] expelling[-1] the[0] rogue[-1] alien[-1] from[0] her[0] ship[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unfortunately , she thought she'd only be out for a couple of weeks . . . 	unfortunately , she thought she'd only be out for a couple of weeks .<br> .<br> .	1	-2	 unfortunately[-1] she[0] thought[0] she'd[0] only[0] be[0] out[0] for[0] a[0] couple[0] of[0] weeks[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
once she's returned to earth , ripley is quickly interrogated by " the company " , who quickly dismiss her and her stories as lunacy . 	once she's returned to earth , ripley is quickly interrogated by " the company " , who quickly dismiss her and her stories as lunacy .	1	-2	 once[0] she's[0] returned[0] to[0] earth[0] ripley[0] is[0] quickly[0] interrogated[0] by[0] the[0] company[0] who[0] quickly[0] dismiss[-1] her[0] and[0] her[0] stories[0] as[0] lunacy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in truth , they believe her , as they soon approach ripley with an offer to travel with some marines to a new colony planet as an " alien advisor " . 	in truth , they believe her , as they soon approach ripley with an offer to travel with some marines to a new colony planet as an " alien advisor " .	2	-2	 in[0] truth[1] they[0] believe[0] her[0] as[0] they[0] soon[0] approach[0] ripley[0] with[0] an[0] offer[0] to[0] travel[0] with[0] some[0] marines[0] to[0] a[0] new[0] colony[0] planet[0] as[0] an[0] alien[-1] advisor[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it seems that the colony planet was a once-breeding ground for the nasty aliens , and now all communication with the planet has been lost . . . 	it seems that the colony planet was a once-breeding ground for the nasty aliens , and now all communication with the planet has been lost .<br> .<br> .	1	-3	 it[0] seems[0] that[0] the[0] colony[0] planet[0] was[0] a[0] once[0] breeding[0] ground[0] for[0] the[0] nasty[-2] aliens[0] and[0] now[0] all[0] communication[0] with[0] the[0] planet[0] has[0] been[0] lost[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it doesn't exactly take a genius to guess what happens next : ripley agrees , and before you can say " big mistake " , she and the half dozen marines , plus the slimy corporate guy ( reiser ) , who has more than it looks like up under his sleeve , are off to the colony . 	it doesn't exactly take a genius to guess what happens next : ripley agrees , and before you can say " big mistake " , she and the half dozen marines , plus the slimy corporate guy ( reiser ) , who has more than it looks like up under his sleeve , are off to the colony .	2	-2	 it[0] doesn't[0] exactly[0] take[0] a[0] genius[0] to[0] guess[0] what[0] happens[0] next[0] ripley[0] agrees[0] and[0] before[0] you[0] can[0] say[0] big[0] mistake[-1] she[0] and[0] the[0] half[0] dozen[0] marines[0] plus[0] the[0] slimy[0] corporate[0] guy[0] reiser[0] who[0] has[0] more[0] than[0] it[0] looks[0] like[1] up[0] under[0] his[0] sleeve[0] are[0] off[0] to[0] the[0] colony[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when they arrive , they find the planet in ruins . 	when they arrive , they find the planet in ruins .	1	-1	 when[0] they[0] arrive[0] they[0] find[0] the[0] planet[0] in[0] ruins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only one survivor is found , a little girl , newt , who confirms that , yes , the aliens were here and that she only managed to survive by hidding in the ventilation system . 	only one survivor is found , a little girl , newt , who confirms that , yes , the aliens were here and that she only managed to survive by hiding in the ventilation system .	1	-1	 only[0] one[0] survivor[0] is[0] found[0] a[0] little[0] girl[0] newt[0] who[0] confirms[0] that[0] yes[0] the[0] aliens[0] were[0] here[0] and[0] that[0] she[0] only[0] managed[0] to[0] survive[0] by[0] hidding/hiding[0] in[0] the[0] ventilation[0] system[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and soon enough , the marines come under attack from the aliens . . . 	and soon enough , the marines come under attack from the aliens .<br> .<br> .	1	-3	 and[0] soon[0] enough[0] the[0] marines[0] come[0] under[0] attack[-2] from[0] the[0] aliens[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what happens for the next hour and a half or so is what completely sets this movie apart from any other standard alien sci-fi movie : the action scenes . 	what happens for the next hour and a half or so is what completely sets this movie apart from any other standard alien sci-fi movie : the action scenes .	1	-2	 what[0] happens[0] for[0] the[0] next[0] hour[0] and[0] a[0] half[0] or[0] so[0] is[0] what[0] completely[0] sets[0] this[0] movie[0] apart[0] from[0] any[0] other[0] standard[0] alien[-1] sci[0] fi[0] movie[0] the[0] action[0] scenes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
cameron directs them so skillfully , and so suspensefully , that you're literally ringing your hands by the time the finale rolls around . 	cameron directs them so skilfully , and so suspensefully , that you're literally ringing your hands by the time the finale rolls around .	1	-1	 cameron[0] directs[0] them[0] so[0] skillfully/skilfully[0] and[0] so[0] suspensefully[0] that[0] you're[0] literally[0] ringing[0] your[0] hands[0] by[0] the[0] time[0] the[0] finale[0] rolls[0] around[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
which features , in my opinion , the best fight scene ever recorded on film , as ripley straps herself into a huge robot and battles the nasty queen alien to the death . 	which features , in my opinion , the best fight scene ever recorded on film , as ripley straps herself into a huge robot and battles the nasty queen alien to the death .	2	-3	 which[0] features[0] in[0] my[0] opinion[0] the[0] best[1] fight[-2] scene[0] ever[0] recorded[0] on[0] film[0] as[0] ripley[0] straps[0] herself[0] into[0] a[0] huge[0] robot[0] and[0] battles[-1] the[0] nasty[-2] queen[0] alien[-1] to[0] the[0] death[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
