ingredients : pouring rain , small flooded town , damn about to burst , bad guys going after millions of dollars 	Translation	Positive	Negative	EmotionRationale
synopsis : at one point in the story townsperson karen asks hero tom what happened to her church . 	synopsis : at one point in the story townsperson karen asks hero tom what happened to her church .	3	-1	 synopsis[0] at[0] one[0] point[0] in[0] the[0] story[0] townsperson[0] karen[0] asks[0] hero[2] tom[0] what[0] happened[0] to[0] her[0] church[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he replies something like : " the church is flooded but at least the floodwaters put out the big fire . 	he replies something like : " the church is flooded but at least the floodwaters put out the big fire .	2	-1	 he[0] replies[0] something[0] like[1] the[0] church[0] is[0] flooded[0] but[0] at[0] least[0] the[0] floodwaters[0] put[0] out[0] the[0] big[0] fire[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , the fire wasn't that bad , since , while the church was burning , looters apparently thought it was safe enough to break through all the priceless stained glass windows . " 	well , the fire wasn't that bad , since , while the church was burning , looters apparently thought it was safe enough to break through all the priceless stained glass windows .<br> "	4	-2	 well[0] the[0] fire[0] wasn't[0] that[0] bad[-1] since[0] while[0] the[0] church[0] was[0] burning[-1] looters[0] apparently[0] thought[0] it[0] was[0] safe[1] enough[0] to[0] break[0] through[0] all[0] the[0] priceless[3] stained[-1] glass[0] windows[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
in hard rain a small town is nearly deserted due to flooding . 	in hard rain a small town is nearly deserted due to flooding .	1	-1	 in[0] hard[0] rain[0] a[0] small[0] town[0] is[0] nearly[0] deserted[0] due[0] to[0] flooding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone has had to evacuate because it's raining , and now floodwaters are rising so high that buildings are being submerged and the nearby dam is about to break . 	everyone has had to evacuate because it's raining , and now floodwaters are rising so high that buildings are being submerged and the nearby dam is about to break .	1	-1	 everyone[0] has[0] had[0] to[0] evacuate[0] because[0] it's[0] raining[0] and[0] now[0] floodwaters[0] are[0] rising[0] so[0] high[0] that[0] buildings[0] are[0] being[0] submerged[0] and[0] the[0] nearby[0] dam[0] is[0] about[0] to[0] break[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
enter a working class smart-alecky new armored car driver named tom ( christian slater ) . 	enter a working class smart-alecky new armored car driver named tom ( christian slater ) .	2	-1	 enter[0] a[0] working[0] class[0] smart[1] alecky[0] new[0] armored[0] car[0] driver[0] named[0] tom[0] christian[0] slater[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
suddenly his security truck carrying over three million dollars gets stuck on the flooded street and is waylaid by armed looters . 	suddenly his security truck carrying over three million dollars gets stuck on the flooded street and is waylaid by armed looters .	2	-1	 suddenly[0] his[0] security[1] truck[0] carrying[0] over[0] three[0] million[0] dollars[0] gets[0] stuck[0] on[0] the[0] flooded[0] street[0] and[0] is[0] waylaid[0] by[0] armed[0] looters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tom has no choice but to grab the bag full of money , hide it , and swim for his life . 	tom has no choice but to grab the bag full of money , hide it , and swim for his life .	1	-2	 tom[0] has[0] no[0] choice[0] but[0] to[0] grab[-1] the[0] bag[0] full[0] of[0] money[0] hide[0] it[0] and[0] swim[0] for[0] his[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this makes for an action movie full of jet skis , speedboat chases , and gun battles , as tom tries to evade and outsmart corrupt cops and armed looters until the national guard can answer his distress call . 	this makes for an action movie full of jet skis , speedboat chases , and gun battles , as tom tries to evade and outsmart corrupt cops and armed looters until the national guard can answer his distress call .	1	-3	 this[0] makes[0] for[0] an[0] action[0] movie[0] full[0] of[0] jet[0] skis[0] speedboat[0] chases[-1] and[0] gun[-1] battles[-1] as[0] tom[0] tries[0] to[0] evade[-1] and[0] outsmart[0] corrupt[-2] cops[0] and[0] armed[0] looters[0] until[0] the[0] national[0] guard[0] can[0] answer[0] his[0] distress[-2] call[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is befriended and aided by a spunky churchgoing young woman from town named karen ( minnie driver ) . 	he is befriended and aided by a spunky churchgoing young woman from town named karen ( minnie driver ) .	1	-1	 he[0] is[0] befriended[0] and[0] aided[0] by[0] a[0] spunky[0] churchgoing[0] young[0] woman[0] from[0] town[0] named[0] karen[0] minnie[0] driver[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
