i like movies with albert brooks , and i really like movies directed and written by albert brooks . 	Translation	Positive	Negative	EmotionRationale
lost in america and defending your life are two of my favorite comedies . 	lost in america and defending your life are two of my favorite comedies .	2	-1	 lost[0] in[0] america[0] and[0] defending[0] your[0] life[0] are[0] two[0] of[0] my[0] favorite[1] comedies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his humor is of a kind that is not very prevalent in movies today , inundated as we are with films which revel in their aim toward the lowest common denominator . 	his humor is of a kind that is not very prevalent in movies today , inundated as we are with films which revel in their aim toward the lowest common denominator .	3	-2	 his[0] humor[2] is[0] of[0] a[0] kind[1] that[0] is[0] not[0] very[0] prevalent[0] in[0] movies[0] today[0] inundated[-1] as[0] we[0] are[0] with[0] films[0] which[0] revel[0] in[0] their[0] aim[0] toward[0] the[0] lowest[-1] common[0] denominator[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
you will rarely see any slapstick in an albert brooks film , while the dialog will not be as oppressive as in some of the independent " talk films " which are finding their way into theaters . 	you will rarely see any slapstick in an albert brooks film , while the dialog will not be as oppressive as in some of the independent " talk films " which are finding their way into theaters .	1	-3	 you[0] will[0] rarely[0] see[0] any[0] slapstick[-1] in[0] an[0] albert[0] brooks[0] film[0] while[0] the[0] dialog[0] will[0] not[0] be[0] as[0] oppressive[-2] as[0] in[0] some[0] of[0] the[0] independent[0] talk[0] films[0] which[0] are[0] finding[0] their[0] way[0] into[0] theaters[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the situations in which his characters find themselves are ones we can often identify with , but even if we can't , brooks has the talent to make them comfortable , and therefore we laugh . 	the situations in which his characters find themselves are ones we can often identify with , but even if we can't , brooks has the talent to make them comfortable , and therefore we laugh .	2	-1	 the[0] situations[0] in[0] which[0] his[0] characters[0] find[0] themselves[0] are[0] ones[0] we[0] can[0] often[0] identify[0] with[0] but[0] even[0] if[0] we[0] can't[0] brooks[0] has[0] the[0] talent[1] to[0] make[0] them[0] comfortable[1] and[0] therefore[0] we[0] laugh[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
teenagers and jim carrey fans probably won't find an albert brooks movie very funny , but people who look for more than what we could find on television probably will . 	teenagers and jim carrey fans probably won't find an albert brooks movie very funny , but people who look for more than what we could find on television probably will .	3	-1	 teenagers[0] and[0] jim[0] carrey[0] fans[0] probably[0] won't[0] find[0] an[0] albert[0] brooks[0] movie[0] very[0] funny[1][1 LastWordBoosterStrength] but[0] people[0] who[0] look[0] for[0] more[0] than[0] what[0] we[0] could[0] find[0] on[0] television[0] probably[0] will[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
put simply , brooks' comedy is intelligent . 	put simply , brooks' comedy is intelligent .	2	-1	 put[0] simply[0] brooks'[0] comedy[0] is[0] intelligent[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mother is albert brooks' latest film , and it does not disappoint . 	mother is albert brooks' latest film , and it does not disappoint .	2	-1	 mother[0] is[0] albert[0] brooks'[0] latest[0] film[0] and[0] it[0] does[0] not[0] disappoint[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
brooks plays john henderson , a middle-aged science fiction writer just coming off his second divorce . 	brooks plays john henderson , a middle-aged science fiction writer just coming off his second divorce .	2	-2	 brooks[0] plays[1] john[0] henderson[0] a[0] middle[0] aged[0] science[0] fiction[0] writer[0] just[0] coming[0] off[0] his[0] second[0] divorce[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he makes an attempt at dating , but fails miserably . 	he makes an attempt at dating , but fails miserably .	1	-4	 he[0] makes[0] an[0] attempt[0] at[0] dating[0] but[0] fails[-2] miserably[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he then has dinner with his brother jeff ( rob morrow ) , a successful sports agent who seems to live the ideal life . 	he then has dinner with his brother jeff ( rob morrow ) , a successful sports agent who seems to live the ideal life .	3	-1	 he[0] then[0] has[0] dinner[0] with[0] his[0] brother[0] jeff[0] rob[0] morrow[0] a[0] successful[2] sports[0] agent[0] who[0] seems[0] to[0] live[0] the[0] ideal[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
jeff has a good job , a loving family , and most of all , a warm relationship with their mother beatrice ( debbie reynolds ) . 	jeff has a good job , a loving family , and most of all , a warm relationship with their mother beatrice ( debbie reynolds ) .	4	-1	 jeff[0] has[0] a[0] good[1] job[0] a[0] loving[3] family[0] and[0] most[0] of[0] all[0] a[0] warm[0] relationship[0] with[0] their[0] mother[0] beatrice[0] debbie[0] reynolds[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
