the happy bastard's quick movie review 	Translation	Positive	Negative	EmotionRationale
analyze this 	analyze this	1	-1	 analyze[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how does one do a comedy focused on the mob ? 	how does one do a comedy focused on the mob ?	1	-1	 how[0] does[0] one[0] do[0] a[0] comedy[0] focused[0] on[0] the[0] mob[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , a few years ago , there was a sly little comedy called the freshman , which had marlon brando doing a romp of a send-up of his famous don corleone character and , recently , the utterly stupid ( in a bad way ) movie mafia ! 	well , a few years ago , there was a sly little comedy called the freshman , which had marlon brando doing a romp of a send-up of his famous don corleone character and , recently , the utterly stupid ( in a bad way ) movie mafia !	1	-2	 well[0] a[0] few[0] years[0] ago[0] there[0] was[0] a[0] sly[-1] little[0] comedy[0] called[0] the[0] freshman[0] which[0] had[0] marlon[0] brando[0] doing[0] a[0] romp[0] of[0] a[0] send[0] up[0] of[0] his[0] famous[0] don[0] corleone[0] character[0] and[0] recently[0] the[0] utterly[0] stupid[-1] in[0] a[0] bad[-1] way[0] movie[0] mafia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
failed to really get the joke . 	failed to really get the joke .	2	-3	 failed[-2] to[0] really[0] get[0] the[0] joke[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this time around , however , warner bros . may have gotten it right with analyze this , a movie that hits its targets more than it misses . . . and 	this time around , however , warner bros .<br> may have gotten it right with analyze this , a movie that hits its targets more than it misses .<br> .<br> .<br> and	1	-3	 this[0] time[0] around[0] however[0] warner[0] bros[0] [[Sentence=-1,1=word max, 1-5]] may[0] have[0] gotten[0] it[0] right[0] with[0] analyze[0] this[0] a[0] movie[0] that[0] hits[0] its[0] targets[0] more[0] than[0] it[0] misses[-2] [[Sentence=-3,1=word max, 1-5]] and[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
for plenty of reasons . 	for plenty of reasons .	1	-1	 for[0] plenty[0] of[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story goes like this . 	the story goes like this .	2	-1	 the[0] story[0] goes[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a mobster ( robert deniro ) finds himself receiving several panic attacks as of late , fueled by the stress of an upcoming mobster meeting and a near-death following a drive-by shooting . 	a mobster ( robert deniro ) finds himself receiving several panic attacks as of late , fueled by the stress of an upcoming mobster meeting and a near-death following a drive-by shooting .	1	-4	 a[0] mobster[0] robert[0] deniro[0] finds[0] himself[0] receiving[0] several[0] panic[-2] attacks[-2][-1 MultiplePositiveWords] as[0] of[0] late[0] fueled[0] by[0] the[0] stress[-1] of[0] an[0] upcoming[0] mobster[0] meeting[0] and[0] a[0] near[0] death[-2] following[0] a[0] drive[0] by[0] shooting[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's these attacks that prompt him to hire a psychiatrist ( billy crystal ) who's mostly reluctant to take the mobster's case for two reasons . 	it's these attacks that prompt him to hire a psychiatrist ( billy crystal ) who's mostly reluctant to take the mobster's case for two reasons .	1	-3	 it's[0] these[0] attacks[-2] that[0] prompt[0] him[0] to[0] hire[0] a[0] psychiatrist[0] billy[0] crystal[0] who's[0] mostly[0] reluctant[-1] to[0] take[0] the[0] mobster's[0] case[0] for[0] two[0] reasons[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
first , of course , he's a mobster , but secondly , he's trying to get married and enjoy a quiet honeymoon with his wife ( lisa kudrow ) and kid . 	first , of course , he's a mobster , but secondly , he's trying to get married and enjoy a quiet honeymoon with his wife ( lisa kudrow ) and kid .	3	-1	 first[0] of[0] course[0] he's[0] a[0] mobster[0] but[0] secondly[0] he's[0] trying[0] to[0] get[0] married[0] and[0] enjoy[2] a[0] quiet[0] honeymoon[0] with[0] his[0] wife[0] lisa[0] kudrow[0] and[0] kid[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
