directed by : pixote hunt , hendel butoy , eric goldberg , james algar , francis glebas , gaetan & paul brizzi conducted by : james levine composed by : ludwig van beethoven , ottorino respighi , george gershwin , dmitri shostakovich , camille saint-saens , paul dukas , sir edward elgar , igor stravinsky rated : g scripture references : 1 samuel 16 : 23 , ephesians 5 : 19 , 1 chronicles 15 : 15-16 	Translation	Positive	Negative	EmotionRationale
in 1940 , walt disney released a filmed experiment . 	in 1940 , walt disney released a filmed experiment .	1	-1	 in[0] 1940[0] walt[0] disney[0] released[0] a[0] filmed[0] experiment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fantasia was a blend of two art forms : classical music and animation . 	fantasia was a blend of two art forms : classical music and animation .	1	-1	 fantasia[0] was[0] a[0] blend[0] of[0] two[0] art[0] forms[0] classical[0] music[0] and[0] animation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while it was not immediately popular with the audiences of its day , it has since become recognized as something of a classic . 	while it was not immediately popular with the audiences of its day , it has since become recognized as something of a classic .	1	-1	 while[0] it[0] was[0] not[0] immediately[0] popular[0] with[0] the[0] audiences[0] of[0] its[0] day[0] it[0] has[0] since[0] become[0] recognized[0] as[0] something[0] of[0] a[0] classic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
according to the program notes , it was mr . disney's intention to have fantasia be a continual work in progress . 	according to the program notes , it was mr .<br> disney's intention to have fantasia be a continual work in progress .	1	-1	 according[0] to[0] the[0] program[0] notes[0] it[0] was[0] mr[0] [[Sentence=-1,1=word max, 1-5]] disney's[0] intention[0] to[0] have[0] fantasia[0] be[0] a[0] continual[0] work[0] in[0] progress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sixty years later , thanks to the ongoing efforts of walt's nephew , a new fantasia is being released . 	sixty years later , thanks to the ongoing efforts of walt's nephew , a new fantasia is being released .	2	-1	 sixty[0] years[0] later[0] thanks[1] to[0] the[0] ongoing[0] efforts[0] of[0] walt's[0] nephew[0] a[0] new[0] fantasia[0] is[0] being[0] released[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it was not only worth the waiting , it is evidence to just how far animation has come during the past half-decade . 	it was not only worth the waiting , it is evidence to just how far animation has come during the past half-decade .	1	-1	 it[0] was[0] not[0] only[0] worth[0] the[0] waiting[0] it[0] is[0] evidence[0] to[0] just[0] how[0] far[0] animation[0] has[0] come[0] during[0] the[0] past[0] half[0] decade[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with seven new sequences and one old favorite , fantasia 2000 exhibits an imagination and respect for its art form that is absent from most other feature films . 	with seven new sequences and one old favorite , fantasia 200 exhibits an imagination and respect for its art form that is absent from most other feature films .	3	-2	 with[0] seven[0] new[0] sequences[0] and[0] one[0] old[0] favorite[1] fantasia[0] 2000/200[0] exhibits[0] an[0] imagination[0] and[0] respect[2] for[0] its[0] art[0] form[0] that[0] is[0] absent[-1] from[0] most[0] other[0] feature[0] films[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
like the original , fantasia 2000 will more than likely bore the very young , although there is more narrative appeal in this newer version and the segments appear to be substantially shorter , perhaps a nod to the shorter attention span of the studio's primary audience . 	like the original , fantasia 200 will more than likely bore the very young , although there is more narrative appeal in this newer version and the segments appear to be substantially shorter , perhaps a nod to the shorter attention span of the studio's primary audience .	2	-2	 like[1] the[0] original[0] fantasia[0] 2000/200[0] will[0] more[0] than[0] likely[0] bore[-1] the[0] very[0] young[0] although[0] there[0] is[0] more[0] narrative[0] appeal[0] in[0] this[0] newer[0] version[0] and[0] the[0] segments[0] appear[0] to[0] be[0] substantially[0] shorter[0] perhaps[0] a[0] nod[0] to[0] the[0] shorter[0] attention[0] span[0] of[0] the[0] studio's[0] primary[0] audience[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ranging from the silly to the sublime , each segment is preceded by a short , humorous introduction or interstitial by a guest celebrity host , steve martin ( bowfinger ) being the first and most effective . 	ranging from the silly to the sublime , each segment is preceded by a short , humorous introduction or interstitial by a guest celebrity host , steve martin ( bowfinger ) being the first and most effective .	3	-2	 ranging[0] from[0] the[0] silly[-1] to[0] the[0] sublime[0] each[0] segment[0] is[0] preceded[0] by[0] a[0] short[0] humorous[2] introduction[0] or[0] interstitial[0] by[0] a[0] guest[0] celebrity[0] host[0] steve[0] martin[0] bowfinger[0] being[0] the[0] first[0] and[0] most[0] effective[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
these are quickly forgotten as conductor james levine leads the chicago symphony orchestra through the musical program which , along with the images drawn by the disney team of animators , is thoughtfully and beautifully brought to a stunning synthesis . 	these are quickly forgotten as conductor james levine leads the chicago symphony orchestra through the musical program which , along with the images drawn by the disney team of animators , is thoughtfully and beautifully brought to a stunning synthesis .	3	-1	 these[0] are[0] quickly[0] forgotten[0] as[0] conductor[0] james[0] levine[0] leads[0] the[0] chicago[0] symphony[0] orchestra[0] through[0] the[0] musical[0] program[0] which[0] along[0] with[0] the[0] images[0] drawn[0] by[0] the[0] disney[0] team[0] of[0] animators[0] is[0] thoughtfully[1] and[0] beautifully[2] brought[0] to[0] a[0] stunning[0] synthesis[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
