an unhappy italian housewife , a lonely waiter , a goofy masseuse , lots of love , and gorgeous scenery all come together in bread and tulips , which proves charming despite its covering of predictable , well-worn material . 	Translation	Positive	Negative	EmotionRationale
the story concerns the aforementioned housewife , rosalba barletta ( licia maglietta ) who accidentally becomes separated from her immediate family while on vacation . 	the story concerns the aforementioned housewife , rosalba barletta ( licia maglietta ) who accidentally becomes separated from her immediate family while on vacation .	1	-2	 the[0] story[0] concerns[-1] the[0] aforementioned[0] housewife[0] rosalba[0] barletta[0] licia[0] maglietta[0] who[0] accidentally[-1] becomes[0] separated[0] from[0] her[0] immediate[0] family[0] while[0] on[0] vacation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
instead of waiting for a ride home , rosalba opts not to go home to her italian town , but to instead hitchhike to venice . 	instead of waiting for a ride home , rosalba opts not to go home to her italian town , but to instead hitchike to venice .	1	-1	 instead[0] of[0] waiting[0] for[0] a[0] ride[0] home[0] rosalba[0] opts[0] not[0] to[0] go[0] home[0] to[0] her[0] italian[0] town[0] but[0] to[0] instead[0] hitchhike/hitchike[0] to[0] venice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
upon arriving , she tells her self-centered husband , mimmo ( an excellent antonio catania ) that she'll be home in a few days . 	upon arriving , she tells her self-centered husband , mimmo ( an excellent antonio catania ) that she'll be home in a few days .	4	-1	 upon[0] arriving[0] she[0] tells[0] her[0] self[0] centered[0] husband[0] mimmo[0] an[0] excellent[3] antonio[0] catania[0] that[0] she'll[0] be[0] home[0] in[0] a[0] few[0] days[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
of course , that doesn't happen , as rosalba quickly gains a level of independence that has been unattainable in her past life of scrubbing floors and buying groceries . 	of course , that doesn't happen , as rosalba quickly gains a level of independence that has been unattainable in her past life of scrubbing floors and buying groceries .	1	-1	 of[0] course[0] that[0] doesn't[0] happen[0] as[0] rosalba[0] quickly[0] gains[0] a[0] level[0] of[0] independence[0] that[0] has[0] been[0] unattainable[0] in[0] her[0] past[0] life[0] of[0] scrubbing[0] floors[0] and[0] buying[0] groceries[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in what seems like days , she moves in with lonely , suicidal waiter fernando ( bruno ganz ) , gets a job as a florist , learns the accordion , and befriends her neighbor -- a wacky holistic masseuse named grazia ( marina massironi ) . 	in what seems like days , she moves in with lonely , suicidal waiter fernando ( bruno ganz ) , gets a job as a florist , learns the accordion , and befriends her neighbor - a wacky holistic masseuse named grazia ( marina massironi ) .	2	-2	 in[0] what[0] seems[0] like[1] days[0] she[0] moves[0] in[0] with[0] lonely[-1] suicidal[0] waiter[0] fernando[0] bruno[0] ganz[0] gets[0] a[0] job[0] as[0] a[0] florist[0] learns[0] the[0] accordion[0] and[0] befriends[0] her[0] neighbor[0] a[0] wacky[0] holistic[0] masseuse[0] named[0] grazia[0] marina[0] massironi[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
rosalba , who is first seen wearing a gaudy stretch pants outfit , starts wearing sexy dresses and getting closer to fernando . 	rosalba , who is first seen wearing a gaudy stretch pants outfit , starts wearing sexy dresses and getting closer to fernando .	3	-2	 rosalba[0] who[0] is[0] first[0] seen[0] wearing[0] a[0] gaudy[-1] stretch[0] pants[0] outfit[0] starts[0] wearing[0] sexy[2] dresses[0] and[0] getting[0] closer[0] to[0] fernando[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i can think of at least five other ( american ) movies ( including fried green tomatoes and an unmarried woman ) that are more than similar to bread and tulips . 	i can think of at least five other ( american ) movies ( including fried green tomatoes and an unmarried woman ) that are more than similar to bread and tulips .	1	-1	 i[0] can[0] think[0] of[0] at[0] least[0] five[0] other[0] american[0] movies[0] including[0] fried[0] green[0] tomatoes[0] and[0] an[0] unmarried[0] woman[0] that[0] are[0] more[0] than[0] similar[0] to[0] bread[0] and[0] tulips[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but maglietta and ganz , who act with restraint and care , help bread and tulips from becoming a tired retread . 	but maglietta and ganz , who act with restraint and care , help bread and tulips from becoming a tired retread .	2	-2	 but[0] maglietta[0] and[0] ganz[0] who[0] act[0] with[0] restraint[0] and[0] care[1] help[0] bread[0] and[0] tulips[0] from[0] becoming[0] a[0] tired[-1] retread[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ganz plays the suicidal waiter role with a solemn , sometimes playful dignity that is a joy to watch , while maglietta never overreacts to her growing comfort with the outside world . 	ganz plays the suicidal waiter role with a solemn , sometimes playful dignity that is a joy to watch , while maglietta never overreacts to her growing comfort with the outside world .	3	-3	 ganz[0] plays[1] the[0] suicidal[0] waiter[0] role[0] with[0] a[0] solemn[-2] sometimes[0] playful[1][-1 LastWordBoosterStrength] dignity[1] that[0] is[0] a[0] joy[2] to[0] watch[0] while[0] maglietta[0] never[0] overreacts[0] to[0] her[0] growing[0] comfort[1] with[0] the[0] outside[0] world[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
throughout the movie , maglietta has an easygoing , confident demeanor , which makes it very easy to root for her and her growing attraction for ganz's character . 	throughout the movie , maglietta has an easygoing , confident demeanor , which makes it very easy to root for her and her growing attraction for ganz's character .	2	-1	 throughout[0] the[0] movie[0] maglietta[0] has[0] an[0] easygoing[1] confident[1] demeanor[0] which[0] makes[0] it[0] very[0] easy[0] to[0] root[0] for[0] her[0] and[0] her[0] growing[0] attraction[1] for[0] ganz's[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the gorgeous scenery of moonlit town squares and sparkling rivers provides a perfect love story backdrop -- you just might want to ask the attractive stranger in the seat behind you for coffee after the lights come up . 	the gorgeous scenery of moonlit town squares and sparkling rivers provides a perfect love story backdrop - you just might want to ask the attractive stranger in the seat behind you for coffee after the lights come up .	3	-1	 the[0] gorgeous[2] scenery[0] of[0] moonlit[0] town[0] squares[0] and[0] sparkling[0] rivers[0] provides[0] a[0] perfect[1] love[2] story[0] backdrop[0] you[0] just[0] might[0] want[0] to[0] ask[0] the[0] attractive[1] stranger[0] in[0] the[0] seat[0] behind[0] you[0] for[0] coffee[0] after[0] the[0] lights[0] come[0] up[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
director and co-writer silvio soldini must get credit for sprinkling the movie with effective goofy humor . 	director and co-writer silvio soldini must get credit for sprinkling the movie with effective goofy humor .	3	-1	 director[0] and[0] co[0] writer[0] silvio[0] soldini[0] must[0] get[0] credit[0] for[0] sprinkling[0] the[0] movie[0] with[0] effective[0] goofy[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the cheap mimmo , desperate to find his wife ( after all , he needs his shirts ironed and his mistress won't do it ) , hires a job applicant ( giuseppe battiston ) at his bathroom supply firm to do the job . 	the cheap mimmo , desperate to find his wife ( after all , he needs his shirts ironed and his mistress won't do it ) , hires a job applicant ( giuseppe battiston ) at his bathroom supply firm to do the job .	1	-3	 the[0] cheap[-1] mimmo[0] desperate[-2] to[0] find[0] his[0] wife[0] after[0] all[0] he[0] needs[0] his[0] shirts[0] ironed[0] and[0] his[0] mistress[0] won't[0] do[0] it[0] hires[0] a[0] job[0] applicant[0] giuseppe[0] battiston[0] at[0] his[0] bathroom[0] supply[0] firm[0] to[0] do[0] the[0] job[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the reason ? 	the reason ?	1	-1	 the[0] reason[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mimmo discovers that the prospective plumber loves detective stories . 	mimmo discovers that the prospective plumber loves detective stories .	3	-1	 mimmo[0] discovers[0] that[0] the[0] prospective[0] plumber[0] loves[2] detective[0] stories[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the novice detective's various misfortunes , including him saying goodbye to his weepy mother , are very funny . 	the novice detective's various misfortunes , including him saying goodbye to his weepy mother , are very funny .	3	-3	 the[0] novice[-1] detective's[0] various[0] misfortunes[-1] including[0] him[0] saying[0] goodbye[0] to[0] his[0] weepy[-2] mother[0] are[0] very[0] funny[1][1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
unfortunately , there are flaws that somewhat spoil bread and tulips' cheery tone . 	unfortunately , there are flaws that somewhat spoil bread and tulips' cheery tone .	1	-2	 unfortunately[-1] there[0] are[0] flaws[0] that[0] somewhat[0] spoil[-1] bread[0] and[0] tulips'[0] cheery[0] tone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
