ultra low budget but extremely inventive horror film about a group of friends vacationing in a cabin who accidentally awaken an evil force in the woods via the necronomicon , the book of the dead . 	Translation	Positive	Negative	EmotionRationale
bruce campbell stars as ash , who eventually becomes the sole survivor and has to battle both the demons from the woods , and his friends who have become demons ( including his own girlfriend ) . 	bruce campbell stars as ash , who eventually becomes the sole survivor and has to battle both the demons from the woods , and his friends who have become demons ( including his own girlfriend ) .	2	-2	 bruce[0] campbell[0] stars[0] as[0] ash[0] who[0] eventually[0] becomes[0] the[0] sole[0] survivor[0] and[0] has[0] to[0] battle[-1] both[0] the[0] demons[0] from[0] the[0] woods[0] and[0] his[0] friends[1] who[0] have[0] become[0] demons[0] including[0] his[0] own[0] girlfriend[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the results shown on screen are amazing considering the film's tiny budget , constant location changes , and a filming schedule that was sporadic over two years . 	the results shown on screen are amazing considering the film's tiny budget , constant location changes , and a filming schedule that was sporadic over two years .	3	-1	 the[0] results[0] shown[0] on[0] screen[0] are[0] amazing[2] considering[0] the[0] film's[0] tiny[0] budget[0] constant[0] location[0] changes[0] and[0] a[0] filming[0] schedule[0] that[0] was[0] sporadic[0] over[0] two[0] years[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
followed by two sequels : evil dead ii ( 1987 ) and army of darkness ( 1993 ) . 	followed by two sequels : evil dead i ( 1987 ) and army of darkness ( 1993 ) .	1	-4	 followed[0] by[0] two[0] sequels[0] evil[-2] dead[-2][-1 MultiplePositiveWords] ii/i[0] 1987[0] and[0] army[0] of[0] darkness[0] 1993[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the dvd release of this film from elite entertainment contains the film in it's original aspect ratio of 1 . 33 : 1 . 	the dvd release of this film from elite entertainment contains the film in it's original aspect ratio of 1 .<br> 33 : 1 .	1	-1	 the[0] dvd[0] release[0] of[0] this[0] film[0] from[0] elite[0] entertainment[0] contains[0] the[0] film[0] in[0] it's[0] original[0] aspect[0] ratio[0] of[0] 1[0] [[Sentence=-1,1=word max, 1-5]] 33[0] 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the disc contains two versions of the film's audio : a stereo 2 . 0 track and a newly remastered dolby digital 5 . 1 . 	the disc contains two versions of the film's audio : a stereo 2 .<br> 0 track and a newly remastered dolby digital 5 .<br> 1 .	1	-1	 the[0] disc[0] contains[0] two[0] versions[0] of[0] the[0] film's[0] audio[0] a[0] stereo[0] 2[0] [[Sentence=-1,1=word max, 1-5]] 0[0] track[0] and[0] a[0] newly[0] remastered[0] dolby[0] digital[0] 5[0] [[Sentence=-1,1=word max, 1-5]] 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
included are two separate running commentary tracks : the first features writer/director sam raimi and producer rob tapert and the second track features the film's star , bruce campbell . 	included are two separate running commentary tracks : the first features writer/director sam raimi and producer rob tapert and the second track features the film's star , bruce campbell .	1	-1	 included[0] are[0] two[0] separate[0] running[0] commentary[0] tracks[0] the[0] first[0] features[0] writer/director[0] sam[0] raimi[0] and[0] producer[0] rob[0] tapert[0] and[0] the[0] second[0] track[0] features[0] the[0] film's[0] star[0] bruce[0] campbell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
campbell's commentary is informative and extremely witty , as he has a story to tell for virtually every scene in the film . 	campbell's commentary is informative and extremely witty , as he has a story to tell for virtually every scene in the film .	1	-1	 campbell's[0] commentary[0] is[0] informative[0] and[0] extremely[0] witty[0] as[0] he[0] has[0] a[0] story[0] to[0] tell[0] for[0] virtually[0] every[0] scene[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
such informative tidbits include : the original title of the film was going to be book of the dead ( and in fact when the film premiered in 1981 that was it's title ) and when they were asked to change the title to the evil dead , everyone thought it was the worst title they had ever heard . 	such informative tidbits include : the original title of the film was going to be book of the dead ( and in fact when the film premiered in 1981 that was it's title ) and when they were asked to change the title to the evil dead , everyone thought it was the worst title they had ever heard .	1	-4	 such[0] informative[0] tidbits[0] include[0] the[0] original[0] title[0] of[0] the[0] film[0] was[0] going[0] to[0] be[0] book[0] of[0] the[0] dead[-2] and[0] in[0] fact[0] when[0] the[0] film[0] premiered[0] in[0] 1981[0] that[0] was[0] it's[0] title[0] and[0] when[0] they[0] were[0] asked[0] to[0] change[0] the[0] title[0] to[0] the[0] evil[-2] dead[-2][-1 MultiplePositiveWords] everyone[0] thought[0] it[0] was[0] the[0] worst[-2] title[0] they[0] had[0] ever[0] heard[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
also , there's a scene early on in the film where the group sits around and listens to a tape recorder which they've found that's explaining about the demonic forces in the woods . 	also , there's a scene early on in the film where the group sits around and listens to a tape recorder which they've found that's explaining about the demonic forces in the woods .	1	-1	 also[0] there's[0] a[0] scene[0] early[0] on[0] in[0] the[0] film[0] where[0] the[0] group[0] sits[0] around[0] and[0] listens[0] to[0] a[0] tape[0] recorder[0] which[0] they've[0] found[0] that's[0] explaining[0] about[0] the[0] demonic[0] forces[0] in[0] the[0] woods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for that scene , it was written for the characters to be smoking marijuana , so being the wacky kids that they were at the time , they decided to actually smoke marijuana for the scene . 	for that scene , it was written for the characters to be smoking marijuana , so being the wacky kids that they were at the time , they decided to actually smoke marijuana for the scene .	1	-1	 for[0] that[0] scene[0] it[0] was[0] written[0] for[0] the[0] characters[0] to[0] be[0] smoking[0] marijuana[0] so[0] being[0] the[0] wacky[0] kids[0] that[0] they[0] were[0] at[0] the[0] time[0] they[0] decided[0] to[0] actually[0] smoke[0] marijuana[0] for[0] the[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
almost all of that footage became unusable because many of the actor's had never smoked before , and as a result they became " confused " and were unable to perform the scene . 	almost all of that footage became unusable because many of the actor's had never smoked before , and as a result they became " confused " and were unable to perform the scene .	1	-2	 almost[0] all[0] of[0] that[0] footage[0] became[0] unusable[0] because[0] many[0] of[0] the[0] actor's[0] had[0] never[0] smoked[0] before[0] and[0] as[0] a[0] result[0] they[0] became[0] confused[-1] and[0] were[0] unable[0] to[0] perform[0] the[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i wish the entertainment factor was as high for the sam raimi/rob tapert audio track . 	i wish the entertainment factor was as high for the sam raimi/rob tapert audio track .	1	-1	 i[0] wish[0] the[0] entertainment[0] factor[0] was[0] as[0] high[0] for[0] the[0] sam[0] raimi/rob[0] tapert[0] audio[0] track[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the two people you'd think would be more enthusiastic in talking about this film instead barely have much to say at all . 	the two people you'd think would be more enthusiastic in talking about this film instead barely have much to say at all .	3	-1	 the[0] two[0] people[0] you'd[0] think[0] would[0] be[0] more[0] enthusiastic[2] in[0] talking[0] about[0] this[0] film[0] instead[0] barely[0] have[0] much[0] to[0] say[0] at[0] all[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
don't get me wrong here , when they do speak it's entertaining to hear , but there are many instances where both are silent for long periods of time . 	don't get me wrong here , when they do speak it's entertaining to hear , but there are many instances where both are silent for long periods of time .	1	-2	 don't[0] get[0] me[0] wrong[-1] here[0] when[0] they[0] do[0] speak[0] it's[0] entertaining[0] to[0] hear[0] but[0] there[0] are[0] many[0] instances[0] where[0] both[0] are[0] silent[0] for[0] long[0] periods[0] of[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sometimes after one of those long silences rob will ask " have anything to say sam ? " 	sometimes after one of those long silences rob will ask " have anything to say sam ?<br> "	1	-1	 sometimes[0] after[0] one[0] of[0] those[0] long[0] silences[0] rob[0] will[0] ask[0] have[0] anything[0] to[0] say[0] sam[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to me , that's not a good sign . 	to me , that's not a good sign .	1	-2	 to[0] me[0] that's[0] not[0] a[0] good[1][NegatedDueToPreviousWord] sign[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
also , it seems like sam raimi doesn't remember much about the film and it's production . . . 	also , it seems like sam raimi doesn't remember much about the film and it's production .<br> .<br> .	2	-1	 also[0] it[0] seems[0] like[1] sam[0] raimi[0] doesn't[0] remember[0] much[0] about[0] the[0] film[0] and[0] it's[0] production[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , compared to rob and bruce anyway . 	well , compared to rob and bruce anyway .	1	-1	 well[0] compared[0] to[0] rob[0] and[0] bruce[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
also included on the disc is a photo gallery ( which includes pictures from the film's " gala " premiere ) and about twenty minutes of raw footage from the film . 	also included on the disc is a photo gallery ( which includes pictures from the film's " gala " premiere ) and about twenty minutes of raw footage from the film .	1	-1	 also[0] included[0] on[0] the[0] disc[0] is[0] a[0] photo[0] gallery[0] which[0] includes[0] pictures[0] from[0] the[0] film's[0] gala[0] premiere[0] and[0] about[0] twenty[0] minutes[0] of[0] raw[0] footage[0] from[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this raw footage really shows you how much a film can be improved upon using simple audio techniques . 	this raw footage really shows you how much a film can be improved upon using simple audio techniques .	2	-1	 this[0] raw[0] footage[0] really[0] shows[0] you[0] how[0] much[0] a[0] film[0] can[0] be[0] improved[1] upon[0] using[0] simple[0] audio[0] techniques[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
overall , the evil dead is a good low budget horror film , superior to many films in it's genre . 	overall , the evil dead is a good low budget horror film , superior to many films in it's genre .	3	-4	 overall[0] the[0] evil[-2] dead[-2][-1 MultiplePositiveWords] is[0] a[0] good[1] low[-1] budget[0] horror[-3] film[0] superior[2] to[0] many[0] films[0] in[0] it's[0] genre[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and the collector's edition dvd release is well worth your time if you're either a fan of the film or just a fan of the filmmaking process . 	and the collector's edition dvd release is well worth your time if you're either a fan of the film or just a fan of the filmmaking process .	1	-1	 and[0] the[0] collector's[0] edition[0] dvd[0] release[0] is[0] well[0] worth[0] your[0] time[0] if[0] you're[0] either[0] a[0] fan[0] of[0] the[0] film[0] or[0] just[0] a[0] fan[0] of[0] the[0] filmmaking[0] process[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
