capsule : bleak and point-blank -- just the way it should be . 	Translation	Positive	Negative	EmotionRationale
makes its case with cold-blooded precision and intelligence . 	makes its case with cold-blooded precision and intelligence .	1	-2	 makes[0] its[0] case[0] with[0] cold[-1] blooded[0] precision[0] and[0] intelligence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " serial killer chic " is a relatively new entry to the cultural vocabulary , and one of the more stomach-turning ones . 	 " serial killer chic " is a relatively new entry to the cultural vocabulary , and one of the more stomach-turning ones .	1	-2	 serial[0] killer[-1] chic[0] is[0] a[0] relatively[0] new[0] entry[0] to[0] the[0] cultural[0] vocabulary[0] and[0] one[0] of[0] the[0] more[0] stomach[0] turning[0] ones[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i've never found someone automatically admirable or even interesting because they killed creatively or in great numbers , and because of that i had apprehensions about seeing henry . 	i've never found someone automatically admirable or even interesting because they killed creatively or in great numbers , and because of that i had apprehensions about seeing henry .	3	-4	 i've[0] never[0] found[0] someone[0] automatically[0] admirable[2] or[0] even[0] interesting[1] because[0] they[0] killed[-3] creatively[0] or[0] in[0] great[2] numbers[0] and[0] because[0] of[0] that[0] i[0] had[0] apprehensions[-2] about[0] seeing[0] henry[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i wasn't sure i wanted to see the story of multiple murderer henry lee lucas portrayed as some kind of nihilistic hero/antihero . 	i wasn't sure i wanted to see the story of multiple murderer henry lee lucas portrayed as some kind of nihilistic hero/antihero .	3	-4	 i[0] wasn't[0] sure[0] i[0] wanted[0] to[0] see[0] the[0] story[0] of[0] multiple[0] murderer[-3] henry[0] lee[0] lucas[0] portrayed[0] as[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] nihilistic[0] hero/antihero[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
thankfully , that's not the way henry works . 	thankfully , that's not the way henry works .	2	-1	 thankfully[1] that's[0] not[0] the[0] way[0] henry[0] works[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the director , john mcnaughton , took a small budget and a gallery of actor friends and created a chilling and intelligent piece of work . 	the director , john mcnaughton , took a small budget and a gallery of actor friends and created a chilling and intelligent piece of work .	2	-1	 the[0] director[0] john[0] mcnaughton[0] took[0] a[0] small[0] budget[0] and[0] a[0] gallery[0] of[0] actor[0] friends[1] and[0] created[0] a[0] chilling[0] and[0] intelligent[1] piece[0] of[0] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it doesn't provide cheap-jack explanations for henry's behavior : it shows him up for what he is , an unrepentant and un-idolizable man who killed when the mood struck him . 	it doesn't provide cheap-jack explanations for henry's behavior : it shows him up for what he is , an unrepentant and un-idolizable man who killed when the mood struck him .	1	-4	 it[0] doesn't[0] provide[0] cheap[-1] jack[0] explanations[0] for[0] henry's[0] behavior[0] it[0] shows[0] him[0] up[0] for[0] what[0] he[0] is[0] an[0] unrepentant[0] and[0] un[0] idolizable[0] man[0] who[0] killed[-3] when[0] the[0] mood[0] struck[-1] him[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at the film's opening , henry's friend ottis toole has a sister , who comes by to stay while she tries to find work in chicago . 	at the film's opening , henry's friend ottis toole has a sister , who comes by to stay while she tries to find work in chicago .	2	-1	 at[0] the[0] film's[0] opening[0] henry's[0] friend[1] ottis[0] toole[0] has[0] a[0] sister[0] who[0] comes[0] by[0] to[0] stay[0] while[0] she[0] tries[0] to[0] find[0] work[0] in[0] chicago[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in a viciously riveting scene , he admits matter-of-factly to having murdered his own mother , and she covers his hand with hers . 	in a viciously riveting scene , he admits matter-of-factly to having murdered his own mother , and she covers his hand with hers .	1	-4	 in[0] a[0] viciously[-3] riveting[0] scene[0] he[0] admits[0] matter[0] of[0] factly[0] to[0] having[0] murdered[-3] his[0] own[0] mother[0] and[0] she[0] covers[0] his[0] hand[0] with[0] hers[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they are damned together from that moment on . 	they are damned together from that moment on .	1	-2	 they[0] are[0] damned[-1] together[0] from[0] that[0] moment[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
henry and ottis eventually begin to kill for fun . 	henry and ottis eventually begin to kill for fun .	2	-2	 henry[0] and[0] ottis[0] eventually[0] begin[0] to[0] kill[-1] for[0] fun[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the movie is especially good at showing how they seem to have drifted casually into it : there's a scene where the two go to buy a new tv . 	the movie is especially good at showing how they seem to have drifted casually into it : there's a scene where the two go to buy a new tv .	3	-1	 the[0] movie[0] is[0] especially[0] good[1][1 LastWordBoosterStrength] at[0] showing[0] how[0] they[0] seem[0] to[0] have[0] drifted[0] casually[0] into[0] it[0] there's[0] a[0] scene[0] where[0] the[0] two[0] go[0] to[0] buy[0] a[0] new[0] tv[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the pawnbroker they talk to goads henry with ugly words , and henry responds by stabbing the man to death with a soldering iron . 	the pawnbroker they talk to goads henry with ugly words , and henry responds by stabbing the man to death with a soldering iron .	1	-3	 the[0] pawnbroker[0] they[0] talk[0] to[0] goads[0] henry[0] with[0] ugly[-2] words[0] and[0] henry[0] responds[0] by[0] stabbing[-1] the[0] man[0] to[0] death[-2] with[0] a[0] soldering[0] iron[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
no preface -- it smashes into us as suddenly as it does the broker . 	no preface - it smashes into us as suddenly as it does the broker .	1	-2	 no[0] preface[0] it[0] smashes[0] into[0] us[0] as[0] suddenly[0] as[0] it[0] does[0] the[0] broker[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in a scene which many damned the movie for , unseen , they steal a video camera and film the murder of a whole household , playing it back over and over again for their own enjoyment . 	in a scene which many damned the movie for , unseen , they steal a video camera and film the murder of a whole household , playing it back over and over again for their own enjoyment .	3	-4	 in[0] a[0] scene[0] which[0] many[0] damned[-1] the[0] movie[0] for[0] unseen[0] they[0] steal[-2] a[0] video[0] camera[0] and[0] film[0] the[0] murder[-3] of[0] a[0] whole[0] household[0] playing[1] it[0] back[0] over[0] and[0] over[0] again[0] for[0] their[0] own[0] enjoyment[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the movie itself , however , does not glorify the killings , but shows instead that henry feels no joy at his work , only irritation . 	the movie itself , however , does not glorify the killings , but shows instead that henry feels no joy at his work , only irritation .	3	-3	 the[0] movie[0] itself[0] however[0] does[0] not[0] glorify[1][NegatedDueToPreviousWord] the[0] killings[0] but[0] shows[0] instead[0] that[0] henry[0] feels[0] no[0] joy[2] at[0] his[0] work[0] only[0] irritation[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
henry succeeds thanks to excellent writing and direction as well as acting . 	henry succeeds thanks to excellent writing and direction as well as acting .	4	-1	 henry[0] succeeds[2] thanks[1] to[0] excellent[3] writing[0] and[0] direction[0] as[0] well[0] as[0] acting[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
michael rooker is credible as henry from the first frame , just standing there , and the rest of the cast works by being unaffected and casual as well . 	michael rooker is credible as henry from the first frame , just standing there , and the rest of the cast works by being unaffected and casual as well .	1	-1	 michael[0] rooker[0] is[0] credible[0] as[0] henry[0] from[0] the[0] first[0] frame[0] just[0] standing[0] there[0] and[0] the[0] rest[0] of[0] the[0] cast[0] works[0] by[0] being[0] unaffected[0] and[0] casual[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the producers had originally comissioned a slasher film from mcnaughton , but he decided to give them something more memorable , and consequently the film nearly didn't see release . 	the producers had originally comissioned a slasher film from mcnaughton , but he decided to give them something more memorable , and consequently the film nearly didn't see release .	1	-2	 the[0] producers[0] had[0] originally[0] comissioned[0] a[0] slasher[-1] film[0] from[0] mcnaughton[0] but[0] he[0] decided[0] to[0] give[0] them[0] something[0] more[0] memorable[0] and[0] consequently[0] the[0] film[0] nearly[0] didn't[0] see[0] release[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
