dreamworks pictures presents a jinks/ cohen company production kevin spacey annette bening " american beauty " thora birch allison janney peter gallagher mena suvari wes bentley and chris cooper co-producers stan wlodkowski alan ball music by thomas newman costume designer julie weiss film editor tariq anway chris greenbury production designer naomi shohan director of photography conrad l . hall , a . s . c . 	Translation	Positive	Negative	EmotionRationale
produced by bruce cohen & dan jinks written by alan ball directed by sam mendes 	produced by bruce cohen & dan jinks written by alan ball directed by sam mendes	1	-1	 produced[0] by[0] bruce[0] cohen[0] &[0] dan[0] jinks[0] written[0] by[0] alan[0] ball[0] directed[0] by[0] sam[0] mendes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " both my wife and daughter think i'm this gigantic loser . 	 " both my wife and daughter think i'm this gigantic loser .	1	-3	 both[0] my[0] wife[0] and[0] daughter[0] think[0] i'm[0] this[0] gigantic[0] loser[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and they're right . 	and they're right .	1	-1	 and[0] they're[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have lost something . 	i have lost something .	1	-1	 i[0] have[0] lost[0] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i didn't always feel this sedated . " 	i didn't always feel this sedated .<br> "	1	-1	 i[0] didn't[0] always[0] feel[0] this[0] sedated[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with that piece of dialogue , we are fully introduced to lester burnham ( kevin spacey ) , a 42 year old man trapped within his own life . 	with that piece of dialogue , we are fully introduced to lester burnham ( kevin spacey ) , a 42 year old man trapped within his own life .	1	-2	 with[0] that[0] piece[0] of[0] dialogue[0] we[0] are[0] fully[0] introduced[0] to[0] lester[0] burnham[-1] kevin[0] spacey[0] a[0] 42[0] year[0] old[0] man[0] trapped[0] within[0] his[0] own[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lester works for an advertising agency . 	lester works for an advertising agency .	1	-1	 lester[0] works[0] for[0] an[0] advertising[0] agency[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his growing dissatisfaction with his job is only one of the mid-life crisis he is suffering . 	his growing dissatisfaction with his job is only one of the mid-life crisis he is suffering .	1	-4	 his[0] growing[0] dissatisfaction[-1] with[0] his[0] job[0] is[0] only[0] one[0] of[0] the[0] mid[0] life[0] crisis[-2] he[0] is[0] suffering[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
estranged from both his wife and his daughter , lester starts to crack under the stress . 	estranged from both his wife and his daughter , lester starts to crack under the stress .	1	-2	 estranged[-1] from[0] both[0] his[0] wife[0] and[0] his[0] daughter[0] lester[0] starts[0] to[0] crack[0] under[0] the[0] stress[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his life becomes nothing more than a series of mastubatory fantasies , and sullen apathy . 	his life becomes nothing more than a series of mastubatory fantasies , and sullen apathy .	1	-2	 his[0] life[0] becomes[0] nothing[0] more[0] than[0] a[0] series[0] of[0] mastubatory[0] fantasies[0] and[0] sullen[-1] apathy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
carolyn burnham ( annette bening ) , is the prototypical career woman/ homemaker . 	carolyn burnham ( annette bening ) , is the prototypical career woman/ homemaker .	1	-2	 carolyn[0] burnham[-1] annette[0] bening[0] is[0] the[0] prototypical[0] career[0] woman/[0] homemaker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she carefully tends her rose garden , decorates her home with the best furnishings . 	she carefully tends her rose garden , decorates her home with the best furnishings .	2	-1	 she[0] carefully[0] tends[0] her[0] rose[0] garden[0] decorates[0] her[0] home[0] with[0] the[0] best[1] furnishings[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but inside she is desperate . 	but inside she is desperate .	1	-3	 but[0] inside[0] she[0] is[0] desperate[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
unsuccessful at her profession as a real estate agent , she drives herself into states of denial and self loathing that only feed her growing resentment towards her family . 	unsuccessful at her profession as a real estate agent , she drives herself into states of denial and self loathing that only feed her growing resentment towards her family .	1	-3	 unsuccessful[-2] at[0] her[0] profession[0] as[0] a[0] real[0] estate[0] agent[0] she[0] drives[0] herself[0] into[0] states[0] of[0] denial[-1] and[0] self[0] loathing[0] that[0] only[0] feed[0] her[0] growing[0] resentment[-2] towards[0] her[0] family[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the third member of this anti-family is jane burnham ( thora birch ) , lester and carolyn's daughter . 	the third member of this anti-family is jane burnham ( thora birch ) , lester and carolyn's daughter .	1	-2	 the[0] third[0] member[0] of[0] this[0] anti[0] family[0] is[0] jane[0] burnham[-1] thora[0] birch[0] lester[0] and[0] carolyn's[0] daughter[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
