ladies and gentlemen , 1997's independence day is here ! 	Translation	Positive	Negative	EmotionRationale
it's title : starship troopers . 	it's title : starship troopers .	1	-1	 it's[0] title[0] starship[0] troopers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and surprisingly , it is more entertaining than id4 . 	and surprisingly , it is more entertaining than id4 .	1	-1	 and[0] surprisingly[0] it[0] is[0] more[0] entertaining[0] than[0] id4[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i realize that i gave last year's sci-fi hit a 4 star rating , but i was under the spell of the powerful first hour . 	i realize that i gave last year's sci-fi hit a 4 star rating , but i was under the spell of the powerful first hour .	1	-1	 i[0] realize[0] that[0] i[0] gave[0] last[0] year's[0] sci[0] fi[0] hit[0] a[0] 4[0] star[0] rating[0] but[0] i[0] was[0] under[0] the[0] spell[0] of[0] the[0] powerful[0] first[0] hour[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after subsequent viewings , i feel that independence day really wasn't as great as it seemed--though i still give it a positive review . 	after subsequent viewings , i feel that independence day really wasn't as great as it seemed-though i still give it a positive review .	3	-1	 after[0] subsequent[0] viewings[0] i[0] feel[0] that[0] independence[0] day[0] really[0] wasn't[0] as[0] great[2] as[0] it[0] seemed[0] though[0] i[0] still[0] give[0] it[0] a[0] positive[2] review[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
starship troopers , on the other hand , has a mocking sense of humor , knowing perfectly well how ridiculous it may seem . 	starship troopers , on the other hand , has a mocking sense of humor , knowing perfectly well how ridiculous it may seem .	3	-3	 starship[0] troopers[0] on[0] the[0] other[0] hand[0] has[0] a[0] mocking[-2] sense[0] of[0] humor[2] knowing[0] perfectly[1] well[0] how[0] ridiculous[-2] it[0] may[0] seem[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as a result , starship troopers is a more exciting , energetic , and lively science fiction film . 	as a result , starship troopers is a more exciting , energetic , and lively science fiction film .	3	-1	 as[0] a[0] result[0] starship[0] troopers[0] is[0] a[0] more[0] exciting[2] energetic[0] and[0] lively[1] science[0] fiction[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in fact , i probably could never get tired of watching this film . 	in fact , i probably could never get tired of watching this film .	2	-1	 in[0] fact[0] i[0] probably[0] could[0] never[0] get[0] tired[-1][NegatedDueToPreviousWord] of[0] watching[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
starship troopers is very reminiscient of star wars , another kick-ass space opera which reinvented the sci-fi drama altogether . 	starship troopers is very reminiscient of star wars , another kick-ass space opera which reinvented the sci-fi drama altogether .	1	-3	 starship[0] troopers[0] is[0] very[0] reminiscient[0] of[0] star[0] wars[-2] another[0] kick[-1] ass[0] space[0] opera[0] which[0] reinvented[0] the[0] sci[0] fi[0] drama[0] altogether[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while starship troopers is no star wars , it comes quite close , and the easiest assessment would be to call this film : " the 'star wars' of the 90s . " 	while starship troopers is no star wars , it comes quite close , and the easiest assessment would be to call this film : " the 'star wars' of the 90s .<br> "	1	-3	 while[0] starship[0] troopers[0] is[0] no[0] star[0] wars[-2] it[0] comes[0] quite[0] close[0] and[0] the[0] easiest[0] assessment[0] would[0] be[0] to[0] call[0] this[0] film[0] the[0] 'star[0] wars'[0] of[0] the[0] 90s[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
am i being to generous to this film ? 	am i being to generous to this film ?	2	-1	 am[0] i[0] being[0] to[0] generous[1] to[0] this[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
