jackie brown entered theaters with little fanfare and a lot of expectation . 	Translation	Positive	Negative	EmotionRationale
even though advance publicity on this one was fairly limited , the audiences waited for the showings with heightened anticipation . 	even though advance publicity on this one was fairly limited , the audiences waited for the showings with heightened anticipation .	1	-1	 even[0] though[0] advance[0] publicity[0] on[0] this[0] one[0] was[0] fairly[0] limited[0] the[0] audiences[0] waited[0] for[0] the[0] showings[0] with[0] heightened[0] anticipation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is , after all , the first movie quentin tarantino has directed since the highly touted pulp fiction . 	this is , after all , the first movie quentin tarantino has directed since the highly touted pulp fiction .	1	-1	 this[0] is[0] after[0] all[0] the[0] first[0] movie[0] quentin[0] tarantino[0] has[0] directed[0] since[0] the[0] highly[0] touted[0] pulp[0] fiction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to say he has been inactive in between would be to tell a falsehood , since he has been involved in such projects as destiny turns on the radio , desperado , four rooms , and from dusk 'til dawn . 	to say he has been inactive in between would be to tell a falsehood , since he has been involved in such projects as destiny turns on the radio , desperado , four rooms , and from dusk 'til dawn .	1	-2	 to[0] say[0] he[0] has[0] been[0] inactive[0] in[0] between[0] would[0] be[0] to[0] tell[0] a[0] falsehood[-1] since[0] he[0] has[0] been[0] involved[0] in[0] such[0] projects[0] as[0] destiny[0] turns[0] on[0] the[0] radio[0] desperado[0] four[0] rooms[0] and[0] from[0] dusk[0] 'til[0] dawn[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he was also called in at the last minute to help punch up the screenplay for crimson tide . 	he was also called in at the last minute to help punch up the screenplay for crimson tide .	1	-2	 he[0] was[0] also[0] called[0] in[0] at[0] the[0] last[0] minute[0] to[0] help[0] punch[-1] up[0] the[0] screenplay[0] for[0] crimson[0] tide[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( i'm willing to wager the debate over which silver surfer is the only true silver surfer was penned by him . ) 	 ( i'm willing to wager the debate over which silver surfer is the only true silver surfer was penned by him .<br> )	2	-1	 i'm[0] willing[0] to[0] wager[0] the[0] debate[0] over[0] which[0] silver[0] surfer[0] is[0] the[0] only[0] true[1] silver[0] surfer[0] was[0] penned[0] by[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tarantino contributed on and off screen to these films , but never took the director's helm . 	tarantino contributed on and off screen to these films , but never took the director's helm .	1	-1	 tarantino[0] contributed[0] on[0] and[0] off[0] screen[0] to[0] these[0] films[0] but[0] never[0] took[0] the[0] director's[0] helm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nearly four years since gaining notoriety on the hollywood scene and making john travolta a star once more , tarantino returns with a film he can call his own . 	nearly four years since gaining notoriety on the hollywood scene and making john travolta a star once more , tarantino returns with a film he can call his own .	1	-1	 nearly[0] four[0] years[0] since[0] gaining[0] notoriety[0] on[0] the[0] hollywood[0] scene[0] and[0] making[0] john[0] travolta[0] a[0] star[0] once[0] more[0] tarantino[0] returns[0] with[0] a[0] film[0] he[0] can[0] call[0] his[0] own[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens up with an homage to the graduate , with jackie brown ( pam grier ) on one of those airport people movers as the credits are displayed in front of her . 	the film opens up with an homage to the graduate , with jackie brown ( pam grier ) on one of those airport people movers as the credits are displayed in front of her .	1	-1	 the[0] film[0] opens[0] up[0] with[0] an[0] homage[0] to[0] the[0] graduate[0] with[0] jackie[0] brown[0] pam[0] grier[0] on[0] one[0] of[0] those[0] airport[0] people[0] movers[0] as[0] the[0] credits[0] are[0] displayed[0] in[0] front[0] of[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackie is a flight attendant for air cabo , which flies back and fourth between los angeles and cabo san lucas . 	jackie is a flight attendant for air cabo , which flies back and fourth between los angeles and cabo san lucas .	1	-1	 jackie[0] is[0] a[0] flight[0] attendant[0] for[0] air[0] cabo[0] which[0] flies[0] back[0] and[0] fourth[0] between[0] los[0] angeles[0] and[0] cabo[0] san[0] lucas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this makes jackie a convenient cash courier for gun dealer ordell robbi ( samuel l . jackson ) who is currently keeping his money stashed in mexico . 	this makes jackie a convenient cash courier for gun dealer ordell robbi ( samuel l .<br> jackson ) who is currently keeping his money stashed in mexico .	1	-2	 this[0] makes[0] jackie[0] a[0] convenient[0] cash[0] courier[0] for[0] gun[-1] dealer[0] ordell[0] robbi[0] samuel[0] l[0] [[Sentence=-2,1=word max, 1-5]] jackson[0] who[0] is[0] currently[0] keeping[0] his[0] money[0] stashed[0] in[0] mexico[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , while bringing fifty thousand dollars back into the u . s . for ordell , jackie is apprehended by fbi agent mark dargus ( michael bowen ) and atf agent ray nicolet ( michael keaton ) , who catch her not only with the money , but with a bonus of a couple of ounces of illicit drugs . 	however , while bringing fifty thousand dollars back into the you .<br> s .<br> for ordell , jackie is apprehended by fbi agent mark dargus ( michael bowen ) and atf agent ray nicolet ( michael keaton ) , who catch her not only with the money , but with a bonus of a couple of ounces of illicit drugs .	1	-1	 however[0] while[0] bringing[0] fifty[0] thousand[0] dollars[0] back[0] into[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] for[0] ordell[0] jackie[0] is[0] apprehended[0] by[0] fbi[0] agent[0] mark[0] dargus[0] michael[0] bowen[0] and[0] atf[0] agent[0] ray[0] nicolet[0] michael[0] keaton[0] who[0] catch[0] her[0] not[0] only[0] with[0] the[0] money[0] but[0] with[0] a[0] bonus[0] of[0] a[0] couple[0] of[0] ounces[0] of[0] illicit[0] drugs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jackie didn't know they were in the package with the cash , but that's of no consequence to the authorities , who threaten jackie with a couple of years hard time if convicted . 	jackie didn't know they were in the package with the cash , but that's of no consequence to the authorities , who threaten jackie with a couple of years hard time if convicted .	1	-3	 jackie[0] didn't[0] know[0] they[0] were[0] in[0] the[0] package[0] with[0] the[0] cash[0] but[0] that's[0] of[0] no[0] consequence[0] to[0] the[0] authorities[0] who[0] threaten[-2] jackie[0] with[0] a[0] couple[0] of[0] years[0] hard[0] time[0] if[0] convicted[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
