hilarious , ultra-low budget comedy from film school dropout kevin smith chronicles a day in the life of two convenience store slackers ( brian o'halloran and jeff anderson ) . 	Translation	Positive	Negative	EmotionRationale
they spend most of their day ignoring customers while discussing everything from fellatio to self-fulfillment . 	they spend most of their day ignoring customers while discussing everything from fellatio to self-fulfilment .	1	-1	 they[0] spend[0] most[0] of[0] their[0] day[0] ignoring[0] customers[0] while[0] discussing[0] everything[0] from[0] fellatio[0] to[0] self[0] fulfillment/fulfilment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the premise is strictly sitcom and the photography is grainy as all get-out , but you could spend ten times the film's budget ( a reported  27 , 000 ) and still not get dialogue half as good as this . 	the premise is strictly sitcom and the photography is grainy as all get-out , but you could spend ten times the film's budget ( a reported  27 , 00 ) and still not get dialogue half as good as this .	2	-2	 the[0] premise[0] is[0] strictly[-1] sitcom[0] and[0] the[0] photography[0] is[0] grainy[0] as[0] all[0] get[0] out[0] but[0] you[0] could[0] spend[0] ten[0] times[0] the[0] film's[0] budget[0] a[0] reported[0] 27[0] 000/00[0] and[0] still[0] not[0] get[0] dialogue[0] half[0] as[0] good[1] as[0] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
originally rated nc-17 for language . 	originally rated nc-17 for language .	1	-1	 originally[0] rated[0] nc[0] -17[0] for[0] language[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not recommended for viewers with sensitive ears . 	not recommended for viewers with sensitive ears .	1	-1	 not[0] recommended[0] for[0] viewers[0] with[0] sensitive[0] ears[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
killing zoe             	killing zoe            	1	-2	 killing[-1] zoe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
remake reservoir dogs as a french art film and you're halfway to killing zoe , writer/director roger avary's slow-moving story of a failed bastille day bank robbery . 	remake reservoir dogs as a french art film and you're halfway to killing zoe , writer/director roger avary's slow-moving story of a failed bastille day bank robbery .	1	-3	 remake[0] reservoir[0] dogs[0] as[0] a[0] french[0] art[0] film[0] and[0] you're[0] halfway[0] to[0] killing[-1] zoe[0] writer/director[0] roger[0] avary's[0] slow[0] moving[0] story[0] of[0] a[0] failed[-2] bastille[0] day[0] bank[0] robbery[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
eric stoltz stars as an american in paris who gets in * way * over his head when hooks up with a band of nihilistic bank robbers . 	eric stoltz stars as an american in paris who gets in * way * over his head when hooks up with a band of nihilistic bank robbers .	1	-2	 eric[0] stoltz[0] stars[0] as[0] an[0] american[0] in[0] paris[0] who[0] gets[0] in[0] way[0] over[0] his[0] head[0] when[0] hooks[0] up[0] with[0] a[0] band[0] of[0] nihilistic[0] bank[0] robbers[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's the safecracker who's blissful unaware that the bank job is a botch job from the word go . 	he's the safecracker who's blissful unaware that the bank job is a botch job from the word go .	5	-1	 he's[0] the[0] safecracker[1] who's[0] blissful[4] unaware[0] that[0] the[0] bank[0] job[0] is[0] a[0] botch[0] job[0] from[0] the[0] word[0] go[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
though intriguing on all fronts , the film is paced at half the speed of pulp fiction , which avary co-wrote with quentin tarantino . 	though intriguing on all fronts , the film is paced at half the speed of pulp fiction , which avary co-wrote with quentin tarantino .	1	-1	 though[0] intriguing[0] on[0] all[0] fronts[0] the[0] film[0] is[0] paced[0] at[0] half[0] the[0] speed[0] of[0] pulp[0] fiction[0] which[0] avary[0] co[0] wrote[0] with[0] quentin[0] tarantino[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in english and french . 	in english and french .	1	-1	 in[0] english[0] and[0] french[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the road to wellville                       	the road to wellville                      	2	-1	 the[0] road[0] to[0] wellville[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
