insane ( but inspired ) musical about alferd packer , the first man ever tried for cannibalism in america . 	Translation	Positive	Negative	EmotionRationale
as the story unfolds we learn what events led to packer ( trey parker ) supposedly killing and eating the five men who got lost while accompanying him through the mountains of colorado in search of gold . 	as the story unfolds we learn what events led to packer ( trey parker ) supposedly killing and eating the five men who got lost while accompanying him through the mountains of colorado in search of gold .	1	-2	 as[0] the[0] story[0] unfolds[0] we[0] learn[0] what[0] events[0] led[0] to[0] packer[0] trey[0] parker[0] supposedly[0] killing[-1] and[0] eating[0] the[0] five[0] men[0] who[0] got[0] lost[0] while[0] accompanying[0] him[0] through[0] the[0] mountains[0] of[0] colorado[0] in[0] search[0] of[0] gold[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
throughout , packer must contend with evil trappers bent on stealing his prized horse , a tribe of  ute' indians that doesn't seem quite on the mark , and a terrible winter storm that leads to the eventual cannibalism . 	throughout , packer must contend with evil trappers bent on stealing his prized horse , a tribe of  ute' indians that doesn't seem quite on the mark , and a terrible winter storm that leads to the eventual cannibalism .	3	-4	 throughout[0] packer[0] must[0] contend[-1] with[0] evil[-2] trappers[0] bent[0] on[0] stealing[-2] his[0] prized[2] horse[0] a[0] tribe[0] of[0] ute'[0] indians[0] that[0] doesn't[0] seem[0] quite[0] on[0] the[0] mark[0] and[0] a[0] terrible[-3] winter[0] storm[-1] that[0] leads[0] to[0] the[0] eventual[0] cannibalism[-1] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
parker obviously knows his musicals very well , because the viewer is also treated to some of the most maddeningly catchy songs to appear in a film ( he would accomplish this again in his post-cannibal ! 	parker obviously knows his musicals very well , because the viewer is also treated to some of the most maddeningly catchy songs to appear in a film ( he would accomplish this again in his post-cannibal !	1	-3	 parker[0] obviously[0] knows[0] his[0] musicals[0] very[0] well[0] because[0] the[0] viewer[0] is[0] also[0] treated[0] to[0] some[0] of[0] the[0] most[0] maddeningly[-2] catchy[0] songs[0] to[0] appear[0] in[0] a[0] film[0] he[0] would[0] accomplish[1][-1 LastWordBoosterStrength] this[0] again[0] in[0] his[0] post[0] cannibal[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
musical motion picture , south park : bigger , longer , and uncut ) . 	musical motion picture , south park : bigger , longer , and uncut ) .	1	-1	 musical[0] motion[0] picture[0] south[0] park[0] bigger[0] longer[0] and[0] uncut[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apart from the inherent interest of seeing a pre- " south park " parker and stone in their first effort , cannibal ! 	apart from the inherent interest of seeing a pre- " south park " parker and stone in their first effort , cannibal !	2	-2	 apart[0] from[0] the[0] inherent[0] interest[1] of[0] seeing[0] a[0] pre[0] south[0] park[0] parker[0] and[0] stone[0] in[0] their[0] first[0] effort[0] cannibal[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
also offers up some pretty decent laughs . 	also offers up some pretty decent laughs .	2	-1	 also[0] offers[0] up[0] some[0] pretty[2][-1 LastWordBoosterStrength] decent[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the aforementioned  ute' indian tribe that packer's group encounters is a definite highlight , as are two rousing musical numbers about snowmen ( one of which ends on a comedically deadly note ) . 	the aforementioned  ute' indian tribe that packer's group encounters is a definite highlight , as are two rousing musical numbers about snowmen ( one of which ends on a comedically deadly note ) .	1	-2	 the[0] aforementioned[0] ute'[0] indian[0] tribe[0] that[0] packer's[0] group[0] encounters[0] is[0] a[0] definite[0] highlight[0] as[0] are[0] two[0] rousing[0] musical[0] numbers[0] about[0] snowmen[0] one[0] of[0] which[0] ends[0] on[0] a[0] comedically[0] deadly[-1] note[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stone's humphrey character steals the show , especially when complaining about the prospect of having to  eat butt' or revealing what's underneath his muff cap . 	stone's humphrey character steals the show , especially when complaining about the prospect of having to  eat butt' or revealing what's underneath his muff cap .	1	-3	 stone's[0] humphrey[0] character[0] steals[-2] the[0] show[0] especially[0] when[0] complaining[-1] about[0] the[0] prospect[0] of[0] having[0] to[0] eat[0] butt'[0] or[0] revealing[0] what's[0] underneath[0] his[0] muff[0] cap[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jason mchugh's character of mr . miller is the stand out performance though , as he offers a hilarious dissenting voice to the proceedings . 	jason mchugh's character of mr .<br> miller is the stand out performance though , as he offers a hilarious dissenting voice to the proceedings .	3	-2	 jason[0] mchugh's[0] character[0] of[0] mr[0] [[Sentence=-1,1=word max, 1-5]] miller[0] is[0] the[0] stand[0] out[0] performance[0] though[0] as[0] he[0] offers[0] a[0] hilarious[2] dissenting[-1] voice[0] to[0] the[0] proceedings[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as i mentioned before , parker's songs are very catchy . 	as i mentioned before , parker's songs are very catchy .	1	-1	 as[0] i[0] mentioned[0] before[0] parker's[0] songs[0] are[0] very[0] catchy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
