if this keeps up , jane austen ( sense and sensibility , pride and prejudice ) may have to apply for posthumous membership to the screen writers guild . 	Translation	Positive	Negative	EmotionRationale
yet another novel of hers has made the transition to the silver screen . 	yet another novel of hers has made the transition to the silver screen .	1	-1	 yet[0] another[0] novel[0] of[0] hers[0] has[0] made[0] the[0] transition[0] to[0] the[0] silver[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mansfield park is a turn of the century ( 18th century going on 19th ) story about love among the classes as well as an examination into proper society and family ties . 	mansfield park is a turn of the century ( 18th century going on 19th ) story about love among the classes as well as an examination into proper society and family ties .	3	-1	 mansfield[0] park[0] is[0] a[0] turn[0] of[0] the[0] century[0] 18th[0] century[0] going[0] on[0] 19th[0] story[0] about[0] love[2] among[0] the[0] classes[0] as[0] well[0] as[0] an[0] examination[0] into[0] proper[0] society[0] and[0] family[0] ties[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ten year old fanny price ( hannah taylor-gordon , jakob the liar ) , taken from her mother and father and the poverty in which they dwell , is sent to live with her aunt and the privileged class at mansfield park , under the stern patriarchal hand of her uncle , sir thomas bertram ( harold pinter , mojo ) 	ten year old fanny price ( hannah taylor-gordon , jakob the liar ) , taken from her mother and father and the poverty in which they dwell , is sent to live with her aunt and the privileged class at mansfield park , under the stern patriarchal hand of her uncle , sir thomas bertram ( harold pinter , mojo )	2	-3	 ten[0] year[0] old[0] fanny[0] price[0] hannah[0] taylor[0] gordon[0] jakob[0] the[0] liar[-2] taken[0] from[0] her[0] mother[0] and[0] father[0] and[0] the[0] poverty[-1] in[0] which[0] they[0] dwell[0] is[0] sent[0] to[0] live[0] with[0] her[0] aunt[0] and[0] the[0] privileged[1] class[0] at[0] mansfield[0] park[0] under[0] the[0] stern[-1] patriarchal[0] hand[0] of[0] her[0] uncle[0] sir[0] thomas[0] bertram[0] harold[0] pinter[0] mojo[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
spending her days reminded of her lower status , she also invents and writes fanciful stories during her private times . 	spending her days reminded of her lower status , she also invents and writes fanciful stories during her private times .	1	-1	 spending[0] her[0] days[0] reminded[0] of[0] her[0] lower[0] status[0] she[0] also[0] invents[0] and[0] writes[0] fanciful[0] stories[0] during[0] her[0] private[0] times[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fanny eventually grows to become a beautiful , intelligent , and engaging heroine ( quite unlike the original character which ms . austen originally penned in her novel . ) 	fanny eventually grows to become a beautiful , intelligent , and engaging heroine ( quite unlike the original character which ms .<br> austen originally penned in her novel .<br> )	3	-1	 fanny[0] eventually[0] grows[0] to[0] become[0] a[0] beautiful[2] intelligent[1] and[0] engaging[0] heroine[2] quite[0] unlike[0] the[0] original[0] character[0] which[0] ms[0] [[Sentence=-1,3=word max, 1-5]] austen[0] originally[0] penned[0] in[0] her[0] novel[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
writer/director patricia rozema ( when night is falling ) is responsible for the textual changes . 	writer/director patricia rozema ( when night is falling ) is responsible for the textual changes .	1	-1	 writer/director[0] patricia[0] rozema[0] when[0] night[0] is[0] falling[0] is[0] responsible[0] for[0] the[0] textual[0] changes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from a purely dramatic perspective , the revision makes perfect sense and improves the film's audience appeal . 	from a purely dramatic perspective , the revision makes perfect sense and improves the film's audience appeal .	2	-1	 from[0] a[0] purely[0] dramatic[0] perspective[0] the[0] revision[0] makes[0] perfect[1] sense[0] and[0] improves[1] the[0] film's[0] audience[0] appeal[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what ms . rozema has done is to infuse the main character with much of ms . austen's own personality by including excerpts from the author's journals , giving that dialogue to fanny . 	what ms .<br> rozema has done is to infuse the main character with much of ms .<br> austen's own personality by including excerpts from the author's journals , giving that dialogue to fanny .	1	-1	 what[0] ms[0] [[Sentence=-1,1=word max, 1-5]] rozema[0] has[0] done[0] is[0] to[0] infuse[0] the[0] main[0] character[0] with[0] much[0] of[0] ms[0] [[Sentence=-1,1=word max, 1-5]] austen's[0] own[0] personality[0] by[0] including[0] excerpts[0] from[0] the[0] author's[0] journals[0] giving[0] that[0] dialogue[0] to[0] fanny[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the result is a central character that is immediately appealing . 	the result is a central character that is immediately appealing .	1	-1	 the[0] result[0] is[0] a[0] central[0] character[0] that[0] is[0] immediately[0] appealing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the grown fanny , australian actress frances o'connor ( all about adam ) does wonderfully textured work . 	as the grown fanny , australian actress frances o'connor ( all about adam ) does wonderfully textured work .	3	-1	 as[0] the[0] grown[0] fanny[0] australian[0] actress[0] frances[0] o'connor[0] all[0] about[0] adam[0] does[0] wonderfully[2] textured[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at times , ms . rozema has fanny address the camera directly to communicate many of the novel's more introspective observations . 	at times , ms .<br> rozema has fanny address the camera directly to communicate many of the novel's more introspective observations .	1	-1	 at[0] times[0] ms[0] [[Sentence=-1,1=word max, 1-5]] rozema[0] has[0] fanny[0] address[0] the[0] camera[0] directly[0] to[0] communicate[0] many[0] of[0] the[0] novel's[0] more[0] introspective[0] observations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
