the 1990s produced two brilliant science fiction films . 	Translation	Positive	Negative	EmotionRationale
one was _gattaca_ . 	one was _gattaca_ .	1	-1	 one[0] was[0] _gattaca_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other was _the thirteenth floor_ . 	the other was _the thirteenth floor_ .	1	-1	 the[0] other[0] was[0] _the[0] thirteenth[0] floor_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just as _gattaca_ was overshadowed by the mighty _titanic_ , _the thirteenth floor_ was relegated to obscurity by _the matrix_ . 	just as _gattaca_ was overshadowed by the mighty _titanic_ , _the thirteenth floor_ was relegated to obscurity by _the matrix_ .	1	-1	 just[0] as[0] _gattaca_[0] was[0] overshadowed[0] by[0] the[0] mighty[0] _titanic_[0] _the[0] thirteenth[0] floor_[0] was[0] relegated[0] to[0] obscurity[0] by[0] _the[0] matrix_[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , _the thirteeth floor_ , though it deals with similar themes , is a much better movie than the frenetic , childish and improbable _matrix_ . 	however , _the thirteeth floor_ , though it deals with similar themes , is a much better movie than the frenetic , childish and improbable _matrix_ .	1	-2	 however[0] _the[0] thirteeth[0] floor_[0] though[0] it[0] deals[0] with[0] similar[0] themes[0] is[0] a[0] much[0] better[0] movie[0] than[0] the[0] frenetic[0] childish[-1] and[0] improbable[0] _matrix_[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a cutting edge computer scientist , hannon fuller ( played by the charming armin mueller-stahl ) , is murdered . 	a cutting edge computer scientist , hannon fuller ( played by the charming armin mueller-stahl ) , is murdered .	2	-4	 a[0] cutting[0] edge[0] computer[0] scientist[0] hannon[0] fuller[0] played[0] by[0] the[0] charming[1] armin[0] mueller[0] stahl[0] is[0] murdered[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
his associate , douglas hall , ( craig bierko ) apparently framed and suspected by the police , enters into the simulated world they have created in order to unravel the mystery . 	his associate , douglas hall , ( craig bierko ) apparently framed and suspected by the police , enters into the simulated world they have created in order to unravel the mystery .	1	-1	 his[0] associate[0] douglas[0] hall[0] craig[0] bierko[0] apparently[0] framed[0] and[0] suspected[0] by[0] the[0] police[0] enters[0] into[0] the[0] simulated[0] world[0] they[0] have[0] created[0] in[0] order[0] to[0] unravel[0] the[0] mystery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along the way a beautiful blonde ( gretchen mol ) , more bodies , and a deepening mystery about simulated worlds complicate the picture . 	along the way a beautiful blonde ( gretchen mol ) , more bodies , and a deepening mystery about simulated worlds complicate the picture .	3	-2	 along[0] the[0] way[0] a[0] beautiful[2] blonde[0] gretchen[0] mol[0] more[0] bodies[0] and[0] a[0] deepening[0] mystery[0] about[0] simulated[0] worlds[0] complicate[-1] the[0] picture[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
_the thirteenth floor_ unfolds slowly and telegraphs its punches , choosing to elicit the more complex emotional response of empathy and anticipation rather than the cheap one of mere surprise . 	_the thirteenth floor_ unfolds slowly and telegraphs its punches , choosing to elicit the more complex emotional response of empathy and anticipation rather than the cheap one of mere surprise .	1	-2	 _the[0] thirteenth[0] floor_[0] unfolds[0] slowly[0] and[0] telegraphs[0] its[0] punches[-1] choosing[0] to[0] elicit[0] the[0] more[0] complex[0] emotional[-1] response[0] of[0] empathy[0] and[0] anticipation[0] rather[0] than[0] the[0] cheap[-1] one[0] of[0] mere[0] surprise[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the result is a movie that is a failure from two conventional points of view . 	the result is a movie that is a failure from two conventional points of view .	1	-3	 the[0] result[0] is[0] a[0] movie[0] that[0] is[0] a[0] failure[-2] from[0] two[0] conventional[0] points[0] of[0] view[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
first , its plot revelations can be foreseen if one has carefully followed its complex storyline . 	first , its plot revelations can be foreseen if one has carefully followed its complex storyline .	1	-1	 first[0] its[0] plot[0] revelations[0] can[0] be[0] foreseen[0] if[0] one[0] has[0] carefully[0] followed[0] its[0] complex[0] storyline[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
second and more seriously , it demands that its audience think and feel . 	second and more seriously , it demands that its audience think and feel .	1	-1	 second[0] and[0] more[0] seriously[0] it[0] demands[0] that[0] its[0] audience[0] think[0] and[0] feel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no wonder it fell through the cracks . 	no wonder it fell through the cracks .	1	-1	 no[0] wonder[0] it[0] fell[0] through[0] the[0] cracks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
done in film noir style as a murder mystery , this is a relatively deep movie that functions on several levels . 	done in film noir style as a murder mystery , this is a relatively deep movie that functions on several levels .	1	-4	 done[0] in[0] film[0] noir[0] style[0] as[0] a[0] murder[-3] mystery[0] this[0] is[0] a[0] relatively[0] deep[0] movie[0] that[0] functions[0] on[0] several[0] levels[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
many audiences will simply be bewildered by it , rather than engaged , which is a shame , because this movie amply repays a little emotional and intellectual investment . 	many audiences will simply be bewildered by it , rather than engaged , which is a shame , because this movie amply repays a little emotional and intellectual investment .	1	-3	 many[0] audiences[0] will[0] simply[0] be[0] bewildered[-2] by[0] it[0] rather[0] than[0] engaged[0] which[0] is[0] a[0] shame[-2] because[0] this[0] movie[0] amply[0] repays[0] a[0] little[0] emotional[-1] and[0] intellectual[0] investment[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i recommend a second viewing simply to get the flavor of the frequent ironic foreshadowing in the opening parts of the movie . 	i recommend a second viewing simply to get the flavor of the frequent ironic foreshadowing in the opening parts of the movie .	1	-2	 i[0] recommend[0] a[0] second[0] viewing[0] simply[0] to[0] get[0] the[0] flavor[0] of[0] the[0] frequent[0] ironic[-1] foreshadowing[0] in[0] the[0] opening[0] parts[0] of[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
