 * * * * * * minor plot spoilers in review * * * * * * * * * * * * no major spoilers are in review * * * * * * 	Translation	Positive	Negative	EmotionRationale
the previous two " alien " films have each had their own unique styles to them . 	the previous two " alien " films have each had their own unique styles to them .	1	-2	 the[0] previous[0] two[0] alien[-1] films[0] have[0] each[0] had[0] their[0] own[0] unique[0] styles[0] to[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the ridley scott's alien was very much a stylistic suspense film . 	the ridley scott's alien was very much a stylistic suspense film .	1	-2	 the[0] ridley[0] scott's[0] alien[-1] was[0] very[0] much[0] a[0] stylistic[0] suspense[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
james cameron's aliens was much more of an action film . 	james cameron's aliens was much more of an action film .	1	-1	 james[0] cameron's[0] aliens[0] was[0] much[0] more[0] of[0] an[0] action[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and i liked each film separately for which it was . 	and i liked each film separately for which it was .	3	-1	 and[0] i[0] liked[2] each[0] film[0] separately[0] for[0] which[0] it[0] was[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now alien 3 is out . 	now alien 3 is out .	1	-2	 now[0] alien[-1] 3[0] is[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and it is it's own film in the same right that alien and aliens were . 	and it is it's own film in the same right that alien and aliens were .	1	-2	 and[0] it[0] is[0] it's[0] own[0] film[0] in[0] the[0] same[0] right[0] that[0] alien[-1] and[0] aliens[0] were[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
unlike aliens , alien 3 requires that you have seen aliens . 	unlike aliens , alien 3 requires that you have seen aliens .	1	-2	 unlike[0] aliens[0] alien[-1] 3[0] requires[0] that[0] you[0] have[0] seen[0] aliens[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is very important as the story picks up exactly were aliens left off . 	this is very important as the story picks up exactly were aliens left off .	1	-1	 this[0] is[0] very[0] important[0] as[0] the[0] story[0] picks[0] up[0] exactly[0] were[0] aliens[0] left[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the survivors of the expedition to lv-426 are returning home after battling and beating the aliens . 	the survivors of the expedition to lv-426 are returning home after battling and beating the aliens .	1	-1	 the[0] survivors[0] of[0] the[0] expedition[0] to[0] lv[0] -426[0] are[0] returning[0] home[0] after[0] battling[0] and[0] beating[0] the[0] aliens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the climactic fight scene between ripley and the mother alien on the sulaco in aliens left behind one item , an egg . 	the climactic fight scene between ripley and the mother alien on the sulaco in aliens left behind one item , an egg .	1	-3	 the[0] climactic[0] fight[-2] scene[0] between[0] ripley[0] and[0] the[0] mother[0] alien[-1] on[0] the[0] sulaco[0] in[0] aliens[0] left[0] behind[0] one[0] item[0] an[0] egg[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the opening sequence we see the egg hatch , find its quarry , which leads to a fire aboard the sulaco when the facehugger is injured , an leads the sulaco to jettison the hypersleep tubes in an escape vessel . 	in the opening sequence we see the egg hatch , find its quarry , which leads to a fire aboard the sulaco when the facehugger is injured , an leads the sulaco to jettison the hypersleep tubes in an escape vessel .	1	-1	 in[0] the[0] opening[0] sequence[0] we[0] see[0] the[0] egg[0] hatch[0] find[0] its[0] quarry[0] which[0] leads[0] to[0] a[0] fire[0] aboard[0] the[0] sulaco[0] when[0] the[0] facehugger[0] is[0] injured[0] an[0] leads[0] the[0] sulaco[0] to[0] jettison[0] the[0] hypersleep[0] tubes[0] in[0] an[0] escape[0] vessel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this vessel crash lands on fury 109 . 	this vessel crash lands on fury 109 .	1	-4	 this[0] vessel[0] crash[0] lands[0] on[0] fury[-3] 109[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
everyone in the vessel is killed , except ripley . 	everyone in the vessel is killed , except ripley .	1	-4	 everyone[0] in[0] the[0] vessel[0] is[0] killed[-3] except[0] ripley[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the facehugger is jettisoned with them and survives the crash . 	the facehugger is jettisoned with them and survives the crash .	1	-1	 the[0] facehugger[0] is[0] jettisoned[0] with[0] them[0] and[0] survives[0] the[0] crash[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fury 109 is an ex-mining/maximum security prison . 	fury 109 is an ex-mining/maximum security prison .	2	-4	 fury[-3] 109[0] is[0] an[0] ex[0] mining/maximum[0] security[1] prison[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when closed down , some of the lifer prisoners decided to stay and live out the remaining years on the planet . 	when closed down , some of the lifer prisoners decided to stay and live out the remaining years on the planet .	1	-2	 when[0] closed[0] down[0] some[0] of[0] the[0] lifer[0] prisoners[-1] decided[0] to[0] stay[0] and[0] live[0] out[0] the[0] remaining[0] years[0] on[0] the[0] planet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
