after indecent proposal and up close and personal , redford was wise to direct himself in a picture at last . 	Translation	Positive	Negative	EmotionRationale
redford may look great on-screen , but over the past few years , he's proven himself a bigger talent behind the camera . 	redford may look great on-screen , but over the past few years , he's proven himself a bigger talent behind the camera .	3	-1	 redford[0] may[0] look[0] great[2] on[0] screen[0] but[0] over[0] the[0] past[0] few[0] years[0] he's[0] proven[0] himself[0] a[0] bigger[0] talent[1] behind[0] the[0] camera[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ordinary people is one of the best films of the nineteen-eighties , and it was the first picture he helmed . 	ordinary people is one of the best films of the nineteen-eighties , and it was the first picture he helmed .	2	-1	 ordinary[0] people[0] is[0] one[0] of[0] the[0] best[1] films[0] of[0] the[0] nineteen[0] eighties[0] and[0] it[0] was[0] the[0] first[0] picture[0] he[0] helmed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while the milagro beanfield war was only occasionally successful at combining magic-realism with . . . um , 	while the milagro beanfield war was only occasionally successful at combining magic-realism with .<br> .<br> .<br> um ,	3	-3	 while[0] the[0] milagro[0] beanfield[0] war[-2] was[0] only[0] occasionally[0] successful[2] at[0] combining[0] magic[0] realism[0] with[0] [[Sentence=-3,3=word max, 1-5]] um[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
realism , and i've never been much of a fan of a river runs through it ( to the chagrin of many ) , quiz show was dazzling , energetic and convincing . 	realism , and i've never been much of a fan of a river runs through it ( to the chagrin of many ) , quiz show was dazling , energetic and convincing .	1	-1	 realism[0] and[0] i've[0] never[0] been[0] much[0] of[0] a[0] fan[0] of[0] a[0] river[0] runs[0] through[0] it[0] to[0] the[0] chagrin[0] of[0] many[0] quiz[0] show[0] was[0] dazzling/dazling[0] energetic[0] and[0] convincing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the horse whisperer represents both his directorial return to nature films and the first time in that sub-genre redford seems equally concerned with humans and scenery . 	the horse whisperer represents both his directorial return to nature films and the first time in that sub-genre redford seems equally concerned with humans and scenery .	1	-2	 the[0] horse[0] whisperer[0] represents[0] both[0] his[0] directorial[0] return[0] to[0] nature[0] films[0] and[0] the[0] first[0] time[0] in[0] that[0] sub[0] genre[0] redford[0] seems[0] equally[0] concerned[-1] with[0] humans[0] and[0] scenery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
scott-thomas plays annie maclean , an uptight but respected new york magazine editor whose daughter grace ( johanssen ) loses a leg and a good friend when an early morning ride climaxes with their horses colliding with a semi . 	scot-thomas plays annie maclean , an uptight but respected new york magazine editor whose daughter grace ( johanssen ) loses a leg and a good friend when an early morning ride climaxes with their horses colliding with a semi .	3	-3	 scott/scot[0] thomas[0] plays[1] annie[0] maclean[0] an[0] uptight[-2] but[0] respected[2] new[0] york[0] magazine[0] editor[0] whose[0] daughter[0] grace[2] johanssen[0] loses[-1] a[0] leg[0] and[0] a[0] good[1] friend[1] when[0] an[0] early[0] morning[0] ride[0] climaxes[0] with[0] their[0] horses[0] colliding[0] with[0] a[0] semi[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
grace's horse survived , but barely , and has gone mad . 	grace's horse survived , but barely , and has gone mad .	1	-2	 grace's[0] horse[0] survived[0] but[0] barely[0] and[0] has[0] gone[0] mad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
annie refuses to put the animal out of his misery , believing that if the horse heals it will mend grace's newly-broken spirit . 	annie refuses to put the animal out of his misery , believing that if the horse heals it will mend grace's newly-broken spirit .	1	-3	 annie[0] refuses[-1] to[0] put[0] the[0] animal[0] out[0] of[0] his[0] misery[-2] believing[0] that[0] if[0] the[0] horse[0] heals[0] it[0] will[0] mend[0] grace's[0] newly[0] broken[-1] spirit[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
eventually , mother and daughter travel alone to montana to be with tom booker ( redford ) , a famed " horse whisperer " who has a gift of calming horses with simple looks and touches , leaving busy husband neill behind . 	eventually , mother and daughter travel alone to montana to be with tom booker ( redford ) , a famed " horse whisperer " who has a gift of calming horses with simple looks and touches , leaving busy husband neill behind .	2	-1	 eventually[0] mother[0] and[0] daughter[0] travel[0] alone[0] to[0] montana[0] to[0] be[0] with[0] tom[0] booker[0] redford[0] a[0] famed[0] horse[0] whisperer[0] who[0] has[0] a[0] gift[0] of[0] calming[1] horses[0] with[0] simple[0] looks[0] and[0] touches[0] leaving[0] busy[0] husband[0] neill[0] behind[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
eventually , they move onto the booker ranch with the rest of tom's family , and annie finds herself falling in love with all things montana , including , naturally , tom , the wise and lonely trainer . 	eventually , they move onto the booker ranch with the rest of tom's family , and annie finds herself falling in love with all things montana , including , naturally , tom , the wise and lonely trainer .	3	-2	 eventually[0] they[0] move[0] onto[0] the[0] booker[0] ranch[0] with[0] the[0] rest[0] of[0] tom's[0] family[0] and[0] annie[0] finds[0] herself[0] falling[0] in[0] love[2] with[0] all[0] things[0] montana[0] including[0] naturally[0] tom[0] the[0] wise[0] and[0] lonely[-1] trainer[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
