i relish those rare opportunities when a talented screenwriter can make me feel like a fool . 	Translation	Positive	Negative	EmotionRationale
i spent the first hour of forces of nature slowly stewing over its grim attitude towards marriage , grousing to myself about its transparently planes , trains and automobiles plot machinations , and waiting for the inevitable hollywood denouement . 	i spent the first hour of forces of nature slowly stewing over its grim attitude towards marriage , grousing to myself about its transparently planes , trains and automobiles plot machinations , and waiting for the inevitable hollywood denouement .	1	-3	 i[0] spent[0] the[0] first[0] hour[0] of[0] forces[0] of[0] nature[0] slowly[0] stewing[0] over[0] its[0] grim[-2] attitude[0] towards[0] marriage[0] grousing[0] to[0] myself[0] about[0] its[0] transparently[0] planes[0] trains[0] and[0] automobiles[0] plot[0] machinations[0] and[0] waiting[0] for[0] the[0] inevitable[0] hollywood[0] denouement[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this was a mass market romantic comedy , after all , a genre which has been taken over by teenagers and , even in its best days , worked hard to perpetuate the romance   infatuation paradigm . 	this was a mass market romantic comedy , after all , a genre which has been taken over by teenagers and , even in its best days , worked hard to perpetuate the romance   infatuation paradigm .	4	-1	 this[0] was[0] a[0] mass[0] market[0] romantic[3] comedy[0] after[0] all[0] a[0] genre[0] which[0] has[0] been[0] taken[0] over[0] by[0] teenagers[0] and[0] even[0] in[0] its[0] best[1] days[0] worked[0] hard[0] to[0] perpetuate[0] the[0] romance[3] infatuation[0] paradigm[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
then marc lawrence did something wonderful , something which made the entire film click into place : he showed me a comic love story about grown-ups . 	then marc lawrence did something wonderful , something which made the entire film click into place : he showed me a comic love story about grown-ups .	3	-1	 then[0] marc[0] lawrence[0] did[0] something[0] wonderful[2] something[0] which[0] made[0] the[0] entire[0] film[0] click[0] into[0] place[0] he[0] showed[0] me[0] a[0] comic[0] love[2] story[0] about[0] grown[0] ups[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it certainly didn't look that way from the outset , which introduces groom-to-be ben holmes ( ben affleck ) at his bachelor party , surrounded by friends and family whooping over his " last night of freedom . " 	it certainly didn't look that way from the outset , which introduces groom-to-be ben holmes ( ben affleck ) at his bachelor party , surrounded by friends and family whooping over his " last night of freedom .<br> "	2	-1	 it[0] certainly[0] didn't[0] look[0] that[0] way[0] from[0] the[0] outset[0] which[0] introduces[0] groom[0] to[0] be[0] ben[0] holmes[0] ben[0] affleck[0] at[0] his[0] bachelor[0] party[0] surrounded[0] by[0] friends[1] and[0] family[0] whooping[0] over[0] his[0] last[0] night[0] of[0] freedom[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ben loves his fiancee bridget ( maura tierney ) , but the doom-and-gloom pronouncements of everyone around him have him questioning the meaning of this 'till death do you part business . 	ben loves his fiancee bridget ( maura tierney ) , but the doom-and-gloom pronouncements of everyone around him have him questioning the meaning of this 'till death do you part business .	3	-3	 ben[0] loves[2] his[0] fiancee[0] bridget[0] maura[0] tierney[0] but[0] the[0] doom[-1] and[0] gloom[-2] pronouncements[0] of[0] everyone[0] around[0] him[0] have[0] him[0] questioning[0] the[0] meaning[0] of[0] this[0] 'till[0] death[-2] do[0] you[0] part[0] business[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
then , on an ill-fated flight from new york to his wedding in savannah , ben meets sarah lewis ( sandra bullock ) , a free-spirited woman with a string of failed careers and relationships behind her . 	then , on an ill-fated flight from new york to his wedding in savannah , ben meets sarah lewis ( sandra bullock ) , a free-spirited woman with a string of failed careers and relationships behind her .	1	-3	 then[0] on[0] an[0] ill[-1] fated[0] flight[0] from[0] new[0] york[0] to[0] his[0] wedding[0] in[0] savannah[0] ben[0] meets[0] sarah[0] lewis[0] sandra[0] bullock[0] a[0] free[0] spirited[0] woman[0] with[0] a[0] string[0] of[0] failed[-2] careers[0] and[0] relationships[0] behind[0] her[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as transportation troubles thwart them at every turn , ben and sarah begin a three-day southward journey in which their connection grows ever stronger , ben seeing in sarah the chances he's never taken and sarah seeing in ben the stability she's never had . 	as transportation troubles thwart them at every turn , ben and sarah begin a three-day southward journey in which their connection grows ever stronger , ben seeing in sarah the chances he's never taken and sarah seeing in ben the stability she's never had .	1	-2	 as[0] transportation[0] troubles[-1] thwart[-1] them[0] at[0] every[0] turn[0] ben[0] and[0] sarah[0] begin[0] a[0] three[0] day[0] southward[0] journey[0] in[0] which[0] their[0] connection[0] grows[0] ever[0] stronger[0] ben[0] seeing[0] in[0] sarah[0] the[0] chances[0] he's[0] never[0] taken[0] and[0] sarah[0] seeing[0] in[0] ben[0] the[0] stability[-1] she's[0] never[0] had[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
forces of nature gets off to a solid enough start , setting up the characters and the situations with plenty of witty dialogue . 	forces of nature gets off to a solid enough start , setting up the characters and the situations with plenty of witty dialogue .	1	-1	 forces[0] of[0] nature[0] gets[0] off[0] to[0] a[0] solid[0] enough[0] start[0] setting[0] up[0] the[0] characters[0] and[0] the[0] situations[0] with[0] plenty[0] of[0] witty[0] dialogue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ben is an ideal role for affleck's easy-going charm , and he plays the straight-laced straight man without forced exasperation . 	ben is an ideal role for affleck's easy-going charm , and he plays the straight-laced straight man without forced exasperation .	2	-2	 ben[0] is[0] an[0] ideal[0] role[0] for[0] affleck's[0] easy[0] going[0] charm[1] and[0] he[0] plays[1] the[0] straight[0] laced[0] straight[0] man[0] without[0] forced[0] exasperation[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
sandra bullock , for her part , is more loose and appealing than she has been in her last half-dozen films combined , avoiding her recent habit of playing any semblance of character depth as moping . 	sandra bullock , for her part , is more loose and appealing than she has been in her last half-dozen films combined , avoiding her recent habit of playing any semblance of character depth as moping .	2	-2	 sandra[0] bullock[0] for[0] her[0] part[0] is[0] more[0] loose[0] and[0] appealing[0] than[0] she[0] has[0] been[0] in[0] her[0] last[0] half[0] dozen[0] films[0] combined[0] avoiding[-1] her[0] recent[0] habit[0] of[0] playing[1] any[0] semblance[0] of[0] character[0] depth[0] as[0] moping[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
